search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Materiales del interior,Materiales del exterior,Edad,Género,Peso,Tipo de visor,Línea,Tipo
22, Casco Moto Abatible Doble Visor Certificado Ich Mas Placas ,55,NA,8,7,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/IMPORTKEYS,https://articulo.mercadolibre.com.co/MCO-511561086-tira-de-luz-led-2-und-casco-de-motocicleta-senal-luminosa-_JM?searchVariation=36373755123,NA,NA,NA,NA,NA,#511561086,Rojo,Audew,Audew,Led,NA,NA,NA,NA,NA,0.5 g,NA,NA,NA
23, Cascos Moto Cross Certificado Hro Mx330 Integral +obsequio ,199.99,240,89,20,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,9,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-456597030-2-cascos-abatibles-doble-visor-dot-pasamontanas-as-_JM?searchVariation=17680791576,7,1,1,0,0,#456597030,Negro,M/L/XL,ICH,ICH-3110,Rebatible,NA,NA,NA,NA,NA,NA,NA,NA
24, Tira De Luz Led 2 Und Casco De Motocicleta Señal Luminosa ,199.5,NA,8,16,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,1,https://perfil.mercadolibre.com.co/IMCOVALLE+SAS,https://articulo.mercadolibre.com.co/MCO-513415783-casco-shox-certificado-stinger-creepy-tipo-mt-no-shaft-_JM?searchVariation=37200429749,1,0,0,0,0,#513415783,Negro/Blanco,"TALLA L,M",Shox,STINGER CREEPY,Integral,icopor y espuma de alto impacto,coraza externa en abs (resina termoplastica de alto impacto ),Adultos,Unisex,NA,Simple,NA,NA
25, 2 Cascos Abatibles Doble Visor Dot + Pasamontañas - As ,109.9,NA,49,400,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,3,https://perfil.mercadolibre.com.co/LUJOACCESORIOS.,https://articulo.mercadolibre.com.co/MCO-452707556-casco-moto-abatible-ich-certificado-dot-oferta-_JM?searchVariation=17157074010,2,1,0,0,0,#452707556,Verde,"S,M,L,XL",ICH,3110,Rebatible,NA,NA,NA,NA,1000 g,NA,NA,NA
26, Casco Shox Certificado Stinger Creepy Tipo Mt No Shaft ,65.99,NA,37,11,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,4.3,3,https://perfil.mercadolibre.com.co/EDINSONCARDENAS,https://articulo.mercadolibre.com.co/MCO-469026034-cinta-termica-dorado-moto-carro-exostos-mofle-5cmx5mt-_JM,2,0,1,0,0,#469026034,Dorada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27, Casco Moto Abatible Ich Certificado Dot Oferta ,59.9,NA,27,2,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,5,2,https://perfil.mercadolibre.com.co/COJE1458660,https://articulo.mercadolibre.com.co/MCO-489078318-pinlock-casco-antiempanante-para-casco-motociclista-_JM,2,0,0,0,0,#489078318,Transparente,NA,NA,NA,Integral,NA,NA,NA,NA,NA,NA,NA,NA
28, Cinta Termica Dorado Moto Carro Exostos Mofle (5cmx5mt) ,115.9,NA,43,117,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,1,https://perfil.mercadolibre.com.co/AFMPUNTO2,https://articulo.mercadolibre.com.co/MCO-456336444-cascos-moto-certificado-ich-3110-eco-regalo-_JM,1,0,0,0,0,#456336444,"S,M,L,XL",,ICH,3110,Rebatible,NA,NA,NA,NA,1300 g,NA,NA,NA
29, Pinlock Casco / Antiempañante Para Casco Motociclista ,99.9,149.9,38,395,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,2,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-451519145-casco-abatible-doble-visor-ich-certificado-dot-oferta-_JM?searchVariation=19434542345,2,0,0,0,0,#451519145,Negro,"S,M,L,XL",ICH,3110,Rebatible,Interior EPS (Poliestireno expandido) de alta densidad.,Coraza Fabricado en ABS (Termoplástico de alta resistencia).,Adultos,Unisex,1000 g,Doble,NA,NA
30, Cascos Moto Certificado Ich 3110 + Eco Regalo ,869,NA,6,2,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,0,1,https://perfil.mercadolibre.com.co/MYTECHCO,https://articulo.mercadolibre.com.co/MCO-510032063-casco-certificado-icon-airflite-battlescar-integral-dot-ece-_JM?searchVariation=37246860015,0,0,0,0,0,#510032063,Verde,M,Icon,Battlescar 2,Integral,NA,NA,NA,NA,NA,NA,Airflite,NA
31, Casco Abatible Doble Visor Ich Certificado Dot Oferta ,65.99,NA,21,5,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/EDINSONCARDENAS,https://articulo.mercadolibre.com.co/MCO-468532319-cinta-termica-negra-exostos-mofle-moto-carro-5cmx5mts-_JM,NA,NA,NA,NA,NA,#468532319,Negra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32, Casco Certificado Icon Airflite Battlescar Integral Dot Ece ,719,NA,8,2,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MYTECHCO,https://articulo.mercadolibre.com.co/MCO-511239207-casco-certificado-icon-airflite-envio-inmediato-gratis-_JM?searchVariation=39030178064,NA,NA,NA,NA,NA,#511239207,Negro,"M,XL",Icon,Airflite Rubatone,Integral,NA,NA,NA,NA,NA,NA,Airflite,NA
33, Cinta Termica Negra Exostos Mofle Moto Carro (5cmx5mts) ,109.9,159.9,19,110,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,1,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-472297009-cascos-moto-ich-abatible-certificados-doble-visor-_JM?searchVariation=24243151273,1,0,0,0,0,#472297009,"Azul,Amarillo neón,Azul,Fucsia,Gris,Naranja oscuro,Negro,Rojo,Verde","S,M,L,XL",ICH,3110,Rebatible,Interior EPS (Poliestireno expandido) de alta densidad.,Coraza Fabricado en ABS (Termoplástico de alta resistencia).,Adultos,Unisex,1000 g,Doble,NA,NA
34, Casco Certificado Icon Airflite Envio Inmediato Gratis ,499.59,NA,45,3,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,11,https://perfil.mercadolibre.com.co/OUTLETMOTERO.COM.CO,https://articulo.mercadolibre.com.co/MCO-455276293-casco-icon-alliance-dark-visor-oscuro-omi-_JM?searchVariation=17288117369,9,1,1,0,0,#455276293,Negro,L,Icon,ALLIANCE DARK,Integral,NA,NA,NA,NA,NA,NA,Alliance,NA
35, Casco Kontrol Certificación Dot/ntc/ Knt Button No Shaft ,449,NA,7,13,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,11,https://perfil.mercadolibre.com.co/MYTECHCO,https://articulo.mercadolibre.com.co/MCO-507687297-casco-icon-alliance-dark-certificado-envio-gratis-_JM?searchVariation=34388758109,9,1,1,0,0,#507687297,Negro Matte,"S,M,L,XL",Icon,ALLIANCE DARK,Integral,NA,NA,NA,NA,NA,NA,Alliance,NA
36, Cascos Moto Ich Abatible Certificados Doble Visor ,63.7,NA,28,142,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,4,1,https://perfil.mercadolibre.com.co/OSSA3358167,https://articulo.mercadolibre.com.co/MCO-503610375-casco-cross-para-adultos-gafas-obsequio-_JM,0,1,0,0,0,#503610375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cross
37, Casco Icon Alliance Dark + Visor Oscuro- Omi ,109.5,NA,17,143,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AFMPUNTO2,https://articulo.mercadolibre.com.co/MCO-456213910-casco-para-moto-certificado-ich-501-_JM,NA,NA,NA,NA,NA,#456213910,"S,M,L,XL",,ICH,501,Integral,NA,NA,NA,NA,0 mg,NA,NA,NA
38, Casco Icon Alliance Dark Certificado Envio Gratis ,84.5,NA,13,990,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/JHEIS07,https://articulo.mercadolibre.com.co/MCO-457819821-limpiabrisas-para-casco-moto-bicicleta-envio-gratis-_JM?searchVariation=18227107526,NA,NA,NA,NA,NA,#457819821,Gris,WIPER DEVICE,UNIVERSAL WIPER DEVICE,2017-2018,NA,NA,NA,NA,NA,259 g,NA,NA,NA
39, Casco Cross Para Adultos + Gafas + Obsequio ,95,NA,35,NA,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,1,https://perfil.mercadolibre.com.co/POSA4722849,https://articulo.mercadolibre.com.co/MCO-493753358-casco-ich-dot-llavero-placas-_JM,1,0,0,0,0,#493753358,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000 g,NA,NA,Rebatible
40, Casco Para Moto Certificado Ich 501 ,61,NA,30,140,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,5,1,https://perfil.mercadolibre.com.co/OSSA3358167,https://articulo.mercadolibre.com.co/MCO-503612005-casco-moto-cross-ninas-y-ninos-gafas-obsequio-_JM,1,0,0,0,0,#503612005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cross
41, Limpiabrisas Para Casco (moto - Bicicleta) Envio Gratis ,299.99,360,18,3,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-447470688-casco-moto-integral-mt-certificado-europeo-5-disenos-as-_JM,NA,NA,NA,NA,NA,#447470688,NA,S / M / L / XL,MT,Thunder 3,Integral,NA,NA,NA,NA,NA,NA,NA,NA
42, Casco Ich Dot + Llavero + Placas ,51,NA,5,5,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/FADA492667,https://articulo.mercadolibre.com.co/MCO-509410852-soporte-multifuncional-de-pared-para-casco-de-motociclista-_JM?searchVariation=35199375166,NA,NA,NA,NA,NA,#509410852,Gris oscuro,Two Wheels Designs SAS,Two Wheels Designs,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
43, Casco Moto Cross Niñas Y Niños + Gafas + Obsequio ,12,NA,126,20,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,5,5,https://perfil.mercadolibre.com.co/ROME1416,https://articulo.mercadolibre.com.co/MCO-467407647-tornillo-o-boton-visor-casco-shaft-821581525519w-_JM?searchVariation=22225665737,5,0,0,0,0,#467407647,Negro,Shaft,Shaft,Tornillo ó Botón Shaft  821 - 581 - 525,Integral,NA,NA,NA,NA,NA,NA,NA,NA
44, Casco Moto Integral Mt Certificado Europeo *5 Diseños - As ,99.9,149.9,40,38,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,3,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-454482599-casco-abatible-ich-certificado-verde-policia-oferta-_JM?searchVariation=17287461092,3,0,0,0,0,#454482599,Verde,"S,M,L,XL",ICH,3110,Rebatible,Interior EPS (Poliestireno expandido) de alta densidad.,Coraza Fabricado en ABS (Termoplástico de alta resistencia).,Adultos,Unisex,1000 g,Doble,NA,NA
45, Soporte Multifuncional De Pared Para Casco De Motociclista ,109.9,159.9,83,118,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.4,9,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-451663775-casco-ich-abatible-doble-visor-certificado-dot-gratisplacas-_JM?searchVariation=21233702252,5,3,1,0,0,#451663775,"Rojo,Amarillo neón,Azul,Fucsia,Gris,Naranja,Negro,Rojo,Verde","S,M,L,XL",ICH,3110,Rebatible,Interior EPS (Poliestireno expandido) de alta densidad. Materiales del exterior,Coraza Fabricado en ABS (Termoplástico de alta resistencia).,Adultos,Unisex,1000 g,Doble,NA,NA
46," Tornillo O Boton Visor Casco Shaft 821,581,525,519w ",27,NA,4,5,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/FADA492667,https://articulo.mercadolibre.com.co/MCO-509412648-soporte-de-pared-para-casco-de-moto-_JM?searchVariation=35200853609,NA,NA,NA,NA,NA,#509412648,Gris oscuro,Two Wheels Designs,Two Wheels Designs,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
47, Casco Abatible Ich Certificado Verde Policía Oferta ,53.9,NA,22,148,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/OSSA3358167,https://articulo.mercadolibre.com.co/MCO-503648015-casco-integral-ninas-ninos-impermeble-princesa-heroes-_JM,NA,NA,NA,NA,NA,#503648015,NEGRO - FUCSIA - ROJO - VERDE - AZUL - AMARILLO - MORADO,2 A 6 Y 7 A 11 AÑOS,NA,NA,Integral,NA,NA,NA,NA,NA,NA,NA,NA
48, Casco Ich Abatible Doble Visor Certificado Dot Gratis+placas ,109.9,NA,13,27,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,1,https://perfil.mercadolibre.com.co/LUJOACCESORIOS.,https://articulo.mercadolibre.com.co/MCO-449657535-casco-abatible-ich-doble-visor-certificado-dot-gratis-placas-_JM?searchVariation=26130104907,1,0,0,0,0,#449657535,Rojo,"S,M,L,XL",ICH,3110,Rebatible,NA,NA,NA,NA,1000 g,NA,NA,NA
49, Soporte De Pared Para Casco De Moto ,279.99,NA,25,6,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,1,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-455631278-casco-moto-integral-ls2-certficado-ece-pinlock-gratis-as-_JM,1,0,0,0,0,#455631278,Varios,NA,LS2,FF 353,Integral,Interior desmontable,Policarbonato,Adultos,Unisex,NA,Simple,NA,NA
50," Casco Integral Niñas, Niños + Impermeble, Princesa, Heroes ",100,NA,18,NA,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/POSA4722849,https://articulo.mercadolibre.com.co/MCO-509093843-casco-ich-3110-llavero-placa-_JM,NA,NA,NA,NA,NA,#509093843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rebatible
51, Casco Integral Ls2 320 Hunter Negro Mate Gris Titanio ,360,NA,9,4,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AOLMOTO,https://articulo.mercadolibre.com.co/MCO-503400592-casco-integral-ls2-320-hunter-negro-mate-gris-titanio-_JM,NA,NA,NA,NA,NA,#503400592,NEGRO MATE - TT,"M,XL",LS2,320,Integral,NA,NA,NA,NA,50 g,NA,NA,NA
52, 2 Cascos Moto Certificados Abatible Ich Dot Gratis Placas ,189.9,249.9,21,993,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-472138403-2-cascos-moto-certificados-abatible-ich-dot-gratis-placas-_JM,NA,NA,NA,NA,NA,#472138403,"S-S,M-M,L-L,XL-XL,S-M,S-L,S-XL,ML,M-XL,L-XL",,ICH,3110,Rebatible,Interior EPS (Poliestireno expandido) de alta densidad. Materiales del exterior.,Coraza Fabricado en ABS (Termoplástico de alta resistencia).,Adultos,Unisex,1000 g,Doble,NA,NA
