search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante
1, Parlante Bluetooth Soundcore Mini 2 Anker ,139,NA,"
			
			
				
				9
				vendidos
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.0,2,http://perfil.mercadolibre.com.pe/ANKER+PERU?brandId=144,https://articulo.mercadolibre.com.pe/MPE-434540089-parlante-bluetooth-soundcore-mini-2-anker-_JM,NA,NA,NA,NA,NA,#434540089,NA,NA,NA,NA
2, Parlante Tv Soundbar Infini Mini ,299,NA,"
			
			
				
				4
				vendidos
			
		","
		
			¡Último disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ANKER+PERU?brandId=144,https://articulo.mercadolibre.com.pe/MPE-434547085-parlante-tv-soundbar-infini-mini-_JM,NA,NA,NA,NA,NA,#434547085,NA,NA,NA,NA
3, Amazon Echo Dot 3ra Gen Altavoz Inteligente Alexa Sellado ,209,NA,"
			
				Nuevo
			
			
				
					 - 
				
				42
				vendidos
			
		",(8 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,6,http://perfil.mercadolibre.com.pe/MIALIENSTORE,https://articulo.mercadolibre.com.pe/MPE-435227656-amazon-echo-dot-3ra-gen-altavoz-inteligente-alexa-sellado-_JM,5,1,0,0,0,#435227656,Amazon,Echo  Dot 3era Gen,NA,NA
4, Mini Parlante Waterproof Mini Speaker Conexión Bluetooth ,19,NA,"
			
				Nuevo
			
			
				
					 - 
				
				29
				vendidos
			
		",(21 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BONOTECH.PE,https://articulo.mercadolibre.com.pe/MPE-435701030-mini-parlante-waterproof-mini-speaker-conexion-bluetooth-_JM,NA,NA,NA,NA,NA,#435701030,NA,NA,NA,NA
5, Samsung Soundbar 100w 2019 Barra De Sonido ,179,NA,"
			
				Nuevo
			
			
				
					 - 
				
				39
				vendidos
			
		",(4 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,2,http://perfil.mercadolibre.com.pe/ELECTROFERTAS+SELLADAS,https://articulo.mercadolibre.com.pe/MPE-428636742-samsung-soundbar-100w-2019-barra-de-sonido-_JM,NA,NA,NA,NA,NA,#428636742,Samsung,HW-N300PE,NA,NA
6, Parlante Portatil Maxtron Urban 8 Bluetooth Karaoke Fm Usb ,123,NA,"
			
				Nuevo
			
			
				
					 - 
				
				7
				vendidos
			
		",(6 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/REYLU+PRODUCTS,https://articulo.mercadolibre.com.pe/MPE-434666277-parlante-portatil-maxtron-urban-8-bluetooth-karaoke-fm-usb-_JM,NA,NA,NA,NA,NA,#434666277,NA,NA,NA,NA
7, Google Home Mini Charcoal Smart Assistant No Chromecast ,135,NA,"
			
				Nuevo
			
			
				
					 - 
				
				30
				vendidos
			
		",(7 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,2,http://perfil.mercadolibre.com.pe/BESTOFFERSPERU,https://articulo.mercadolibre.com.pe/MPE-435158863-google-home-mini-charcoal-smart-assistant-no-chromecast-_JM,NA,NA,NA,NA,NA,#435158863,Google,home mini,NA,NA
8, Parlante Potente Bluetooth Recargable / Usb / Sd / Radio ,54,NA,"
			
				Nuevo
			
			
				
					 - 
				
				23
				vendidos
			
		",(76 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/SPORTECH+BALHER,https://articulo.mercadolibre.com.pe/MPE-431706450-parlante-potente-bluetooth-recargable-usb-sd-radio-_JM,NA,NA,NA,NA,NA,#431706450,NA,NA,NA,NA
9, Parlante Portatil Mini Speaker Smart Bluetooth Radio Usb Sd ,18,NA,"
			
				Nuevo
			
			
				
					 - 
				
				34
				vendidos
			
		","
		
			¡Último disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,3.0,2,http://perfil.mercadolibre.com.pe/LIZANDRIAN15,https://articulo.mercadolibre.com.pe/MPE-431775835-parlante-portatil-mini-speaker-smart-bluetooth-radio-usb-sd-_JM,NA,NA,NA,NA,NA,#431775835,NA,NA,NA,NA
10, Jbl Flip 4 Parlante Bluetooth Portatil Acuatico Bass Colores ,339,369,"
			
				Nuevo
			
			
				
					 - 
				
				14
				vendidos
			
		",(28 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,9,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-432200042-jbl-flip-4-parlante-bluetooth-portatil-acuatico-bass-colores-_JM,7,2,0,0,0,#432200042,JBL,Flip 4,20 W,Activo
11, Parlante Tronsmart T6 Plus Bluetooth 40w + Estuche ,340,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(9 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ANDREUS+STORE,https://articulo.mercadolibre.com.pe/MPE-436941118-parlante-tronsmart-t6-plus-bluetooth-40w-estuche-_JM,NA,NA,NA,NA,NA,#436941118,NA,NA,NA,NA
12, Jbl Go 2 Parlante Bluetooth Resistente Al Agua Tienda ,119,NA,"
			
				Nuevo
			
			
				
					 - 
				
				33
				vendidos
			
		",(100 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,14,http://perfil.mercadolibre.com.pe/IMANIA.PERU,https://articulo.mercadolibre.com.pe/MPE-428500548-jbl-go-2-parlante-bluetooth-resistente-al-agua-tienda-_JM,12,1,1,0,0,#428500548,JBL,GO 2,3 W,Activo
13, Parlante Sony Bluetooth Extra Bass Inalámbrico Xb31 (azul) ,399,NA,"
			
			
				
				11
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SONYPERUSRL?brandId=25,https://articulo.mercadolibre.com.pe/MPE-431904503-parlante-sony-bluetooth-extra-bass-inalambrico-xb31-azul-_JM,NA,NA,NA,NA,NA,#431904503,Sony,NA,NA,NA
14, Luces Sicodelias Y Parlante Bluetooth Usb Luces Led ,45,NA,"
			
				Nuevo
			
			
		",(99999 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SELLMERX+SAC,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=ZIXs8xvh8B7MyUyAciO4BYW3QfZ8V9%2FGRw1VbEo2zVVfGNo000I%2FD0fsIjSebq8I7YM%2BHd3gD8FOP8HHpG5kzTn9kNOmi9wIuMiJndOfKTeds%2BpXbEyBncVI89D3PCe12fNN2WfI4RDxPyvfME56w7FOTjV98swco9swqtvXxO3hrJsCIO2C1XoBbsuK1EJZRwJQGnbzMxiaBbOJqjq1dnZzf96bQUxIvn%2FmESj%2F60Z9xEqp483t8RUYpMW0mMLKxyJUk4nAgoi8CWu6MTd60vHOhrEiYxjLeRDsAoLyAXO1nvk5dV2MT2xr6Egz1Pj9EyvvsCJvoF1SIRrQ7aVeTyGoTHH3Vp0MQEjxXvv%2B9%2FhoFSdN0wa5DuzawUXNz8A8zb9n2Ls5h274NGZlX66LZLvbyDEbr5dfubcan9w4HnP3fh3igzKjC2rFQHDWFTjHtnFG%2FhaJV5Rvxrzd5baLGM4Eh1lja0mJDNqBt8Cpr1XzAoic6566Ak9kYzvI16VssEChp2FeF1awlR6RaE9C4Fw0qCbYnIuWUg85mR5w4ZV2D72SsHbm9TfOFXogAWCfPm3Xb3TCK1jo5Pomtu1ciX03%2BeSBBygTo%2BTNUQhaKn0eqWrfSFMqGTwj395eUZgCQrbcB3CpsDVXTUmxwSQ6%2B8qBRNt3INbrSICS1wJ%2FL5XAp%2FRJSZaA2UcmK%2FnkizeXl0oJGWtYtKrRvBx8K6Ild2bpM%2Fbw%2B46rqKhtY3BoGCYR6b69wcTzc2vLEQIBiHEKcq3kotld3jC1HUVTEyfWgRr9VfgL9B%2F3AptLRPjvlTlMBfT4bQyAO5BsvFPclpA1luabiJgVA9DoY0HxnovUNMYICB5eM%2BeKSjL0dNYaepidsNcyWQugIRK8aUY6txPWztcolO%2BLDzXpt6AyU1w9Zy7%2BlLlxqbpyLEEcY3g1smhjzAAQwza%2BO%2FxRpj5RYEseJRjJvhF3%2Fd07CetQuCJ2%2BqD88u1l0UTO%2FlV2BinxdqUg3iBnCSwGKcEERkiMYjyueZxe6DOwY9rVNlnKbjnWPN3uRAm42UySmEz0L%2FTH2x4o76UlY91GRgjH%2BdHKMCM%2BNYM%2F2lGrGf4sFg91Mq5oKHXARENbOHvRXhpzL3bqq9pvuh2MfksHkx1AWud%2FKJEPHlyu5zdXJhUTSG7n7nHz9G1j9QHVnoTqAX0cx%2BsaBKSJOtFEBegsNlacqvxkCMu7hNH7Fdz9OsiaOIObkQ4NiqYeuKmIab0HvZYhnV%2FKCDlG5KQXDQonx6SbOxydtbEdluEffTEJ9ljRwTNGyhhD2mPnmzd3571lIQ5T6%2BvuL4VLRqW%2FS8JHskjSlmo0UevLwFYqK%2ByEZeqJXqIP3aWNVixEXq8AzeYagY6Yiv5b4RgCxfVx8cxJmAmV1nFhtPG4LWxGTzNRsIOEV1LQmBGEiS7p6N2M1HTdpJR54xHB%2FFe3%2Fi5aoYT6KMARz3BGTvn%2BnGFHLF5LrxhQw4Oaf%2FluOAF9lZJ8bI%2Bp6EycCBT%2FfJKg%2FvIOxQPo5lZMlyRvLbjcQgQjzeRhx8iW3fIgHiYOmws9tkxgd8sIEhsxEepgScxPaxtk6yY%3D,NA,NA,NA,NA,NA,#433789260,NA,NA,NA,NA
15, Jbl Charge 3 Parlante Bluetooth Acuatico Sumergible Portatil ,499,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(12 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-432339590-jbl-charge-3-parlante-bluetooth-acuatico-sumergible-portatil-_JM,NA,NA,NA,NA,NA,#432339590,NA,NA,NA,NA
16, Parlante Bluetooth Jbl Flip 4 Sumergible Sellado / Tienda ,339,NA,"
			
				Nuevo
			
			
				
					 - 
				
				15
				vendidos
			
		",(42 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,9,http://perfil.mercadolibre.com.pe/OSCARENRIQUECASTILLOFALCON,https://articulo.mercadolibre.com.pe/MPE-429687772-parlante-bluetooth-jbl-flip-4-sumergible-sellado-tienda-_JM,7,2,0,0,0,#429687772,JBL,Flip 4,16 W,Activo
17, Parlante Bluetooth Jbl Xtreme 2 Sumergible Sellado Garantía ,959,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(49 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/APPLEMALLCENTER,https://articulo.mercadolibre.com.pe/MPE-435373873-parlante-bluetooth-jbl-xtreme-2-sumergible-sellado-garantia-_JM,NA,NA,NA,NA,NA,#435373873,NA,NA,NA,NA
18, Jbl Flip 4 Parlante Bluetooth Original Acuático Tienda ,349,NA,"
			
				Nuevo
			
			
				
					 - 
				
				12
				vendidos
			
		",(993 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/IMANIA.PERU,https://articulo.mercadolibre.com.pe/MPE-429636474-jbl-flip-4-parlante-bluetooth-original-acuatico-tienda-_JM,NA,NA,NA,NA,NA,#429636474,JBL,FLIP 4,NA,NA
19, Receptor Bluetooth Adaptador 3.5 Para Autos Parlantes ,29,NA,"
			
				Nuevo
			
			
				
					 - 
				
				266
				vendidos
			
		",(742 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,3.9,7,http://perfil.mercadolibre.com.pe/GRUPONATIC.PE,https://articulo.mercadolibre.com.pe/MPE-419076361-receptor-bluetooth-adaptador-35-para-autos-parlantes-_JM,3,1,2,1,0,#419076361,NA,NA,NA,NA
20, Parlante Bluetooth + Subwoofer De 70 Watts Karaoke ,169,NA,"
			
				Nuevo
			
			
				
					 - 
				
				42
				vendidos
			
		",(191 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,3.3,4,http://perfil.mercadolibre.com.pe/INNOVA+LEDS,https://articulo.mercadolibre.com.pe/MPE-421436494-parlante-bluetooth-subwoofer-de-70-watts-karaoke-_JM,1,1,1,0,1,#421436494,NA,NA,NA,NA
21, Sony Parlante Bluetooth Extra Bass Ip67 Acuatico Xb12 ,189,NA,"
			
				Nuevo
			
			
				
					 - 
				
				18
				vendidos
			
		",(6 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434444301-sony-parlante-bluetooth-extra-bass-ip67-acuatico-xb12-_JM,NA,NA,NA,NA,NA,#434444301,Sony,XB12,NA,NA
22, Parlante Activo A Bateria Mpa200bt Bluetooth + Envio ,1599,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(98 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SOUNDA+E.I.R.L,https://articulo.mercadolibre.com.pe/MPE-435495287-parlante-activo-a-bateria-mpa200bt-bluetooth-envio-_JM,NA,NA,NA,NA,NA,#435495287,NA,NA,NA,NA
