search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Cor,Potência de saída (RMS),Formato do alto-falante,Conectores de entrada,Sensibilidade de entrada,Largura,Profundidade,Altura,Peso,Linha,Voltagem,Tipos de alto-falante,Tipos de filtros do alto-falante,Lugares de colocação,Configuração de canais,Quantidade de alto-falantes,Resposta máxima em frequência,Resposta mínima em frequência
11, Caixa De Som Jbl Boombox Bluetooth Preto Original Full ,1799,NA,190,6,12x,150.00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,112,https://perfil.mercadolivre.com.br/STOCKCARNET,https://produto.mercadolivre.com.br/MLB-986918342-caixa-de-som-jbl-boombox-bluetooth-preto-original-full-_JM,98,5,2,3,4,#986918342,JBL,Boombox,Preto,60 W,Caixa,NA,NA,NA,NA,NA,NA,caixas portatil,Bivolt,Subwoofer,Subwoofer,De piso,5.1,NA,NA,NA
12, Caixa De Som Portátil Bluetooth Jbl Wind Resistente A Água ,179,NA,63,52,12x,14.99,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,912,https://perfil.mercadolivre.com.br/AUTORAMAESTAR?brandId=1796,https://produto.mercadolivre.com.br/MLB-1127655639-caixa-de-som-portatil-bluetooth-jbl-wind-resistente-a-agua-_JM,737,119,38,6,12,#1127655639,JBL,JBL WIND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13, Caixa Som Bluetooth Jbl Potência 16w Ios Android Preto Flip4 ,448,NA,2980,1366,12x,37.33,NA,Envio para todo o país,NA,NA,4.9,516,https://perfil.mercadolivre.com.br/FASTSHOP+OFICIAL?brandId=942,https://produto.mercadolivre.com.br/MLB-914225881-caixa-som-bluetooth-jbl-potncia-16w-ios-android-preto-flip4-_JM,463,38,7,3,4,#914225881,JBL,Flip 4,NA,16 W,NA,NA,80 dB,175 mm,66 mm,66 mm,NA,Flip Series,NA,NA,Ativo,NA,NA,NA,NA,NA
14, Caixa De Som Portátil Bluetooth Amplificada Microfone Grátis ,32,NA,3421,849,6x,6.10,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,161,https://perfil.mercadolivre.com.br/TROPARDI+ELETRO,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=0P8Xwe7SE%2B45Wn2esXzlBCngNQcgdjvi4ZSO6exdZB0dJjiNYsyd2xnEEod0%2FgAytn8IBApFkglYCJZ80xdcuR2poM3NgAvdcSNydoDEhFpY5fXGh3ZTUc3OjLPE1onPE2rPdHHx8j8Yn6zIff0krKXy5BcXLgf8aMgNhTF8C9CeB4pIzCfBcI6LCqgALfc3NXtrPfVwkhUMHMrz2ybC7Uaitx0wEnXIuqusCZ8EQWCBvfBL%2F947a%2BJt2gJM%2B97iVFgYDRzLNmeIi4UEKaRTEtOB6cQz%2FsaC1TWtFnf5g9vbj1WW1Cuf2UyTA2pXa554yl629X6YcUOrU%2F1lpktTbRy%2FNJmBnLb2eQpAayjxY2uBNbk0w624lV5xZXpRVyT1n4NGOo7TGLcXDJrBswz9G3ilSPjj%2F65mmXZIccaNu9tXVWpCNiBVw94v8i9%2B0y8PAXezON80JrtW0GWSs%2BR%2BKzF%2F0r52QIDO3RN8DRAZAednIlvOsJqmAVqoPAATTEReJ385COD5Y9IEnicnQC9WfX3kNgIxfkbtMhBr4%2FhMPTTPlnVSBDSgNuCNyHkO2wkpk8Qug2aDDx1swEYVifoELX7pb9Rw98nd90wK0wbDizNdL1f21NcI6cTSorwl29YjYJ0%2FXFFvwTJQeTjYmJTikO3lICGWIHKKjY%2FI0NDcm7Kz2T7o95qZKn1bIfZWAd%2F7E9PLhHqLlXsNJaPnjBLxN1nO6obkwEt6QmcMoE6%2FNa1OTcZPBKWdgc9l%2Bi5VtvJIWmjxySwQ12oaT%2FqC%2F3VY8D1VNzefyV3xZl4j22rSrICPXXXSiEyhpQE62NSzsUr%2B0asnfHLMLulnZIIhtYT4xBqb3I6WacohYxcXMagnNs4tKuoKE2MYnTDHPalpDnipco9xcsUNqyXV%2BA7XgOmCVkzaB13jYqXcNQJilZyWdA4MQmWdh6csxcAmsWqFSJ9b%2Fv3t%2FmAF3WtJTdNigeSPXw62n6oviw%2BhWPONxGaWX3Md5bLoIYFnOv1u1yx8XWqfsKvm%2B1KN8YFfNsTgXkv3RZJ09N3wQX25r0VLIss2yAJgSy6kt9YHQ062x9mEhDpYcnDWd2%2Bt%2BIiPJD7rRjbSXhRRrfHFevRzaiDgiAQb3uXuCqoaVJ7HjHlLUhTLSHgIDrdhvN5ajyPgYcP565yJeSZSsAM9ua1GIiVsWsPTIW%2FrOv7sde0IGzylsar6pnsxzEJsfrhdRfRBxMjqwELcbKlocQnwxuzsJgxh%2BCjQnBCzJUYqYRR7kUNGPcp8R4BHWOBchoupvYYCufRkPiRoaaRdTIBjrrT59ofs4Cu6YBkj6QR48tEAqXs7XXo%2FqxlZ5RP%2Fm0KzYYkiWAW7DLGMZu8M2VDTUM1kCaiQXJjhaVkmB%2Br71XVE0WvSLRKB3yx01sduhiQ9NmjC3hb%2FvYacExK%2BfLYbKL8WAEaixHnKTVxXY0yLQ2wtNaOGchBdrmCH8Hoq5JEIvPq5hPyPNuFJQ0fZDx0Z4GwVvdI9tQJFDmRRVTmemHgMgzPga7q1wn4KEa6mXd7LhkcOFjTVr%2FzC82PqZqM%2F7o2NzK7jTdqG%2FQ8Rq1x%2BJlqG5Ng6jkrOhfZvsYgWkhM0tFpCCZk5nj1kaOdblOcPJh6fnOazQtb4df92PkS7sBXEEkGYJk%2BTH%2BlMcey6SAZAFvFRpG%2F3eI3zd1S37UXvg%2BB8J%2FPvw0LZiI4%2BopZi6hgIr8yz%2BCjBiJE4X21aMvZ%2FNhpNxamG0dFlbxS2fG6d80stDcNkc0H8rP3V2RIwyzQ84iLSVwkgMjymmix8dneXkEXf4kRm%2BfXUqGMSOQC6PZezPB3bPSuQ%2BCAlInM8Huj9sQozeCJNWWmBkVUbs4Lv0ndSEkOnkfUN,133,8,7,4,9,#1175508663,Grasep,Torre,NA,10 W, ,USB,80 dB,NA,NA,NA,NA,Portátil,110V/220V (Bivolt),NA, , , ,2,NA,NA
15, Caixinha Som Potente 80w Bluetooth Caixa Amplificada Mondial ,207,NA,785,8,12x,17.32,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,30,https://perfil.mercadolivre.com.br/ENCOMENDAMAIS-SP,https://produto.mercadolivre.com.br/MLB-1147417505-caixinha-som-potente-80w-bluetooth-caixa-amplificada-mondial-_JM,24,4,2,0,0,#1147417505,Mondial,MCO-07,NA,80 W,Caixa,NA,NA,22 cm,12 cm,32 cm,2.2 kg,Thunder VII,Bivolt,Subwoofer,Subwoofer,Alça para Transporte,Digial,NA,NA,NA
16, Mini Caixa De Som 8w Rms Bluetooth Rádio Fm Sd Auxiliar Usb ,32,NA,1183,32,6x,6.09,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,31,https://perfil.mercadolivre.com.br/123+COMPROU,https://produto.mercadolivre.com.br/MLB-1019314215-mini-caixa-de-som-8w-rms-bluetooth-radio-fm-sd-auxiliar-usb-_JM,21,4,5,0,1,#1019314215,Importado,QS-505,NA,8 W,Caixa,USB,80 dB,NA,NA,NA,387 g,NA,NA,NA,NA,NA,NA,1,150 kHz,18 kHz
17, Caixa Caixinha Som Portátil Bluetooth Mp3 Usb Cartão Fm 300w ,27,NA,3045,4,5x,6.13,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,101,https://perfil.mercadolivre.com.br/MEGA+EXOPLANET.SHOP,https://produto.mercadolivre.com.br/MLB-1169578372-caixa-caixinha-som-portatil-bluetooth-mp3-usb-carto-fm-300w-_JM,86,11,3,0,1,#1169578372,SPEAKER,MS-302bt,NA,5 W,Redondos,USB,80 dB,NA,NA,NA,318 g,Bluetooth,NA,Subwoofer,Subwoofer,Portátil,2.1,1,1500 Hz,150 Hz
18, Caixa De Som Amplificada Bluetooth 2000w Fortress Sumay ,699,NA,829,13,12x,58.33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,73,https://perfil.mercadolivre.com.br/SANBOX-BR,https://produto.mercadolivre.com.br/MLB-919482965-caixa-de-som-amplificada-bluetooth-2000w-fortress-sumay-_JM,65,2,3,0,3,#919482965,JBL,Caixa Amplificada Bluetooh,NA,200 W,Caixa,USB,NA,NA,NA,NA,7 kg,NA,110/220v,NA,Ativo,NA,NA,01,NA,NA
19, Caixa Som Bluetooth Portátil Amplificada Torre Fm Sd Mp3 Usb ,32,NA,1277,3,6x,6.10,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,56,https://perfil.mercadolivre.com.br/MEGA+EXOPLANET.SHOP,https://produto.mercadolivre.com.br/MLB-1174117073-caixa-som-bluetooth-portatil-amplificada-torre-fm-sd-mp3-usb-_JM,47,5,2,2,0,#1174117073,Goldenultra,GT-515bt,NA,10 W,Redondos,USB,80 dB,NA,NA,NA,NA,BLUETOOTH,NA,Subwoofer,Subwoofer,Portátil,2.1,2,15000 Hz,150 Hz
20, Caixinha Som Portátil Bluetooth Fm P2 Mp3 Cartão Pen Drive ,108,NA,280,86,12x,10.32,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,22,https://perfil.mercadolivre.com.br/TEEMDOBRASIL,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=ram%2F6jgAha8B%2FwfksW5mCXaebE1bL9gGiqh%2BO3Zp9OYI%2B22MMuqE3BuPXHNtVEfIB74Ocs%2FGPbNRW%2BYJkDiSLDyFW1zB2QRV2PydnUbcUvmombTHzHPG7DF3W32S0DuMlCoCLNDtfh7ttZrIPXpziKNMRGL3l8x3qQiCjVxD2siYgAvhNx1e8hcnMIhM%2FAD9vCb0iY9gDDRaI%2BGmQqbBt%2FsPFtf9bUQ%2BF8wbhoVMjtk8Z%2BZHJSN4vb1ygwLR3uv2ChsVNsVZCcES72sMHKdrl%2FV8LXm3K1DQNmqMFA9G4C1U4vEVJsW6xj%2BjHPx1GPqGVGdPRt7Exbhwa5tKPG3tgv8Zq3a%2BUwUF1bRfoaGA%2BOoMKIdHY0HuTVbkVqNfRMJw9uRg8mrbMyXKYizHMmKyWHv49HY91sVqFK%2BbyLz1rq2bqsjeNgpaSthnDXHvfi881%2B7LmQp68lfm3LnL32FeG6ITxgv53Is7Z50HroIFoTlnHJPGvTqOGgnRaAzDnxQ1fD%2BJBu0TTyLMxvD%2FkH2GxM75HaFWA9aHJR4Ef2UyDQH9W5SGy4H1elgi3pDSTOZWXwVnD0vpQ3XtESAl45BgCT5rTEioICvSnboD3K4LuXlu5bMPBtY5AmLkRPtU76E5%2BEGnqHzjYGh0yc2y%2FYjJLJ0GiQz7I1GvZldkS0%2Fb0ziq3L3%2Bi89GcAnUgPVlFV0lNLHqgAC75gABIf0oot98eoALIyKRz58nw8ZTndCTYBZ7mofOoHu1ad%2FiU2DinDxvLXfCLkMhm%2FVmqsDOORT4RDLg4dA8EO4Kaw22V2GgxKnFQ7Xi9ccp0BwLzYH1BtKO4M1q0t%2F88BBcQV1RI9itW%2FiOIAONrtgjGwGKwqm%2BcApHUOV69%2BSLLOPZs%2BlZR1Z%2FFqIx7%2FweOd7B%2F4P%2BQALGCK2eXFi4erPEyJQ0KcMu8t8bQH3aM7XwSjZ2HwPtSRPGn8Fa1XSn1%2B1f600P63x5BwWUZg9EERiZg0TNH6EqZr9NeEM3w4G41v0moSYvVztC%2FDmnNRsAYrK%2FQr3xGn1OdMD%2BUsa3%2FrCWmZN2wnsBCQZaBevYmErq6Osxnq9uXZxtrxs5ML%2FKbjl2xs3HsvqIQk31wr5C0L1Icj8XC1Ibfw5K5jh%2BSTNBiC4bMqk6j9BIvF2VhIhY5SlCxRF4Zoq9CyrtwOEr2wpG%2FVwJ8mal7dBYRddRbXzsoIVyRdUkukl%2BWAEq2t%2FHn%2BWUCypvG6gjMN01xZk7f9zHHry%2Fmi04U4HY%2FYnH0ALHECIURjVrHeSRUOemcRSuB8QfaHSfLOm2bfRzr3yl5iJC7gm1hgliRzYQI%2BNpkn4dbwJJvCLajNxxVHHUhKS%2FdEPxTXgr25awSqbnzoFKu1HpGzbgzs7yBB4x%2Bct%2BDhPABz5VzJLFog%2BD57%2FzQBbfbomq6mkCQPK%2FLnpp1gp8yjnHrTqOUTjS9qmDB2svVSDhG3nu98pNsNpjb0QAIs0KFITqPsf9MrDTae3Dh5rPD%2FZqVhWXhJ26hsxmzwmqcFOlZkLNbbmC1JuwCzlSy6EJ2hKCqCZaC1xjYQYnMHGO3oCe%2FggGu79Pv74VFrvWMOnLyLHL%2FN8HhlODY8Fsfl7rUsc3JWFFkbHoXFHKw7qunonvFHDYvjgGoLltbuuol41XamiKbIpeRViVKZt5F3tzSHP2TCH%2Ftr35e6jRsSjcQSQFVSgSZhtfPhBe%2F%2Fg6ES99gWPs4Ic0ItGJnB%2BAekE4lChq4m%2FfeBgEhhQhOGR%2Ba5yhTI1IRlExVzcgy%2B8txzt6wBMxl7GFi%2FWaM9tgX6%2FVLuGBCMzj%2BmUQmlVEcG%2FQUBaIXRGBlcy3YXr2d4%2FEYfVAhHCQZzdM6FnPrXvs,19,1,0,0,2,#903132850,Teem,TM 5002,NA,40 W,EMBUTIDO,Auxiliar,NA,NA,NA,NA,NA,SPEAKER,NA,Estéreo,STÉREO,MESA,88-110,NA,NA,NA
