search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Peso,Color,Marca,Modelo,Tipos de parlante,Potencia de salida (RMS),Conectores de entrada,Tipos de filtros del parlante
14, Luces Sicodelias Y Parlante Bluetooth Usb Luces Led ,45,NA,"
			
				Nuevo
			
			
		",(99999 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SELLMERX+SAC,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=hw5mx5OGKVHIsR%2FeeVT%2BUQILurm2V5S6PVwKTa5Jj3wfFWu6oaWuIjkhUkRAPHuht%2BoEQUFniTwjgnXKtbI21EnNE7sO8elBnnUKkJGM5vClfP1%2Fu3ZLcVJ%2BcJfQJ1ZMGWXyQVb8GUrx2edptHWAUBxxkz5DxE8GUOZEz%2FN87ge2aesE0fHX5BiVrX%2BTK7vsswamLnfF7b6PwAGcosAEFldXvTqsJKyK6K4gxrlBjrsKAADGeQChzeOBEsapIWNAlmxqHf8Q7G6jptQCDRNprw5419ksu7UJp6dLFGLF4g9WExwTfsm4SdwuO1%2FW5PfncZF%2BcssAyv8BYSgiUl9kHOm4rK7K1TVbYKTSiRlB%2FWGeNV30osDZspJIAK2r3xu6uu3xWF0VGcjZNGirvDQDRsf2Ir5gdHbhbZTscenLeFIpvmxCFacNedIIYM7tXO83ohyKBnpqZYleHUj8%2BoU1m27VodyKE6B68oq4MXk9cm3n1VPQqMyBEfuI4uJ4VxBm4GNiRVxMzqlcxTs%2Fec85%2FQ3LokVWj9%2BY1sdBpOQGzrMFK5jKrPzPKzg72j%2BDPGHrBMpWQ2ttOz0BZjqwB67iye1jajQgGwpQeZPi1764uj52DOzzjjCRzPqGSRpMQklb%2BDslgL%2F2jaACHFNdVkVNCrOL4dLtk1Me0GTBoSQ08kUdWWEj8bpTbRw5HHt6F7MAaBC%2Fi2prNokQjz%2FRdXI852JwCMdDcLCA4cEx4Zrt1%2FXtB3%2FpF3oHtWW7T5cSru5WwG79o9SRH07JL3P4fv8Te1YahMc4BKbvQgCVv394Oup1CMnZBrVLgcsfzzzIy%2Fz39a1lpfNjwCl2v2Z2IbEx9BngjUEqMljH957656j1hv7LGcsRt2dhMt1y0dgmEoDiK3DYg8POdQbJWYrFM0Z1iyN9l8doVl3vNFmo8%2F9tUxcwbp8zJaaI%2BXHLLt%2Bth8QYdX1tJXKgc2DTHSOlbuKp569QioDq7Yewh4SE6V6nf%2FS3OPkyDbTkYuvvsKIAEqfB8UrWRX%2FRGux9%2FChKKwADejooJebIPT8r94H2P6wHUl6S5gOlSqFteSC3oMCh%2FPCNXlfr%2BZB0s1uEKt79AVrhKG5s6YCuII3XfzqI25vzss1h540Tb2g38LahNDmkEonNFLA9zpOmZFppinK%2B%2F6QXuLrOng5EJ%2FCtqONkB4gzgF%2FrjQ39VhuiJsFfBn3J5V%2BA3sG5DEYRZMwusNAo06%2B7rvhGgDG8nLEBsKpVpDA7eiSGz4%2BkCNiMyQkwf1P7nu5ceFaObUF%2F6vmSRiPU0DmU3yEc4kHoDfkMD%2Bfj7agrY0carI04tfUipC1emjlhYhHVLc1BaKf9%2BAs76h4MmhOKxNn6Cda90k3%2F9vvRWrXTMAmpGY2t7Bu8EhtEM4Vqi1rR2tLj9N7RFLzYEAxBYc4ZmESwzd2619sp1rFEdGZOxPco8VYgbQUT0MQaydC0zYz5iG78jLiLf5ZLYJkvXdZhzuev9XA%2BqMBqtDiJ9cegIYqJuz7WW9ygpF8FRH%2BNeln0bLf4USlI06gdomjqN1jXELorpS4nzEClwSUjNYbV5zPo5Wf94Rqa,NA,NA,NA,NA,NA,#433789260,NA,NA,NA,NA,NA,NA,NA,NA
15, Receptor Bluetooth Adaptador 3.5 Para Autos Parlantes ,29,NA,"
			
				Nuevo
			
			
				
					 - 
				
				266
				vendidos
			
		",(742 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,3.9,7,http://perfil.mercadolibre.com.pe/GRUPONATIC.PE,https://articulo.mercadolibre.com.pe/MPE-419076361-receptor-bluetooth-adaptador-35-para-autos-parlantes-_JM,3,1,2,1,0,#419076361,NA,NA,NA,NA,NA,NA,NA,NA
16, Parlante Portatil Maxtron Urban 8 Bluetooth Karaoke Fm Usb ,123,NA,"
			
				Nuevo
			
			
				
					 - 
				
				8
				vendidos
			
		",(5 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/REYLU+PRODUCTS,https://articulo.mercadolibre.com.pe/MPE-434666277-parlante-portatil-maxtron-urban-8-bluetooth-karaoke-fm-usb-_JM,NA,NA,NA,NA,NA,#434666277,NA,NA,NA,NA,NA,NA,NA,NA
17, Parlante Jbl Charge 4 Acuatico Bluetooth Portatil By Harman ,559,659,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(19 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434111505-parlante-jbl-charge-4-acuatico-bluetooth-portatil-by-harman-_JM,NA,NA,NA,NA,NA,#434111505,NA,Como,JBL,Charge 4,Portatil,30 W,NA,Activo
18, Jbl Go 2 Parlante Bluetooth Portatil Acuatico Ipx7 Original ,109,139,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		",(43 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,14,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434444185-jbl-go-2-parlante-bluetooth-portatil-acuatico-ipx7-original-_JM,12,1,1,0,0,#434444185,NA,Brillante,JBL,GO 2,Portatil,3.1 W,NA,Activo
19, Parlante Activo A Bateria Mpa200bt Bluetooth + Envio ,1599,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(98 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SOUNDA+E.I.R.L,https://articulo.mercadolibre.com.pe/MPE-435495287-parlante-activo-a-bateria-mpa200bt-bluetooth-envio-_JM,NA,NA,NA,NA,NA,#435495287,NA,NA,NA,NA,NA,NA,NA,NA
20, Parlante Sony Bluetooth Extra Bass Inalámbrico Xb31 (negro) ,369,499,"
			
			
				
				13
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,2,http://perfil.mercadolibre.com.pe/SONYPERUSRL?brandId=25,https://articulo.mercadolibre.com.pe/MPE-431904511-parlante-sony-bluetooth-extra-bass-inalambrico-xb31-negro-_JM,NA,NA,NA,NA,NA,#431904511,890 g,NA,Sony,NA,NA,NA,USB,NA
21, Parlante Acuatico Bluetooth Manos Libres Microfono Ducha ,24,NA,"
			
				Nuevo
			
			
				
					 - 
				
				47
				vendidos
			
		",(53 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.3,4,http://perfil.mercadolibre.com.pe/SANTOFA+E.I.R.L,https://articulo.mercadolibre.com.pe/MPE-421447296-parlante-acuatico-bluetooth-manos-libres-microfono-ducha-_JM,3,0,0,1,0,#421447296,NA,NA,NA,NA,NA,NA,NA,NA
22, Google Home Mini - Masplay ,139,NA,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		",(9989 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MASPLAY+PERU,https://articulo.mercadolibre.com.pe/MPE-434654884-google-home-mini-masplay-_JM,NA,NA,NA,NA,NA,#434654884,173 g,NA,NA,NA,NA,NA,NA,NA
23, Parlante Potente Bluetooth Recargable / Usb / Sd / Radio ,54,NA,"
			
				Nuevo
			
			
				
					 - 
				
				23
				vendidos
			
		",(76 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/SPORTECH+BALHER,https://articulo.mercadolibre.com.pe/MPE-431706450-parlante-potente-bluetooth-recargable-usb-sd-radio-_JM,NA,NA,NA,NA,NA,#431706450,NA,NA,NA,NA,NA,NA,USB,NA
24, Parlante Sony Bluetooth Extra Bass Ip67 Acuatico Xb12 ,189,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(11 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434444306-parlante-sony-bluetooth-extra-bass-ip67-acuatico-xb12-_JM,NA,NA,NA,NA,NA,#434444306,NA,Como,Sony,XB12,Portatil,NA,NA,NA
25, Jbl Xtreme 2 Parlante Acuatico Bluetooth Portatil By Harman ,999,1800,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(8 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-435224647-jbl-xtreme-2-parlante-acuatico-bluetooth-portatil-by-harman-_JM,NA,NA,NA,NA,NA,#435224647,NA,NA,NA,NA,NA,NA,NA,NA
26, Oferta! Pk08 Parlante Karaoke Bluetooth Radio Fm 8 Pulgadas ,169,NA,"
			
				Nuevo
			
			
				
					 - 
				
				19
				vendidos
			
		",(92 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,2,http://perfil.mercadolibre.com.pe/VELBRO+PERU,https://articulo.mercadolibre.com.pe/MPE-433317574-oferta-pk08-parlante-karaoke-bluetooth-radio-fm-8-pulgadas-_JM,NA,NA,NA,NA,NA,#433317574,NA,NA,NA,NA,NA,NA,Auxiliar,NA
27, Jbl Charge 3 20w Parlante Bluetooth Acuatico Original ,529,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",(994 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/IMANIA.PERU,https://articulo.mercadolibre.com.pe/MPE-429572439-jbl-charge-3-20w-parlante-bluetooth-acuatico-original-_JM,NA,NA,NA,NA,NA,#429572439,800 g,NA,JBL,Charge 3,NA,20 W,NA,Pasivo
28, P Parlante Bluetooth Logitech Ue Megaboom 3 Ip67 ,649,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(1 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/INTECGLOBALPERU,https://articulo.mercadolibre.com.pe/MPE-435567205-p-parlante-bluetooth-logitech-ue-megaboom-3-ip67-_JM,NA,NA,NA,NA,NA,#435567205,925 g,NA,Logitech,NA,NA,NA,NA,NA
29, Parlante 2.1 Cybertel Para Pc Newton - Cyb S1000bt - Negro ,69,NA,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/OSWALDO+VALVERDE,https://articulo.mercadolibre.com.pe/MPE-433420666-parlante-21-cybertel-para-pc-newton-cyb-s1000bt-negro-_JM,NA,NA,NA,NA,NA,#433420666,NA,NA,NA,NA,NA,NA,NA,NA
30," Google Home Hub Pantalla Inteligente, 7 Touch Nuevo/ Sellado ",419,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(91 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JAPIMPORTA,https://articulo.mercadolibre.com.pe/MPE-436387375-google-home-hub-pantalla-inteligente-7-touch-nuevo-sellado-_JM,NA,NA,NA,NA,NA,#436387375,NA,NA,NA,NA,NA,NA,NA,NA
31, Parlante Jbl Charge 4 Acuatico 30w Bluetooth Portatil Harman ,559,659,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(8 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-436114782-parlante-jbl-charge-4-acuatico-30w-bluetooth-portatil-harman-_JM,NA,NA,NA,NA,NA,#436114782,NA,NA,JBL,Charge 4,Portatil,30 W,NA,Activo
32, Parlante Tronsmart T6 Plus Bluetooth 40w + Estuche ,340,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(9 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ANDREUS+STORE,https://articulo.mercadolibre.com.pe/MPE-436941118-parlante-tronsmart-t6-plus-bluetooth-40w-estuche-_JM,NA,NA,NA,NA,NA,#436941118,NA,NA,NA,NA,NA,40 W,NA,NA
33, Parlante Bluetooth Radio Usb Halion 8w Manos Libres ,49,NA,"
			
				Nuevo
			
			
				
					 - 
				
				16
				vendidos
			
		",(5 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/OSWALDO+VALVERDE,https://articulo.mercadolibre.com.pe/MPE-432544632-parlante-bluetooth-radio-usb-halion-8w-manos-libres-_JM,NA,NA,NA,NA,NA,#432544632,NA,Negro,Halion,HA-S35,Super tweeter,30 W,Auxiliar,Pasivo
34, Parlante True Wireless Soundcore Motion B ,139,199,"
			
			
				
				17
				vendidos
			
		",(5 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,3,http://perfil.mercadolibre.com.pe/ANKER+PERU?brandId=144,https://articulo.mercadolibre.com.pe/MPE-434836116-parlante-true-wireless-soundcore-motion-b-_JM,3,0,0,0,0,#434836116,400 g,NA,NA,NA,NA,NA,NA,NA
35, Amazon Echo Dot 3ra Gen Altavoz Alexa Nuevo Y Sellado ,180,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(4 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/EDISEL.TS,https://articulo.mercadolibre.com.pe/MPE-436628951-amazon-echo-dot-3ra-gen-altavoz-alexa-nuevo-y-sellado-_JM,NA,NA,NA,NA,NA,#436628951,300 g,Gris oscuro,Amazon,NA,NA,NA,NA,NA
36, Parlante Jbl Charge 4 Bt 100% Original 20horas 30w Acuático ,535,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(17 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NO2125288,https://articulo.mercadolibre.com.pe/MPE-436598987-parlante-jbl-charge-4-bt-100-original-20horas-30w-acuatico-_JM,NA,NA,NA,NA,NA,#436598987,NA,NA,JBL,Charge 4,NA,30 W,NA,Activo
37, Parlante Bluetooth Jbl Boombox 60w Mejor Portátil Del Mundo ,1569,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(50 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/OSCARENRIQUECASTILLOFALCON,https://articulo.mercadolibre.com.pe/MPE-432426065-parlante-bluetooth-jbl-boombox-60w-mejor-portatil-del-mundo-_JM,NA,NA,NA,NA,NA,#432426065,NA,NA,JBL,Boombox,NA,60 W,NA,Activo
38, Parlante Portatil Altavoz Bluetooth Charge Mini ,39,NA,"
			
				Nuevo
			
			
				
					 - 
				
				15
				vendidos
			
		",(185 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.0,2,http://perfil.mercadolibre.com.pe/PRECIO.PE,https://articulo.mercadolibre.com.pe/MPE-429000664-parlante-portatil-altavoz-bluetooth-charge-mini-_JM,NA,NA,NA,NA,NA,#429000664,2 kg,Fiesta,NA,NA,NA,NA,NA,NA
39, Parlante Bluetooth Jbl Flip 4 16w Original Acuatico ,349,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/IMANIA.PERU,https://articulo.mercadolibre.com.pe/MPE-432749458-parlante-bluetooth-jbl-flip-4-16w-original-acuatico-_JM,NA,NA,NA,NA,NA,#432749458,NA,NA,JBL,Flip 4,NA,NA,NA,NA
40, Google Home Asistente Parlante Bluetooth Español - Masplay ,489,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(997 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MASPLAY+PERU,https://articulo.mercadolibre.com.pe/MPE-435415850-google-home-asistente-parlante-bluetooth-espanol-masplay-_JM,NA,NA,NA,NA,NA,#435415850,NA,NA,NA,NA,NA,NA,NA,NA
41," Parlante Tronsmart Element Mega 40w,.bluetooth 4.2, Nfc ",215,NA,"
			
				Nuevo
			
			
				
					 - 
				
				11
				vendidos
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/FLOYDTEC.,https://articulo.mercadolibre.com.pe/MPE-421964989-parlante-tronsmart-element-mega-40wbluetooth-42-nfc-_JM,NA,NA,NA,NA,NA,#421964989,NA,NA,Tronsmart,Element Mega,Bluetooth,40 W,NA,Activo
42, Jbl Charge 3 Parlante Bluetooth Acuatico Sumergible Portatil ,499,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(12 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-432339590-jbl-charge-3-parlante-bluetooth-acuatico-sumergible-portatil-_JM,NA,NA,NA,NA,NA,#432339590,NA,Como,JBL,Charge 3,NA,20 W,NA,Pasivo
43, Minicomponente Panasonic Bluetooth Sc-ua3pu-k 300w One Box ,469,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		","
		
			¡Último disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PERU_DE_SHOPPING,https://articulo.mercadolibre.com.pe/MPE-426399387-minicomponente-panasonic-bluetooth-sc-ua3pu-k-300w-one-box-_JM,NA,NA,NA,NA,NA,#426399387,NA,NA,Panasonic,NA,NA,NA,USB,NA
44, Autoradio Pioneer Dxt-s4069bt Bluetooth + 4 Parlante Pioneer ,569,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PERU_DE_SHOPPING,https://articulo.mercadolibre.com.pe/MPE-434645186-autoradio-pioneer-dxt-s4069bt-bluetooth-4-parlante-pioneer-_JM,NA,NA,NA,NA,NA,#434645186,NA,NA,NA,NA,NA,NA,NA,NA
45, Amazon Echo Dot 3ra Gen Español Alexa Tienda En San Isidro ,238,NA,"
			
				Nuevo
			
			
				
					 - 
				
				16
				vendidos
			
		",(11 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.0,1,http://perfil.mercadolibre.com.pe/DIGITALZ+PERU,https://articulo.mercadolibre.com.pe/MPE-434754150-amazon-echo-dot-3ra-gen-espanol-alexa-tienda-en-san-isidro-_JM,NA,NA,NA,NA,NA,#434754150,300 g,NA,Amazon,NA,NA,NA,NA,NA
46, Parlante Bluetooth 6000w Microfono Ruedas Klip Xtreme Kws920 ,999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PERU_DE_SHOPPING,https://articulo.mercadolibre.com.pe/MPE-431951347-parlante-bluetooth-6000w-microfono-ruedas-klip-xtreme-kws920-_JM,NA,NA,NA,NA,NA,#431951347,12.5 kg,NA,NA,NA,NA,NA,NA,NA
47, Bose Parlante Soundtouch 10 Serie Iii Bluetooth Wifi Blanco ,999,NA,"
			
			
				
				1
				vendido
			
		",(8 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/GWYICHANGYCIASATO?brandId=133,https://articulo.mercadolibre.com.pe/MPE-434071329-bose-parlante-soundtouch-10-serie-iii-bluetooth-wifi-blanco-_JM,NA,NA,NA,NA,NA,#434071329,NA,NA,Bose,SoundTouch,NA,NA,Auxiliar,Activo
