search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Peso,Color,Marca,Modelo,Tipos de parlante,Potencia de salida (RMS),Conectores de entrada,Tipos de filtros del parlante
1, Ue Megaboom 3 Night Black ,701,779,"
			
			
				
				3
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/IN5517657?brandId=142,https://articulo.mercadolibre.com.pe/MPE-435023877-ue-megaboom-3-night-black-_JM,NA,NA,NA,NA,NA,#435023877,925 g,NA,NA,NA,NA,NA,NA,NA
2, Parlante Tv Soundbar Infini Mini ,299,NA,"
			
			
				
				4
				vendidos
			
		","
		
			¡Último disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ANKER+PERU?brandId=144,https://articulo.mercadolibre.com.pe/MPE-434547085-parlante-tv-soundbar-infini-mini-_JM,NA,NA,NA,NA,NA,#434547085,1190 g,NA,NA,NA,NA,NA,NA,NA
3, Google Home Mini Asistente Virtual Por Voz Nuevo Y Sellado ,135,NA,"
			
				Nuevo
			
			
				
					 - 
				
				93
				vendidos
			
		",(98 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.7,10,http://perfil.mercadolibre.com.pe/JAPIMPORTA,https://articulo.mercadolibre.com.pe/MPE-431301132-google-home-mini-asistente-virtual-por-voz-nuevo-y-sellado-_JM,7,3,0,0,0,#431301132,NA,Tiza,NA,NA,NA,NA,NA,NA
4, Amazon Echo Dot 3ra Gen Altavoz Inteligente Alexa Sellado ,209,NA,"
			
				Nuevo
			
			
				
					 - 
				
				44
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,6,http://perfil.mercadolibre.com.pe/MIALIENSTORE,https://articulo.mercadolibre.com.pe/MPE-435227656-amazon-echo-dot-3ra-gen-altavoz-inteligente-alexa-sellado-_JM,5,1,0,0,0,#435227656,300 g,NA,Amazon,Echo  Dot 3era Gen,Wifi,NA,NA,NA
5, Samsung Soundbar 100w 2019 Barra De Sonido ,179,NA,"
			
				Nuevo
			
			
				
					 - 
				
				40
				vendidos
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,2,http://perfil.mercadolibre.com.pe/ELECTROFERTAS+SELLADAS,https://articulo.mercadolibre.com.pe/MPE-428636742-samsung-soundbar-100w-2019-barra-de-sonido-_JM,NA,NA,NA,NA,NA,#428636742,2 kg,NA,Samsung,HW-N300PE,NA,100 W,USB,NA
6, Google Home Mini Charcoal Smart Assistant No Chromecast ,133,NA,"
			
				Nuevo
			
			
				
					 - 
				
				31
				vendidos
			
		",(6 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,2,http://perfil.mercadolibre.com.pe/BESTOFFERSPERU,https://articulo.mercadolibre.com.pe/MPE-435158863-google-home-mini-charcoal-smart-assistant-no-chromecast-_JM,NA,NA,NA,NA,NA,#435158863,NA,"Charcoal, chalk",Google,home mini,"wifi, bluetooth, smart",NA,NA,NA
7, Mini Parlante Waterproof Mini Speaker Conexión Bluetooth ,19,NA,"
			
				Nuevo
			
			
				
					 - 
				
				31
				vendidos
			
		",(19 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BONOTECH.PE,https://articulo.mercadolibre.com.pe/MPE-435701030-mini-parlante-waterproof-mini-speaker-conexion-bluetooth-_JM,NA,NA,NA,NA,NA,#435701030,NA,NA,NA,NA,NA,NA,NA,NA
8, Jbl Flip 4 Parlante Bluetooth Portatil Acuatico Bass Colores ,339,369,"
			
				Nuevo
			
			
				
					 - 
				
				14
				vendidos
			
		",(28 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,9,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-432200042-jbl-flip-4-parlante-bluetooth-portatil-acuatico-bass-colores-_JM,7,2,0,0,0,#432200042,NA,Como,JBL,Flip 4,Woofer,20 W,NA,Activo
9, Jbl Go 2 Parlante Bluetooth Resistente Al Agua Tienda ,119,NA,"
			
				Nuevo
			
			
				
					 - 
				
				33
				vendidos
			
		",(100 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,14,http://perfil.mercadolibre.com.pe/IMANIA.PERU,https://articulo.mercadolibre.com.pe/MPE-428500548-jbl-go-2-parlante-bluetooth-resistente-al-agua-tienda-_JM,12,1,1,0,0,#428500548,NA,NA,JBL,GO 2,"Portátil, Resistente al Agua",3 W,NA,Activo
10, Parlante Sony Bluetooth Extra Bass Inalámbrico Xb31 (azul) ,399,NA,"
			
			
				
				11
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SONYPERUSRL?brandId=25,https://articulo.mercadolibre.com.pe/MPE-431904503-parlante-sony-bluetooth-extra-bass-inalambrico-xb31-azul-_JM,NA,NA,NA,NA,NA,#431904503,890 g,NA,Sony,NA,NA,NA,USB,NA
11, Parlante Bluetooth Jbl Flip 4 Sumergible Sellado / Tienda ,339,NA,"
			
				Nuevo
			
			
				
					 - 
				
				15
				vendidos
			
		",(42 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,9,http://perfil.mercadolibre.com.pe/OSCARENRIQUECASTILLOFALCON,https://articulo.mercadolibre.com.pe/MPE-429687772-parlante-bluetooth-jbl-flip-4-sumergible-sellado-tienda-_JM,7,2,0,0,0,#429687772,NA,NA,JBL,Flip 4,NA,16 W,NA,Activo
12, Jbl Flip 4 Parlante Bluetooth Original Acuático Tienda ,349,NA,"
			
				Nuevo
			
			
				
					 - 
				
				12
				vendidos
			
		",(993 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/IMANIA.PERU,https://articulo.mercadolibre.com.pe/MPE-429636474-jbl-flip-4-parlante-bluetooth-original-acuatico-tienda-_JM,NA,NA,NA,NA,NA,#429636474,NA,NA,JBL,Flip 4,NA,NA,NA,NA
13, Sony Parlante Bluetooth Extra Bass Ip67 Acuatico Xb12 ,189,NA,"
			
				Nuevo
			
			
				
					 - 
				
				18
				vendidos
			
		",(6 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434444301-sony-parlante-bluetooth-extra-bass-ip67-acuatico-xb12-_JM,NA,NA,NA,NA,NA,#434444301,NA,Como,Sony,XB12,Portatil,NA,NA,NA
