search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Modelo detalhado,Potência de saída (RMS),Tipos de filtros do alto-falante,Quantidade de alto-falantes,Sensibilidade de entrada,Largura,Altura,Formato do alto-falante,Linha,Tipos de alto-falante,Lugares de colocação,Configuração de canais,Conectores de entrada,Distorção,Peso,Modelo alfanumérico,Voltagem,Ambientes,Resposta máxima em frequência,Resposta mínima em frequência
1, Caixa Som Bluetooth Jbl Xtreme 2 40w Preta Jblxtreme2pto ,1039,NA,"
			
			
				
				98
				vendidos
			
		",(1775 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 8665
		
		 sem juros
		
	

	
		",65,NA,Envio para todo o país,NA,NA,4.7,88,https://perfil.mercadolivre.com.br/FASTSHOP+OFICIAL?brandId=942,https://produto.mercadolivre.com.br/MLB-1182693732-caixa-som-bluetooth-jbl-xtreme-2-40w-preta-jblxtreme2pto-_JM,69,14,2,1,2,#1182693732,JBL,Xtreme,JBLXTREMEBLKUS,40 W,Passivo,1,80 dB,136 mm,288 mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2, Caixa Som Jbl Party Box 300 Recarregável Jblpartybox300br ,1999,2699,"
			
			
				
				136
				vendidos
			
		",(14 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 16658
		
		 sem juros
		
	

	
		",58,NA,Envio para todo o país,NA,NA,4.9,22,https://perfil.mercadolivre.com.br/FASTSHOP+OFICIAL?brandId=942,https://produto.mercadolivre.com.br/MLB-1182690870-caixa-som-jbl-party-box-300-recarregavel-jblpartybox300br-_JM,20,2,0,0,0,#1182690870,JBL,PartyBox 300,NA,120 W,Ativo,NA,NA,412 mm,805 mm,Caixa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3, Caixa Som Amplificada Bluetooth Canhão 300w Mp3 Fm Usb Sd P2 ,54,NA,"
			
				Novo
			
			
				
					 - 
				
				2333
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 526
		
		 sem juros
		
	

	
		",26,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,311,https://perfil.mercadolivre.com.br/FIXEXPLODE,https://produto.mercadolivre.com.br/MLB-1154336658-caixa-som-amplificada-bluetooth-canho-300w-mp3-fm-usb-sd-p2-_JM,265,27,12,5,2,#1154336658,Grasep,D-P8,NA,10 W,Tweeter,NA,NA,NA,NA,Caixa,Caixa de Som,Tweeter,Portátil,Não,USB,0.5 %,700 g,NA,NA,NA,NA,NA
4, Caixa Som Bluetooth Amplificada Torre Mp3 Fm Usb Sd Pc 500w ,36,NA,"
			
				Novo
			
			
				
					 - 
				
				2738
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 684
		
		 sem juros
		
	

	
		",84,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,109,https://perfil.mercadolivre.com.br/TROPARDI+ELETRO,https://produto.mercadolivre.com.br/MLB-1175508663-caixa-som-bluetooth-amplificada-torre-mp3-fm-usb-sd-pc-500w-_JM,94,6,5,1,3,#1175508663,Grasep,Torre,Caixa de Som Torre de 2 Alto Falante,10 W, ,2,80 dB,NA,NA, ,Portátil,NA, , ,USB,NA,NA,GT--515BT,110V/220V (Bivolt),Externo,NA,NA
5, Caixinha Som Portátil Bluetooth Fm P2 Mp3 Cartão Pen Drive ,26,NA,"
			
				Novo
			
			
				
					 - 
				
				2428
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 589
		
		 sem juros
		
	

	
		",89,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,114,https://perfil.mercadolivre.com.br/TROPARDI+ELETRO,https://produto.mercadolivre.com.br/MLB-1175510231-caixinha-som-portatil-bluetooth-fm-p2-mp3-carto-pen-drive-_JM,101,9,3,1,0,#1175510231,Goldenultra,GT-356BT,NA,8 W, ,NA,NA,NA,NA, ,NA, , , ,"P2,Leitor SD, Usb, Auxiliar P2",NA,NA,NA,(Bivolt),NA,NA,NA
6, Caixinha Som Potente 80w Bluetooth Caixa Amplificada Mondial ,207,NA,"
			
				Novo
			
			
				
					 - 
				
				672
				vendidos
			
		",(34 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1732
		
		 sem juros
		
	

	
		",32,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,18,https://perfil.mercadolivre.com.br/ENCOMENDAMAIS-SP,https://produto.mercadolivre.com.br/MLB-1147417505-caixinha-som-potente-80w-bluetooth-caixa-amplificada-mondial-_JM,13,3,2,0,0,#1147417505,Mondial,MCO-07,NA,80 W,Subwoofer,NA,NA,NA,NA,Caixa,Thunder VII,Subwoofer,Alça para Transporte,Digial,NA,NA,NA,MCO-07,Bivolt,NA,NA,NA
7, Caixa De Som Speaker Google Home Mini Wifi Vitrine Portugues ,179,NA,"
			
				Novo
			
			
				
					 - 
				
				122
				vendidos
			
		",(1 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1492
		
		 sem juros
		
	

	
		",92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,5,https://perfil.mercadolivre.com.br/BRAZUCACOMERCIO,https://produto.mercadolivre.com.br/MLB-1207033113-caixa-de-som-speaker-google-home-mini-wifi-vitrine-portugues-_JM,4,0,0,0,1,#1207033113,Google,Google Home Mini,NA,3 W,NA,1,NA,NA,NA,Caixa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8, Caixa Som Charge 3 Mini Ent Usb Bluetooth Preto Verde Azul ,399,NA,"
			
				Novo
			
			
				
					 - 
				
				52
				vendidos
			
		",(3 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3325
		
		 sem juros
		
	

	
		",25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,55,https://perfil.mercadolivre.com.br/GGEELETRONICNET,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=9xjC18CDqZPtFgCOZcx1ra0DGjcQL8ddq%2FY8la%2FzC7Ad1NVavm5QOCPkpVsrme7myi7%2FsY%2FPdKlB3aboilibiSfTKdEqem7Kge1b7HvdQsTG%2BObGebx6SPkuDB%2F3pND1%2BTPzsbmLotQ%2FvPEv07jU1dRkh3AGhhHjp79TkfG7srSSkzAOT6njf6dH8dwrql1tHkJ6CIuQz%2B8noXYbqIfAmd%2BAqtaSCavXYRenEPwm2rdXq8zPNEmnkX8NnhJl3mJvuuhX0rpPKT9Y4Zt%2FLGfjs9Tp7fVu7HfBn0Bg%2BcnOGoxjEPd8U8K9PxQBi7WwGEwyxN9onVfFUQ%2FdHYo4MdNiDYouqTRVVF6n9c%2Bacbn2sENo2KkVKWd65sb%2BtHeEnVohtOzEwU%2BBOeIb3LsClM%2FUe6cHTpCalYGIxVwe3o3rVr456q2Dp1VcuL2CU1%2B3kSb9Ya4JAT47FZuV3jUNQg0Jn27%2FUvA57evX8NvPw6i0r8VOc4DNBQDtfeRMikAMenubQyXjPwn%2BMI26ISiufyFsBkat3csuU%2FXf%2FcOW2d7VLQk4s8vmVWDQxv9iON0aoKl3QCQiDwC%2F2Xkj5XHBqbuA4Fyc6w5UC1%2BrbZ5FSpGMZfVALKhh8wo55mwRQuHq4G3%2FibB2wtYrZOFMt9NQuuhZhf28L7stpLDczYunDQOPxLjx0G40vwfVM14gp42c3GF%2FOuPXR6aX7XfXDr2OvfInnGc8UR%2F2JYzOw%2B0Vvty4Dnw7Yzxf9DXSb01qFlkugj0q4dsqTaKrWlyvv5GRmfIHasvLXuLWUK%2FltzE3Pqkx0kn2MPizkLkJG%2FqTh1GAUR%2FR2vSCeUWIP9OziDklgwgOn8CkSRX1lv13MB93UtHD052XGOA6skBZUTv5BI17Q7ZTaJbn2uV%2Bbrir5tDqjjUJ6t%2BlbPOnDg5%2BNaxNm7zjBCkPoSokwjqFioplF8XVcn1ep9aefic5fEuJxeTwsOZd3%2BGNhBM98BWabHFvy2J%2F5U8bBaE6a%2FDlcdNqasZVKoOzkpTy4NAOrmISO4XZVbfKGQI62BMwmWwfMIRUetwEm%2Fz431lf1SghUJK8IofgUjTx1V1KVuEUuJ4UT56chjROzw285UqZd0K7VcNBsNI%2FRBjYD3%2B%2B6uoZISTX%2F2LEY1De8Rhb3JIRiG7p7g0RLL3jc%2FTezi4PXVLkZ1KJLsBUYnGAKs%2BbhjuaAJdxRWUaSznr71c1r%2BuUpui%2FH3vj1%2BH1Kqx1NHCAVx3SN2dXfseT5Kky%2BClvApbgdfQ6mj533jTsJinwS8GxMiAV1cWKz88E0UP9q9vsouglXcsw4AIKIwAvM27rSdQ3VRim9uazgms7uPR1AwFkdevXqhZFtVyH5psUyhWmJXksD64DZLUU9kt7qNK%2FhYU570biFShQoMZw7%2Fe%2Fn%2BeEnjklCCYKPTJCEPhDm4SjI989EdPWCYCwRYY%2Fz%2BejlZ%2F8LjgC6fMTJLvo1Dm82auexQ9tbvnGRDINwT5MSehS9gjvSHLyxKSyqZrk%2FS6azz0sAbDygFeWYGQGmOyneJsXJ9FeBBERUpBCUb1KJ15wf7tJ1NdtHDvuxcHIfS%2BySLonfN%2FDNqJqqS1Pai9U9PqU8ovelIGXuJlnbvnwqh9ievfnW6lgqWmvQSv%2FU2Tq1tR6kMYTQ%2B%2Bf4Rg%3D,32,14,3,1,5,#984989371,Grasep,D-BH3202,NA,100 W,DINAMICO,NA,NA,26 cm,53.5 cm,DINAMICO,NA,dinamico,FRENTE,100watts,USB,NA,5.45 kg,NA,NA,NA,NA,NA
9, Caixa Som Bluetooth Amplificada 65w Rms Mp3 Fm Usb Microfone ,179,NA,"
			
				Novo
			
			
				
					 - 
				
				882
				vendidos
			
		",(16 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1720
		
		 sem juros
		
	

	
		",20,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,86,https://perfil.mercadolivre.com.br/NETUNO.WEB,https://produto.mercadolivre.com.br/MLB-998492307-caixa-som-bluetooth-amplificada-65w-rms-mp3-fm-usb-microfone-_JM,58,17,4,2,5,#998492307,Briwax,FBX-105,NA,65 W,Ativo/Passivo,NA,NA,NA,NA,Caixa,Premium+,Woofer,De piso,5.1,"Pendrive, Microfone, MicroSD, P2, Auxiliar, P10",1 %,NA,NA,NA,Interno,NA,NA
10, Caixa De Som Jbl Boombox Bluetooth Preto Original Full ,1848,NA,"
			
				Novo
			
			
				
					 - 
				
				156
				vendidos
			
		",(9 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 15408
		
		 sem juros
		
	

	
		",08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,91,https://perfil.mercadolivre.com.br/STOCKCARNET,https://produto.mercadolivre.com.br/MLB-986918342-caixa-de-som-jbl-boombox-bluetooth-preto-original-full-_JM,80,5,1,2,3,#986918342,JBL,Boombox,JBLBOOMBOXBLKAM,60 W,Subwoofer,NA,NA,NA,NA,Caixa,caixas portatil,Subwoofer,De piso,5.1,NA,NA,NA,NA,Bivolt,NA,NA,NA
