search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Modelo detalhado,Potência de saída (RMS),Tipos de filtros do alto-falante,Quantidade de alto-falantes,Sensibilidade de entrada,Largura,Altura,Formato do alto-falante,Linha,Tipos de alto-falante,Lugares de colocação,Configuração de canais,Conectores de entrada,Distorção,Peso,Modelo alfanumérico,Voltagem,Ambientes,Resposta máxima em frequência,Resposta mínima em frequência
11, Caixa Som Bluetooth Amplificada Torre Mp3 Fm Usb Sd Pc 500w ,39,43,"
			
				Novo
			
			
				
					 - 
				
				4062
				vendidos
			
		",(6 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 732
		
		 sem juros
		
	

	
		",32,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,156,https://perfil.mercadolivre.com.br/FIXEXPLODE,https://produto.mercadolivre.com.br/MLB-1154024173-caixa-som-bluetooth-amplificada-torre-mp3-fm-usb-sd-pc-500w-_JM,125,15,11,1,4,#1154024173,Goldenultra,Torre,NA,10 W,Subwoofer,NA,NA,NA,NA,Torre,Caixa de Som,Subwoofer,Portátil,5.1,USB,NA,NA,NA,NA,NA,NA,NA
12, Caixa De Som Amplificada Portátil Bateria Bluetooth Usb 500w ,164,NA,"
			
				Novo
			
			
				
					 - 
				
				2739
				vendidos
			
		",(238 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1573
		
		 sem juros
		
	

	
		",73,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,66,https://perfil.mercadolivre.com.br/A7NOVIDADES,https://produto.mercadolivre.com.br/MLB-1089428322-caixa-de-som-amplificada-portatil-bateria-bluetooth-usb-500w-_JM,41,14,5,4,2,#1089428322,exbom,VC-M874BT,NA,12 W,Woofer,NA,NA,NA,NA,Torre,NA,Woofer,"Sala, Quarto, Festas, Eventos, Sítio, Praia",5.1,Entrada para Microfone,0.3 %,NA,NA,Bivolt,NA,NA,NA
13, Caixa Som Amplificada Bluetooth Canhão 1000w Pmpo Fm Usb Mp3 ,239,NA,"
			
				Novo
			
			
				
					 - 
				
				152
				vendidos
			
		",(22 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2000
		
		 sem juros
		
	

	
		",00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,3,https://perfil.mercadolivre.com.br/LOJA10.ML,https://produto.mercadolivre.com.br/MLB-1144098832-caixa-som-amplificada-bluetooth-canho-1000w-pmpo-fm-usb-mp3-_JM,3,0,0,0,0,#1144098832,Briwx,FBX-106,NA,40 W,Ativo,2,NA,NA,NA,NA,Portátil,NA,NA,NA,Entrada para Microfone,NA,2.4 kg,NA,110V/220V (Bivolt),Interno,18 kHz,80 Hz
14, Caixa Caixinha De Som Portátil Bluetooth Exbom M33bt Mp3 Fm ,54,NA,"
			
				Novo
			
			
				
					 - 
				
				70
				vendidos
			
		",(893 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 550
		
		 sem juros
		
	

	
		",50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CAROLINAVENTURINELLI,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=DD6aiv65NiaC%2F2h7LjQv68R9JnUWPsb81rYQ4fQOnHmVThjJGFYv5bmM8seef1qXqcZAy4ZnM3DFELVsdZpn5MnBzp45Kt17NpNM%2FnfC9eJQdm8U6ElPdo4Tm0HiGdxk9pOhPE%2FRJl8%2F%2Fap7yf6S1A7QtcVbhyfBA30%2FfF%2BdbERk7rsgyr%2FvGACjIXDb%2FB1MxGR6UadDepiGPIpzV5iu0%2FgNYlykNbP7T8Sj36m%2Fl58wWYVnEtHnzeSuO7LsNQo2TaaAMY3uxdAedBHKHGxWXlSYUkzNB8TrDZbGTYUzMOdoaScmyuuppuAItoM1fTlh4b9CrO2oPsOGx3E7piEx07Xl7h97q3dvbtrPaHKTQRLBpiNDDrMAydfrDI7izcYBvQaRuSRknN3bLI6W4h6VsQl0Ig3FAGisTMoalYsEgmwAWnlM9yAZo5tanarTOFuEMNuKWn8%2BRu64WPJGD%2F1Gf6Uh%2BCDs1mdS5n%2B6DknpDk74moocM2zRg7eb89d9kONKENAZTHB3dG9kBIWowrcKAAD%2FN5Tk%2F84GU%2B%2FNgxewE2DOTpGr15I6sXT145Nro%2B%2BuhxuZbiNVLG8Vpv26b0uSVlb%2F076LLkAoL%2B1mIfxbxCo0g95MxKhTDpAuTuqDBIswpQjvWoAVO4s4ENS4ciHmfPQ1vTMNCJvkDcfEKZ2feEMQYe0lVgvZSlXXPX2OR2nphE949oo%2B%2FxIMOHjvlH4xR%2BR6akHJNN6HfElk2pmL0icFLCdRVWiWo4HtIAqCmz3b4oOwCStDBMbUxbXaeNbNK9kQWJ8AJ4BwqDeGmGfwvKBYYavxFC9X23FDxCjIYowMh88XYyobJf%2FI2I%2F0KmhtpKXh%2B0hT5nCG35y0fxNDYEShmx0dw4DZjVgUf2NEVLrWcNv6N6UUJzgKQEl8gE48wWzpCtxuFFfed2RZ9lyNW%2B8siKzNtseyYYPMBTVi%2Flgf%2BMi07lkOFnAKHECop4uySrOvQt2QOXk3LGawXbYokH4Bh2Lw%2FE9RLlzPmKrZK4kNyODUwgmBFlEYw%2BEqtD4Mr%2Fjf%2BTkIeAiMfdE1KRFSRJOWdPzfwqJ7zeM71Qz5q3r%2F2ibzFVKBmm2O%2Fargt%2BpOHtXUSP9IBb3nr9I7it0B6d7FKVUh3ZYEg7hm4HGwb6UR6WpBuwmBFofJkMfrdAX9mZrW1svP6TtE21Q%2FN9CrpUXsYEjP24RRMXmbRh%2Fj6P7FDzrtNn%2BnZG1%2FfycRH3MWzEKPEh0zZb8i%2F9ZX8AZ8yrSrrcc1eaCl4TYsAZ8fLfkq0UBKP8xyq10w425JNse%2Fy7dHZk4X8jlbhsHushf89m92y5xjhxCUCtc%2B4RYaF5dSslO0IG0Tti0Lrn9r%2Bgu28aJJ%2BbXlK08FyDW%2Bdn19LUwaou5KEhkGOf%2Bwf0cKYTMGQhCfE8SVvvjD6Vdb%2BI12dqY9xeDxcprq7913X8ZzHNXgorbQ438uBH7BTK1fhAq587jwr5ahK377zDb4ZyH2n9H9cRkFA%2FGVvDmYW8NnD%2BuTB6Uv3FSnoUICW7DFcv0DAZbYRMGnZnLFAn0LNJlGK1hH43L0xGGGFTmI3SY5GZ0KF0rjIHNmbGabE8AlXuoqH6rjxvJDWKpin6VFqyTLpfX0Uawll%2Bxy2ONWjFazaf5Pz%2BWZtSaotwn6MOUUA5OcWg%3D%3D,NA,NA,NA,NA,NA,#1226691710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15, Caixa De Som Amplificada Bluetooth 100w Rms Microfone Fm Sd ,289,NA,"
			
				Novo
			
			
				
					 - 
				
				235
				vendidos
			
		",(25 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2417
		
		 sem juros
		
	

	
		",17,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,12,https://perfil.mercadolivre.com.br/LOJA10.ML,https://produto.mercadolivre.com.br/MLB-1147070957-caixa-de-som-amplificada-bluetooth-100w-rms-microfone-fm-sd-_JM,8,4,0,0,0,#1147070957,XTrad,XDG-26,NA,100 W,Ativo/Passivo,4,85 dB,NA,NA,Caixa,Portátil,NA,NA,2.1,Auxilar P2. Bluetooth. Micro SD. USB. FM,NA,2.6 kg,NA,NA,Interno,NA,NA
16, Caixa De Som Speaker Google Home Wi-fi Voz De Vitrine ,449,NA,"
			
				Novo
			
			
				
					 - 
				
				85
				vendidos
			
		",(22 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3742
		
		 sem juros
		
	

	
		",42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,3,https://perfil.mercadolivre.com.br/CLICOU+TELECOM,https://produto.mercadolivre.com.br/MLB-1137988500-caixa-de-som-speaker-google-home-wi-fi-voz-de-vitrine-_JM,3,0,0,0,0,#1137988500,Google,Google Home,NA,3 W,Ativo/Passivo,1,NA,NA,NA,Caixa,NA,NA,NA,NA,NA,NA,1100 g,NA,NA,NA,NA,NA
17, Caixinha De Som Bluetooth Mini Speaker 3w ,49,NA,"
			
				Novo
			
			
				
					 - 
				
				509
				vendidos
			
		",(11974 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 833
		
		 sem juros
		
	

	
		",33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.3,7,https://perfil.mercadolivre.com.br/FLORESTA+ELETRONICO,https://produto.mercadolivre.com.br/MLB-1007384235-caixinha-de-som-bluetooth-mini-speaker-3w-_JM,3,1,0,1,2,#1007384235,SEM,mini,NA,3 W,Mini tweeter,1,NA,NA,NA,Caixa,NA,NA,De piso,2.1,NA,NA,NA,NA,5V,NA,NA,NA
18, Caixa Som Bluetooth Churrasco Festa 500w Rms Amvox ,749,NA,"
			
				Novo
			
			
				
					 - 
				
				143
				vendidos
			
		",(47 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 7168
		
		 sem juros
		
	

	
		",68,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,135,https://perfil.mercadolivre.com.br/SANBOX-BR,https://produto.mercadolivre.com.br/MLB-1166296703-caixa-som-bluetooth-churrasco-festa-500w-rms-amvox-_JM,96,23,10,3,3,#1166296703,AMVOX,ACA 501,NA,500 W,Ativo,NA,NA,NA,NA,Caixa,Caixa amplificada Bluetooth,NA,NA,NA,P2,NA,NA,NA,110/220 V,NA,NA,NA
19, Caixa Som Jbl Charge 3 100% Original Lacrada Nota ,549,NA,"
			
				Novo
			
			
				
					 - 
				
				159
				vendidos
			
		",(122 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 5247
		
		 sem juros
		
	

	
		",47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,2288,https://perfil.mercadolivre.com.br/MW-DISTRIBUIDORA,https://produto.mercadolivre.com.br/MLB-1204607628-caixa-som-jbl-charge-3-100-original-lacrada-nota-_JM,1717,318,131,50,72,#1204607628,JBL,Charge 3,NA,20 W,Passivo,2,80 dB,NA,NA,Caixa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 kHz,65 Hz
20, Caixa De Som Portátil Trc 512 Bluetooth 150w Iluminação Led ,58,NA,"
			
				Novo
			
			
				
					 - 
				
				158
				vendidos
			
		",(93 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 564
		
		 sem juros
		
	

	
		",64,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,21,https://perfil.mercadolivre.com.br/BREVISTORE,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=B7AsBwBKsXIa1efNejLgeeKzsimPcvLSD9V%2Fu8KAiE2n%2Bn6Pq3OhwMf6CWFaYYP8ov6YVtIcDOsTiJepHVoterg7fDczTzPoiy1yBZgxiZdL9jh%2Fn5qbQvCZlJnwcXRqDMYzmKk0dCS%2F%2BN0qDDrhNh3wUdOo20%2BDI0O4UAr9L8Y3NeC2v3MlTOsAOcHT5Aa7GTYBrOvHs2J%2BqDFVvJjpj6GZpWlFwTTOoC10EeCO%2Bhiq8jtQo3g6dTvrpBuvj07a2L%2FEqR7zh7oSR96TplGD5VUPzqpre%2BgiHTBC6aKaeH2PVdZv9AbFy%2BXGDSikP0hDhlfBMBxyoti7quK4hwV7jlz1I5E%2BLIA92CqUDkcLEJgqlHK0Dp9Ssvu4v1R9KZf9aXy5ggfbg1Nm1D%2FC%2BHpTpq%2BDW2zvqnUuoBpKzaR3hfphYeE0CX%2BdzYK%2FDYMRlvf7EEQF4XleOdpH61IYANqohE04JDp6KuD6wmUqTTMKishvSg%2BB49a8fCak0LsxbpbwL97q%2BMDSi%2Fgd2WshF6H6wCodFGu2eOkF8xz7quszvFWFVLu6LVJlOQD44i5y%2BYCGj1GINoR5Y46BK0niZKSXxdmaZ3xK7uQfrw94AfNpq6bmaFV9ORKLH1tdBQNUuJvutbmWQWkAfOFIGvAensPWbO9QLrogWu%2B%2Fb%2Fc9ItEBOjRLEDu4zvhJ62gAOMWHO2hLiypIMGWk3Ohma1v5Li4vKFSBbXsCaMjpxtEJMKkjxBJvApBAGVq8KUGTLL9vvTdkI08SB39NPRUYYLPIFrg8BgczlUG4Nisa4o%2BFr4iq9O4pV03lL2tb3QWVc6n6Fgrkx7S7F9BhWicAbsUHIzdff5Ttltk7AGnVpfaFFuPVpGLUSet1nhNxDGj5cdq%2BHks%2FyZ94bICjN8rr%2BcTt0ts%2FqOuKxV8JuMQ9JWlYeSztjINC9v4D%2FVTdBskOeyimVPSRBt4ACZFHgnhkbmlTiIgS4kiXgADk8QbNsX20KvUwjehlPBhFemlBay19OnchPZwYEWfsSg5KJGK088ZvblvfYRaeQwnKdySvZgfBgZnkLx8RcKsSQzjLsk80z%2FYq14rXy63Usm8XkdVZGJe2aH8%2B8qW2NrRR%2FJCbCQ4Hkk5mJbluuilUPeAIn9t%2B%2B7%2FM4kx2VAifeJShl%2BeWzZFZVwqLX9uSwjbjs12p2HRodrcld78kWf0q6PypA6sJ%2BOue14inkeYqqDcY4MWzd7pJ9bHkztNZJM2LwygqjjZWecxypWvmwbYvHQvCLOWD2Ycid%2Fa1ErQQFDgblQAB%2FHg5VEChIznWvct8G7booUsbifQ6P2zG8%2FHVqXcp70%2BWCvZ%2BYhGN8B%2FeQwepeoYyNHWmVSzMByY%2FojufN1%2FLSTy%2F5SUlbrfX1B74S2ZZ92sNc1vjlmCikqxtewRUUSezrYZvgWPQgxMxpX01mIgcpHp0b8NDBfrMu5NL3AJ8g63Xvs5ClCnX%2BLWpzOuEoHtYgiO1hwTzQtWh6j57ha2OpkY%2FXpHeOB7e86mjvXjaxy6ns7RZVYd8poPdk3c%2F8Uc5TdilJv8U%2B7Z6J3hB7bJPFfMsi8fm17u%2FXZUhNH51nqryUohJN3m40dNcDq2vXx9wU7sJRYssBlU27kkSd%2Fz27J0jaDuotA66QnbeY0m5xpiUJmXr8suR,13,5,3,0,0,#939772594,Exbom,CS-M33BT,NA,10 W,Ativo/Passivo,2,NA,NA,NA,Caixa,Bluetooth,Subwoofer,"Sala, Quarto, Cozinha, Praia, Sítio",1.1,"Bluetooth, P2 Auxiliar, USB Pendrive, SD Cartão",NA,NA,CS-M33BT,110/220v Bi-volt ou 5v USB,NA,20 kHz,85 Hz
21, Caixa Som Portátil Bluetooth Canhão Fm Mp3 Amplificada 4vias ,184,NA,"
			
				Novo
			
			
				
					 - 
				
				194
				vendidos
			
		",(965 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1541
		
		 sem juros
		
	

	
		",41,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,60,https://perfil.mercadolivre.com.br/TUDO+SOUND,https://produto.mercadolivre.com.br/MLB-1087408445-caixa-som-portatil-bluetooth-canho-fm-mp3-amplificada-4vias-_JM,37,13,6,1,3,#1087408445,Grasep,D-P4,NA,30 W,Ativo,NA,NA,NA,NA,NA,NA,NA,NA,NA,USB,NA,2.4 kg,NA,100V/220V (Bivolt),NA,NA,NA
22, Caixa De Som Bluetooth Receptor Caixinha Wireless Mp3 Usb ,66,NA,"
			
				Novo
			
			
				
					 - 
				
				397
				vendidos
			
		",(19 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 551
		
		 sem juros
		
	

	
		",51,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,18,https://perfil.mercadolivre.com.br/BRANCASHOP,https://produto.mercadolivre.com.br/MLB-925236669-caixa-de-som-bluetooth-receptor-caixinha-wireless-mp3-usb-_JM,15,3,0,0,0,#925236669,Yes,MS-144BT,Caixa De Som Portátil Bluetooth Amplificada,15 W,Redondo,1,NA,NA,NA,NA,Reader Speaker,NA,NA,NA,USB,0.5 %,NA,Caixa De Som Portátil Bluetooth Amplificada,Bivolt,Interno,NA,NA
