search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Lugares de colocación,Formato del parlante,Configuración de canales,Conectores de entrada,Peso,Tipos de parlante,Voltaje,Altura
206, Parlantes Bluetooth Kurbis Con Parlante Portatil De Regalo ,13998,NA,51,29,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,15,https://perfil.mercadolibre.com.ar/THONETANDVANDER?brandId=370,https://articulo.mercadolibre.com.ar/MLA-729088488-parlantes-bluetooth-kurbis-con-parlante-portatil-de-regalo-_JM,9,6,0,0,0,#729088488,Thonet & Vander,NA,Hoch BT,68 W,Parlante,Living,Caja,2.0,RCA,NA,NA,100VAC ? 240VAC,NA
207, Parlante Portatil Panacom Sp-3049f Luz 2.000w Bluetooth Fm ,2899,NA,75,10,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,68,https://perfil.mercadolibre.com.ar/OESTE+AUDIO_,https://articulo.mercadolibre.com.ar/MLA-736846488-parlante-portatil-panacom-sp-3049f-luz-2000w-bluetooth-fm-_JM,38,22,6,1,1,#736846488,Panacom,NA,sp-3049f,20 W,Portátil,todos,portatl,NA,Entrada para Micrófono,NA,Woofer,220W,NA
208, Bafle Activo 15 Jbl Eon 615 1000w Bluetooth 6 Cuo Mer Envio ,41199,NA,8,2,6 cuotas sin interés,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,36,https://perfil.mercadolibre.com.ar/RMS-ENLINEA,https://articulo.mercadolibre.com.ar/MLA-779889537-bafle-activo-15-jbl-eon-615-1000w-bluetooth-6-cuo-mer-envio-_JM,32,4,0,0,0,#779889537,JBL,EON600 Series,EON615,500 W,Activo,NA,NA,NA,NA,17.69 kg,NA,NA,NA
209, Bafle Bluetooth Panacom Sp 3049 Led Usb Aux Radio Fm 2000w ,2899,NA,117,4703,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,68,https://perfil.mercadolibre.com.ar/XHARDSRLXHARD,https://articulo.mercadolibre.com.ar/MLA-718733060-bafle-bluetooth-panacom-sp-3049-led-usb-aux-radio-fm-2000w-_JM,38,22,6,1,1,#718733060,Panacom,SKYLINE,SP 3049,2000 W,Woofer,INTERIOR/EXTERIOR,Columna,NA,"USB, BLUETOOTH, RADIO FM, AUXILIAR",NA,Woofer,NA,NA
210, Parlante Jbl Flip 4 Bluetooth iPhone Micro Usb Gtia Fact A B ,5609,NA,40,959,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,1875,https://perfil.mercadolibre.com.ar/RAPIDA_ENTREGA_,https://articulo.mercadolibre.com.ar/MLA-666045754-parlante-jbl-flip-4-bluetooth-iphone-micro-usb-gtia-fact-a-b-_JM,1597,238,29,6,5,#666045754,JBL,Flip Series,Flip 4,16 W,Altavoz,NA,NA,NA,NA,515 g,NA,NA,NA
211, Parlante Portatil Jbl Xtreme Bluetooth Original!! Sup:oferta ,15400,NA,125,6,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,164,https://perfil.mercadolibre.com.ar/POWER+STORE,https://articulo.mercadolibre.com.ar/MLA-708194532-parlante-portatil-jbl-xtreme-bluetooth-original-supoferta-_JM,129,23,6,0,6,#708194532,JBL,"NA",Xtreme,40 W,Bluetooth,N/A,Tubo,2,NA,NA,NA,N/A,NA
212, Parlante Bluetooth Portátil De Diseño Fm Usb + Envío Gratis ,1590,NA,88,986,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,3.6,7,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-717092026-parlante-bluetooth-portatil-de-diseno-fm-usb-envio-gratis-_JM,3,1,1,1,1,#717092026,Otras Marcas,ALIV,ALIV-02,10 W,Activo,NA,Caja Portátil,NA,"Bluetooth, USB, MicroSD, AUX",NA,Woofer,usb,NA
213, Parlante Logitech Ue Wonderboom Bluetooth Sumergible Colores ,3139,NA,107,5,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,80,https://perfil.mercadolibre.com.ar/DALECL%C3%8DCK,https://articulo.mercadolibre.com.ar/MLA-761281397-parlante-logitech-ue-wonderboom-bluetooth-sumergible-colores-_JM,70,7,3,0,0,#761281397,Logitech,Ultimate Ears,WONDERBOOM,8 W,Subwoofer,De piso,Columna,2.1,Auxiliar,425 g,Woofer,NA,NA
214, 2x1 Parlante Portatil Divoom Timebox Mini Super Oferta ,1669,1789,51,76,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,3.8,5,https://perfil.mercadolibre.com.ar/TIENDA+DELTA,https://articulo.mercadolibre.com.ar/MLA-670926832-2x1-parlante-portatil-divoom-timebox-mini-super-oferta-_JM,1,3,0,1,0,#670926832,Divoom,NA,Timebox-mini,5 W,NA,NA,Caja,NA,USB,292 g,NA,NA,NA
215, Parlante Portátil Bluetooth Karaoke Usb Sd Luces Led Con Mic ,2199,NA,49,87,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,24,https://perfil.mercadolibre.com.ar/AJAXGOLD,https://articulo.mercadolibre.com.ar/MLA-711794896-parlante-portatil-bluetooth-karaoke-usb-sd-luces-led-con-mic-_JM,18,5,0,1,0,#711794896,Kolke,NA,KPM 276,25 W,Portátil,NA,Caja,NA,USB,NA,NA,NA,NA
216, Parlante Karaoke Portátil Bluetooth Usb Sd Led + Microfono ,1899,NA,106,14,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,15,https://perfil.mercadolibre.com.ar/AJAXGOLD,https://articulo.mercadolibre.com.ar/MLA-711506042-parlante-karaoke-portatil-bluetooth-usb-sd-led-microfono-_JM,14,1,0,0,0,#711506042,Kolke,NA,Urban 127,30 W,Portátil,NA,Caja,NA,USB,NA,NA,NA,NA
217, Parlante Portátil Bluetooth Sony Srs-xb30 Inalámbrico Azul ,7499,NA,37,3,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,5,3,https://perfil.mercadolibre.com.ar/SONY+ARGENTINA?brandId=140,https://articulo.mercadolibre.com.ar/MLA-759209256-parlante-portatil-bluetooth-sony-srs-xb30-inalambrico-azul-_JM,3,0,0,0,0,#759209256,Sony,EXTRA BASS,SRS-XB30,30 W,Pasivo,NA,Parlante satélite,NA,USB,980 kg,"Rango completo, Estéreo, Inalámbrico","100 V a 240 V de CA, 50 Hz/60 Hz",8.2 cm
218, Parlante Karaoke 12 Pulgadas Bluetooth Led Fiesta + 2 Mics ,4199,NA,80,986,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.2,5,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-693352709-parlante-karaoke-12-pulgadas-bluetooth-led-fiesta-2-mics-_JM,3,0,2,0,0,#693352709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
