search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Tipos de filtros del parlante,Conectores de entrada,Peso,Potencia de salida (RMS)
11," Barra Sonido Bluetooth Led 10w Usb, Fm, Sd 40cm Pantalla ",49.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				73
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 4.158
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.4,5,https://perfil.mercadolibre.com.co/VENTASBOGOTAOFICIAL,https://articulo.mercadolibre.com.co/MCO-463493504-barra-sonido-bluetooth-led-10w-usb-fm-sd-40cm-pantalla-_JM,3,1,1,0,0,#463493504,NA,NA,NA,NA,NA,NA,NA
12, Parlante Altavoz Portatil Charge 3+/10w Fm Bluetooth Sd Usb ,69.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				124
				vendidos
			
		",(18 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.944
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,12,https://perfil.mercadolibre.com.co/TITAN+ELECTRONIC,https://articulo.mercadolibre.com.co/MCO-464734363-parlante-altavoz-portatil-charge-310w-fm-bluetooth-sd-usb-_JM,11,0,1,0,0,#464734363,NA,NA,NA,Activo,NA,NA,10 W
13, Barra Sonido Bocina 41 Cm Bluetooth Parlante 10w Usb Fm + Ob ,49.900,99.900,"
			
				Nuevo
			
			
				
					 - 
				
				66
				vendidos
			
		",(40 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.386
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/COLOMBIADECOMPRASTV,https://articulo.mercadolibre.com.co/MCO-466300063-barra-sonido-bocina-41-cm-bluetooth-parlante-10w-usb-fm-ob-_JM,NA,NA,NA,NA,NA,#466300063,NA,NA,NA,NA,NA,NA,NA
14, Parlante Portátil Sony Extra Bass Con Bluetooth -srs-xb31 ,335.930,479.900,"
			
			
				
				155
				vendidos
			
		",(9 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 9.331
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,36,https://perfil.mercadolibre.com.co/SONY+COLOMBIA?brandId=11,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=gEZp%2Bb%2BUZbM4g1dRhmGGswW8BYX%2Fh73KFBlmBgqXW0GABWOForq2kwCmRlCME2LBG80UZ2lodymO19A5izSjTmCz5FIITaZHQAmKUzfepP%2Fc4zD7y7SttMvetwKUXLbszQ5FcGyTfBreIFXl6RSSbox%2FE0x7HB7XXwQ9lrqyqRUzp2vIeLVub00Mjklm%2F3iL0POOhbsT0BK1lF1MBEsu1%2B4KIvLHBFKl%2BaoSYpNDS6Jwgya82RUPuh0cousown609p5G1Wfib5fHPa5IugO1CXWR2WQe6NQB9Z7y6SjfiIKnvpUohlyBnnW05KpsYurVH4CRdn9PRnAL%2BYHZ4V7iNAhqAFy7KTuWS5OkQUh%2FuSUvNE4%2FRXbfyyEUPVhOWcNy4v2CWKhftMqwg4MRAyFHTJxhiHUrXi%2FkhKfaUWzBEdGoLuYzDop5BsD0y7SNcc8XvDZdaMmIHds9C6AQi59gYLZ10j3rkhuBnihoSh%2FR1ELdPaz6enavtUkWbm8ALpQwqjeTMdNAPaGPnAlqrtdRRIn2U2itCfkrycpmLiBsBC9LrIpi6pWogDF1bNzxOxgRPlCHOfqqDTPOkkqy3Mz1lOVHa31ee0r%2FtfKls%2FfN6VaNpK2JRELR1F2KkS5Ou38t4kZ1aJciljF4fipwA5kwFz3bR%2B4hY7bjIFmOTYJ3xNfcccG7XhWEgRY3Ukgj%2BOYPJ1%2Fym9Ah955WwDjGPUkiWiMfZWiKN6pJL%2BW5ES44dWG2VmgreaQECl%2Bfg3Ytfj0U2vfWTGlBHjR3QjEMH1WjmWBKLX26hcTAyKA7j5vq0wWWD2Z8ZciaZx4mPd4K9KdG%2BaPwjzW%2BKwIKwwS%2FtDu75BWHl2TFaO5NioGL0uIKnC%2B3KIGH3ZdK0yHDNI5B3H5uDQBY1kyJ%2BNmLKKmBEJS8eF%2B3BeCvdYVrLLkdpi4MUiqdbir3MwY%2FOHik8tEaIzANPJ1J9Cqn%2BUsGbC%2BmPxlg%2Bql19MfnOugngKjHcnvq8rBqI4cjCENpGUKMNUpJzggL2lAj3MdKOlwGZDq6EhZPQ7pI85Ja%2FglIFnEmZrv2vGQEyWatdZS2pSWereg%2BhJxLw1OgqXInBNTD0j1T%2B3hLjAl0DLyE2O%2Fsm16zfCfW38N5r%2BpLiuAKpd21l5TqNAKocUmAHNmOivCFX%2Fjyi3nCZFMqgiHn8JyBVhjuvP3VzUO%2BliTnFO9cDGQYyaHRz81icSAUFLAhPC6DRz5pBEc2b%2FAMjW7g5N85jOMcXYwF1lA6dpkdfOZLAChSZsCMGcz1DRUZVSkP6wWnCP9zr1cpa5fPvv6eK1QVdSIQHDUfX8QYrI9gP8fiuuSgEc5dXtK6x6HUOZDsSRQOwbVFj91F8GgGjfODGlS3so8kxtb8DMD76EVda4OfQCDQqXyJhnROpi9EnzZ9BCfH1fg3dL7QjqwS6q4LbDB0o%2BMHt%2FaWhneL427wcZOQZBsBZ8OsVqnxdeFLYtyFgjkgORlNFYUCP%2BUJSUVlcw%3D%3D,32,2,1,1,0,#474791740,Sony,EXTRA BASS,SRS-XB31,Activo,USB,890 g,NA
15, Parlante Portable Jbl Flip 4 Negro Original Negro ,309.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				260
				vendidos
			
		",(5 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 8.608
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,60,https://perfil.mercadolibre.com.co/JL+LUJO,https://articulo.mercadolibre.com.co/MCO-459246938-parlante-portable-jbl-flip-4-negro-original-negro-_JM,56,4,0,0,0,#459246938,JBL,Flip Series,Flip 4,Activo,NA,NA,16 W
16, Cabina Sonivox 1455 De 400w Bluetooth Fm Microfono Karaoke ,157.800,NA,"
			
				Nuevo
			
			
				
					 - 
				
				61
				vendidos
			
		",(39 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 4.383
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,5.0,6,https://perfil.mercadolibre.com.co/ALI-BAG,https://articulo.mercadolibre.com.co/MCO-473630611-cabina-sonivox-1455-de-400w-bluetooth-fm-microfono-karaoke-_JM,6,0,0,0,0,#473630611,Sonivox,NA,NA,NA,NA,3.5 kg,NA
17, Micrófono Karaoke Q7 - Bluetooth Parlante Portatil + Estuch ,41.900,59.900,"
			
				Nuevo
			
			
				
					 - 
				
				578
				vendidos
			
		",(50 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.164
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.5,38,https://perfil.mercadolibre.com.co/ARTICULOSALTAGAMA,https://articulo.mercadolibre.com.co/MCO-455787971-microfono-karaoke-q7-bluetooth-parlante-portatil-estuch-_JM,26,8,2,0,2,#455787971,NA,NA,NA,NA,NA,NA,NA
18, Micrófono Karaoke Q7 - Bluetooth Parlante Portatil + Estuch ,41.900,59.900,"
			
				Nuevo
			
			
				
					 - 
				
				578
				vendidos
			
		",(50 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.164
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.5,38,https://perfil.mercadolibre.com.co/ARTICULOSALTAGAMA,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=ZVc2R1H7AIzzjp5ycAIJBiMJJAVEpfsIEBW6PCC0um1KcOXnHdbzdr%2BeWO1aHThUFAeLr1fPQLhPA5KSrv%2FBCWfS%2BHNZcToaCrvfqzJtu0Tpa6wrhlxKxk23BItD9E3ocn6srMXYODS3FB47iERkNGzv551%2FzkEsInNwKece5cFS1jeD7zk0fiIRElOQUkcDL%2F3FNDyhg2RhKa6acdCQTnBgbTOIoeeppUvCo4TNOh1kMNMpONv03E%2BRspg%2FC0up%2F5R%2BpRAn81mxWW4wNhXGMnoAQv7mxauG8SzkhEObwL1ROTx2s3BdCeiha64O%2FosXPVSsSJDFum94s6OD52r0WsiNtKLMlmqKinS2NbuEc%2F2pTvJazAeL3%2B%2BQN1GE%2FZ68uhwBeNshbkVbzwzaQJrbAuliHRQEWMSKaK2Fnmk6JIrbrZPfPSZOpGkTCGG%2FF5Yy2aRM43Dr3hJC%2FI0eVBTQKRupLaP8kQgQ6H6AIMqv0VHxxs467z2FzAqj6Layvd1DWzEiXUEFe92HDzSH063a8uvdSrw39Nldzwj8FQ5dE25z3GnvoYMgnjaw3uNMmRJMjYFrI3ePpj5xcy9VX92zw94vDByG1tKcX%2FlZLaCi534h1aQQWKSKn%2FtaCk4UzFyciUAP638r9t%2FzdUcPz7I%2BtsUz6wkEtVZ5h7GHZ3VJ16wgRKE8x5JZLGivitMOMHOvI0x6LGET6XRiAQsAewBETP%2Btr8ipu8qIWjA3xvPP3XiZh1TXi4rkcsbPJTVP%2BMRzkX6SUVCDDtJiEsDCVooTHR6cmR2iytlHIEMzPV2eXrQxc9V12ldIzEWSL9LVvV5tEZr0pCXZHCp3iAezlYGCYDgOVVTOk6t88M1bJDvDB111qa0DWPyh1NcgyEV7KbkWbEfUL%2F%2BmzjDW6qlkLfnDjZEliBJL1%2F9SAg611sTPJwn7PYufprQ5jdW7CeqgOREZyV%2FJfAfzW%2BkZ1kEgZGqz5%2BLTK6gci05L2WRJNr25%2ByCb72hov0Ppqf2nVJn%2BzGThFYggmzQ9vyJIwkAuqc4Ln154ThPF6yyMj%2BSTY7reorfBIT3LvEGBfrj1ZWK9XAkSyd1Go50EV9XWQDyJWcP2t6EKru0hDqiEfDaN0n%2BOxqXFNI2TUsbsW4g8IOWh%2FgGLGlte7krX%2Br1N1Dsgpy6mI6p%2FtWU%2FZYRmG0eqcj94ZsoxntLg96zaNTbE8h5jXOLtqSNpBTjm%2BlLD7nyvQiRvtbmpXEGt3x14mEUnSBqZoHf0M7ldqt5KnICP6v%2Fx6wyxzAr25SALwW09ul%2B28%2BTBc7rJMXnjYABlFhwRFv1bEBhXDQ8tlLPktIOV9KJNIjRJOqQE52R5Or60%2FAjhZe%2F8LfHzzDhDbouJls7709ITAefsgZC91STdUaHtLABDIZe7PAmHyPOR42pUIFMK%2BV4Lha8ZxALJWD4G5cmjzxXWHpshi8QqGVoxWFsTbvCyjfzaav650Vo0jZArg309rHjoL6P83qHY,26,8,2,0,2,#455787971,NA,NA,NA,NA,NA,NA,NA
19," Barra Sonido Bluetooth 40cm Parlante 12w, Usb, Sd ",59.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				169
				vendidos
			
		",(11 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 4.992
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.6,13,https://perfil.mercadolibre.com.co/COMPRASDE+VERDAD,https://articulo.mercadolibre.com.co/MCO-453077096-barra-sonido-bluetooth-40cm-parlante-12w-usb-sd-_JM,11,0,1,1,0,#453077096,NA,NA,NA,NA,NA,NA,NA
20, Parlante Para Bicicleta Con Bluetooth Linterna Power Bank ,60.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				65
				vendidos
			
		",(89 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.667
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.7,6,https://perfil.mercadolibre.com.co/ARTICULOSALTAGAMA,https://articulo.mercadolibre.com.co/MCO-460990959-parlante-para-bicicleta-con-bluetooth-linterna-power-bank-_JM,4,2,0,0,0,#460990959,Mymobile,NA,S1,NA,NA,NA,5 W
21, Parlante Portable Jbl Flip 4 12 Horas Sumergible Original ,309.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				118
				vendidos
			
		",(18 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 8.608
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,33,https://perfil.mercadolibre.com.co/JL+LUJO,https://articulo.mercadolibre.com.co/MCO-467204584-parlante-portable-jbl-flip-4-12-horas-sumergible-original-_JM,29,4,0,0,0,#467204584,JBL,NA,Flip 4,NA,NA,515 g,NA
22," Barra Sonido Bluetooth 40cm Pantalla Led 10w Usb, Fm, Sd + O ",59.900,99.900,"
			
				Nuevo
			
			
				
					 - 
				
				357
				vendidos
			
		",(60 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.664
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.6,64,https://perfil.mercadolibre.com.co/COLOMBIADECOMPRASTV,https://articulo.mercadolibre.com.co/MCO-445897812-barra-sonido-bluetooth-40cm-pantalla-led-10w-usb-fm-sd-o-_JM,47,11,4,2,0,#445897812,NA,NA,NA,NA,NA,NA,NA
23, Parlante Bluetooth Mini Speaker Carrito ,11.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				121
				vendidos
			
		",(27 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 917
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,3.7,3,https://perfil.mercadolibre.com.co/TITAN+ELECTRONIC,https://articulo.mercadolibre.com.co/MCO-452425686-parlante-bluetooth-mini-speaker-carrito-_JM,0,2,1,0,0,#452425686,speaker carrito,NA,NA,Pasivo,NA,NA,3 W
24," Logitech Z607, Altavoces 5.1 Sonido Envolvente Con Bluetooth ",299.900,349.900,"
			
			
				
				57
				vendidos
			
		",(10 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 8.331
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TIENDA.OFICIAL?brandId=151,https://articulo.mercadolibre.com.co/MCO-509252426-logitech-z607-altavoces-51-sonido-envolvente-con-bluetooth-_JM,NA,NA,NA,NA,NA,#509252426,Logitech,NA,NA,NA,RCA,NA,NA
25, Parlante Bluetooth 308 Radio Fm Micro Sd Usb Promoción ,29.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				292
				vendidos
			
		",(132 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.492
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.7,9,https://perfil.mercadolibre.com.co/ALI-BAG,https://articulo.mercadolibre.com.co/MCO-451708942-parlante-bluetooth-308-radio-fm-micro-sd-usb-promocion-_JM,7,1,1,0,0,#451708942,NA,NA,NA,NA,NA,NA,NA
26, Parlante Jbl Go Bluetooth Portatil ,85.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				130
				vendidos
			
		",(34 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.361
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,7,https://perfil.mercadolibre.com.co/ELECTROCOMPRASONLINE,https://articulo.mercadolibre.com.co/MCO-476961874-parlante-jbl-go-bluetooth-portatil-_JM,6,1,0,0,0,#476961874,JBL,NA,GO,Pasivo,NA,NA,3 W
27, Bafle Parlante Cabina De Musica Usb Bluetooth Portatil Envio ,54.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				46
				vendidos
			
		",(54 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 4.582
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,5.0,1,https://perfil.mercadolibre.com.co/TECNONOVEDADESCO,https://articulo.mercadolibre.com.co/MCO-481130845-bafle-parlante-cabina-de-musica-usb-bluetooth-portatil-envio-_JM,NA,NA,NA,NA,NA,#481130845,NA,NA,NA,NA,NA,NA,NA
28, Parlante Jbl Charge 4 Bluetooth Sumergible 100% Original ,467.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				47
				vendidos
			
		",(28 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 12.997
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,66,https://perfil.mercadolibre.com.co/JL+LUJO,https://articulo.mercadolibre.com.co/MCO-492301475-parlante-jbl-charge-4-bluetooth-sumergible-100-original-_JM,59,5,2,0,0,#492301475,JBL,NA,Charge 4,Activo,NA,2.13 lb,30 W
29," Cabina Sonido Bluetooth Portátil, Usb, Sd, Radio Fm + Obseq ",89.900,149.900,"
			
				Nuevo
			
			
				
					 - 
				
				39
				vendidos
			
		",(61 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.497
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/COLOMBIADECOMPRASTV,https://articulo.mercadolibre.com.co/MCO-474103710-cabina-sonido-bluetooth-portatil-usb-sd-radio-fm-obseq-_JM,NA,NA,NA,NA,NA,#474103710,NA,NA,NA,NA,NA,NA,NA
30, Cabina Parlante Portátil Recargable Bluetooth Usb Sd Fm ,133.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				100
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.719
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,14,https://perfil.mercadolibre.com.co/NYJTRADING,https://articulo.mercadolibre.com.co/MCO-469799043-cabina-parlante-portatil-recargable-bluetooth-usb-sd-fm-_JM,11,3,0,0,0,#469799043,NA,NA,NA,NA,NA,NA,NA
31, Parlante Jbl Xtreme 2 Bluetooth Sumergible Original Negro ,909.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				37
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 25.275
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,5.0,4,https://perfil.mercadolibre.com.co/JL+LUJO,https://articulo.mercadolibre.com.co/MCO-476474580-parlante-jbl-xtreme-2-bluetooth-sumergible-original-negro-_JM,4,0,0,0,0,#476474580,JBL,NA,Xtreme,Pasivo,NA,2393 g,40 W
32," Avantree Cyclone, Parlante Bluetooth Nfc Para Bicicleta Ipx4 ",139.900,NA,"
			
			
				
				21
				vendidos
			
		",(17 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.886
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,5.0,1,https://perfil.mercadolibre.com.co/TIENDA.OFICIAL?brandId=692,https://articulo.mercadolibre.com.co/MCO-508730175-avantree-cyclone-parlante-bluetooth-nfc-para-bicicleta-ipx4-_JM,NA,NA,NA,NA,NA,#508730175,Avantree,NA,Cyclone,NA,NA,NA,10 W
33, Parlante Jbl Charge 4 Bluetooth Sumergible 100% Original Az ,469.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				33
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 13.053
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,66,https://perfil.mercadolibre.com.co/JL+LUJO,https://articulo.mercadolibre.com.co/MCO-492298927-parlante-jbl-charge-4-bluetooth-sumergible-100-original-az-_JM,59,5,2,0,0,#492298927,JBL,NA,Charge 4,Activo,NA,2.13 lb,30 W
34, Parlante Bicicleta Bluetooth Linterna Radio Power Bank Andro ,59.999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				135
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.667
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.7,6,https://perfil.mercadolibre.com.co/MUNDOLINK1,https://articulo.mercadolibre.com.co/MCO-465052016-parlante-bicicleta-bluetooth-linterna-radio-power-bank-andro-_JM,5,0,1,0,0,#465052016,NA,NA,NA,NA,NA,NA,NA
