search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Tipos de filtros del parlante,Conectores de entrada,Peso,Potencia de salida (RMS)
1, Parlante Portátil Sony Extra Bass Con Bluetooth -srs-xb31 ,335.930,479.900,"
			
			
				
				155
				vendidos
			
		",(9 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 9.331
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,36,https://perfil.mercadolibre.com.co/SONY+COLOMBIA?brandId=11,https://articulo.mercadolibre.com.co/MCO-474791740-parlante-portatil-sony-extra-bass-con-bluetooth-srs-xb31-_JM,32,2,1,1,0,#474791740,Sony,EXTRA BASS,SRS-XB31,Activo,USB,890 g,NA
2, Parlante Radio Reloj Brightside Despertador - Alta Calidad ,75.900,NA,"
			
			
				
				47
				vendidos
			
		",(32 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 6.325
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,3.8,4,https://perfil.mercadolibre.com.co/INNOVATECHCOSAS?brandId=627,https://articulo.mercadolibre.com.co/MCO-507364129-parlante-radio-reloj-brightside-despertador-alta-calidad-_JM,2,1,0,0,1,#507364129,Brightiside,NA,BSSP-001,Activo,NA,NA,10 W
3, Parlante Bluetooth Resistente Al Agua Manos Libres Para Baño ,14.900,19.900,"
			
				Nuevo
			
			
				
					 - 
				
				1084
				vendidos
			
		",(60 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 414
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.3,53,https://perfil.mercadolibre.com.co/ARTICULOSALTAGAMA,https://articulo.mercadolibre.com.co/MCO-449583744-parlante-bluetooth-resistente-al-agua-manos-libres-para-bano-_JM,32,11,5,2,3,#449583744,NA,NA,NA,NA,NA,108 g,NA
4, Parlante Portable Jbl Go 2 Bluetooth A Prueba De Agua Go2 ,110.900,147.900,"
			
				Nuevo
			
			
				
					 - 
				
				561
				vendidos
			
		",(14 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.081
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,97,https://perfil.mercadolibre.com.co/DELLTHUS,https://articulo.mercadolibre.com.co/MCO-461389037-parlante-portable-jbl-go-2-bluetooth-a-prueba-de-agua-go2-_JM,90,5,0,2,0,#461389037,JBL,NA,JBL Go2,Activo,NA,184 g,3 W
5, Parlante Altavoz Bluetooth Radio Portatil Ms ,39.900,48.900,"
			
				Nuevo
			
			
				
					 - 
				
				173
				vendidos
			
		",(727 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 3.325
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.5,11,https://perfil.mercadolibre.com.co/BETHMARC,https://articulo.mercadolibre.com.co/MCO-455564403-parlante-altavoz-bluetooth-radio-portatil-ms-_JM,8,2,0,1,0,#455564403,NA,NA,NA,NA,NA,NA,NA
6, Parlante Bluetooth Cabina Activa Sonivox 8 Recargable Portat ,159.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				144
				vendidos
			
		",(18 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 13.325
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,4,https://perfil.mercadolibre.com.co/MUNDONOVEDAD.CO,https://articulo.mercadolibre.com.co/MCO-452765139-parlante-bluetooth-cabina-activa-sonivox-8-recargable-portat-_JM,3,1,0,0,0,#452765139,Sonivox,NA,VSSS2378,NA,Auxiliar,NA,NA
7, Parlante Jbl Charge 4 Bluetooth Sumergible 100% Original ,464.800,NA,"
			
				Nuevo
			
			
				
					 - 
				
				252
				vendidos
			
		",(92 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 12.911
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,66,https://perfil.mercadolibre.com.co/AEY+DISTRIBUCIONES,https://articulo.mercadolibre.com.co/MCO-459158831-parlante-jbl-charge-4-bluetooth-sumergible-100-original-_JM,59,5,2,0,0,#459158831,JBL,NA,Charge 4,Activo,NA,NA,30 W
8, Cabina Sonido Bluetooth 250 W + Micrófono + Control + Obseq ,179.900,299.900,"
			
				Nuevo
			
			
				
					 - 
				
				166
				vendidos
			
		",(58 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 4.997
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.3,10,https://perfil.mercadolibre.com.co/COLOMBIADECOMPRASTV,https://articulo.mercadolibre.com.co/MCO-494413843-cabina-sonido-bluetooth-250-w-microfono-control-obseq-_JM,6,2,1,1,0,#494413843,NA,NA,NA,NA,NA,NA,NA
9, Parlante Recargable Bluetooth Radio Fm Manos Libres + Obs ,17.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				189
				vendidos
			
		",(80 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.492
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.3,15,https://perfil.mercadolibre.com.co/MERCADO+CLICKS,https://articulo.mercadolibre.com.co/MCO-446590928-parlante-recargable-bluetooth-radio-fm-manos-libres-obs-_JM,11,1,1,1,1,#446590928,NA,NA,NA,NA,NA,NA,NA
10, Sistema De Sonido Logitech 5.1 Z607 Garantia 1 Año. ,277.700,NA,"
			
				Nuevo
			
			
				
					 - 
				
				192
				vendidos
			
		",(5 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 23.142
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,24,https://perfil.mercadolibre.com.co/EXPOCOLSUMINISTROSSAS,https://articulo.mercadolibre.com.co/MCO-495285483-sistema-de-sonido-logitech-51-z607-garantia-1-ano-_JM,20,2,1,1,0,#495285483,Logitech,NA,NA,NA,RCA,NA,NA
