search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Conectores de entrada,Voltaje,Lugares de colocación,Formato del parlante,Tipos de parlante,Peso,Configuración de canales,Línea,Altura
1, Megafono Bluetooth Mini Bocina Portatil Usbaltavoz Bs-559 /e ,129,NA,"
			
			
				
				1847
				vendidos
			
		",(11 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 717
		
		 sin intereses
		
	

	
		",17,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5.0,2,https://perfil.mercadolibre.com.mx/VENTRONIC_T.O?brandId=1714,https://articulo.mercadolibre.com.mx/MLM-569194544-megafono-bluetooth-mini-bocina-portatil-usbaltavoz-bs-559-e-_JM?searchVariation=29975771885,NA,NA,NA,NA,NA,#569194544,OEM,Megafono,3 W,Subwoofer,Entrada para Micrófono,NA,NA,NA,NA,NA,NA,NA,NA
2, Bafles Amplificados Bluetooth 8 Pulg Portatil Starsonic St80 ,617,"1,171","
			
			
				
				1302
				vendidos
			
		",(64 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 3428
		
		 sin intereses
		
	

	
		",28,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,119,https://perfil.mercadolibre.com.mx/VENTRONIC_T.O?brandId=1714,https://articulo.mercadolibre.com.mx/MLM-589904974-bafles-amplificados-bluetooth-8-pulg-portatil-starsonic-st80-_JM?searchVariation=21241457671,97,14,2,1,5,#589904974,Star Sonic,ST80,450 W,Subwoofer,Auxiliar,100v-240v 50Hz 0.5A,PISO / POSTE,BAFLE,NA,NA,NA,NA,NA
3, Bocina Contra Agua Bluetooth Recargable Waterprof Negro ,62,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1982
				vendidos
			
		",(452 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 350
		
		 sin intereses
		
	

	
		",50,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.2,9,https://perfil.mercadolibre.com.mx/TC+MEMORY.,https://articulo.mercadolibre.com.mx/MLM-665744228-bocina-contra-agua-bluetooth-recargable-waterprof-negro-_JM,4,3,2,0,0,#665744228,Genérico,Waterproof,3 W,NA,Auxiliar,NA,Portatil,NA,Tweeter,100 g,NA,NA,NA
4, Bafles Amplificados Bluetooth 8 Pulg Portatil 81 Star Sonic ,545,899,"
			
			
				
				4400
				vendidos
			
		",(253 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 3028
		
		 sin intereses
		
	

	
		",28,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,141,https://perfil.mercadolibre.com.mx/VENTRONIC_GDL?brandId=1714,https://articulo.mercadolibre.com.mx/MLM-593882819-bafles-amplificados-bluetooth-8-pulg-portatil-81-star-sonic-_JM?searchVariation=17434285683,99,34,4,3,1,#593882819,Link Bits,ST-81L,4500 W,Subwoofer,Auxiliar,NA,De piso,BAFLE,Subwoofer,NA,NA,NA,NA
5, Bocina Contra Agua Bluetooth Recargable Waterprof Rosa ,62,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1009
				vendidos
			
		",(555 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 350
		
		 sin intereses
		
	

	
		",50,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.0,6,https://perfil.mercadolibre.com.mx/TC+MEMORY.,https://articulo.mercadolibre.com.mx/MLM-665744227-bocina-contra-agua-bluetooth-recargable-waterprof-rosa-_JM,3,2,0,0,1,#665744227,Genérico,Waterproof,3 W,N/A,Auxiliar,NA,De pared,NA,Tweeter,100 g,NA,NA,NA
6, Bocina Charge 3 Mini Sd Aux Bluetooth+envió Gratis ,799,NA,"
			
			
				
				1016
				vendidos
			
		",(52 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 4439
		
		 sin intereses
		
	

	
		",39,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,73,https://perfil.mercadolibre.com.mx/VENTRONIC_T.O?brandId=359,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=aNgRWTHEoKAe%2B78swVG5Aqotwwl0myqhCkrSWVR7UzZOIyCRLFLDVupUkHmOvcjiZzvMtANGcZenbus98cD%2FSI3X2Y%2BLk24L8gQhuwAHjcgEyGG6KK%2BsFva%2FzmHACx7AYepdFKqEPIY%2BiLWuSHzs4axhyYj9VSVBPcE4gKcWnl3tddbJ9wgKnIcDt0O2TThpGuGK63gp39QZk0pZ9JAGbdrCYBwOanudkuYAW5P0TUM0KmPed3KX9nXW%2F%2BRwSpKmz332wahwFu3Ik%2BIICOaiAf7PD9a%2FIWcGmwrOLL%2BrwkG%2Fk5acW%2BChAshBkdNd1L0rhq7%2Bt58apYfOGWxlbhXp1v0RsnYX6ZatQoZgoWqb5qzK4UcIPCvL1UVRr2sf9rAaSPzsJ4L5h2MpmA7A6cB5y0kFfM3Nuk96nxm0VzCDP8J2Bb9cVFwo991sHfjwNYruZmBGRGx5s%2BePDwlC6WC%2BFcqoFAbiIwaFj3M%2FpwcBR1fSgh6jiiEBnIaWkGyYZewBf%2BDn6aC0akkq5N50%2BXWp5wJminF2CQDhHiOKMWsZF%2BaPKfG9%2BEMxKxBd0V5t0n7r9BxAEOf0hfUAYBqN4UYIT35zShM6proA8B8MOru3Lb7%2Bt3n788kU%2F7%2BSgpxgOXdy%2FuahuQDGtHKjt5WLHS5L9Y51T4cx8n%2FuRZAdU0Uyb5nEXMw%2BqZZ8KIaJa7ihzQFcNIHXHWHeayu7U3gj1yxVvSaTE34HfXQAdN9SivYL3MYaPB9EE2st0BP4vMgBtFptYUoon9HizN3k9DFkLnmFQhF60lMb47o3x2nIOxPZqYeb5jIDYHTOCFKF%2B9qZXs7bfsTRSO2KGTV0EQmUxh3Bmxdud2vsS%2BHzaGrGt7RhC8x6fhVTxMv1WaFrsLHf8b50q%2BEwNRL0bOOSigl2bbMbRfuoX8BUetxnz56lr%2BOOQPZj3%2FNMx%2BhhwjP1kuA9WSOiMI%2FAXD4LbSONPdJR1%2Fv8AASdi5DETlmIs43lvMX9%2FEJmv%2FBxfApnbxtsgd7Wmx68u0L%2B8bwG0Nd9%2BtrSL873ZTHn3nmUtfOC3Zood73T%2F40Rdcfjf8zwhmwgotjp3WCAhix%2BPQoKPL72N2w3%2FEgDq2E%2FuAbdjOZP0IFf08L%2FVVWyv5Hpa60dkAWxo5ShsOBj%2B0rQZuXb2t03WRcgY4e7I360PjbrdFmzkaeyJEi1QMgXYFEZp0tfkw74VCcZ%2Bkw7S%2FF6stmOv5Q0Z%2FC%2B5MBdfjBGDy%2FlTO%2FBwd%2FCnkQXoiP%2Bv5phM0PHwkwR4Ta0pXtZT5CQvpJS28A7ZrzYzyJLLbnSIPstMMqYUnByzzxh3wTXS%2Ba3%2FINMzkoJ7RmxMfVcW60mMHH413lMSodjj8j4d6gOf1zIsUvIcHFNRzflzKczXOJPz0apaJXmMlQpPIW7Ww3nf%2FFQEOGX3Yt63y8%2BchG0aMBr4ZwFdjTn%2BRO0P0AjPxbslxFRZIQV9%2FV1MViZlAR2juBQA9IVK%2B6iw6T2jXE1CXmhn%2BhxUjYUUxbwrVLOfhVGaWq89EKolaDT3mem6nI2z%2FGe4b2CAixhniu0BHzITd4FTZSLw3qriQK6tfXm8cm3shKc%2FV7n2ETc0h%2B8QQwqmCkhAt%2Fh%2Fmv5k9R7JSYaqu9FMa7ixSti%2FQJFyjTcp1WELOz%2BayhFPUxezs0uNCWDyI%2F77Py32UfIRYQIWGgAs%2Btu1%2Fv%2FpFwvhRdVddKNRrJ7PJIoUxkl0oNnWV8Oy596VJRBhTamTSdURLVOAk6E,61,12,0,0,0,#613533664,Vorago,KSP-300,30 W,Subwoofer,USB,NA,"De piso, Poste, De pared, De techo",Caja,Subwoofer,NA,1.1,NA,NA
7, Bocina Jbl Go 2 Bluetooth Metalica A Prueba De Agua ,349,NA,"
			
				Nuevo
			
			
				
					 - 
				
				934
				vendidos
			
		",(18 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1939
		
		 sin intereses
		
	

	
		",39,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,15,https://perfil.mercadolibre.com.mx/MALU8988452,https://articulo.mercadolibre.com.mx/MLM-648923855-bocina-charge-3-mini-sd-aux-bluetoothenvio-gratis-_JM,10,4,1,0,0,#648923855,Ridgiwey,BS-030,15 W,Subwoofer,NA,5W,Fij9,Bocina,Woofer,NA,No,NA,NA
8, Bafle 8 Pulgadas Amplificado Bluetooth Vorago Ksp-300 ,750,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2317
				vendidos
			
		",(54 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 4167
		
		 sin intereses
		
	

	
		",67,NA,Llega gratis mañana,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,435,https://perfil.mercadolibre.com.mx/COMPUPRICE,https://articulo.mercadolibre.com.mx/MLM-633129993-bocina-jbl-go-2-bluetooth-metalica-a-prueba-de-agua-_JM?searchVariation=33454705488,405,28,1,1,0,#633129993,JBL,GO 2,3 W,Super tweeter,NA,NA,"piso, repisa",Caja,Super tweeter,184 g,No,NA,NA
9, Mini Bocina Hongo Bluetooth Recargable ,115,128,"
			
				Nuevo
			
			
				
					 - 
				
				1883
				vendidos
			
		",(22 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 1138
		
		 sin intereses
		
	

	
		",38,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,28,https://perfil.mercadolibre.com.mx/GURUDELGADGET,https://articulo.mercadolibre.com.mx/MLM-631248089-mini-bocina-hongo-bluetooth-recargable-_JM?searchVariation=24953043605,23,3,1,1,0,#631248089,GDG,Mushroom,3 W,hongo,NA,5 volts,"telefono, mesa, vidrio, plastico",Caja,Tweeter,NA,ninguno,NA,NA
10, Bocina Recargable Bluetooth 6.5 Usb Fm Bafle 6000w Fussion ,599,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2095
				vendidos
			
		",(20 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 5918
		
		 sin intereses
		
	

	
		",18,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,148,https://perfil.mercadolibre.com.mx/ORIENTAL+FITNESS,https://articulo.mercadolibre.com.mx/MLM-594639543-bocina-recargable-bluetooth-65-usb-fm-bafle-6000w-fussion-_JM,113,27,3,2,3,#594639543,Fussion,PBS-9970,65 W,Subwoofer,NA,NA,NA,NA,NA,NA,NA,NA,NA
11, Bocina Jbl Flip 4 Bluetooth Contra Agua 12 Horas De Pila ,"1,999",NA,"
			
				Nuevo
			
			
				
					 - 
				
				1549
				vendidos
			
		",(55 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 11106
		
		 sin intereses
		
	

	
		",06,NA,Llega gratis mañana,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,293,https://perfil.mercadolibre.com.mx/COMPUPRICE,https://articulo.mercadolibre.com.mx/MLM-594508989-bocina-jbl-flip-4-bluetooth-contra-agua-12-horas-de-pila-_JM?searchVariation=17347763521,265,18,6,0,4,#594508989,JBL,Flip 4,16 W,Subwoofer,NA,NA,"Suelo, Repisa",portatil,Tweeter,NA,2.1,Flip Series,NA
