search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Peso,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante
231, Parlante Portátil Canyon Kpm168 Bluetooth Larga Duración ,39,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(99 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PORMAYOR.PE+S.A.,https://articulo.mercadolibre.com.pe/MPE-436923336-parlante-portatil-canyon-kpm168-bluetooth-larga-duracion-_JM,NA,NA,NA,NA,NA,#436923336,Kolke,NA,KPM168,10 W,Activo
232, Parlantes Bluetooth - Beats Pills+ ,550,NA,"
			
				Nuevo
			
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DOMIZI-MEDIA,https://articulo.mercadolibre.com.pe/MPE-436456987-parlantes-bluetooth-beats-pills-_JM,NA,NA,NA,NA,NA,#436456987,NA,NA,NA,NA,NA
233, Parlante Portatil Bluetooth Recargable 8 Pulgadas + Tripode ,289,NA,"
			
				Nuevo
			
			
				
					 - 
				
				13
				vendidos
			
		",(194 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,4.7,3,http://perfil.mercadolibre.com.pe/INNOVA+LEDS,https://articulo.mercadolibre.com.pe/MPE-423374989-parlante-portatil-bluetooth-recargable-8-pulgadas-tripode-_JM,2,1,0,0,0,#423374989,NA,NA,NA,NA,NA
234, Philips Parlante Bluetooth Inalambrico Portatil Recargable ,89,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434301995-philips-parlante-bluetooth-inalambrico-portatil-recargable-_JM,NA,NA,NA,NA,NA,#434301995,Philips,NA,NA,2 W,NA
235, Mini Parlante Bluetooth Con Luz Led S07u ,35,NA,"
			
				Nuevo
			
			
		",(50 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LA.CAJA.TECNOL%C3%93GICA,https://articulo.mercadolibre.com.pe/MPE-427016513-mini-parlante-bluetooth-con-luz-led-s07u-_JM,NA,NA,NA,NA,NA,#427016513,NA,NA,NA,NA,NA
236," Parlantes, Bluetooth, Para Ducha, Impermeable, Music ",20,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(49 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/EL+RINCONDELCOCO,https://articulo.mercadolibre.com.pe/MPE-432558851-parlantes-bluetooth-para-ducha-impermeable-music-_JM,NA,NA,NA,NA,NA,#432558851,NA,NA,NA,NA,NA
237, Parlante Bluetooth + Subwoofer De 30 Watts Karaoke ,80,NA,"
			
				Nuevo
			
			
		",(100 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CIBERVENTAS4000,https://articulo.mercadolibre.com.pe/MPE-436271959-parlante-bluetooth-subwoofer-de-30-watts-karaoke-_JM,NA,NA,NA,NA,NA,#436271959,NA,NA,NA,NA,NA
238, Parlante Bluetooh Venta Por Mayor Envio Provincia ,13,NA,"
			
				Nuevo
			
			
				
					 - 
				
				38
				vendidos
			
		",(24 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/REVOLLEDOJOSEANTONIO,https://articulo.mercadolibre.com.pe/MPE-424890297-parlante-bluetooh-venta-por-mayor-envio-provincia-_JM,NA,NA,NA,NA,NA,#424890297,NA,NA,NA,NA,NA
239," Microfono Parlante Inalambrico , Bluetooth Para Karaoke ",75,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		","
		
			¡Último disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SH975195,https://articulo.mercadolibre.com.pe/MPE-435584694-microfono-parlante-inalambrico-bluetooth-para-karaoke-_JM,NA,NA,NA,NA,NA,#435584694,NA,NA,NA,NA,NA
240, Parlante Bluetooth Halion + Subwoofer Usb 100 Watts Karaoke ,179,NA,"
			
				Nuevo
			
			
		",(100 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CORPORACI%C3%93N+NAHUILAU,https://articulo.mercadolibre.com.pe/MPE-429984182-parlante-bluetooth-halion-subwoofer-usb-100-watts-karaoke-_JM,NA,NA,NA,NA,NA,#429984182,NA,NA,NA,NA,NA
241, Parlante Sony Bluetooth Extra Bass Inalámbrico Xb21 (rojo) ,279,NA,"
			
			
				
				1
				vendido
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SONYPERUSRL?brandId=25,https://articulo.mercadolibre.com.pe/MPE-431904506-parlante-sony-bluetooth-extra-bass-inalambrico-xb21-rojo-_JM,NA,NA,NA,NA,NA,#431904506,Sony,530 g,NA,NA,NA
242, Foco Parlante Bluethooth ,50,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(40 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CRISPINMELENDREZHUAMAN,https://articulo.mercadolibre.com.pe/MPE-431430565-foco-parlante-bluethooth-_JM,NA,NA,NA,NA,NA,#431430565,NA,NA,NA,NA,NA
243, Parlante Mini Bluetooth - Remax Music Box ,70,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MYTECNOHOMES,https://articulo.mercadolibre.com.pe/MPE-435582851-parlante-mini-bluetooth-remax-music-box-_JM,NA,NA,NA,NA,NA,#435582851,NA,NA,NA,NA,NA
244, Bola Parlante Bluetooth Luces Audioritmicas Sicodelicas ,59,NA,"
			
				Nuevo
			
			
				
					 - 
				
				33
				vendidos
			
		",(967 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GRUPONATIC+TIENDA,https://articulo.mercadolibre.com.pe/MPE-419350890-bola-parlante-bluetooth-luces-audioritmicas-sicodelicas-_JM,NA,NA,NA,NA,NA,#419350890,NA,NA,NA,NA,NA
245, Parlante Bluetooth Meizu A20 Stereo Hd Envío Internacional! ,149,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(43 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PKIMPORTS+TIENDAVIRTUAL,https://articulo.mercadolibre.com.pe/MPE-435716442-parlante-bluetooth-meizu-a20-stereo-hd-envio-internacional-_JM,NA,NA,NA,NA,NA,#435716442,NA,NA,NA,NA,NA
246, Parlante Ewtto Bluetooth/usb/fm +control Remoto Y Microfono ,89,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MEGADEALSHOP,https://articulo.mercadolibre.com.pe/MPE-435949502-parlante-ewtto-bluetoothusbfm-control-remoto-y-microfono-_JM,NA,NA,NA,NA,NA,#435949502,NA,NA,NA,NA,NA
247, Parlantes Bluetooth Con Diseño Emoji - Logic Pro ,49,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		","
		
			¡Último disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/VENTAS_LOGICPROEIRL,https://articulo.mercadolibre.com.pe/MPE-433181733-parlantes-bluetooth-con-diseno-emoji-logic-pro-_JM,NA,NA,NA,NA,NA,#433181733,NA,NA,NA,NA,NA
248, Parlante Bluetooth Jbl Boombox 60w Mejor Portátil Del Mundo ,1589,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(51 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/OSCARENRIQUECASTILLOFALCON,https://articulo.mercadolibre.com.pe/MPE-432426065-parlante-bluetooth-jbl-boombox-60w-mejor-portatil-del-mundo-_JM,NA,NA,NA,NA,NA,#432426065,JBL,NA,Boombox,NA,Activo
249, Parlante Inalámbrico Portátil Bluetooth Aux Qcy B900 ,159,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ALITOS.STORE,https://articulo.mercadolibre.com.pe/MPE-433143707-parlante-inalambrico-portatil-bluetooth-aux-qcy-b900-_JM,NA,NA,NA,NA,NA,#433143707,NA,NA,NA,NA,NA
250, Parlante Bluetooth Con Microfono Incorporado Halion Ha-r34 ,115,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(48 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BLUE_PLANET+TECHNOLOGY,https://articulo.mercadolibre.com.pe/MPE-432270508-parlante-bluetooth-con-microfono-incorporado-halion-ha-r34-_JM,NA,NA,NA,NA,NA,#432270508,Halion,NA,NA,NA,NA
251, Foco Parlante Musical Led Multicolor Bluetooth ,45,NA,"
			
				Nuevo
			
			
		",(12 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FERROPOLIS+PER%C3%9A,https://articulo.mercadolibre.com.pe/MPE-436305766-foco-parlante-musical-led-multicolor-bluetooth-_JM,NA,NA,NA,NA,NA,#436305766,NA,NA,NA,NA,NA
252, Parlante Bluetooth Y Mochila Hp Ejecutiva Porta Laptop 15.6 ,199,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MARKET+ONLINE.COM,https://articulo.mercadolibre.com.pe/MPE-427298264-parlante-bluetooth-y-mochila-hp-ejecutiva-porta-laptop-156-_JM,NA,NA,NA,NA,NA,#427298264,NA,NA,NA,NA,NA
253," Bluetooth Portatil Para Equipos, Parlantes, Smart Tv, Autos ",20,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(9 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CARLOSAVENDANO15,https://articulo.mercadolibre.com.pe/MPE-435518197-bluetooth-portatil-para-equipos-parlantes-smart-tv-autos-_JM,NA,NA,NA,NA,NA,#435518197,NA,NA,NA,NA,NA
254," Parlante Inalámbrico Logitech Ue Wonderboom Lilac, Bluetooth ",276,NA,"
			
				Nuevo
			
			
		",(15 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/WWW.CORPORACIONDASH.COM,https://articulo.mercadolibre.com.pe/MPE-432429069-parlante-inalambrico-logitech-ue-wonderboom-lilac-bluetooth-_JM,NA,NA,NA,NA,NA,#432429069,NA,NA,NA,NA,NA
255, Parlante Portatil Lg Xboom Go Pk3 Negro 16w Bluetooh Origina ,279,329,"
			
				Nuevo
			
			
		",(100 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TECHNOW+1,https://articulo.mercadolibre.com.pe/MPE-436450870-parlante-portatil-lg-xboom-go-pk3-negro-16w-bluetooh-origina-_JM,NA,NA,NA,NA,NA,#436450870,LG,NA,NA,NA,NA
256, Receptor Usb Bluetooth Autos Equipo De Sonido Parlantes Jeep ,24,NA,"
			
				Nuevo
			
			
				
					 - 
				
				623
				vendidos
			
		",(438 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GRUPONATIC.PE,https://articulo.mercadolibre.com.pe/MPE-434076675-receptor-usb-bluetooth-autos-equipo-de-sonido-parlantes-jeep-_JM,NA,NA,NA,NA,NA,#434076675,Bt,NA,dongle,NA,NA
257, Coolbox - Parlante Bluetooth Con Subwoofer S-11 Marrón ,99,NA,"
			
			
				
				2
				vendidos
			
		",(100 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-436015730-coolbox-parlante-bluetooth-con-subwoofer-s-11-marron-_JM,NA,NA,NA,NA,NA,#436015730,NA,NA,NA,NA,NA
258, Mini Parlante Bluetooth Led Ml-80u ,39,NA,"
			
				Nuevo
			
			
		",(72 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LA.CAJA.TECNOL%C3%93GICA,https://articulo.mercadolibre.com.pe/MPE-426584713-mini-parlante-bluetooth-led-ml-80u-_JM,NA,NA,NA,NA,NA,#426584713,NA,NA,NA,NA,NA
259, Parlante Lampara Despertador Led Bluetooth Colores Touch ,79,NA,"
			
				Nuevo
			
			
		",(4 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BUFFALOS+TECHNOLOGY,https://articulo.mercadolibre.com.pe/MPE-431901850-parlante-lampara-despertador-led-bluetooth-colores-touch-_JM,NA,NA,NA,NA,NA,#431901850,NA,NA,NA,NA,NA
