search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Tipo,Tipo de casco,Tipo de visor,Edad,Género,Modelo,Materiales del exterior,Línea
1006," Casco Ktm Integral, Diseño Exclusivo, Con Lentes Uv ",107,NA,"
			
				Nuevo
			
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 21997
		
		 sin interés
		
	

	
		",97,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/CAFERACEUY,https://articulo.mercadolibre.com.uy/MLU-460291534-casco-ktm-integral-diseno-exclusivo-con-lentes-uv-_JM,NA,NA,NA,NA,NA,#460291534,NA,NA,KTM,Integral,NA,NA,NA,NA,NA,NA,NA
1007, Nuevos Cascos Mt Cap Con Doble Visor. Homólogados ,125,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 25507
		
		 sin interés
		
	

	
		",07,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/BAFE3181502,https://articulo.mercadolibre.com.uy/MLU-455698731-nuevos-cascos-mt-cap-con-doble-visor-homologados-_JM,NA,NA,NA,NA,NA,#455698731,NA,NA,NA,Integral,NA,NA,NA,NA,NA,NA,NA
1008," Casco Abierto , Harley ,cafe Racer, Vespa ,custom, Burbuja , ",2090,NA,"
			
				Nuevo
			
			
				
					 - 
				
				51
				vendidos
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 11611
		
		 sin interés
		
	

	
		",11,NA,Entrega a acordar con el vendedor,NA,NA,4.5,6,http://perfil.mercadolibre.com.uy/SPEEDSHOP+URUGUAY,https://articulo.mercadolibre.com.uy/MLU-445614821-casco-abierto-harley-cafe-racer-vespa-custom-burbuja--_JM,3,3,0,0,0,#445614821,NA,NA,380888,NA,NA,NA,NA,NA,NA,NA,NA
1009, Visor Espejado Para Casco Power Maxx - 626 ,388,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 2156
		
		 sin interés
		
	

	
		",56,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTOSHOPSRLMOTOSHOPSRL,https://articulo.mercadolibre.com.uy/MLU-447488393-visor-espejado-para-casco-power-maxx-626-_JM,NA,NA,NA,NA,NA,#447488393,NA,NA,NA,Integral,NA,NA,NA,NA,NA,NA,NA
1010, Casco Integral Mt Sringer Amarillo Fluor ,86,NA,"
			
				Nuevo
			
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 17549
		
		 sin interés
		
	

	
		",49,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/RUBIBIKES,https://articulo.mercadolibre.com.uy/MLU-456689810-casco-integral-mt-sringer-amarillo-fluor-_JM,NA,NA,NA,NA,NA,#456689810,NA,NA,NA,Integral,NA,NA,NA,NA,NA,NA,NA
1011, Casco Cross Negro Y Flores Power Máx Homologado-- ,2080,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 11556
		
		 sin interés
		
	

	
		",56,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/VAIMACAMOTOS,https://articulo.mercadolibre.com.uy/MLU-448123837-casco-cross-negro-y-flores-power-max-homologado--_JM,NA,NA,NA,NA,NA,#448123837,NA,NA,Max,Cross,NA,NA,NA,NA,NA,NA,NA
1012, Casco Integral Power Máx Homologado Azul - Line-- ,1400,NA,"
			
				Nuevo
			
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 7778
		
		 sin interés
		
	

	
		",78,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/VAIMACAMOTOS,https://articulo.mercadolibre.com.uy/MLU-463890327-casco-integral-power-max-homologado-azul-line--_JM,NA,NA,NA,NA,NA,#463890327,NA,NA,Max,Integral,NA,NA,NA,NA,NA,NA,NA
1013, Casco Airoh Integral T600 Scorpio White Carbkev. 1400g Talle ,13205,NA,"
			
				Nuevo
			
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 73361
		
		 sin interés
		
	

	
		",61,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTOSHOPSRLMOTOSHOPSRL,https://articulo.mercadolibre.com.uy/MLU-444353361-casco-airoh-integral-t600-scorpio-white-carbkev-1400g-talle-_JM,NA,NA,NA,NA,NA,#444353361,NA,NA,NA,Integral,NA,NA,NA,NA,NA,NA,NA
1014," Calcomanias Personalizas,moto,cuatriciclo,auto,carteles!! ",56,NA,"
			
				Nuevo
			
			
				
					 - 
				
				39
				vendidos
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 312
		
		 sin interés
		
	

	
		",12,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.uy/PEDROVILLARROEL040,https://articulo.mercadolibre.com.uy/MLU-444106403-calcomanias-personalizasmotocuatricicloautocarteles-_JM,NA,NA,NA,NA,NA,#444106403,No aplica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1015, Casco Protork Negro Talle 60 ,980,NA,NA,NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 5449
		
		 sin interés
		
	

	
		",49,NA,Retiro gratis en tienda de Geant,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/ODALERSAODALERSA?brandId=522,https://articulo.mercadolibre.com.uy/MLU-462518719-casco-protork-negro-talle-60-_JM,NA,NA,NA,NA,NA,#462518719,NA,NA,Pro Tork,NA,Integral,NA,NA,NA,NA,NA,NA
1016, Casco Repuesto Visor Mica Azul Ls2 Ff320 - Ff353 ,41,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 8366
		
		 sin interés
		
	

	
		",66,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/ALLROADURUGUAY,https://articulo.mercadolibre.com.uy/MLU-450828836-casco-repuesto-visor-mica-azul-ls2-ff320-ff353-_JM,NA,NA,NA,NA,NA,#450828836,NA,NA,LS2,NA,Integral,NA,NA,NA,NA,NA,NA
1017, Cascos Retro Chopper Harley Vintage Vespa Abierto 3/4 ,1100,NA,"
			
				Nuevo
			
			
				
					 - 
				
				293
				vendidos
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 6111
		
		 sin interés
		
	

	
		",11,NA,Entrega a acordar con el vendedor,NA,NA,3.3,3,http://perfil.mercadolibre.com.uy/FT1977,https://articulo.mercadolibre.com.uy/MLU-444795597-cascos-retro-chopper-harley-vintage-vespa-abierto-34-_JM,0,2,0,1,0,#444795597,NA,NA,Vespa,NA,NA,NA,NA,NA,NA,NA,NA
