search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Tipo de casco,Género,Peso,Tipo
882, Casco Dot Cross/enduro Omoto. Alta Calidad. Fullpower Moto ,47.99,NA,1,2,12,3.999,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/FULLPOWER+MOTO,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=BggI1ECVzpXC8As%2BCQrFefdU7hfLnQTWk%2Fbc5iHe0ZDj24Jb9NBD9h8q19Ye%2Fhy9Ei3%2BKWMFv6W8xOPcx1bNjNbDb5Mvz39ZvWj7dKSDiIrgUDFaZ1PlYPpz8hIuHhXex9MBrGjoaJ8h3rOE2hG2Dor1dhJiakW3bORauCuL1ubAHVVMZDHRQpXtGEwBGv1agBlvBmRPa9mwTndGxFOpf09eeAITeKwJGwvbf2xxndyylC7%2Fse1dd%2BJ5PUQDC%2F99X0E9aN7IhIopt3rJduaS7QqKnUSkuUX2uqolKcSGsHizi4DZgJeil4QW2JVyAH1dTqpQLy5%2FiyocHrYHVVQDZnpDUWzfa3%2BvZICbZUF2gubHWQMo%2B83Zfam%2FsUA73nRtTs1sPsQsA4oVmbol%2BA31nz7Az5PmWSLhWOH8CO5LBhXaH88pMH4Rw9%2BJLexDP3ZuRkCOhbSCg1fEdD0aitb1mfNgPdT8BOWqwh5HVMmzCJBhPcjmYJK1YcNm24hKqJJrNFiIZ%2FUQxVllABa6u6JDvdWmwx%2FCe96OSJa0bQCBoSy6GXOXmS4ICl7OIv%2B5jGz2JId2AWrPrMDmkxRmdFEDFsJYG%2FF7KIVtADQ1GMJxUnFcQ3ylmkpkntgFRYUQAV6xQ7pCc8cQCbXCRrcdEei5G8pcDpWaas2CWq2UUi128OOaA%2F2bCCEm9Uf0zYC7iQQi50%2Fp6N2PDRWaMXJpAJcxzgjnsfT4k45uOlPFqfWrMuhdjDT%2BZDOiasGaDfJ62ECiMV7FTuf0ufxn1Kt5q9ND95Sj%2FMcCnqHnNZzTwkz7W32xtcm12s77mM%2B6Makwm5iLlwLeyD8o%2FG8%2BY3v%2FN6QVigDZeIcSnb0uNnhZ33qLa%2FtwKaLba831ul7ZUE7MR%2BuwT80%2Fci0mis6MVte%2Bndec7DE9si46vCPsMkLiPPIp58rOH%2BCGUUhBdZximWll6jRpd3RVZOU2F3FmM7GAhcPOIpUjoMlqR4qyqOkOWstS4E5pNdBpcw4WpMBZu5egCkJ1w3Zkc4SY%2FVnVkshKyl1ulkLvSf7cbmETYMBR8lzYyxBg6YOyWPfbVu9knLDBOJt7lE5hP1MsnLPXV4%2BSFXJa1A80Pe75ySJ2dVIyNtwktUcIDiPjkIuDBH8wS9kaBxxoL9WBePm6llLkEPLYr%2B6rwvocayM1jIxi35hLtLuQAczXfkNy3BDyMPgEvtnGz8yFxDqMwbob1AwA7IlTbPIUwLGEOzgmh9acudv0NLB8benDCyqjbuvIDCcDHqNxfhMA4HzZUM7dnVbEbrxolSqEtTEXBNzt8EckVjgshE2sRlMYXIUznVBFardEsCh4evQYCgIsuiv4v1wgjpO0kVGcPhcsb1rrVaRt1FC0ltEZtu0MFB0z2o9Ihn9xF%2BQs9XReAKOCtEZjTHOYU9%2F9wPd%2F8V9b8pz7oBfNqQizIF5JHshHKKaPN%2BiR6ks8qPbdwe%2BK2Bv5aDzVb%2BCAzpnHXl97Iy%2Ba6tLU3yyTzwvurYfuKuRAaEuKo6Y2%2Bo3xa2WYl0qJFRz8UOzZpbBAOVvKMiZKMT6sAXh8QsvSb2%2Fr7C2dYVL%2B1ZIrUFSfJ7hW89RT%2FJts9daE15koGiJOmmCKOcIlv3LCvxaCClIvGHPMOoJStC4tsg%2FA36%2Bh295C0EwPqqlby%2BMlb8QjMnA9S7UqkwUP3jTS8VDQbpgc8Gv%2Bryd%2Fg0iOkLMSR1ItQUoKS4XY0Dru4HyY8uk9wI%2FaoEqqSKAeLvgpuWR1hi%2FrEfJiO28BSbkX8vd1jdkHn0iM2vrjNpNLNRND3TGpvZTpdZ34%2Fg%3D%3D,NA,NA,NA,NA,NA,#460436340,NA,NA,Omoto,NA,NA,NA,NA,NA,Cross
883, Cara Enmascarar Táctico Casco Masksunglas Motocicleta Cascos ,33.99,NA,0,1,12,2.832,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOSHOW+CHILE,https://articulo.mercadolibre.cl/MLC-482040483-remate-casco-moto-saiko-match-rojo-talla-x-l-espana-_JM,NA,NA,NA,NA,NA,#482040483,Negro,XL,Saiko,NA,Match,Integral,NA,NA,NA
884, Casco De Motocicleta Bell Mx-9 Adventure Mips Torch Helmet-h ,23.966,NA,0,200,12,1.997,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CIMAALEGRIACL,https://articulo.mercadolibre.cl/MLC-474594669-cara-enmascarar-tactico-casco-masksunglas-motocicleta-cascos-_JM,NA,NA,NA,NA,NA,#474594669,NA,NA,NA,NA,NA,Rebatible,NA,1510 g,NA
885, Casco Moto Ls2 Ff320 Stream Evo Ixel Azul Neon Naranjo ,335.401,NA,0,99,6,55.900,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478239933-casco-de-motocicleta-bell-mx-9-adventure-mips-torch-helmet-h-_JM,NA,NA,NA,NA,NA,#478239933,NA,NA,Bell,NA,MX-9 Adventure,NA,NA,NA,NA
886, Casco Moto Ls2 Ff390 Breaker Android Azul Rojo ,89.99,NA,NA,25,12,7.499,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-480188203-casco-moto-ls2-ff320-stream-evo-ixel-azul-neon-naranjo-_JM,NA,NA,NA,NA,NA,#480188203,Neon,"S,M,L,XL,XXL",LS2,NA,integral FF 320,Integral,Unisex,NA,NA
887, Motocicleta Scooter Abierto Cara Mitad Cuero Casco Marrón ,118.75,NA,NA,15,12,9.896,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-494382193-casco-moto-ls2-ff390-breaker-android-azul-rojo-_JM,NA,NA,NA,NA,NA,#494382193,"M,L,XL",,LS2,NA,FF390 BREAKER,Integral,Unisex,1400 g,NA
888, Casco Moto Integral M-61 Blanco Brillante Mica Tinteada ,7.066,NA,0,200,12,589,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/VICAMSTORECL,https://articulo.mercadolibre.cl/MLC-473907179-motocicleta-scooter-abierto-cara-mitad-cuero-casco-marron-_JM,NA,NA,NA,NA,NA,#473907179,NA,NA,Brand New,NA,NA,Integral,NA,689 g,NA
889," Casco Para Motocicleta Con Lentes Harley, Bufanda, Visera X3 ",47.99,NA,0,30,12,3.999,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME+STORE,https://articulo.mercadolibre.cl/MLC-478670998-casco-moto-integral-m-61-blanco-brillante-mica-tinteada-_JM,NA,NA,NA,NA,NA,#478670998,Blanco,"M,L,XL",GHB,NA,M6.1,Integral,Unisex,1450 g,NA
890, Casco De Motocicleta Troy Lee Designs Motocross Off-road Se4 ,43.086,NA,0,200,12,3.590,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CIMAALEGRIACL,https://articulo.mercadolibre.cl/MLC-474011957-casco-para-motocicleta-con-lentes-harley-bufanda-visera-x3-_JM,NA,NA,NA,NA,NA,#474011957,NA,NA,no brand,NA,no model,Integral,Unisex,26.5 g,NA
891, Casco Moto Shiro Sh-881 Phoenix Blanco ,912.292,NA,0,99,6,152.049,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478243503-casco-de-motocicleta-troy-lee-designs-motocross-off-road-se4-_JM,NA,NA,NA,NA,NA,#478243503,NA,NA,Troy Lee Designs,NA,NA,NA,NA,NA,NA
