search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Linha,Modelo,Tipo de capacete,Tipo de visor,Materiais do exterior,Idade,Gênero,Materiais do interior,Peso,Posição da ventilação,Tipo de fechamento,Certificado de segurança,Usos recomendados
1, Capacete Moto Robocop Escamoteável Pro Tork V-pro Jet 3 ,133,NA,"
			
			
				
				920
				vendidos
			
		",(22 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1116
		
		 sem juros
		
	

	
		",16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,216,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-824544027-capacete-moto-feminino-fechado-ebf-varias-cores-e-tamanho-_JM,172,32,7,5,0,#824544027,Branco e rosa,58,EBF,New Spark,New Spark Borboleta,Integral,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA,NA
2, Capacete Moto Aberto Pro Tork New Liberty 3 Three ,169,NA,"
			
			
				
				221
				vendidos
			
		",(55 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1416
		
		 sem juros
		
	

	
		",16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,60,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-854437166-capacete-moto-ebf-feminino-cross-fechado-varias-cores-e-tamx-_JM?searchVariation=25530772440,48,6,4,0,1,#854437166,Preto - Rosa,"56,58,60",EBF,Motard,Motard Fada,Integral,Simple,ABS,Adultos,Feminino,NA,NA,NA,NA,NA,NA
3, Capacete Para Moto Protork R8 Fechado Viseira Iridium Loi ,120,NA,"
			
				Novo
			
			
				
					 - 
				
				1105
				vendidos
			
		",(22 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1147
		
		 sem juros
		
	

	
		",47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2197,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1162746915-capacete-para-moto-protork-r8-fechado-viseira-iridium-loi-_JM?searchVariation=31714122504,1459,412,187,66,73,#1162746915,"Amarelo,Azul,Azul-claro,Laranja,Prateado,Rosa,Verde,Vermelho","56,58,60",Pro Tork,R8,R8,Integral,NA,injetado em polímero abs de alto impacto virgem,Adultos,Unissex,"espumas de memória para melhor absorção de impacto e conforto, tecidos nylon em pluma anti alérgicos e com alta resistência abrasiva",1.27 kg,NA,NA,NA,NA
4, Capacete Para Moto Protork R8 Fechado Viseira Camaleão Loi ,120,NA,"
			
				Novo
			
			
				
					 - 
				
				831
				vendidos
			
		",(7 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1147
		
		 sem juros
		
	

	
		",47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2197,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1162758324-capacete-para-moto-protork-r8-fechado-viseira-camaleo-loi-_JM?searchVariation=31714629237,1459,412,187,66,73,#1162758324,"Prata,Amarelo,Azul,Laranja,Prata,Rosa,Verde,Vermelho","56,58,60",Pro Tork,R8,R8,Integral,NA,injetado em polímero abs de alto impacto virgem,Adultos,Unissex,"espumas de memória para melhor absorção de impacto e conforto, tecidos nylon em pluma anti alérgicos e com alta resistência abrasiva",1.27 kg,NA,NA,NA,NA
5, Capacete Para Moto Protork R8 Fechado Resistente Oferta Loi ,120,NA,"
			
				Novo
			
			
				
					 - 
				
				2265
				vendidos
			
		",(44 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1147
		
		 sem juros
		
	

	
		",47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2197,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1071430308-capacete-para-moto-protork-r8-fechado-resistente-oferta-loi-_JM?searchVariation=25824453651,1459,412,187,66,73,#1071430308,"Amarelo,Azul,Laranja,Prata,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Sportiva,R8,Integral,NA,Injetado em Polímero ABS de alto impacto virgem,Adultos,Unissex,Antialérgica,1.27 kg,NA,NA,NA,NA
6, Capacete Moto Fechado R8 Viseira Fumê Pro Tork Prata ,120,NA,"
			
				Novo
			
			
				
					 - 
				
				172
				vendidos
			
		",(10 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1147
		
		 sem juros
		
	

	
		",47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2197,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1162752461-capacete-moto-protork-r8-fechado-viseira-espelhada-loi-_JM?searchVariation=39731421955,1459,412,187,66,73,#1162752461,Verde,"58,60",Pro Tork,R8,R8,Integral,NA,"espumas de memória para melhor absorção de impacto e conforto, tecidos nylon em pluma anti alérgicos e com alta resistência abrasiva",Adultos,Unissex,injetado em polímero abs de alto impacto virgem,1.27 kg,Superior,Micrométrico,Inmetro,Urbano
7, Capacete Moto Protork New Liberty Four Varias Cores Escolha ,134,NA,"
			
				Novo
			
			
				
					 - 
				
				860
				vendidos
			
		",(161 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1290
		
		 sem juros
		
	

	
		",90,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,82,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-960763001-capacete-moto-protork-evolution-3g-noscity-preto-dourado-loi-_JM?searchVariation=25688881227,53,19,6,3,1,#960763001,Preto,"56,58,60",Pro Tork,Capacetes,NOS Evolution,Integral,NA,Injetado em Polímero ABS de alto impacto virgem,Adultos,Unissex,camurça com alto nível de conforto e absorção;,1400 g,NA,NA,NA,NA
8, Capacete Moto Axxis By Mt Skull Caveira Preto Fosco ,399,NA,"
			
				Novo
			
			
				
					 - 
				
				212
				vendidos
			
		",(27 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3325
		
		 sem juros
		
	

	
		",25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,21,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=NeIihxeln1SdKJpk6DOK1NF7EIn2kXY3xHtvNpix4bHUuJoMnfAt2VeHQdhIQvf%2BesHF9i1sKNRM98rUdwPgZ%2B6ptQqDf4mATzqK9s213Q8gRbcS2XmVv%2FayZPH1jilQo8YZC90Ug7FQIC1rn5KTyggO8rfRz4L%2FiaaG5EugOEnzUSaDY11tJapXG1ixfg6kdT0dhZHY0pvDeYY0JvecUnTELrydxtaqjH27q9a%2F0BlpehtPs1d6MTEcMrUH4nOV0ILve%2BnVG2bmPAEUEiqW7IfUixVrzIaEk%2FgCvh6h53J%2Bz3JilVHIr6BQyh%2FB%2Fg8w%2BikjZ1wsCBR4prvG%2FkbYiXi%2FH91u0Vz01yL7XaexsI0NpvGg3AlQmNlLUnP%2FbxHVs14RyWW5dBVha9apNYQw3s8CGcYRc8u71zYVGlVZlp6lbfqK3c9aqvC4mUV9e2cn2AehJstIwYPAJf4NH8LoTK8d8zN59h2FU9ESQGNIa6P%2FtrnRIuYw%2Bnr2JOl1DCoh5PDJ3R1l2jXQXoTCrzxw8d%2BDoJuqZUjHeXIMGZnn970VdAShUxXLn49C8wlEgkNe6h5tz1sRhOn8AvO1meA7b%2Focp9cE8VmFYLJMv4v5QyyJxBZhoKxfQKV2aOBm%2F1pca691w3AnuJcZZF98s0sBXb8OXoLrMZJbYzxeZDWCtwed1%2BvvFLvxCyZ2PwfEoFutU%2FPpT8tQegDzgRwXjqmzwisfVdpAP1I2ce2Rxl6YHkLniu3k0ZIh0FNfm4KRR2zXfS8AWClntaXAzkeJa0Xbh1XpYT5NJ9BxsLqjQgaQb9Kxqnu0CWgGzlPNe0WRtGkwVCvLBgnxXseOpMf4Nd%2FrElIf3n%2B3FW71cHu7cPiEFpIQ%2BkkQ3k6pGJY01hJ1EvwSGqpP6RuJhqxUt3Iea4tHXVYjBtPI5idz5wmhfJtRcK%2BmFvv51TYn5d0xkEUbuzD36%2BADpMaB%2FSLi1r%2FE2tlwM7j9e2SSUcrwugs%2FUNTpuCWMDhepXd3FHXKIDjm3kHV2CcJ1jkD%2FV95NirFqrMgsF97FHSVA054bemkZTZK%2FX9SXDdrVCILsYdQl93o5Tb6WybF7Ng1RbqDkcj2PvE1nGTj7KPAFOnQ36ZSIRbN35rt15Qe9KStSZ6oKFXH%2FH1KA%2ByYS9gYKeHqqz6XfLhYSI1ULMS489PwrHoFQGIH%2FrAW4C4rBsXQ%2BemWEnGvx9fXWirG6l0f5dc0qoH1LyRJ1fpq%2Fc6TWfBAXg6DMDdm94lBCAwb8XbS0bxXBygDhNnTBfXjkLU677Oslc50bFIRwsgiwfMKOC%2BOWZh7l2hpVBM9K7b4nYlzYtRzJAeqO%2BR3hFRI4NC6k%2Fv2agzZGQwLcKMMP0fhIuYi05g%2BtouAOKW%2Fk7kPKtowE%2Bc%2BJvM4ZdU2AMdB0ShC5H3MB1%2FsUTsKvjinPX1cBKVjewr2RrAxttpvlvH5ZtAv%2BOmUiyZDMCSyD1wDfWZQlZM59fZFxP4UAIah01ULqlHFnoejoOopPm9tIOTQpEw0MNJIwIpvpbcDdX6t68a8%2BEPzGLq6y31e2U7bF0%2BISD38Mjui%2B210Phxz0hQ4eP7SGB0CIyfNowaxP3CAW%2FLfh8adSzuNMJgd7lNrCCF7bc5MWV9BmOfZMaAbAKxfKXb811gKam1b%2FhgmTooic1KM95P9ksAw0pwO3m%2BHoZHYaUR1Qu1R5B5OKkTdM7lAOec%2BAo7C1aEFyaaFyYY7wxtVPnFU8hnnegj5wXyhkN6dEK8dBIFMoG14BaI1oG6CPAj1uAwBmgUx03qf9VwZ%2B%2ByJtMzeHoTwkJWx8qCSBgfu%2B%2FPOUH3F4bOX0M6Xr4e7lnc5ZflNCK7F1u%2BjSUB1c85Q6k8eNvzbOAdKZUc1YXel%2B2mT%2B5wZL,18,2,1,0,0,#702919658,Preto - Skull Fosco,"56,58,60,62",Axxis,Axxis,Eagle,Integral,Simple,ABS,Adultos,Unissex,NA,1430 g,NA,Micrométrico,Inmetro,NA
9, Capacete Moto Mixs Fokker Storm Fundo Preto Fosco Lançamento ,122,NA,"
			
			
				
				2935
				vendidos
			
		",(1 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1025
		
		 sem juros
		
	

	
		",25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,198,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-824529959-capacete-moto-fechado-ebf-feminino-varias-cores-e-tamanho-_JM,156,28,8,3,3,#824529959,Branco e rosa,56,EBF,New Spark,New Spark Borboleta,Integral,NA,ABS,NA,Unissex,NA,NA,NA,NA,NA,NA
10, Capacete Sm Moto Automatico Marino Pro Tork Motoboy ,167,NA,"
			
				Novo
			
			
				
					 - 
				
				566
				vendidos
			
		",(26 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1606
		
		 sem juros
		
	

	
		",06,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1782,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1071360789-capacete-moto-protork-escamoteavel-robocop-v-pro-jet-3-loi-_JM?searchVariation=29556830528,1282,348,96,25,30,#1071360789,Azul,"58,60",Pro Tork,V-Pro,Jet 3,Integral,NA,Injetado Polímero ABS de alto impacto virgem,Adultos,Unissex,forração antialérgica.,1.63 kg,NA,NA,NA,NA
