value,units_of_time_operating,units_timeframe_of_amt_sold,shipping,free_return,free_return_info
1,meses,meses,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís
2,años,años,Envío a todo el país,,
3,días,días,Envío gratis a todo el país,,
4,,,Llega mañana,,
5,,,Llega gratis hoy,,
6,,,Llega hoy,,
7,,,Entrega a acordar con el vendedor,,
8,,,Envío gratis,,
9,,,Llega gratis el viernes,,
10,,,Retiro gratis en tienda de Geant,,
