search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Peso,Línea,Tipo
46, Casco Moto Integral Ls2 Certficado Ece + Pinlock Gratis - As ,360,NA,9,4,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AOLMOTO,https://articulo.mercadolibre.com.co/MCO-503400592-casco-integral-ls2-320-hunter-negro-mate-gris-titanio-_JM,NA,NA,NA,NA,NA,#503400592,NEGRO MATE - TT,"M,XL",LS2,320,Integral,50 g,NA,NA
47, Casco Integral Ls2 320 Hunter Negro Mate Gris Titanio ,99.9,NA,68,394,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,6,https://perfil.mercadolibre.com.co/LUJOACCESORIOS.,https://articulo.mercadolibre.com.co/MCO-450624523-casco-moto-abatible-ich-certificado-dot-gratis-placas-_JM,4,2,0,0,0,#450624523,Negro Mate plano,"S,M,L,XL",ICH,3110,Rebatible,1000 g,NA,NA
48, Casco Moto Abatible Ich Certificado Dot Gratis Placas ,65.99,NA,22,4,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/EDINSONCARDENAS,https://articulo.mercadolibre.com.co/MCO-468532319-cinta-termica-negra-exostos-mofle-moto-carro-5cmx5mts-_JM,NA,NA,NA,NA,NA,#468532319,Negra,NA,NA,NA,NA,NA,NA,NA
49, Cinta Termica Negra Exostos Mofle Moto Carro (5cmx5mts) ,279.9,329.9,7,746,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-501432423-2-cascos-abatible-ich-certificados-super-combo-_JM?searchVariation=32120154733,NA,NA,NA,NA,NA,#501432423,Negro,"S-S,S-M,S-L,S-XL,M-M,ML,M-XL,L-S,L-M,L-L,L-XL,XL-S,XL-M,XL-L,XL-XL",ICH,3110,Rebatible,1000 g,NA,NA
50, 2 Cascos Abatible Ich Certificados Super Combo ,599,NA,4,16,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/CAMILOANDRESPEAURREA,https://articulo.mercadolibre.com.co/MCO-513598402-casco-agv-k1-negro-mate-original-certificado-_JM,NA,NA,NA,NA,NA,#513598402,"XS SM MS ML,LG XL 2XL",,AGV,k1,Integral,NA,K-1,NA
51, Cascos Mountain Steelpro Tipo 2 ,54.2,NA,42,28,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,5,5,https://perfil.mercadolibre.com.co/PROTSEG.CO,https://articulo.mercadolibre.com.co/MCO-453449231-cascos-mountain-steelpro-tipo-2-_JM?searchVariation=21074262377,5,0,0,0,0,#453449231,Blanco,STEELRPO,Steelpro,MOUNTAIN Tipo II,Integral,NA,NA,NA
52, Casco Shox Certificado Stinger Horex Tipo Mt No Shaft ,199.5,NA,3,2,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/IMCOVALLE+SAS,https://articulo.mercadolibre.com.co/MCO-513414270-casco-shox-certificado-stinger-horex-tipo-mt-no-shaft-_JM,NA,NA,NA,NA,NA,#513414270,NEGRO Y AMARILLO NEÓN,"TALLA L,M",Shox,Stinger,Integral,NA,NA,NA
53, Cascos Para Moto Certificado Shaft 577 Integral +obsequio ,295.9,NA,6,34,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AFMPUNTO2,https://articulo.mercadolibre.com.co/MCO-486327060-cascos-para-moto-certificado-shaft-577-integral-obsequio-_JM,NA,NA,NA,NA,NA,#486327060,"S,M,L,XL",,Shaft,pro  577,Integral,1.55 g,NA,NA
54, Malla O Pulpo Elástico Para Cascos Moto Y Bicicletas - As ,7.99,10,27,3,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,5,1,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-448683222-malla-o-pulpo-elastico-para-cascos-moto-y-bicicletas-as-_JM?searchVariation=20979454368,1,0,0,0,0,#448683222,Negro,NA,NA,NA,NA,NA,NA,Integral
55, Casco Agv K1 Winter Test 2015 - Omi ,719.99,NA,3,1,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/OUTLETMOTERO.COM.CO,https://articulo.mercadolibre.com.co/MCO-497649375-casco-agv-k1-winter-test-2015-omi-_JM?searchVariation=31165927692,NA,NA,NA,NA,NA,#497649375,Amarillo,MS,AGV,k1,Integral,NA,K-1,NA
56, Casco Moto Integral Mt Doble Visor Europeo *9 Diseños - As ,327.99,NA,3,2,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-503254473-casco-moto-integral-mt-doble-visor-europeo-9-disenos-as-_JM?searchVariation=32915362675,NA,NA,NA,NA,NA,#503254473,Negro mate,"M , L , XL",MT,Thunder 3 SV,Integral,NA,NA,NA
57, Casco Integral Certificado Moto Ls2 320 Stream Retake ,319.9,NA,1,21,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AOLMOTO,https://articulo.mercadolibre.com.co/MCO-524999069-casco-integral-certificado-moto-ls2-320-stream-retake-_JM?searchVariation=40645394218,NA,NA,NA,NA,NA,#524999069,Gris,"S,L,XL",LS2,STREAM RETAKE,Integral,NA,NA,NA
58, Casco Moto Integral Mt Thunder 3 Brillo Certificado - As ,299.99,340,3,2,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-455697049-casco-moto-integral-mt-thunder-3-brillo-certificado-as-_JM?searchVariation=17407020833,NA,NA,NA,NA,NA,#455697049,Negro,S/M/L/XL,MT,Thunder 3,Integral,NA,Thunder 3,NA
59, 2 Cascos Moto Certificados Dot Abatible Ich Gratis Placas ,189.9,NA,35,995,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.5,2,https://perfil.mercadolibre.com.co/LUJOACCESORIOS.,https://articulo.mercadolibre.com.co/MCO-457257237-2-cascos-moto-certificados-dot-abatible-ich-gratis-placas-_JM?searchVariation=38103153954,1,1,0,0,0,#457257237,Negro,"S-S,M-M,L-L,XL-XL,S-M,S-L,S-XL,ML,M-XL,L-XL",ICH,3110,Rebatible,1000 g,NA,NA
60, Casco Moto Abatible Doble Visor Shox Certificado Dot - As ,319.99,360,12,6,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-466086525-casco-moto-abatible-doble-visor-shox-certificado-dot-as-_JM,NA,NA,NA,NA,NA,#466086525,Varios,NA,Shox,NA,NA,1.65 g,NA,Integral
61, Cascos Moto Cross Certificado Hro Mx330 Int +obsequio ,167.9,NA,14,8,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.5,2,https://perfil.mercadolibre.com.co/AFMPUNTO2,https://articulo.mercadolibre.com.co/MCO-509436403-cascos-moto-cross-certificado-hro-mx330-int-obsequio-_JM,1,1,0,0,0,#509436403,"S,M,XL",,HRO,MX330,Integral,NA,MX330,NA
62, Casco Certificado Abatible Para Moto Ich 3110 Negro ,114.9,NA,29,4,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,1,https://perfil.mercadolibre.com.co/LARECOMPRA.COM,https://articulo.mercadolibre.com.co/MCO-487676452-casco-certificado-abatible-para-moto-ich-3110-negro-_JM?searchVariation=37050321075,1,0,0,0,0,#487676452,Negro,"M,L",NA,ICH 3110,Rebatible,1000 g,ICH 3110,NA
63, Casco Certificado + Guantes + Impermeable + Regalo ,165.15,NA,26,174,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AFMPUNTO2,https://articulo.mercadolibre.com.co/MCO-464919966-casco-certificado-guantes-impermeable-regalo-_JM,NA,NA,NA,NA,NA,#464919966,"S,M,L,XL",,ICH,501,Integral,NA,NA,NA
