search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Tipo de casco,Materiales del interior,Materiales del exterior,Edad,Género,Tipo de visor,Peso,Modelo alfanumérico
1545," Casco Retro Torc T50 Blanco Pch, Cafe Racer ","1,489",NA,"
			
				Nuevo
			
			
				
					 - 
				
				20
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 8272
		
		 sin intereses
		
	

	
		",72,NA,NA,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,23,https://perfil.mercadolibre.com.mx/GRUPO+AEP,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=BHiHcPRabO4UsOT3GevJu4zY6JCizd%2B97qK0%2BZBQeupyasgbjlUFUHBmWDsvvH30Y46qYS2yTv1aGJZ8Vh6zvMxGFePRUfZUgC6%2BabdqIC0uGuNmeVBXep0M%2BPPHkknndDroF1rz5bIuNrahIdyOgW88A2dfbtdLCGpGFSu8ufvEZRBnQfEoOt5pPpKcj7Qtzd8MM8nvNKgxbN2elR04LZ%2B9NOFVjNEidrIzKbjuORfM%2FdOkC6WVtHJ49OxVsKpQwWO%2FqGlOCFbnWfHCSulhSJ9tPjCNhv8T5mB0vh9A7%2FPeemZAy5Rq24g1gkNLfVVdHZwVteU%2Brz%2F9T3WG6gCe%2FCkMUoK010E7HG%2BwXIeKO4d1m1dAPf2D3W2dpbJ95BNwLF42wjT8GyOxuypcvUAwhsRjb%2BOok0jDpQeKuwb3ex0lEhhGNdygm9Kc6EQ4%2Fqz8M7wmMIB2Ubvq0otKbPQL9igUZ%2BaXs6xZ%2FPgv37%2Fm%2FosjtUj5fm5OovengwpP1aDY95ghtZEHyYIPbGy4qsOM6oEZoPNe6uoSx1h%2BT7uXsrkarpOtNmTaLfC%2F949lLt%2BiOqyw%2F4n3Nix2TmWL3UNBtiv2p9Nc0GtLEyHA3n5S9Iu4PJgcEQZR%2BvXzqqLMdMxIoosIFdUpZEElN45dznvUA0Q9qj%2FG3hqXKrLSD2fLUWfpYIcMzyFvtwb7ThJ4Mjh2UzwOY54ZNLBOP%2FpR7tj4zJ1VcXL0Ta%2FpBwUWykni2OEmJvjZy%2BbMhR0WXt1Ky80w7x4X9Plt6kr6iDmQ7Oq1pGzLXw2KOXgx4I5PduIXFjDv1jQT%2FkTFvLpo3bNcK8PLCBB5Ot%2BJ7rOW87TFimGyv9vc3DY6m4CKbFN9UUHrV%2Bp8mcRdySzCFCcjbCKtTLkevj1Q2Bpa5c1Tt%2FMkQKg6eALRxwxdtzpojWqGMU0FCKqsH7Xpe68IWcR%2FU9ygJhQDYYdRnEkd7zBG9elBhX9eYNuccDOI8zvH41DFuHWo6Qq0S4yePoLM0%2B4EOGcVsN9h8YtEmZWq%2BnU%2B0rmlxLuZq3Q99EpMNgSLe3yG0BB0QKs2dL7QzDMtv6TjaK3%2BY1hUNGXtk5TyGfGEdmO7CT%2FOD6q%2Fipcn%2BeQvDGaP4%2B5jk6H%2FP2imT%2F9O6uM%2Fy0MzmOAlYYoq4DgzDbHjb5eGCrliad2%2F8feT8%2F8YONm3BbWrG2AtnSBZ1NBpf0y0evyyVN5n%2FPcvGO7NW3Hos%2FoWFOSSZ6MBaCZltCyvhgTXoikVhtEttJq1zmzioqg8Qn3cPHbNjUqklkPBORIpeucka%2FS5Ghf5lfPzUNqOxSmFIh1NtJH1NLHpfB2fNi288o037rZPIt6J3i69Fd76iSnm%2F6OW893SLBqG0FN8N0xBLcOILlpTFJ021AqpJUUnflykqhw0FyfuhQBruGMq6b%2F0CNs8sH4HZyMiRbo8gv3rQpEtI%2FrN%2FU3bsw3uQxQMzIghyIwJiliOaxv9HKVhvokDL7ue5GhnED%2BHMNZZKj1jcxbzm%2BLVZ7e6P0SuHLaWfCBqMdO7WrGuBrki6y2ulsUqtuds4jRXcEUJ%2F8yvbJOj7lOkkVyYX%2BLlUAJS23A7MNwZlfTHpo3RNTqUlHtomUoKjXRoMN%2FMluIpPtpLyU%2BmUKTfgDsPDvb3QkWylH6ajJF1DEAYkW4mJhcm44XOo8pmfaxkdeNtsmotfVLQr04xkuqqQheaXYJM32Q6Q5gfCcsZG9e8PReJOw9ZKlZGrWB0vkGOXxtFKLviutOi8SLdHrPWkt1UuaZ%2B0WGC0n%2BpvWAMboOyfHqpcDzf92V8o8Gw7rbHQpxeSxkndCcEtic0Hi9A9qO8Z%2BcvRg%3D%3D,21,2,0,0,0,#666847029,Blanco,L,Torc,NA,PHC,Jet,NA,NA,NA,NA,NA,NA,NA
1546, Casco Joe Rocket Rkt600 Big Bore 3/4 Con Mica Burbuja ,"1,450",NA,"
			
				Nuevo
			
			
				
					 - 
				
				29
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 14325
		
		 sin intereses
		
	

	
		",25,NA,NA,Devolución gratis,Tienes 30 días desde que lo recibes,5.0,14,https://perfil.mercadolibre.com.mx/ESNAKIZAR,https://articulo.mercadolibre.com.mx/MLM-611814744-casco-joe-rocket-rkt600-big-bore-34-con-mica-burbuja-_JM?searchVariation=30628297961,13,0,0,0,0,#611814744,Negro mate,"Naranja,S",Joe Rocket,Big Bore,RKT600 Negro Mate + MB,Abierto,Hipoalergénico,Acrilonitrilo Butadieno Estireno,Adultos,Unisex,NA,NA,RKT600
1547, Casco De Moto Nenki Iron Man Ff830 ,"2,160",NA,"
			
				Nuevo
			
			
		",(1 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 21339
		
		 sin intereses
		
	

	
		",39,NA,NA,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/MARTNEZSERGIO28,https://articulo.mercadolibre.com.mx/MLM-656074588-casco-de-moto-nenki-iron-man-ff830-_JM?searchVariation=30823656034,NA,NA,NA,NA,NA,#656074588,Rojo,M,Nenki,FF830,Iron Man,Integral,NA,NA,NA,NA,NA,NA,NA
1548, Casco Shaft Cerrado Sensei Red+ Regalos Rider One ,"1,799",NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(1 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 9994
		
		 sin intereses
		
	

	
		",94,NA,NA,Devolución gratis,Tienes 30 días desde que lo recibes,3.0,1,https://perfil.mercadolibre.com.mx/RIDERONE1,https://articulo.mercadolibre.com.mx/MLM-611392648-casco-shaft-cerrado-sensei-red-regalos-rider-one-_JM?searchVariation=19965287543,NA,NA,NA,NA,NA,#611392648,NA,NA,Shaft,CERRADO,SENSEI RED,Rebatible,MIXTO,MIXTO,Adultos,Unisex,Simple,1500 g,NA
1549, Casco Para Mujer ,490,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",(1 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 2722
		
		 sin intereses
		
	

	
		",22,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/ROMA8593219,https://articulo.mercadolibre.com.mx/MLM-662960940-casco-para-mujer-_JM?searchVariation=39536749610,NA,NA,NA,NA,NA,#662960940,Negro,M y L,Qlink,NA,QLINK,Integral,Poliestireno,ABS,Adultos,Femenino,Simple,NA,NA
1550, Casco Alessia Risky Ecer22-05 Cerrado Lumiere Negro Mate ,"1,329",NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(9 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 7389
		
		 sin intereses
		
	

	
		",89,NA,NA,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/VALERIARIOU,https://articulo.mercadolibre.com.mx/MLM-583797002-casco-alessia-risky-ecer22-05-cerrado-lumiere-negro-mate-_JM?searchVariation=23194671010,NA,NA,NA,NA,NA,#583797002,Negro mate,"Amarillo,M Y L",Alessia,RISKY,LUMIERE,Integral,NA,ABS,NA,NA,NA,NA,NA
1551, K1 Agv L Sol Y Luna Valentino Rossi 46 ,"5,400",NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		","
		
			¡Último disponible!
		
	","
	
		
			
		
		12 meses de
		
			
				$ 53348
		
		 sin intereses
		
	

	
		",48,NA,NA,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/F.O+VAZQUEZ,https://articulo.mercadolibre.com.mx/MLM-653460210-k1-agv-l-sol-y-luna-valentino-rossi-46-_JM,NA,NA,NA,NA,NA,#653460210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1552, Casco Gorra Cachucha Mujer Rosa Moto Bici ,279,NA,"
			
				Nuevo
			
			
				
					 - 
				
				11
				vendidos
			
		",(1 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 2756
		
		 sin intereses
		
	

	
		",56,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.0,1,https://perfil.mercadolibre.com.mx/GOLDENDUCK,https://articulo.mercadolibre.com.mx/MLM-661421881-casco-gorra-cachucha-mujer-rosa-moto-bici-_JM?searchVariation=32096076000,NA,NA,NA,NA,NA,#661421881,Rosa,Grande adulto estandar,nhel,Media,media abierto,gorra,Poliestireno,Tricomposite,Adultos,Femenino,Simple,NA,NA
1553, Casco Shaft Sh571 Maskbone Rojo ,"1,689",NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(9 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 9383
		
		 sin intereses
		
	

	
		",83,NA,NA,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/MOTO-HELMETS,https://articulo.mercadolibre.com.mx/MLM-697285094-casco-shaft-sh571-maskbone-rojo-_JM?searchVariation=40112893946,NA,NA,NA,NA,NA,#697285094,NA,"S,M,L,XL",Shaft,NA,571,Integral,NA,NA,NA,Unisex,NA,NA,NA
1554, Casco Roda Revenge Blanco + Mica Humo O Plata ,"1,399",NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",(22 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 7772
		
		 sin intereses
		
	

	
		",72,NA,NA,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,135,https://perfil.mercadolibre.com.mx/SHOP+IGARTUA,https://articulo.mercadolibre.com.mx/MLM-623875802-casco-roda-revenge-blanco-mica-humo-o-plata-_JM?searchVariation=34827830834,105,21,5,1,3,#623875802,NA,"L,XL",RODA,Revenge,Revenge,Abatible,Poliestierno,ABS,Adultos,Unisex,Doble,NA,NA
