search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Marca,Material
12, Funda Case Protector Antishock iPhone 7/8/plus Delgada ,15,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(92 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-432695703-funda-case-protector-antishock-iphone-78plus-delgada-_JM,NA,NA,NA,NA,NA,#432695703,Apple,NA,NA
13, Protector Funda Case Bumper Auminio S9/plus/note8/9 ,55,NA,"
			
				Nuevo
			
			
				
					 - 
				
				69
				vendidos
			
		",(36 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,4.0,1,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-422979840-protector-funda-case-bumper-auminio-s9plusnote89-_JM,NA,NA,NA,NA,NA,#422979840,NA,NA,NA
14, Case iPhone X Xs Max Xr 7 8 10 Plus Xs Protector Supcase Usa ,129,159,"
			
				Nuevo
			
			
				
					 - 
				
				14
				vendidos
			
		",(85 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,4.0,1,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435989656-case-iphone-x-xs-max-xr-7-8-10-plus-xs-protector-supcase-usa-_JM,NA,NA,NA,NA,NA,#435989656,Apple,NA,NA
15, Protector Bumper Funda Case iPhone 7/8/plus/x Aluminio Pro ,59,NA,"
			
				Nuevo
			
			
				
					 - 
				
				39
				vendidos
			
		",(16 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-427126693-protector-bumper-funda-case-iphone-78plusx-aluminio-pro-_JM,NA,NA,NA,NA,NA,#427126693,Apple,NA,NA
16," Case Funda Silicona iPhone 5, Se, 6, 7, 8, X ",34,NA,"
			
				Nuevo
			
			
				
					 - 
				
				21
				vendidos
			
		",(991 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/IMANIA.PERU,https://articulo.mercadolibre.com.pe/MPE-431979684-case-funda-silicona-iphone-5-se-6-7-8-x-_JM,NA,NA,NA,NA,NA,#431979684,Apple,NA,NA
17, Case Delgado Mate Para iPhone X Xr Xs Max 7 8 Plus Protector ,69,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(95 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435989675-case-delgado-mate-para-iphone-x-xr-xs-max-7-8-plus-protector-_JM,NA,NA,NA,NA,NA,#435989675,Apple,NA,NA
18, Funda Case Protector Todo Terreno iPhone 7/8/plus/x Metal ,149,NA,"
			
				Nuevo
			
			
				
					 - 
				
				79
				vendidos
			
		",(21 disponibles),Hasta 12 cuotas sin interés,NA,NA,Envío gratis a todo el país,NA,NA,5.0,7,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-422979831-funda-case-protector-todo-terreno-iphone-78plusx-metal-_JM,7,0,0,0,0,#422979831,Apple,NA,NA
19, Case Spigen Apple iPhone 8 iPhone 7 Ultra Hybrid 2 Masplay ,89,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(995 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MASPLAY+PERU,https://articulo.mercadolibre.com.pe/MPE-427761832-case-spigen-apple-iphone-8-iphone-7-ultra-hybrid-2-masplay-_JM,NA,NA,NA,NA,NA,#427761832,Apple,NA,Acrílico
20, Funda Case Protector Anti Caída iPhone 7/8/plus/x/s/r/max ,149,NA,"
			
				Nuevo
			
			
				
					 - 
				
				136
				vendidos
			
		",(99 disponibles),Hasta 12 cuotas sin interés,NA,NA,Envío gratis a todo el país,NA,NA,4.2,5,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-425935369-funda-case-protector-anti-caida-iphone-78plusxsrmax-_JM,4,0,0,0,1,#425935369,Apple,NA,NA
21, Funda Protector Case Plastico Variados iPhone 5c ,10,NA,"
			
				Nuevo
			
			
				
					 - 
				
				22
				vendidos
			
		",(1 disponibles),Hasta 12 cuotas sin interés,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CELLBYTEZ,https://articulo.mercadolibre.com.pe/MPE-419982058-funda-protector-case-plastico-variados-iphone-5c-_JM?searchVariation=37694598100,NA,NA,NA,NA,NA,#419982058,Apple,NA,NA
