search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca da Capa,Marca de Celular,Modelo de Celular,Modelo da Capa,Tipo de capa,Material
1, Capinha Armor Para iPhone 8 Plus - Gorila Shield ,37,NA,"
			
			
				
				9
				vendidos
			
		",(100 disponíveis),"
	
		
			
		

		6x 
		
			
				R$ 632

			 sem juros
			
		
	


	
		",32,Envio para todo o país,NA,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/OLIST?brandId=866,https://produto.mercadolivre.com.br/MLB-1182583395-capinha-case-iphone-8-plus-verde-agua-com-pelicula-5d-_JM,NA,NA,NA,NA,NA,#1182583395,Cases e acessorios i.l,NA,NA,NA,NA,NA
2, Capa Capinha Ultra Fina Fosca iPhone 5 6 7 8 Plus Xs Xr Max ,34,NA,"
			
				Novo
			
			
				
					 - 
				
				5453
				vendidos
			
		",(20820 disponíveis),"
	
		
			
		

		6x 
		
			
				R$ 583

			 sem juros
			
		
	


	
		",83,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,4.7,494,https://perfil.mercadolivre.com.br/JKCAPAS,https://produto.mercadolivre.com.br/MLB-682539065-capa-capinha-ultra-fina-fosca-iphone-x-5s-se-6s-plus-7-8plus-_JM?searchVariation=22563854146,396,59,25,11,3,#682539065,JK CAPAS,Apple,IPHONE,ULTRA FINA,CAPA PROTETOR,TPU
3, Capa Anti Impacto Queda iPhone 5 Se 6 6s 7 8 Plus Xs Max Xr ,144,NA,"
			
				Novo
			
			
				
					 - 
				
				20
				vendidos
			
		",(15 disponíveis),"
	
		
			
		

		12x 
		
			
				R$ 1208

			 sem juros
			
		
	


	
		",08,NA,Frete grátis,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/STORECASE-BR,https://produto.mercadolivre.com.br/MLB-795849900-capa-capinha-iphone-8-7-caseology-skyfall-case-original-_JM,NA,NA,NA,NA,NA,#795849900,Caseology,Apple,iPhone 7,Skyfall,Protetora,TPU/Policarbonato
4, Capinha Casca De Ovo Ultra Fina iPhone 7 8 Plus X + Pelicula ,134,NA,"
			
				Novo
			
			
				
					 - 
				
				6
				vendidos
			
		",(3 disponíveis),"
	
		
			
		

		12x 
		
			
				R$ 1124

			 sem juros
			
		
	


	
		",24,NA,Frete grátis,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CAPINHASMARTPHONE,https://produto.mercadolivre.com.br/MLB-1145773690-capa-capinha-case-iphone-8-spigen-rugged-armor-original-_JM,NA,NA,NA,NA,NA,#1145773690,Spigen,Apple,iPhone 8,Rugged Armor,Emborrachada,Emborrachada
5, Capa Case Capinha Silicone Aveludado iPhone 8 Preto ,104,109,"
			
				Novo
			
			
				
					 - 
				
				34
				vendidos
			
		",(67 disponíveis),"
	
		
			
		

		12x 
		
			
				R$ 871

			 sem juros
			
		
	


	
		",71,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/STORECASE-BR,https://produto.mercadolivre.com.br/MLB-1079499491-capa-capinha-iphone-8-8-plus-7-7-plus-caseology-envoy-_JM?searchVariation=26263523686,NA,NA,NA,NA,NA,#1079499491,caseology,Apple,iPhone 8 / 8 Plus / 7 / 7 Plus,Envoy,protetora,TPU/Policarbonato
6, Capa Capinha Ultra Fina Fosca iPhone 6s Plus 7 8 Plus Novo ,89,NA,"
			
				Novo
			
			
				
					 - 
				
				23
				vendidos
			
		",(19 disponíveis),"
	
		
			
		

		12x 
		
			
				R$ 750

			 sem juros
			
		
	


	
		",50,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/STORECASE-BR,https://produto.mercadolivre.com.br/MLB-837220546-capa-capinha-iphone-8-7-ringke-fusion-case-original-_JM,NA,NA,NA,NA,NA,#837220546,Ringke,Apple,iPhone 8/7,Fusion,Protetora,TPU/Policarbonato
7, Capa Anti Impacto + Película Gel P iPhone 5 6 7 8 10 X Xs Xr ,6,NA,"
			
				Novo
			
			
				
					 - 
				
				181
				vendidos
			
		",(8 disponíveis),"
	
		
			
		

		1x 
		
			
				R$ 699

			 sem juros
			
		
	


	
		",99,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,4.1,9,https://perfil.mercadolivre.com.br/NOMOTEC,https://produto.mercadolivre.com.br/MLB-1047619650-capinha-capa-fina-p-iphone-5-5s-se-6-6s-7-8-plus-10-x-xs-xr-_JM?searchVariation=26822446259,6,1,0,1,1,#1047619650,H+,iPhone,Escolha o modelo,"6, 7, 8, 9, X",Capinha,Silicone
8, Capa Capinha Ultra Fina Tpu Transparente iPhone 7 8 Plus ,28,NA,"
			
				Novo
			
			
				
					 - 
				
				19
				vendidos
			
		",(932 disponíveis),"
	
		
			
		

		5x 
		
			
				R$ 580

			 sem juros
			
		
	


	
		",80,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/GLOBALELETRONICOSEIRELI,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=FXAT%2B5mgZHEiwUOecdSQ8QK2EjiUyZnN5bhMCr6dGa3BpVmsNwLXHVMtHLAObT5o3RtWgvF83oa1esKeFOQ3V6phNZlk9VP81hh7EjBZsiHT0dLw0byKnKeVbO5RjV3SmgWZjsUqe1axU%2F24wUmSza0ZpOyN7UH0aCDWf5oqMXVs8kSbWN92DR%2BF3DWRPlDsASpl3XB%2FTYLWw5ZMNlrHoOZvdoHONf%2BtdbVbDIheE71T1xVOQEGoI%2FhLU47ribYY%2B4fRl%2BSXICaQm8TVHZSCY0dVxJA4Urk3fEQsTE32XzoJlKGbME2qIbK%2FeAu%2BnPTHZwKpKBRhUcpOll55BHVR2ptWDSngcoKKnufsnxOmEE75yh5lk7yaUDEaMMYR84xz1Y5ZXwkX8v0mBLdY0C6CnqlO5q4aZce1ENm5ne98oHS1Ngp8W2BVJGWM2oZmG3RUFSvuCCDajxT0MBpEmSEcRqMfFvNFBpL4DPqZPqvleN7nc4O1NnyHa2XmBXB0Xxg%2BSmJMAYCMwZLuOFDvmDm44hzdk1URiEKEAbGKDUzmpc9%2FcOcJ6WXD4uPQ3jIFSHapJJwiqxMQtIm%2BF2QuP%2BN9BNI9BXOkV9eExonrS%2B%2FrRfANlalZJWgCgPKtZ6ybthgMp4oSIgXDIXEgx%2F0IJV9maqyJkYDDeiyz4s6ZB8lb9HIc4yEQPnNaJ6tqLIQMCNefxjl8M8ioMkn6ZSGE%2Bp0DhvfAfQXh6AqOZkiUv9%2B4uaPaOveiLY3livRiLP%2BBRM3kvHTCYKC5UPcXc6LrhQcg%2BLQqAex8h0Rf83TaXw2nJX7LXgcPAWV4rDwZFhYTm8rLVLWUnbTv%2BcFs%2FdPddN8R9LSc4KZG0JMTlENeW9dw4y3bzYXGIM74heRpvTQm2LD9bLWdSe8A6Rtc0xYkhqz7J7r%2BVqSukk3IGAVhww79rlbb0FwDSzjpBJ%2FN2XuWFK7U40S3Qct6iG%2BaNwp2EbL62rIHjOWbQmhThvOFgmCVk8fFz1sb3IcoGOWsxzqgC4y9lZD4DrmEdeQ%2F6PEWWKFQjlRLqegJES6FwhW%2B1T36dHZ9XsjBf8vrdtdyoSpx8FnAviv%2FTOCCP5I0vlI1LhFB1XOnDaodwfaQip9YlpPbI%2Fcjlsl5p6XAS0ALW7MdNCdERJmbYXS9%2FTVCwEO4jjVjX6xJXVbBNlNO%2FvtqUs7nQ6GaRKgDJbyRvT7lvinyujWqvHFdzsiUvO0ix2CPTbakn3KUBp7QgFrD6rhqrL7q5dkX9Jya0IaIGgZjKHJ0RLO%2FYMIAVoDaSgcHARx9VzVPZ97QEOUmAgFVzcqBbSdoaVFwrz%2BmD%2FVtdxA0aQyQtIjW3O%2BxO6i1o2ydJemtNdADy61GZE%2FwP2OHzR7Ahr7BH2l%2Bkbbxt%2B1Lg7CHgNRc7okNqs1KoSznez9H1xXT1JcVB%2FhldIdlnyh07jUen8kEng5Fd49kzMAJp%2BtKekbv,NA,NA,NA,NA,NA,#1246923437,Apple,Apple,iphone7 plus  iphone 8 plus,iPhone,Apple Original,Silicone- Aveludada
9, Capinha Capa Case Silicone iPhone 7 Plus 8 Plus Lacrada ,9,NA,"
			
				Novo
			
			
				
					 - 
				
				1551
				vendidos
			
		",(10 disponíveis),"
	
		
			
		

		1x 
		
			
				R$ 928

			 sem juros
			
		
	


	
		",28,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,4.3,32,https://perfil.mercadolivre.com.br/TECMODENA,https://produto.mercadolivre.com.br/MLB-1047637856-capa-anti-impacto-queda-iphone-5-se-6-6s-7-8-plus-xs-max-xr-_JM?searchVariation=26827628457,22,3,3,3,1,#1047637856,HR,Apple,Escolher no anúncio.,TPU,Capinha,Silicone
10, Capa Capinha Ultra Fina Luxo Fosca Premium iPhone 8 Tela 4.7 ,12,NA,"
			
				Novo
			
			
				
					 - 
				
				4352
				vendidos
			
		",(4663 disponíveis),"
	
		
			
		

		2x 
		
			
				R$ 629

			 sem juros
			
		
	


	
		",29,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,4.8,181,https://perfil.mercadolivre.com.br/CORONITASCOMERCIOLTDA,https://produto.mercadolivre.com.br/MLB-734551043-capinha-case-ultra-fina-transp-tpu-iphone-6-7-8-plus-x-xr-_JM?searchVariation=25221217939,150,22,9,0,0,#734551043,Apple,Apple,iPhone,Silicone,Lisa,Silicone
