search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Peso,Tipos de filtros del parlante,Conectores de entrada
1, Parlante Bluetooth Bose Soundtouch 20 ,279.99,339.990,16,3,6,46.665,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-472179479-parlante-bluetooth-bose-soundtouch-20-_JM,1,0,0,0,0,#472179479,Bose,SoundTouch 20 Serie III,NA,NA,NA,NA
2," Parlante Karaoke Bluetooth Fiddler Altavoz 6,5'' Panel Led ",19.99,29.990,239,34,6,3.332,NA,Envío gratis a todo el país,NA,NA,4.4,12,https://perfil.mercadolibre.cl/MACROTEL+TO?brandId=335,https://articulo.mercadolibre.cl/MLC-462984847-parlante-karaoke-bluetooth-fiddler-altavoz-65-panel-led-_JM,8,3,0,0,1,#462984847,Fiddler,FD-PKBT61,10 W,2.8 kg,NA,NA
3, Jbl Go 2 Bluetooth Portátil Resistente Al Agua Loi Chile ,21.89,29.990,209,7,6,3.648,NA,Envío gratis a todo el país,NA,NA,4.8,45,https://perfil.mercadolibre.cl/LOI+CHILE,https://articulo.mercadolibre.cl/MLC-466753692-jbl-go-2-bluetooth-portatil-resistente-al-agua-loi-chile-_JM,38,6,0,1,0,#466753692,JBL,GO 2,3 W,NA,Activo,NA
4, Parlante Bluetooth Harman Kardon Onyx Studio 4 Onlineclub ,99.99,129.990,344,15,6,16.665,NA,Envío gratis a todo el país,NA,NA,4.9,45,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-448975270-parlante-bluetooth-harman-kardon-onyx-studio-4-onlineclub-_JM,42,1,1,0,0,#448975270,Harman Kardon,Onyx Studio 4,60 W,NA,Activo,NA
5, Amazon Echo Dot 3 Generación Alexa Español Latino Original ,33.99,69.990,113,30,6,5.665,NA,Envío gratis a todo el país,NA,NA,5,3,https://perfil.mercadolibre.cl/LOI+CHILE,https://articulo.mercadolibre.cl/MLC-482258081-amazon-echo-dot-3-generacion-alexa-espanol-latino-original-_JM,3,0,0,0,0,#482258081,Amazon,NA,NA,NA,NA,NA
6, Parlante Karaoke Bluetooth Fiddler Doble Altavoz + Micrófono ,29.99,49.990,311,10,6,4.998,NA,Envío gratis a todo el país,NA,NA,3.3,27,https://perfil.mercadolibre.cl/MACROTEL+TO?brandId=335,https://articulo.mercadolibre.cl/MLC-461986096-parlante-karaoke-bluetooth-fiddler-doble-altavoz-microfono-_JM,9,6,4,1,7,#461986096,Fiddler,FD-PKBTD6,10 W,NA,NA,Auxiliar
7, Parlantes Cajas Activas Bluetooth Tws Fiddler Con Trípode ,59.99,99.990,25,3,6,9.998,NA,Envío gratis a todo el país,NA,NA,3,2,https://perfil.mercadolibre.cl/MACROTEL+TO?brandId=335,https://articulo.mercadolibre.cl/MLC-486139169-parlantes-cajas-activas-bluetooth-tws-fiddler-con-tripode-_JM,0,0,2,0,0,#486139169,Fiddler,FD-PKBTDUAL8,NA,NA,NA,NA
8, Jbl Go2 Parlante Portátil Bluetooth Inalámbrico Negro ,22.49,29.990,300,70,6,3.748,NA,Envío gratis a todo el país,NA,NA,4.8,45,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-470706708-jbl-go2-parlante-portatil-bluetooth-inalambrico-negro-_JM,38,6,0,1,0,#470706708,JBL,GO 2,3 W,184 g,Activo,NA
9, Parlante Jbl Charge 4 Bluetooth Portatil Cargador Waterproof ,119.99,159.990,40,393,12,9.999,NA,Envío gratis a todo el país,NA,NA,5,2,https://perfil.mercadolibre.cl/MR.CLICK+CHILE,https://articulo.mercadolibre.cl/MLC-481530674-parlante-jbl-charge-4-bluetooth-portatil-cargador-waterproof-_JM,2,0,0,0,0,#481530674,JBL,Charge 4,30 W,0.96 kg,Activo,NA
10, Barra De Sonido Soundbar Bluetooth Sensewave Master G ,12.99,16.990,152,40,6,2.165,NA,Envío a todo el país,NA,NA,3.4,9,https://perfil.mercadolibre.cl/PROGLOBALCHILE,https://articulo.mercadolibre.cl/MLC-456354330-barra-de-sonido-soundbar-bluetooth-sensewave-master-g-_JM,4,1,1,1,2,#456354330,Master-G,Soundbar MGSB110,NA,NA,NA,NA
