search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potência de saída (RMS),Tipos de filtros do alto-falante,Formato do alto-falante,Largura,Profundidade,Altura,Voltagem,Tipos de alto-falante,Lugares de colocação,Configuração de canais,Conectores de entrada,Linha,Quantidade de alto-falantes,Sensibilidade de entrada,Cor,Resposta máxima em frequência,Resposta mínima em frequência,Peso
1, Caixa Som Jbl Party Box 300 Recarregável Jblpartybox300br ,1951,NA,"
			
			
				
				157
				vendidos
			
		",(16 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 16259
		
		 sem juros
		
	

	
		",59,NA,Envio para todo o país,NA,NA,4.8,33,https://perfil.mercadolivre.com.br/FASTSHOP+OFICIAL?brandId=942,https://produto.mercadolivre.com.br/MLB-1182690870-caixa-som-jbl-party-box-300-recarregavel-jblpartybox300br-_JM,28,4,0,0,1,#1182690870,JBL,PartyBox 300,120 W,Ativo,Caixa,412 mm,395 mm,805 mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2, Caixinha Som Portátil Bluetooth Fm P2 Mp3 Cartão Pen Drive ,26,NA,"
			
				Novo
			
			
				
					 - 
				
				2993
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 589
		
		 sem juros
		
	

	
		",89,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,181,https://perfil.mercadolivre.com.br/TROPARDI+ELETRO,https://produto.mercadolivre.com.br/MLB-1175510231-caixinha-som-portatil-bluetooth-fm-p2-mp3-carto-pen-drive-_JM,159,12,6,2,2,#1175510231,Goldenultra,GT-356BT,8 W, , ,NA,NA,NA,(Bivolt), , , ,"P2,Leitor SD, Usb, Auxiliar P2",NA,NA,NA,NA,NA,NA,NA
3, Caixa De Som Bluetooth Amplificada Portátil Microfone Grátis ,159,NA,"
			
				Novo
			
			
				
					 - 
				
				12505
				vendidos
			
		",(86 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1529
		
		 sem juros
		
	

	
		",29,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,1284,https://perfil.mercadolivre.com.br/BREVISTORE,https://produto.mercadolivre.com.br/MLB-757364044-caixa-de-som-bluetooth-amplificada-portatil-microfone-gratis-_JM,790,261,122,45,66,#757364044,Infokit,VC-M874BT,12 W,Ativo/Passivo,Torre,17 cm,14 cm,36.5 cm,110/220v ou USB 5v,"Subwoofer, Twitter","Festas, Eventos, Sala, TV, Notebook, PC, Computador, Celular",Bluetooth,"Bluetooth, P2 Auxiliar, USB Pendrive, SD Cartão, P10 Microfone, P10 Instrumento Musicais, Violão, Guitarra, Baixo",Bluetooth,3,80 dB,NA,NA,NA,NA
4, Caixa Som Bluetooth Amplificada Torre Mp3 Fm Usb Sd Pc 500w ,36,NA,"
			
				Novo
			
			
				
					 - 
				
				3105
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 684
		
		 sem juros
		
	

	
		",84,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,147,https://perfil.mercadolivre.com.br/TROPARDI+ELETRO,https://produto.mercadolivre.com.br/MLB-1175508663-caixa-som-bluetooth-amplificada-torre-mp3-fm-usb-sd-pc-500w-_JM,122,8,7,2,8,#1175508663,Grasep,Torre,10 W, , ,NA,NA,NA,110V/220V (Bivolt),NA, , ,USB,Portátil,2,80 dB,NA,NA,NA,NA
5, Caixa De Som Amplificada Portátil Bateria Bluetooth Fm 1200w ,205,NA,"
			
				Novo
			
			
				
					 - 
				
				1039
				vendidos
			
		",(234 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1966
		
		 sem juros
		
	

	
		",66,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,42,https://perfil.mercadolivre.com.br/A7NOVIDADES,https://produto.mercadolivre.com.br/MLB-1114227033-caixa-de-som-amplificada-portatil-bateria-bluetooth-fm-1200w-_JM,29,7,3,1,2,#1114227033,Grasep,D-Q10,30 W,Woofer,Caixa,NA,NA,NA,Bivolt,Woofer,"Sala, Quarto, Festas, Eventos, Sítio, Praia",5.1,Entrada para Microfone,Voxcube,3,NA,NA,NA,NA,NA
6, Caixa De Som Jbl Boombox Bluetooth Preto Original Full ,1799,NA,"
			
				Novo
			
			
				
					 - 
				
				171
				vendidos
			
		",(5 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 15000
		
		 sem juros
		
	

	
		",00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,97,https://perfil.mercadolivre.com.br/STOCKCARNET,https://produto.mercadolivre.com.br/MLB-986918342-caixa-de-som-jbl-boombox-bluetooth-preto-original-full-_JM,85,5,1,2,4,#986918342,JBL,Boombox,60 W,Subwoofer,Caixa,NA,NA,NA,Bivolt,Subwoofer,De piso,5.1,NA,caixas portatil,NA,NA,Preto,NA,NA,NA
7, Caixinha Som Potente 80w Bluetooth Caixa Amplificada Mondial ,207,NA,"
			
				Novo
			
			
				
					 - 
				
				744
				vendidos
			
		",(8 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1732
		
		 sem juros
		
	

	
		",32,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,26,https://perfil.mercadolivre.com.br/ENCOMENDAMAIS-SP,https://produto.mercadolivre.com.br/MLB-1147417505-caixinha-som-potente-80w-bluetooth-caixa-amplificada-mondial-_JM,21,3,2,0,0,#1147417505,Mondial,MCO-07,80 W,Subwoofer,Caixa,NA,NA,NA,Bivolt,Subwoofer,Alça para Transporte,Digial,NA,Thunder VII,NA,NA,NA,NA,NA,NA
8, Caixa Caixinha De Som Portátil Bluetooth Exbom M33bt Mp3 Fm ,49,NA,"
			
				Novo
			
			
				
					 - 
				
				273
				vendidos
			
		",(8 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 925
		
		 sem juros
		
	

	
		",25,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,24,https://perfil.mercadolivre.com.br/BREVISTORE,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=nMJl9QnQ%2BglqVEfoSkZhDZgSRxn2K9WGWosNhjzzU1BJZJzVbsw3bCV9gqJxaTDqllALWpiPq9N%2B08quoyz0pKVuwP2I9tds5KUZMeX0GTc5r7cgb844t5n%2BEdP2s8UsEy%2FGC3cAG%2FM3kRljK2nncSB1WBhkGigLGRqCa93BalOzr4iLrmBjnNkDSoi%2BYTB3OZuJtnCWOm6lLpu9QpALSBmTgOK3HvdSEcSPIQuzny5cwLGZvJ3%2BEsDe3i%2B8dJ%2Ff5agClsRlDjXqP7V%2BMZkqOuCYha8BnT%2BW3lScKikJaUPuX7ZgnQxsxASA4B13b9XmAmO3AHiR0p9fGE%2Bx%2BRD0YhDl3XDUX1xd2416VRy%2BKgJ0xH4b4ZNl46YItnW6V%2BjpwhwKyM4SauhVUKChwyukXKENsq00ML3Xv%2Bew537sA24kVnaIY8EBxUn7Lt97KhqnkYZgoA2VzDs6CRNKenBPGKSn277tTufAlm8GgH9qC%2BQhd2Q8Rj6lmM5Xh1SPEwl2dNmkcPXuivEc%2B6aTLan5CoqZ6M903IcfPe4ClRzEWFja52%2BmKlyidSRUxwHsg%2FUT9KiO8wDyu5Y2o4UZYmoMxDhTTQVqNq26Sr2ar0zqtZhsIZaz565lk%2F8aV02gT97YIF%2FHjt3MsLYqeP4Di1SmYy0M53q7SBgp27y6YUqNU3UXb3kmgXAHGT8EAQOwqrJSERTUSdtIhAOKKQclUNz0TKS2O8Vt4xDg%2FSIsBWQf%2B%2FeAToQUrVXp9l0OJKDic3d%2BIGu2GirwtMzDdeQ9xi9WfjS9T8vS3OFcoUWIz64E4jPu9NQtjEsix9D4krxpbX2N%2FYl6I9kl6%2F%2FCoidSCkTmvMgPk43emBm0eX%2FVHjPtObR9oxZIFgmPbzPjdEaVER%2F8nrKnk8Esr4974p4ZYj4D%2FW4gXrYI7w4k1xSkh1lQY0Eav4wLN7HYt%2FsUVwplhxtye%2F%2FBEw7JjZBkswDaoqGYIwp1OurVKCrvFRTjCnZsZXUGAXCJ9FALvrcC0jCs1y5R0KUKY750cn1CskvdkJJ1NVpQuMP9Vc8UrzrizdM0gSTBmRpjnl9D4nflUAZ3GJdvGjznYS0oBdU3jfw8XwK4DK3rtNcWyOEIusZHXUcAzFRezONd%2Fe4cx1IyuyELN9ByBmjymNutTtEy3yuy5JU1YLo3OKrJOczIsxTc4bFK3pAOrMYiKq88%2BuDpGfZCTk9Ht%2FLFga8Ky%2Bt4xi7dvE9DmAbUdaOvinBbjIVc6IgFJBMOmlODBHOa6Xx%2B8uMyfNZf7CvoJsk6v%2BiUmRET0YUXIT7jrK4vErvDEMNF2xQpJAatVCppjNbUW6sJaltcyw5dB0ajnTD5FynolDIH3tpYQy9p1VcRMgr0g9%2BiDPiZkkWeQJjuQj1k0TGBE3GharzSWX9JJYulEQkWmNp6Jz8Jt0KOgUpUbAJOy2Zg2%2Fev0w68RtsEqhdjqtfqeAxxeqRo%2FLvl9hyxxgKRj67Uj1VkBur2hVUVL1vMvxKu%2BYWOwEQQQYuLYkmnXJiQBqT3%2FCmHL4t4zwyXCYQMW4i3y5H%2FQvtSeUdyQ%2BuIaGINPHUlTiwYDNdUNyaohuRSp4UzUjIH1q2reabeu8Lj%2FJRSnK6dVCDFXUGTYqHx5c3AKAUtnmnKp7BbJf5JpLqHX9B7ms7x8pTD57wTjIFy4xl3v9NJJ4W17RtXIiBHbC4ddPUAxZo2bU3dCOPUHNNBD6HXN2Qv0LG%2FjAODaJfjR8ZC30s%2BnB%2B1YIXcLiSTptdUzgNSa3bcrUsVg0gmYJTT7zuQkRyLhZbi3ny39OuPLSCK%2FSJtMBKpfxJ1HbuOp1rOgUT9lEg8czH0xLC3XlRXJfOKWNhuu9YFA3wLpZ9b%2FyM%3D,15,6,3,0,0,#939772594,Exbom,CS-M33BT,10 W,Ativo/Passivo,Caixa,NA,NA,NA,110/220v Bi-volt ou 5v USB,Subwoofer,"Sala, Quarto, Cozinha, Praia, Sítio",1.1,"Bluetooth, P2 Auxiliar, USB Pendrive, SD Cartão",Bluetooth,2,NA,NA,20 kHz,85 Hz,NA
9, Mini Caixa De Som 8w Rms Bluetooth Rádio Fm Sd Auxiliar Usb ,32,NA,"
			
				Novo
			
			
				
					 - 
				
				1122
				vendidos
			
		",(62 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 609
		
		 sem juros
		
	

	
		",09,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,30,https://perfil.mercadolivre.com.br/123+COMPROU,https://produto.mercadolivre.com.br/MLB-1019314215-mini-caixa-de-som-8w-rms-bluetooth-radio-fm-sd-auxiliar-usb-_JM,20,4,5,0,1,#1019314215,Importado,QS-505,8 W,NA,Caixa,NA,NA,NA,NA,NA,NA,NA,USB,NA,1,80 dB,NA,150 kHz,18 kHz,387 g
10, Caixa Caixinha Som Portátil Bluetooth Mp3 Usb Cartão Fm 300w ,27,NA,"
			
				Novo
			
			
				
					 - 
				
				2860
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 613
		
		 sem juros
		
	

	
		",13,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,80,https://perfil.mercadolivre.com.br/MEGA+EXOPLANET.SHOP,https://produto.mercadolivre.com.br/MLB-1169578372-caixa-caixinha-som-portatil-bluetooth-mp3-usb-carto-fm-300w-_JM,69,8,2,0,1,#1169578372,SPEAKER,MS-302bt,5 W,Subwoofer,Redondos,NA,NA,NA,NA,Subwoofer,Portátil,2.1,USB,Bluetooth,1,80 dB,NA,1500 Hz,150 Hz,NA
