search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Formato,Marca,Modelo
11, Auriculares Jbl Manos Libres T450 Bluetooth Inalambricos ® ,2690,NA,40,460,18 cuotas,149.44,NA,Envío a todo el país,NA,NA,5,5,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-457117328-auriculares-jbl-manos-libres-t450-bluetooth-inalambricos--_JM,5,0,0,0,0,#457117328,Con Vincha,JBL,T450
12, Auriculares Inalambricos Tipo iPhone Modelo I7s ,625,NA,27,73,18 cuotas,34.72,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MEGAOFERTAS.UY,https://articulo.mercadolibre.com.uy/MLU-463905420-auriculares-inalambricos-tipo-iphone-modelo-i7s-_JM,NA,NA,NA,NA,NA,#463905420,NA,Apple,NA
13, Auriculares Bluetooth Inalambrico Android iPhone Jogger ® ,330,NA,439,3996,18 cuotas,18.33,NA,Envío a todo el país,NA,NA,3.9,29,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-449191430-auriculares-bluetooth-inalambrico-android-iphone-jogger--_JM,12,9,4,2,2,#449191430,Sin Vincha,Jogger,NA
14, Auriculares Bluetooh Magneticos Con Manos Libres ,259,289,22,28,18 cuotas,14.39,NA,Envío a todo el país,NA,NA,5,2,http://perfil.mercadolibre.com.uy/TUBELUXUY,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=CBuaHuUG1pU01lH28dq%2B52mK4L5eUt%2BtycY6hDpXjuRe2R%2BN0wFq4AVtrVTXSOmFjN7N2d3UtOZgrG4JJmSzMYzX8I3oiA9lhC8sz8%2F9UXEU3LrB4Fzb6b6B5EazrrOmOKf3vAB0e6BLxiAoZcEw9madoyzis5aKeXYncWSu2AIo3YLYeBQpn6rR0aH9S5JcM0HxbXvQnpt6RujsIWCV2CTDrNlQwE33Gvu3wMvfgYzZR8%2FWZb5ZYDtinfteMEeU6p%2BehIUFX%2B2LdVORoR4%2BigOA4nJ5AQDitgOSQc1qSFVwmEI8ASQoA%2BHr8ohrA7Y%2FNzJYhYKhjPG1b72e1opDY2PzcWjnvv132vfOazRHnNqfqALXl2agZmTjNhplvEYbWm7HEjU6hDRfsOlq8wfVtu2PW9yG1HkfMzejcK9d0hhgHzsaEr7ACxfUSM53ZVoQHFZWigy7FjY6jV7lJQybQFjbf6SWv32EyfKG%2FQSqzLGsTSupH7UMees9CjutkVwLJsGXxJk3o9K0lq0xH4%2BIiJjry4f58mRLRalpMOexpT0lGHTBpJc54FnXxICrDluFt8iQOGfO881NAJSUWNppfpMzqdi0IGlf4kmIKonH0h%2FsVuFaNisk0KZ0rIh1unwwKqLQV%2BWkUqTzjEqq2FmqmVI1dqt37zIiyihaS3GX8yyAzhyRuxIt5Ue3l4BpWmsKdMKp0BucHeDn6Zawlp0NnzEt7r1kREoDmITFgpBeVeuRaqW3W1cmWXCe9mHejuqmtADTx7ZqLXbu2sceZmLLkD%2F%2FktVVA2GDA8q9uQBFDiLXPxmSnTRKVZUPQIYTsGO7vMQqtiPPG5H6B6V18rqt9D1U4Pd0Z%2F%2FP9Cc6AZ2hHIbgLk%2FXGNO3PLOPnOYotmxnZxCSYEOjb6IHT6GhBmYJM2BKKCrD6IEl7hBNYOr7t0ywiQNCqXMBoRXIyS0aQGpTgy5ZZReHNzS4LK3sGMOgbhIjhq8hYN4nypJAdo%2FLjGLaL8kOB%2Bwmh%2F%2FeiTVJV25PKZ6tpo17oybTs%2BRle%2B9q6ON5agZv1FJFDCyN0Ml8PrnuFJY9fQt7fyLCzw7gTQVWcz0Wy9K98BMDdLT%2FDlgsHQvXGHR%2BeFg54GvuT9mJOT8Wc6T80eqvV5pMzRAWJ66C%2FPyQ6lGXmoOZ4GHBZQXy4pwvPpes33jznbynDzjYFQHi0N3lLX4ROxgVKoPSObdwyQgTXQw2htYx1gxKlsEZxKs2j7FfeinCtlbajhVGIjbCEnH9mas6dYfQAuairIpqN%2FHqKJOWyVyGfOZYiGPLuDbVGnso6TaTtXPxj40FOHee2rJwsOcm4PCARsnOEmrop5K95pe0IdXJpAPj5WbG8SgyJ6XQoT6TMeZf6JqoSbj3TrA8BsRXhoxdTAiBOs5GCcoc3mdiPDwcTcnSGuhzRAoB226O6Md3oZbicFExo%2BIPDL14KbYI754Vx%2Bwd6ohE4wS8I9tNXu2ZSQWkJi3CABnchb%2F2txUVS03sxqRdzdO8vvD6m0yRm%2B1I2AIj4PPcG1HtLG%2B1DM0F2nHhc5mq90JAm6NqnXvIJJXdL%2BtEbRIKDhyTwUim86MhN%2BR6E4gt8bykszB5QeCmMJJv7llv5LneIZxBq9%2BFJbt7BHzjhg4alSZ%2BvGdpvuNChf7SmSY%3D,2,0,0,0,0,#464140169,NA,NA,NA
15, Auriculares Inalámbricos Tws16 Bluetooth Iph/android Ebuy ,50,NA,19,2,18 cuotas,100.83,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/EASYBUYSHOP,https://articulo.mercadolibre.com.uy/MLU-456715106-auriculares-inalambricos-tws16-bluetooth-iphandroid-ebuy-_JM,1,0,0,0,0,#456715106,NA,NA,NA
16, Auriculares Bluetooth Deportivos V3.0 Calidad Premium ®tc.uy ,347,NA,69,940,18 cuotas,19.28,NA,Envío a todo el país,NA,NA,5,2,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-452512494-auriculares-bluetooth-deportivos-v30-calidad-premium-tcuy-_JM,2,0,0,0,0,#452512494,Con Vincha,NA,NA
17, Nano Auricular Manos Libres Bluetooth Ultra Pequeño Comodo ® ,190,NA,129,4993,18 cuotas,10.56,NA,Envío a todo el país,NA,NA,3.8,9,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-446287032-nano-auricular-manos-libres-bluetooth-ultra-pequeno-comodo--_JM,4,1,2,2,0,#446287032,NA,Samsung,NA
18, Auriculares Bluetooth Manos Libre Deporte iPhone Android ,18,NA,60,19,18 cuotas,36.30,NA,Envío a todo el país,NA,NA,4.6,7,http://perfil.mercadolibre.com.uy/LIDERTEK+SRL,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=hyADHUImdePFutVWYsVgraYjzYvC648D%2BkHla0PShCxGHkbeT2R5NaTJl%2FS6jnpZWAzBYx6nid8frxbbTm1B3J3AYQTEm%2B90rVkSTx3fvxq3RlDlE6AsDEqK0S7LYQN%2FF2Rzk%2FjYDdCp0wUc6AVFeuyvBH2btsLET4fDQqz88uCHiNkBa2MeUSvIVv6jq80fKmYrisGJHF8foq4OI%2FVQ299URp4zQF1JM6XQnIPzu5E%2BjklP%2Ffbdi1S0g73HLIx%2FbDloOBI4XHLLxi44veYqBMxajHkYqXkRL0svcYC9%2BSOdbI9fZhgWEl6CwWsPVp8ZF7nUu1ZPpbjIsDUr8DVr%2B%2BZR6WcdM6y67XRY6ItU%2FTHxytbjcvebq6Cb%2BBFStyc9gQ%2BhefwFIXWANclF9x24DMJEGmRwR2dTrNgZuiXf4qJvNeyWabhuxO%2B89wRfBr4L4NBstN8ld85PK6OAA0K7H8SVCNoD%2BQk%2FW4Lo92DniEIahsfof3VapC0G0wforN%2FOKmxhSYX2zXGHZq1vVza1OwO%2FBdhnbFrNoV0b9HVIAU6oHXS2MBhxpC6eWMQa2vOUqB%2B0TIdCTPJonxHe%2FYJDhkxSzn6VAbpG%2FHCie55WC6uCUJW1be%2FMjJyR7Af7zGMhN0wXOH4qGghnjTmRiWrqfDFL6gMWYyYoNOT3FUGlXhj%2F8BMb1E0a4CXq0G52pxFCo5Z%2FjBR4EdxFRv%2FeV8NA8jyO8wQcPRaBipVjwoGkB8%2FORyutHyTmQ16TQv8SJtwzEr%2BO26sf8atjrMK4OkvoQCD3XkGxQoJRnq5UVY7VAL9UCuZijUEUMsBbpuhSBBLa8EMgg7erORYnT3kx3Y8BPOzl5UO957TNtSoIG1GyqChrXTHJmSo5K0%2FG%2B%2FwS7yYM1t%2BD1%2BtbID2pmdyofY00CNmC%2Bdh3VjS%2ByTpuLdBhFjVaeJHbBGSPYVnIlDI1AR6Jv5B2BQF3Usml2bVhMHF8PB4Bdv40F2XYBB0b3Dpq3Vhe6A%2B2TqVBNdf0jsaJ1bM6N%2BFITbWOFmldEMWE%2BXND3IyMucGMVH0L%2FIFvVXYH1vrxJFANFJwJkD3q7tX5FlO6jgQSHtb6cGk4iuTPUsG3SpT%2B1oa0%2BtBXpYk7SLTmwyhlUMjDe1giEeJxbvQROqY3RII3SFF3iDX%2FkWaS2fIsxZs77Q2cUi6DtIQ0Tn8JhE8PSj%2Bx46oNztiadv06B5js2Aena4mdk4NAKK%2FMu2xvOyBhj0YzB8A68Yx508idSFz%2FaHfxQhZGIlsl60FsjuSRZJQXlxp7oifKWiWiYFbELLNvGJ2I2Oyrd8tQ%2FHdjPA7EGHdkmdOG8qiNanhvVHq8sRrNv0WaKfvDdDR9pLZtQg9NoO2bIOOH8RG3GfC0PqfsVZ1wBbgTonUvOxhEDLHLl5Hqy5D7xKepnxh3WTF%2Fu7pEW%2FY%2F%2FiaoS5jKZ57Qg9QNa5mdjzp3Bc2217BqSw7lOQgoK5VzdaINJ6df8CW6KhJJyUzGpt%2FS7aCE0kYOsTDn5CjQF9cjurpReujcGRVz8QE5QSMV%2BvTiy27m2JMQzHFHsAG%2FySjwgnUvJ5L3Jv2dNL44RFcTNvRmpIUzbi1rXB6i%2FLpOBH%2BOKLyqzpbpu%2B6ccFN%2FI76SrxYYsAO0fTnqnE2f3oUReMmV158JssvqAsY280G4Gg%3D%3D,4,3,0,0,0,#450309766,Sin Vincha,LiderTek,No Aplica
19, Auriculares Bluetooth Manos Libres Envio Gratis. ,390,NA,67,113,18 cuotas,21.67,NA,Envío gratis a todo el país,NA,NA,4.6,5,http://perfil.mercadolibre.com.uy/VENTASUY+IMPORTACIONES,https://articulo.mercadolibre.com.uy/MLU-457117278-auriculares-bluetooth-manos-libres-envio-gratis-_JM,3,2,0,0,0,#457117278,NA,Supreme,BT 10
20, Auriculares Bluetooth Stereo Manos Libres Wireless Magnetico ,380,NA,185,5000,18 cuotas,21.11,NA,Envío a todo el país,NA,NA,4.1,28,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-450505995-auriculares-bluetooth-stereo-manos-libres-wireless-magnetico-_JM,14,7,4,2,1,#450505995,NA,NA,NA
21, Auriculares Bluetooth Similar AirPods! 3 Hs De Autonomía ,1200,NA,324,5,18 cuotas,66.67,NA,Envío gratis a todo el país,NA,NA,4,49,http://perfil.mercadolibre.com.uy/IMPOCAR+SA,https://articulo.mercadolibre.com.uy/MLU-453836799-auriculares-bluetooth-similar-airpods-3-hs-de-autonomia-_JM,20,16,9,1,3,#453836799,NA,Apple,AirPods
22, Auriculares Manos Libres P47 Bluetooth Inalambrico Calidad ,577,NA,98,912,18 cuotas,32.06,NA,Envío a todo el país,NA,NA,4.8,6,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-453667348-auriculares-manos-libres-p47-bluetooth-inalambrico-calidad-_JM,5,1,0,0,0,#453667348,NA,NA,NA
23, Auriculares Inalámbricos Aiwa Aw2 Pro Bluetooth Amv ,39,NA,13,10,18 cuotas,78.65,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/AMVSTORE,https://articulo.mercadolibre.com.uy/MLU-459601662-auriculares-inalambricos-aiwa-aw2-pro-bluetooth-amv-_JM,1,0,0,0,0,#459601662,Con Vincha,NA,NA
24, Auriculares Jbl Endurance Sprint Bluetooth Celular iPhone ,2400,NA,35,99964,18 cuotas,133.33,NA,Envío a todo el país,NA,NA,4.8,4,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-459244517-auriculares-jbl-endurance-sprint-bluetooth-celular-iphone-_JM,3,1,0,0,0,#459244517,Sin Vincha,JBL,SPRINT
