search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Potencia de salida (RMS),Marca,Modelo,Tipos de filtros del parlante,Peso,Conectores de entrada
758, Parlante Sony Mhc-gt4d Bluetooth Nfc Surround Usb 2.1 Nnet ,1057,NA,0,999,18 cuotas,2.061.74,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/NNET+URUGUAY,https://articulo.mercadolibre.com.uy/MLU-451042522-parlante-sony-mhc-gt4d-bluetooth-nfc-surround-usb-21-nnet-_JM,NA,NA,NA,NA,NA,#451042522,NA,Sony,NA,NA,NA,NA
759, Parlante Bluetooth-inalambrico C/luces Usb/sd/fm- Negro ,430,NA,0,3,18 cuotas,23.89,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/CASA+DELAIMPRESORA,https://articulo.mercadolibre.com.uy/MLU-459561200-parlante-bluetooth-inalambrico-cluces-usbsdfm-negro-_JM,NA,NA,NA,NA,NA,#459561200,NA,NA,NA,NA,NA,NA
760, Barra De Audio Parlante Con Luces Led Usb Sd Bluetooth ,1595,NA,0,2,18 cuotas,88.61,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/SILVERLED,https://articulo.mercadolibre.com.uy/MLU-457893379-barra-de-audio-parlante-con-luces-led-usb-sd-bluetooth-_JM,NA,NA,NA,NA,NA,#457893379,NA,NA,NA,NA,NA,NA
761," Parlante Portatil , Usb,sd,bluetooth,fm Cafini ",2099,NA,0,10,18 cuotas,116.61,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/INFOTOOLS-IT,https://articulo.mercadolibre.com.uy/MLU-464359433-parlante-portatil-usbsdbluetoothfm-cafini-_JM,NA,NA,NA,NA,NA,#464359433,NA,Cafini,NA,NA,NA,USB
762, Parlantes Activos Xion Xi Xt69 Bluetooth Microfono - Fama ,199,NA,0,999,18 cuotas,388.16,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FAMAELECTRODOMESTICOS,https://articulo.mercadolibre.com.uy/MLU-457845532-parlantes-activos-xion-xi-xt69-bluetooth-microfono-fama-_JM,NA,NA,NA,NA,NA,#457845532,NA,Xion,NA,NA,NA,NA
763, Jbl Parlante Inalámbrico Flip 4 Rojo - Mosca ,149,NA,NA,3,18 cuotas,290.63,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOSCAHNOSSAMOSCAHNOSSA?brandId=330,https://articulo.mercadolibre.com.uy/MLU-458006567-jbl-parlante-inalambrico-flip-4-rojo-mosca-_JM,NA,NA,NA,NA,NA,#458006567,16 W,JBL,Flip 4,Activo,NA,NA
764, Parlante Bluetooth Portatil Resistente Agua ,590,NA,0,30,18 cuotas,32.78,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOMI7705901,https://articulo.mercadolibre.com.uy/MLU-462853458-parlante-bluetooth-portatil-resistente-agua-_JM,NA,NA,NA,NA,NA,#462853458,NA,NA,NA,NA,NA,NA
765, Parlantes Edifier 2.0 R1280db Bluetooth Madera Dcshop ,140,NA,0,99,18 cuotas,274.11,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/DCSHOPCOMUY,https://articulo.mercadolibre.com.uy/MLU-465149812-parlantes-edifier-20-r1280db-bluetooth-madera-dcshop-_JM,NA,NA,NA,NA,NA,#465149812,NA,Edifier,NA,NA,NA,NA
766, Parlante Portatil Sport J-007 Bluetooth Usb Memoria Tf ,17,NA,111,888,18 cuotas,34.13,NA,Entrega a acordar con el vendedor,NA,NA,4.5,2,http://perfil.mercadolibre.com.uy/LSTURUGUAY,https://articulo.mercadolibre.com.uy/MLU-447011102-parlante-portatil-sport-j-007-bluetooth-usb-memoria-tf-_JM,1,1,0,0,0,#447011102,NA,Genius,NA,NA,NA,NA
767, Parlante Bluetooth Con Radio Fm Us + Transmisor Fm De Regalo ,490,NA,2,18,18 cuotas,27.22,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/BB-IMPORTACIONES,https://articulo.mercadolibre.com.uy/MLU-459201428-parlante-bluetooth-con-radio-fm-us-transmisor-fm-de-regalo-_JM,NA,NA,NA,NA,NA,#459201428,NA,Cafini,NA,NA,NA,USB
