search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Voltaje,Potencia de salida (RMS),Tipos de parlante,Tipos de filtros del parlante,Lugares de colocación,Formato del parlante,Conectores de entrada,Configuración de canales,Línea,Peso,Altura
11, Bocina Jbl Flip 4 Bluetooth Contra Agua 12 Horas De Pila ,"1,999",NA,"
			
				Nuevo
			
			
				
					 - 
				
				1605
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 11106
		
		 sin intereses
		
	

	
		",06,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,312,https://perfil.mercadolibre.com.mx/COMPUPRICE,https://articulo.mercadolibre.com.mx/MLM-594508989-bocina-jbl-flip-4-bluetooth-contra-agua-12-horas-de-pila-_JM?searchVariation=19078026560,283,19,6,0,4,#594508989,JBL,Flip 4,NA,16 W,Subwoofer,Subwoofer,"Suelo, Repisa",portatil,NA,2.1,Flip Series,NA,NA
12, Bocina Bluetooth Regadera Contra Agua Llamadas Recargable ,499,NA,"
			
			
				
				547
				vendidos
			
		",(172 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 4930
		
		 sin intereses
		
	

	
		",30,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,24,https://perfil.mercadolibre.com.mx/SELECT+SOUND?brandId=1529,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=JhkK3Azy%2BmHuhE52SCViwop2trXGwJ0B6xzFzaLNBv5lk74yzZ9VkeMpEpIPvW%2BYozsDKXffx%2Fm8Xsmi07m0KftEVvH3V9Xw3zjla706DAp5y1DiLYHHDWmo%2BraAgJLThix3PGq5qUIrwA67LkbD0%2BLGz%2BeaGTrQJYXN7sF%2BZZjgxW%2F64XD3MjxhLy6hx4RckQY4LFIJYuw7QD95kpZaMl8XHPDFRtS2iFW3867ytZo486bt1ca7ssWGNkq%2BF9B4Nx6LaY2x%2B9BhlvhEWuHyIAwYVWKV3V22AMqgcE7eSH92N9BUttdoH%2B0a8zlHEokpOW4utZOejhRPw3FJWctbTxUuJOrnHjkPHbNhSQkWNeYPYp4H0Yp06foG76EH8Mwv%2BHWAbi13w1%2BsI%2FWrfSIzYouorBkLR6vSPfJM8nhtTXg94SpZaG9MGKavl87uqr8svuBToKlHsYU2AIvghQQDW2jW8T94II6pkh4uhloHkjB3fTglf4mjfN8xFx%2FquZjXJEU24435sdZmS%2BiXarC9hc3VmLw05yKDVm2KcPGZ1y99Q6%2FNSwvSXhgpzXV42X3Zh6g7OMiq7fMYrIiecVyDzHWTNMkMQjkbvqfsqI7mm5Alzw%2FZ66UWss8QeZx6ADWwMdrzv5Epoz6RNQulSJNJ9SxMgoIHP%2BeWjQp4CZaY65rk0O9ae%2BpbScribfBvsiNG1ON%2FET7YH6ja1k4Oyk%2BDyAibVWWsaR504heMxr8yZB8ZfBLbvgQ4BF%2B0plIaVITUoq93HQhOO%2FViwXjI%2FRYZTZPLV8h%2B6bjNsMNKGo1e%2BFImFctX5e96TQUVFpJahbvPDrq4N0WED5cHsk8PYnxZzBw2EQ5YihYgi3JpfdK2DDhXuuHtg%2BBPnWmjWFseterpt%2BqVQnzBK9L1snFUlleUF3Yv5w8ATMFbnVDWUpq1mFvGnAp4kC%2Fjwks5BOavlFNVJNsy1q1H%2FObTgGp77zboFLpsmsYCzXKtz5Hmgb5opQs%2BhtJpOchhCqrLtyFDoxeLGxOEPTeYiCOMuG7Rx76R0XiS9qg8Ri7xp0ND96QIin%2Bd6mLsXS5EUDe9HCjkatSDeUx7CL0x4eKhFH1dSqRW4gj0Hc5JEY585oG%2F32Q95FwtZCFXxXNKM5zMl5pQnKd7pbulvGNtQPcAThpyP3BtuBuzU2HFnf79x0Q%2FSVy97G6xX9M%2BF2VW0vuQHleZsPC3iOk6AR8%2FvQ%2B5q3c2JD8bdFbGqG6uRGzsG8uQgV1F1R9RWB4dGpLrn5MfPjdi7K79zCOq%2Bt6rZrR3wIIuk19b42p%2ByiGmXhQbTOc3Ig2YnaNehsHqwSJMj3TPBqvYhzopJtvRUhE8d6Lv3hlJTRZRnLB763wAjyI343RugWo%2FUetdHea4EQDoQFdaqQoYXbDWdIX8TW9BRGI1gdV5aG%2B%2BG%2BL1IspqJlNSjoy1d4Q2I7%2FwaPMMMpCI8H32j9LENvYnwgVRseXwxjYGhkIEsh5yH2XgrHAANmkoTz%2BuevuGSVC8jBpH%2Fk7DUdvbavg6N5avuKemKEQZ6%2BCr3nPDx2lstqkaxoM8DPVDy8uwfEKnLZzEvH7vUkkf2vB%2Bgyi0Yyi4Q3AZn74AKPQbhlwBxvFYDoRp8L9stSPPlCdVLHbjOZkBzdN%2FB4vQ8NbZ3Lm6CpQ1W3WwJXdF86y88UhJGlT%2Fnu%2FhaFzy%2Bma7hzEIlAUamJWA1SWrzwKM9XKLwBQE4dRgm2cFovSBDShWbl0rVIfYC0ODw2cMpEG01v0RgCpJwonNuBuBwNUzTFKSj7JnLwTiPjKCDB2VlGMeQq61S0dlH6rrtX0%2FLm42IoMF5bkUW%2FVYxFDaAe%2FggjNe1bFREcOlVNIT3s%2BK24bxLQA2EDyzuDHiOhzUky4XsezU8tkHB0FcETuolFRhHb%2BOF9d77WawStp%2FWY%2Fr%2B5mYjo04mhFbb5tZYpzRYPk6kcmTfIB0pSTycOk%3D,19,4,1,0,0,#589887600,Select Sound,BT228,NA,10 W,Subwoofer,Subwoofer,NA,NA,"USB, Auxiliar",NA,NA,NA,NA
13, Bocina Jbl Go 2 Bluetooth Metalica A Prueba De Agua ,89,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3145
				vendidos
			
		",(138 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 494
		
		 sin intereses
		
	

	
		",94,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.1,76,https://perfil.mercadolibre.com.mx/SLIM_COMPANY,https://articulo.mercadolibre.com.mx/MLM-573669297-bocina-bluetooth-regadera-contra-agua-llamadas-recargable-_JM?searchVariation=26977997908,44,15,7,3,7,#573669297,SM,WATERPROF-SPEAKER,110,4 W,Tweeter,Pasivo,De piso,Caja,NA,un canal,Bocina,NA,NA
14, Bocina Bluetooth Select Sound Bt228 Bazooka Radio Fm Usb ,750,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2343
				vendidos
			
		",(40 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 4167
		
		 sin intereses
		
	

	
		",67,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,479,https://perfil.mercadolibre.com.mx/COMPUPRICE,https://articulo.mercadolibre.com.mx/MLM-633129993-bocina-jbl-go-2-bluetooth-metalica-a-prueba-de-agua-_JM?searchVariation=33454705488,445,31,2,1,0,#633129993,JBL,GO 2,NA,3 W,Super tweeter,Super tweeter,"piso, repisa",Caja,NA,No,NA,184 g,NA
15, Bocina Recargable Bluetooth 6.5 Usb Fm Bafle 6000w Fussion ,599,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2124
				vendidos
			
		",(39 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 5918
		
		 sin intereses
		
	

	
		",18,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,149,https://perfil.mercadolibre.com.mx/ORIENTAL+FITNESS,https://articulo.mercadolibre.com.mx/MLM-594639543-bocina-recargable-bluetooth-65-usb-fm-bafle-6000w-fussion-_JM,113,27,3,2,3,#594639543,Fussion,PBS-9970,NA,65 W,Subwoofer,Subwoofer,NA,NA,NA,NA,NA,NA,NA
16, Mini Bocina Hongo Bluetooth Recargable ,128,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1987
				vendidos
			
		",(9 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 1265
		
		 sin intereses
		
	

	
		",65,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,29,https://perfil.mercadolibre.com.mx/GURUDELGADGET,https://articulo.mercadolibre.com.mx/MLM-631248089-mini-bocina-hongo-bluetooth-recargable-_JM?searchVariation=24953043605,24,3,1,1,0,#631248089,GDG,Mushroom,5 volts,3 W,Tweeter,hongo,"telefono, mesa, vidrio, plastico",Caja,NA,ninguno,NA,NA,NA
17, Bocina Bluetooth Recargable Contra El Agua Qb09 Negro Full ,63,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1683
				vendidos
			
		",(172 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 632
		
		 sin intereses
		
	

	
		",32,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.4,7,https://perfil.mercadolibre.com.mx/PSACOMPUTOYPAPELERIA,https://articulo.mercadolibre.com.mx/MLM-553117263-bocina-bluetooth-recargable-contra-el-agua-qb09-negro-full-_JM,4,2,1,0,0,#553117263,Vamav,QB09,5V,3 W,Activo,NA,De pared,NA,NA,NA,Audio,NA,NA
18, Bocina Bluetooth Select Sound Bt228 Bazooka Radio Fm Usb ,119,NA,"
			
				Nuevo
			
			
				
					 - 
				
				990
				vendidos
			
		",(510 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 1176
		
		 sin intereses
		
	

	
		",76,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,6,https://perfil.mercadolibre.com.mx/TKPARTES,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=9uBThqqxwDnuRe%2BcSxqyhrllyIPg9oVP%2Bw2kalolPTOp%2FRpftYbeecLHHFQhHkSeVl5REm3CqQiIc8CPhJIytptZXat0R7Mv7BHq9e3k5Li4MtwqEbHup7SgV7STcvdocLhs7tha0clEWwTzN2oV8oH3FYR8jM5igtOmXqYIBbfOh6Ux4j1mdOXEELgOWyDic%2FztHR2NnBorxVKfXtbyNBq8T3a0YlDGAWw1UEPwjs7La%2BIwsVNkfoP7gNdco52k%2BJ1nrZqiFd%2B9SkhkQMa5JEImAh2gHWDGd6HmORTYtcgZEudpE0k99mRUusaeVqjca0r4FppRoy9voduA7GBiflCcXBZ3LJLREEl5amI8aSs3HvinzpDGK%2BkuAi4NvDKG22Fs7bYGt9sdA43f16w06n19wiJbYgYweUjF%2BkheHel3IOe%2BJASyVD2JCKJX%2BEoIYqU3Auiwpt55%2FPSEAsbhgPW%2Bn9PDgQAOWZXJ4I2bo5ktDquJLQXO3zjeshxtXdzku2wIoFJSVDK1d%2Fikmv7CXEgW%2FIxqqRnUm5LO0gDcEEUQyS5AsXR0KMF9pYVgqPbpqsDaHGvmyQxJnmTJkEjJmxS5XFyspORXGFISWnFeT0yqv9UaITXXCiWTLRYZ0aBBkpFMU0FALHEgbFtOmxdi711L0CD%2Fqx04BMERYxtT%2BmlPjUL7dz%2FjEB89v9ABSPDNTT%2FguYJr7jAS9z67C7d5iGSrrOsvtACaVRU%2BqMjGCArYlboIsnn6Bzo7SLuq46IJowZIr1vdQ%2B4B8K5kvx%2B%2FLl0QURVQmidJ4NTQzd9dkth7GxHLma7AUA1QDETullOZglJawzrUrCfY4eww8TloZ%2FY1rPBbGVW7qj3F%2FNXR2mzAX0CuZ%2B3kXcGvoy7m2k6NYBiTOGUjwBicfXyo7AvfhSMH1%2BW%2FGKX23SxZcdttFNqeMJPvuFMeoDS%2BrOZnC12DQqymAXPkOWW1SJFRZjBpUp%2FMVUgyL7b1rca1QE4R4LAiyvhjgwDGg1Iu7ZbX%2FzWHy5kmsupzmK3Kd6BgBqqQyDxKmZYTx4FG5hSLAygc8bZjBls7DyfVCckLKBbtm6dNQ1rmzSCwUQ7ltShipEV32Cv1X0bwsKflie5rxBYiBx5LVgmyJLkwijwSfRO%2Fm3NpVZuwg2ZcoNit1ai8SZFg3rV8zw3GsFaB04m%2Brrgv9CCkDxVI7bJsKh1L3uWzgd6VoSyHXcfBgH3TsL7OhfJ2tquMSeOFk9yOyhcmNtJ3ykPDLaV9P906e3ny4u%2B%2BxUTnbn1nObs%2BY4ZiuxyC7Aog83TRpLIeHeHiwPuGiAKpptvkWeBOTQAHYxEYlzGqiXTlWNbRVmYvvx%2FEErKZhG6VZC%2FRLjgT6Fpy6G1nkGU2l1BQVDURz6uAs2rp3otvz7OTYTohK3RthzA2BvrgJ%2BJRJVWdPZqz%2BmXVeeLA4lAKKXXWweOtyV%2FDM%2F7yVSqcZ%2Fk3B6Xgddr%2B3mJb9MH7gcs2sOPU4pmd%2FRK9GkCsOJHfCbpNlD0dy6aqsUyjwJ2tPey8XHaQLpz%2FShbURW%2FU%2Fhpw8xihYA%2BPB8pr0GFdyd8gCIAnZNaQxG3jcpn34Sxeer2zjzPhpIPwz0D7CsIhB0c9ECAUxI3g2Rnywr6ru0p2eZOzEW7TjdtJCAd%2BX6SHnBGut7mz5V3ncpCuW1kA%2Fwo5OkR5tlVNyuOORwGnK2OpalT48QDxQMH4Q2NEj2YOaKO16qJoz6t2OgfZ4Gf3ARHIHs8K6BEtlv8msosYaTMjOg4ChcCeZY6CLNDBFADOaUGNPJ2oY0zcgZg0oBWfqr%2Bg5QYVbZZUV7SDvWBa0Ztdp8Sw1YGm7kYp9t4%2BNkVSK%2FWr2UOPo3XFQsuRHufUTdEIjDxOf3hwAlkLXJ90qE3tPKF4oeT3wL1WBbRj5VKDJyDofHN8HpMpIxftklI%2BUumgHgIV8bRKapE%3D,5,1,0,0,0,#680310832,Link Bits,QB004 VA309T QB005 VA310T QB006 VA311T QB007 VA312T.,NA,5 W,Subwoofer,Subwoofer,interior,NA,NA,no,NA,335 g,NA
19, Bafles Amplificados Bocina 8 Pulg Bluetooth Star Sonic 80 ,499,NA,"
			
			
				
				547
				vendidos
			
		",(76 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 4930
		
		 sin intereses
		
	

	
		",30,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,24,https://perfil.mercadolibre.com.mx/SELECT+SOUND?brandId=1529,https://articulo.mercadolibre.com.mx/MLM-589887600-bocina-bluetooth-select-sound-bt228-bazooka-radio-fm-usb-_JM?searchVariation=25443119914,19,4,1,0,0,#589887600,Select Sound,BT228,NA,10 W,Subwoofer,Subwoofer,NA,NA,"USB, Auxiliar",NA,NA,NA,NA
20, Bocina Portátil Bluetooth Fm Mp3 Micro Sd/usb ,548,"1,040","
			
			
				
				1017
				vendidos
			
		",(16 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 3044
		
		 sin intereses
		
	

	
		",44,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,54,https://perfil.mercadolibre.com.mx/VENTRONIC_T.O?brandId=884,https://articulo.mercadolibre.com.mx/MLM-589904774-bafles-amplificados-bocina-8-pulg-bluetooth-star-sonic-80-_JM?searchVariation=18041380962,40,9,1,1,3,#589904774,Star Sonic,ST-80L,100v-240v 50Hz 0.5A,NA,Subwoofer,Activo,"Piso, Tripie",Caja,Auxiliar,NA,NA,NA,NA
