search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Lugares de colocación,Formato del parlante,Configuración de canales,Conectores de entrada,Peso,Voltaje,Tipos de parlante,Altura
11, Parlante Bluetooth Portátil 4500 W Trípode + Mic Inalámbrico ,2199,3000,"
			
				Nuevo
			
			
				
					 - 
				
				349
				vendidos
			
		",(53 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,64,https://perfil.mercadolibre.com.ar/AJAXGOLD,https://articulo.mercadolibre.com.ar/MLA-735697832-parlante-bluetooth-bomb-40w-luces-led-potenciado-usb-radio-_JM,49,8,2,4,1,#735697832,Kolke,NA,KPM222 BOMB,40 W,Activo,NA,NA,NA,Entrada para Micrófono,NA,NA,NA,NA
12, Parlante Valija Carrito Karaoke Bluetooth ,1619,1799,"
			
				Nuevo
			
			
				
					 - 
				
				136
				vendidos
			
		",(21 disponibles),6 cuotas sin interés,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,11,https://perfil.mercadolibre.com.ar/ELECTROWORLDGROUPARGENTINA,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=N8MTGsoNHl9nW%2FD9BMjdmpyXi7PYkpE2gp5M3V7R4kbuWQev5XBU3pqP1GccIuFf4Z6Wg61i0VBspznO82MtUhIv0BdSRqraqy7a8XLs16s6LXGv2OqfLSj%2FHlt5ZzEOVe1OLFSAjlNl64rS%2BzzKxwhsyAVWJh7nz%2BkvN6q1xuGRdE6cyQMdzRZTTVNtiRk%2BaJFojlvIVU5cY%2B%2F8UbMY3ngabEGAloLTQNt6btC7MKPwi4Rfxiu99ZShsGtnQ1TyWqytsJgD%2BqqhpeNukRGGavVzDUgaqIaOE290uwoBO6uqie7DWxjEjygrstJl%2BqcEKeis5PyeKOUpt%2F%2BIIvqnGB2%2BhlC5tkdIJ1z6M3CWDS9GjhkwDwBCA8R2BND95ukIkH62M4wnD6Z1v%2FAgRKpeY2PtbnaFjbyDrv3UptabHM8ec3UYvmx4SmlJzk8yZegVruk3Bi%2FGz%2BTP1rIm2Ng8cuibmV5PqqFJWpWzYAFbeCkA6hmwhAkH%2BIiifyr0pVsJ9RUjSxdoL2p3eQw8NlzXg4jAj9UzgeWE35cmcwsEgmtOnNQ46utbZxaXtW5ZRfJG3ElRmDkFICae2UgbEKCck0yvDWvbAgKkBSljvXMBPW2mXKCsqKnqbl20GFZTWFj3S%2BkSTcjWEffX40gLvETW%2Bqv2p1tH2huvD%2BGEGIU3aEXCC4NBLjWD1LRwd0mHxwge0x1ypdFhHOsUo47Zph6W1xRFY7xyCnyAFwy34YriuuSs226xjm6eo6TOdOOzJmHQ8jBRqfV1pF9FFQxiedNv6IxfumTeoYYgQMfOLY4JHetVSL0r56BUHXKCxlRZryRzbPwA5oASjpmXgdYSSt3QfJRBrN88oIUQ6akomfI7Zzg%2FC%2BA02SG1xrGisfdN9nWRl8gbE2LuZkTAnaNuQt5Y2wJSEPKf9EIHbSEK2Kq3P%2BdB42aZFMtiChtMFM7JjgmsX1RRFU69Zz%2BoRxDoaGrBGiX5sZ9fdAxsjhxBj6A5vEuwPFaWhAlGKuvPP31bB%2FJg9HH7ZFs7QpJfMZQPA7HweipcAawvX7akZ0nMOa2McG3cx67QwWcoQu5teawc7OOsPzGn%2BxbpOkez8LC8mi5N07UK3clE2XnEK52KN%2BUfYRJywH27FMUbRaIcWpeAmn3gz9w3WcnA0c9roiiEgdHz3DXDUrs3ytNmzGKtcR3KqRkqg2Jk4rWk%2BTlft008k%2BoVUU1n2CIjTD4LLB%2F8ATTGZNXyxF%2FJsZZsyOA3zcuVeZuRXfeTTJG1a4hVLYAmPuCaUhdjx72877uhiqJPAvkittzKBAkOPtCNUhAbU6NqZUh%2FDnNcSGMMRyM3jRInWbusubcusEGjaO%2FV4fdf%2F6EIsFf8%2F6q%2FpShXwu2KPgxLf96aqlFsL9UfLs46uGl1peoC6Al5INT%2F4AiF9R2aotyF6BmK%2B6UYY4zizg0WPVd5uJUoEOuqGS3gwmXxPLx%2BQG6LMSuCrUP148SEkBI%2FB8JWxMfdaBPjbx%2FG8s4hEf3BykLJwtXmlisWdpGKN2c%2BlOxXNB6RxwPu4iRsyk42FHZypr%2BoEv5u7clJ9f0o5Wj4JFla7se4aLusI%2F6BdheXDhD1ANEpc9PTq%2BeS35jfBptzifJQHyZ2DMfocnm6EiA2Xqm%2FtX1HB82g88zUlhSHEZBpEjvQxK5VHQYpmTF5tNawhBWwyDndi25thxo7I%2FUNH7H%2FQF8bt%2F%2B6Jjgj2DX5kmOvxFmhDpIoAaOcjPlZPcMO%2FlfGMtUXyQcTY0NfLmfGIjpB4%2Fo%2BJC4TcrM94Agu85yo5cRNwxX5FMgQZCh7Vo5j6ceyj83PbZfYFZUtMGfFjUgkKJ%2FnUeqy2neF9gQpl2RQbg%3D%3D,8,1,1,0,1,#760433469,Vivitar,FABRIC COLLECTION,VF60013BT,5 W,Woofer,"Piso, mesa, estante",Caja,NA,NA,NA,5V,Tweeter,10 cm
13, Parlante Xiaomi Bluetooth Inalambrico Mi Speaker Jazak Shop ,3199,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1683
				vendidos
			
		",(2 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,316,https://perfil.mercadolibre.com.ar/PHOTOSTORE,https://articulo.mercadolibre.com.ar/MLA-614542424-sony-xb10-parlante-playero-resistente-salpicaduras-y-arena-_JM,253,48,12,1,2,#614542424,Sony,XB,SRS-X11,10 W,Portátil,PORTATIL,Caja,si,USB,NA,USB,portatil,NA
14, Parlante Portátil Vivitar Bluetooth Cuotas S/interes ,1349,2299,"
			
				Nuevo
			
			
				
					 - 
				
				976
				vendidos
			
		",(989 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,84,https://perfil.mercadolibre.com.ar/REAL-COLOR,https://articulo.mercadolibre.com.ar/MLA-648179703-parlante-karaoke-bluetooth-usb-luz-sd-microfono-_JM,59,18,5,1,1,#648179703,TECHNOLOGY LINE,NA,SBL10-KARAOKE-RED,10 W,Woofer,NA,Caja,NA,NA,NA,NA,NA,NA
15, Parlante Portatil Bluetooth Gadnic + Mic Bateria Recargable ,3600,NA,"
			
				Nuevo
			
			
				
					 - 
				
				269
				vendidos
			
		",(25 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,14,https://perfil.mercadolibre.com.ar/JBD-HITECH,https://articulo.mercadolibre.com.ar/MLA-719694463-parlante-valija-carrito-karaoke-bluetooth-_JM,9,1,3,1,0,#719694463,RX,NA,RX-1010,35 W,RECREACION,"PORTATIL, CARRITO, VALIJA",Caja,2.1,NA,NA,NA,CARRITO,NA
16, Parlante Bluetooth Jbl Flip 4 iPhone Android 100% Original ! ,217,NA,"
			
				Nuevo
			
			
				
					 - 
				
				416
				vendidos
			
		",(9583 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,6,https://perfil.mercadolibre.com.ar/SMART-CLICK,https://articulo.mercadolibre.com.ar/MLA-789005543-parlante-bluetooth-recargable-ducha-anti-agua-con-microsd-5w-_JM,5,1,0,0,0,#789005543,MIYOSHI,NA,Modelo C6,5 W,Tweeter,"Ducha, De pared, De techo",Redondo,2.1,NA,152 g,NA,Tweeter,NA
17, Parlante Trolley Carrito Portable Bluetooth + Tripode Y Mics ,258,NA,"
			
				Nuevo
			
			
				
					 - 
				
				957
				vendidos
			
		",(602 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,13,https://perfil.mercadolibre.com.ar/MONA-FELISA+OPORTUNIDADESVIP,https://articulo.mercadolibre.com.ar/MLA-634321330-altavoz-parlante-portatil-music-mini-craquelado-recargable-_JM,9,3,1,0,0,#634321330,Genérico,NA,Music Animal,3 W,Portátil,De mesa,Tambor,5.1,NA,NA,5V,NA,NA
18, Parlante Bluetooth Recargable Ducha Anti Agua Con Microsd 5w ,6999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				111
				vendidos
			
		",(12 disponibles),6 cuotas sin interés,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,3.6,5,https://perfil.mercadolibre.com.ar/ELECTROWORLDGROUPARGENTINA,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=9s9qExY0K5z8ll%2B2%2FpzysylSJ%2BWZnyCzKEapHgzRNpyxAnK8AA94dpYFsYMnPDx5Tavo5m5POUnRGloiWEwhb5oAU1D%2FxKsJ%2FOrkZ6FvvRZmL5sGIVg8YNC%2Fa9%2BesRcZSjlb86doUvSylV2ZCB0K6UpCDB6jShG1jEwFLDNInqDa8E2GZr3TginZHchv5lgmwd7oV%2FP4G4bqU%2FCP7XWfK0A8Z1nVCzrIirzLkt%2FEcTQCSqPNuMwRmnyOngEAmmh4v0WXD64U7c4gEtWkqe%2BrFOn7JG8rrNqMKaKli9kK0D5qu9JP%2BbHGDFCSJGzD%2B4PKByidDjBCFsxHJbrIjCPVHNoXg40FNYRqAJxy07W0xrYGjWcm9Oij6YhFbdEe2kYVDglqELeohWpKlM8ZUt2ZOVlt0auY3DHsPkQ0WXbIgJ1bD7FYzBmyZvsv4EP0ufKW%2B2ex%2BdmJwR552lou2GNnWpUQ1EJILOyjQ17JiZqs5ZXc8DjSGy7F%2BhhfDKb20eSH3n97ya%2FcNNRY5ZkhhEeX5%2F9akxbcR8BjFTJ0lRN1ctipZX%2F%2BVzWsGcob6Szv40sfUGn2PZ3cGRKkBGPZvbSr6y%2Fwc1bpACcRMpae%2By%2FT2%2B9%2FhyfqPe7aIFRky5R%2BqsabhamllszfIiUd5KjSXX06hka5TU6vgKPrMuwQSKN2eiMA3hkNIcoyqwNwtZanJWw4A7HAMc6X1dQoIpl%2BYsqKN%2BqbisEyUq%2BP%2FOuVliQCfpFrX119YvWdQciXX8w2fjQfkz9KMZzP4wHHT8y8VevOMYxV20zj1n7lHfCF%2B0k2HlMtQFRgQ3X1tri8z2XzTKVj%2BSabirxCYjehKbUL093T%2FkXSx09AWu6tcVx%2FiPh7y8oprCHfFGMQ5I%2Fxb4ipJ8OiiJxeWYnaBBoFKhm9D9%2B%2FAuOka9QwNr%2F4GRGdV39LfX8QH7XC1cpKT5Xq3KmdCUJ1CnbWQMHr0rp8l6%2B9bVW3Qyx4QotjUCbbb9qHeCVVRfSUuyMtnDoymOziIQqj20kcUSsd8MbTprBpIPfW%2F9bMBZE%2BeJslm0OzgefZxWed8JK%2FbZqgsNlGjGG%2B4myUqm25%2FsGWUuY3Ja7xDRPf8qaKSxypVpD47xoAg1bnlO%2F9rqdEoHdtj0C1yGOs8TDUyf6WBGhGxdL3AQAmVOgFW1ZwIkwQIS9QuqC96U3t1o59waeF9zA16PV1nn0xTqlnHmR4emUKaK0Y%2FyokxeLt5GhvKapM2oaV%2FihM2w9%2F5mNQuBnq4OW0qtgvexQ91Gh9ceAMbFbOegauSN60p8buHoIbWNO5CmowCIlf2Wl%2BPJ%2BJaRhtnZML83s7a4GK8QKn2rEDDTWV485dq7LaqBFHvtzEvtKCysVJM7JCELO5pz75p%2FymMFDQXmuUe0lVpvLfcUAQ1c2qvyUB8d9HCM5LPgCViPhYvlo5crNnh6ZgatsCSFI0dejsbJz4A7Puwjwzzpfjlmi59WrN08P9wH6m6C2TYSuRuOdWvqv0ndtkFDxBkHfSnYNRX3gz7V%2B%2B0BFOGHKNkVEKOO0cEb1xMkKwOep%2Bw0V%2FptjS%2BbhOvJ4jxyyPxube3Sd7aFGozkQZZDFU7wd9vmpngzdXlB8t9D9hb%2FsItcoWDqHylSe5D5h1ewrT787LTiVCAcbKi8GzPvigo%2FrU8JGqt9P0EfVPz33xSkbkKhc0Q%2FQ1f0Rb3%2BokW5Popd%2FYVw3nr4%2B7lXVMGaj%2FtyNQbQhqwCSXqD%2FwLL4mUJIdfwYGE%2FjM%2FDePrnS6ALU5GX0LQcxpNHAk%2BHMRoD5mLfS6wi%2BTWEZT5q7MSK6Ma5Y7ZSDtGaXUW01lK%2BK1z2zMo5CVcvTxLdGMRR4XW2q4DHoPCCR2nkeWVKg%3D,2,1,0,2,0,#761047217,Otras Marcas,PBX-1210,PBX-1210,NA,Portátil,De piso,Caja,NA,NA,NA,220,NA,NA
19, Parlante Portatil Jbl Flip 4 Bluetooth iPhone Micro Usb Gtia ,5999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				665
				vendidos
			
		",(455 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,66,https://perfil.mercadolibre.com.ar/BLUEWAYBLUE,https://articulo.mercadolibre.com.ar/MLA-680688727-parlante-portatil-radio-usb-bluetooth-potencia-4000w-karaoke-_JM,38,20,3,1,3,#680688727,Winco,Bateria Portatil,24/7,80 W,Portátil,Central,Vertical,MP3,NA,NA,220V,Subwoofer,NA
20, Parlante Portatil Karaoke 12'' Fm Bluetooth Usb Mic Inalambr ,649,NA,"
			
				Nuevo
			
			
				
					 - 
				
				103
				vendidos
			
		",(7 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,4,https://perfil.mercadolibre.com.ar/MWPRODUCTSARGENTINA,https://articulo.mercadolibre.com.ar/MLA-736936659-parlante-portatil-bluetooth-usb-radio-fm-charge-mini-_JM,3,1,0,0,0,#736936659,Genérico,NA,Charge Mini,6 W,NA,NA,Caja,NA,NA,512 g,3.7V,portatil,NA
21, Sony Srs-xb01 Parlante Inalambrico Portatil Resiste Agua Bt! ,3999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1726
				vendidos
			
		",(412 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,543,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-739077845-parlante-grande-12-pulgada-karaoke-bluetooth-led-fiesta-mic-_JM,359,134,31,10,9,#739077845,Otras Marcas,T - 12 Pulgadas,T152,NA,Activo,NA,Caja Portátil,NA,"Bluetooth, USB, microSD, AUX, Mic x2.",NA,220,Woofer,NA
22, Parlante Jbl Go 2 Novedad Original 100% Usa Colores ,5799,NA,"
			
				Nuevo
			
			
				
					 - 
				
				378
				vendidos
			
		",(6 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,1900,https://perfil.mercadolibre.com.ar/TECNOPARAVOS,https://articulo.mercadolibre.com.ar/MLA-661330596-parlante-bluetooth-jbl-flip-4-iphone-android-100-original--_JM,1619,241,29,6,5,#661330596,JBL,Flip Series 4,Flip 4,16 W,Portátil,NA,NA,NA,NA,515 g,NA,Portatil,NA
23, Sony Xb10 Parlante Playero Resistente Salpicaduras Y Arena ,2899,NA,"
			
				Nuevo
			
			
				
					 - 
				
				114
				vendidos
			
		",(11 disponibles),6 cuotas sin interés,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,794,https://perfil.mercadolibre.com.ar/ITECOM+DIGITAL,https://articulo.mercadolibre.com.ar/MLA-756256332-parlante-jbl-go-2-bluetooth-portatil-sumergible-3w-go2-cuota-_JM,662,122,9,0,1,#756256332,JBL,NA,GO 2,3 W,Pasivo,Todos,Portátil,NA,NA,186 g,NA,Tweeter,NA
24, Mini Parlante Multimedia Portable Sp3004 Bluetooth Radio Fm ,1349,2299,"
			
				Nuevo
			
			
				
					 - 
				
				148
				vendidos
			
		",(80 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,5,https://perfil.mercadolibre.com.ar/REAL-COLOR,https://articulo.mercadolibre.com.ar/MLA-698611319-parlante-bluetooth-usb-mcsd-microfono-ccable-full-_JM,4,1,0,0,0,#698611319,Global Electronics,NA,SBL10,10 W,Woofer,"Living, Habitacion, Comedor",Portatil,NA,NA,NA,NA,Portatil,NA
25, Parlante Bluetooth Portátil 3x3 Usb Fm Mp3 + Control Remoto ,1799,NA,"
			
				Nuevo
			
			
				
					 - 
				
				283
				vendidos
			
		",(522 disponibles),12 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.5,17,https://perfil.mercadolibre.com.ar/HELITEC,https://articulo.mercadolibre.com.ar/MLA-651682375-parlante-bluetooth-portatil-radio-usb-mp3-leds-1500-watts-_JM,12,3,1,0,1,#651682375,Helitec,NA,S6,1005 W,Activo,NA,caja portatil,NA,USB,NA,NA,Woofer,NA
