search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato
1714," Audifonos Bluetooth Ausdom M09 Plagables, Micro Sd Xiaomi Me ",120,NA,"
			
				Nuevo
			
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NISITAL2009,https://articulo.mercadolibre.com.pe/MPE-436924419-audifonos-bluetooth-ausdom-m09-plagables-micro-sd-xiaomi-me-_JM,NA,NA,NA,NA,NA,#436924419,NA,NA,NA
1715, Audífono Bluetooth Sony Mdr-zx330bt Nfc 30 Horas Música ,345,NA,"
			
				Nuevo
			
			
		",(100 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DLECTRO-PERU,https://articulo.mercadolibre.com.pe/MPE-432856805-audifono-bluetooth-sony-mdr-zx330bt-nfc-30-horas-musica-_JM,NA,NA,NA,NA,NA,#432856805,Sony,MDR-ZX330BT,Over-ear
1716, Auriculares Sport Bluetooth Ttlife Alta Calidad - Antisudor ,49,NA,"
			
				Nuevo
			
			
				
					 - 
				
				12
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,3.0,1,http://perfil.mercadolibre.com.pe/TACTICAL.PE,https://articulo.mercadolibre.com.pe/MPE-423823369-auriculares-sport-bluetooth-ttlife-alta-calidad-antisudor-_JM,NA,NA,NA,NA,NA,#423823369,NA,NA,NA
1717, Audifonos Bluetooth 4 D Bass ,55,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LINEA+DE_OFERTAS,https://articulo.mercadolibre.com.pe/MPE-436060362-audifonos-bluetooth-4-d-bass-_JM,NA,NA,NA,NA,NA,#436060362,NA,NA,NA
1718, Audífono Bluetooth Motorola Verve Loop 100% Original Sport ,149,NA,"
			
				Nuevo
			
			
		",(99 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/REDMOVILPERU,https://articulo.mercadolibre.com.pe/MPE-434112355-audifono-bluetooth-motorola-verve-loop-100-original-sport-_JM,NA,NA,NA,NA,NA,#434112355,Motorola,VerveLoop,In-ear
1719," Receptor Bluetooth, Para Audifonos, Parlantes, Audio Car ",25,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(49 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/WILMER_DANIEL,https://articulo.mercadolibre.com.pe/MPE-435430226-receptor-bluetooth-para-audifonos-parlantes-audio-car-_JM,NA,NA,NA,NA,NA,#435430226,NA,NA,NA
1720, Hands Free Auricular Inalámbrico Bluetooth Motorola E5 Plus ,69,NA,"
			
				Nuevo
			
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MACMELLOWMIRAFLORES,https://articulo.mercadolibre.com.pe/MPE-436409088-hands-free-auricular-inalambrico-bluetooth-motorola-e5-plus-_JM,NA,NA,NA,NA,NA,#436409088,Motorola,NA,NA
1721, Audífono Con Micrófono Inalambrico Halion (ha-q85) ,19,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/-HARDSOFTMAIR-,https://articulo.mercadolibre.com.pe/MPE-426963053-audifono-con-microfono-inalambrico-halion-ha-q85-_JM,NA,NA,NA,NA,NA,#426963053,NA,NA,NA
1722, Pioneer Audifonos Bluetooth Deportivos Con Clipwear Active ,139,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-436518993-pioneer-audifonos-bluetooth-deportivos-con-clipwear-active-_JM,NA,NA,NA,NA,NA,#436518993,Pioneer,NA,NA
1723, Remax Auricular Bluetooth Hands Free ,69,NA,"
			
				Nuevo
			
			
		",(6 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/QUETALCOMPRA,https://articulo.mercadolibre.com.pe/MPE-431188333-remax-auricular-bluetooth-hands-free-_JM,NA,NA,NA,NA,NA,#431188333,Remax,NA,NA
