search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Línea,Tipos de parlante,Peso,Conectores de entrada,Color,Tipos de filtros del parlante
567, Parlante Marshall Bluethoot Acton Negro ,750,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AARONWAKA,https://articulo.mercadolibre.com.pe/MPE-434854842-parlante-marshall-bluethoot-acton-negro-_JM#position=43&type=item&tracking_id=b678f505-0a20-4d4e-a6d0-50f564a8c026,NA,NA,NA,NA,NA,#434854842,Marshall,NA,NA,NA,NA,NA,NA,NA,NA
568, Parlante Get Together Em-ja0006-sb House Of Marley Bluetooth ,589,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SERPROCTI+SAC,https://articulo.mercadolibre.com.pe/MPE-436572254-parlante-get-together-em-ja0006-sb-house-of-marley-bluetooth-_JM#position=44&type=item&tracking_id=b678f505-0a20-4d4e-a6d0-50f564a8c026,NA,NA,NA,NA,NA,#436572254,House of Marley,NA,NA,NA,NA,NA,NA,NA,NA
569, Parlante Bluetooth Creative D80 Blue 10w Potencia Itelsistem ,153,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(7 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ITELSISTEMSAC,https://articulo.mercadolibre.com.pe/MPE-424501143-parlante-bluetooth-creative-d80-blue-10w-potencia-itelsistem-_JM#position=45&type=item&tracking_id=b678f505-0a20-4d4e-a6d0-50f564a8c026,NA,NA,NA,NA,NA,#424501143,NA,NA,10 W,NA,NA,NA,NA,NA,NA
570, Estuche Tronsmart T6 Y Force Parlante Bluetooth Avybella ,45,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(4 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AVY-BELLA,https://articulo.mercadolibre.com.pe/MPE-434808668-estuche-tronsmart-t6-y-force-parlante-bluetooth-avybella-_JM#position=46&type=item&tracking_id=b678f505-0a20-4d4e-a6d0-50f564a8c026,NA,NA,NA,NA,NA,#434808668,NA,NA,NA,NA,NA,NA,NA,NA,NA
571, Parlante Jbl Charge 3 Genérico Con Bluetooth ,279,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(4 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/ALKA+CORP,https://articulo.mercadolibre.com.pe/MPE-428960772-parlante-jbl-charge-3-generico-con-bluetooth-_JM#position=47&type=item&tracking_id=b678f505-0a20-4d4e-a6d0-50f564a8c026,NA,NA,NA,NA,NA,#428960772,JBL,Charge 3,20 W,NA,NA,800 g,NA,NA,Pasivo
572, Parlante Bluetooth Philips Shoqbox Sb500a 30 Watts Ipx7 ,480,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MYJ+C%C3%81NEPANEGOCIOS,https://articulo.mercadolibre.com.pe/MPE-431397726-parlante-bluetooth-philips-shoqbox-sb500a-30-watts-ipx7-_JM#position=48&type=item&tracking_id=b678f505-0a20-4d4e-a6d0-50f564a8c026,NA,NA,NA,NA,NA,#431397726,Philips,NA,30 W,ShoqBox,NA,NA,Entrada para Micrófono,NA,NA
573, Parlante Inalámbrico Portátil Logitech Ue Boom 2 - Dlectro ,429,NA,"
			
				Nuevo
			
			
		",(600 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DLECTRO,https://articulo.mercadolibre.com.pe/MPE-433430634-parlante-inalambrico-portatil-logitech-ue-boom-2-dlectro-_JM#position=49&type=item&tracking_id=b678f505-0a20-4d4e-a6d0-50f564a8c026,NA,NA,NA,NA,NA,#433430634,Logitech,NA,NA,NA,NA,548 g,NA,Negro,NA
574, Parlante Amplificador Cafini Bluetooth Karaoke Cn-s2451fm ,441,NA,"
			
				Nuevo
			
			
		",(20 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/INHOUSESHOP+PERU,https://articulo.mercadolibre.com.pe/MPE-437003012-parlante-amplificador-cafini-bluetooth-karaoke-cn-s2451fm-_JM#position=50&type=item&tracking_id=b678f505-0a20-4d4e-a6d0-50f564a8c026,NA,NA,NA,NA,NA,#437003012,NA,NA,NA,NA,NA,18 kg,Auxiliar,NA,NA
575, Parlante Inalámbrico Portátil Bluetooth Aux Qcy B900 ,159,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ALITOS.STORE,https://articulo.mercadolibre.com.pe/MPE-433143707-parlante-inalambrico-portatil-bluetooth-aux-qcy-b900-_JM#position=51&type=item&tracking_id=b678f505-0a20-4d4e-a6d0-50f564a8c026,NA,NA,NA,NA,NA,#433143707,QCY,NA,NA,NA,NA,310 g,USB,Grey,NA
576, Parlante Portátil Estéreo Discoteca Bluetooth Led 10w Fiesta ,49,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JPSYSTEMSSAC,https://articulo.mercadolibre.com.pe/MPE-436489499-parlante-portatil-estereo-discoteca-bluetooth-led-10w-fiesta-_JM#position=52&type=item&tracking_id=b678f505-0a20-4d4e-a6d0-50f564a8c026,NA,NA,NA,NA,NA,#436489499,NA,NA,NA,NA,NA,NA,NA,NA,NA
577, Parlante Kolke Kpp-136 Bluetooth ,95,NA,"
			
				Nuevo
			
			
		",(100 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PORMAYOR.PE+S.A.,https://articulo.mercadolibre.com.pe/MPE-436923006-parlante-kolke-kpp-136-bluetooth-_JM#position=53&type=item&tracking_id=b678f505-0a20-4d4e-a6d0-50f564a8c026,NA,NA,NA,NA,NA,#436923006,Kolke,KPP-136,NA,NA,NA,NA,NA,NA,NA
578, Parlante Portátil Recargable Bluetooth Modelo Elegante ,109,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(50 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/INNOVA+LEDS,https://articulo.mercadolibre.com.pe/MPE-427127695-parlante-portatil-recargable-bluetooth-modelo-elegante-_JM#position=1&type=item&tracking_id=43848933-5f65-49b4-b108-f53fe0cccba9,NA,NA,NA,NA,NA,#427127695,NA,NA,NA,NA,NA,NA,USB,NA,NA
