search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Línea,Peso,Color,Conectores de entrada,Altura
1, Parlante Redondo Pure Surround Brightside Audio Alta Calidad ,34.900,55.900,"
			
			
				
				65
				vendidos
			
		",(52 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.908
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.5,8,https://perfil.mercadolibre.com.co/INNOVATECHCOSAS?brandId=627,https://articulo.mercadolibre.com.co/MCO-502474312-parlante-redondo-pure-surround-brightside-audio-alta-calidad-_JM#position=1&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,4,4,0,0,0,#502474312,Brightiside,BSSP-002,10 W,Activo,NA,NA,NA,NA,NA
2, Parlante Radio Reloj Brightside Despertador - Alta Calidad ,65.900,79.900,"
			
			
				
				70
				vendidos
			
		",(16 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 5.492
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,3.2,6,https://perfil.mercadolibre.com.co/INNOVATECHCOSAS?brandId=627,https://articulo.mercadolibre.com.co/MCO-507364129-parlante-radio-reloj-brightside-despertador-alta-calidad-_JM#position=2&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,2,1,1,0,2,#507364129,Brightiside,BSSP-001,10 W,Activo,NA,NA,NA,NA,NA
3, Parlante Portable Jbl Go 2 Bluetooth A Prueba De Agua Go2 ,112.900,152.900,"
			
				Nuevo
			
			
				
					 - 
				
				622
				vendidos
			
		",(36 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.136
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,118,https://perfil.mercadolibre.com.co/DELLTHUS,https://articulo.mercadolibre.com.co/MCO-461389037-parlante-portable-jbl-go-2-bluetooth-a-prueba-de-agua-go2-_JM#position=3&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,110,6,0,2,0,#461389037,JBL,JBL Go2,3 W,Activo,GO,184 g,NA,NA,NA
4, Parlante Bluetooth Resistente Al Agua Manos Libres Para Baño ,14.900,19.900,"
			
				Nuevo
			
			
				
					 - 
				
				1167
				vendidos
			
		",(477 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 414
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.3,56,https://perfil.mercadolibre.com.co/ARTICULOSALTAGAMA,https://articulo.mercadolibre.com.co/MCO-449583744-parlante-bluetooth-resistente-al-agua-manos-libres-para-bano-_JM#position=4&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,34,11,6,2,3,#449583744,NA,NA,NA,NA,NA,108 g,Azul/Verde,NA,NA
5, Parlante Portátil Sony Extra Bass Con Bluetooth -srs-xb21 ,239.900,329.900,"
			
			
				
				254
				vendidos
			
		",(17 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 6.664
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,31,https://perfil.mercadolibre.com.co/SONY+COLOMBIA?brandId=11,https://articulo.mercadolibre.com.co/MCO-474791732-parlante-portatil-sony-extra-bass-con-bluetooth-srs-xb21-_JM#position=5&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,27,3,1,0,0,#474791732,Sony,SRS-XB21,8 W,Activo,EXTRA BASS,530 g,NA,USB,"1 """
6, Micrófono Karaoke Q7 - Bluetooth Parlante Portatil + Estuch ,41.900,59.900,"
			
				Nuevo
			
			
				
					 - 
				
				639
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.164
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.5,40,https://perfil.mercadolibre.com.co/ARTICULOSALTAGAMA,https://articulo.mercadolibre.com.co/MCO-455787971-microfono-karaoke-q7-bluetooth-parlante-portatil-estuch-_JM#position=6&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,28,8,2,0,2,#455787971,NA,NA,NA,NA,NA,NA,NA,NA,NA
7, Parlante Altavoz Bluetooth Radio Portatil Ms ,39.900,48.900,"
			
				Nuevo
			
			
				
					 - 
				
				241
				vendidos
			
		",(659 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 3.325
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.4,15,https://perfil.mercadolibre.com.co/BETHMARC,https://articulo.mercadolibre.com.co/MCO-455564403-parlante-altavoz-bluetooth-radio-portatil-ms-_JM#position=7&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,10,3,0,2,0,#455564403,NA,NA,NA,NA,NA,NA,NA,NA,NA
8, Sistema De Sonido Logitech 5.1 Z607 + Obsequio. ,317.800,NA,"
			
				Nuevo
			
			
				
					 - 
				
				226
				vendidos
			
		",(19 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 26.483
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,34,https://perfil.mercadolibre.com.co/EXPOCOLSUMINISTROSSAS,https://articulo.mercadolibre.com.co/MCO-495285483-sistema-de-sonido-logitech-51-z607-obsequio-_JM#position=8&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,28,3,2,1,0,#495285483,Logitech,NA,NA,NA,NA,NA,NA,RCA,NA
9, Parlante Jbl Charge 4 Bluetooth Sumergible 100% Original ,478.700,NA,"
			
				Nuevo
			
			
				
					 - 
				
				284
				vendidos
			
		",(94 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 13.297
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,81,https://perfil.mercadolibre.com.co/AEY+DISTRIBUCIONES,https://articulo.mercadolibre.com.co/MCO-459158831-parlante-jbl-charge-4-bluetooth-sumergible-100-original-_JM#position=9&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,72,6,2,0,0,#459158831,JBL,Charge 4,30 W,Activo,NA,NA,NA,NA,NA
10, Parlante Altavoz Portatil Charge 3+/10w Fm Bluetooth Sd Usb ,69.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				157
				vendidos
			
		",(7 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.944
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,15,https://perfil.mercadolibre.com.co/TITAN+ELECTRONIC,https://articulo.mercadolibre.com.co/MCO-464734363-parlante-altavoz-portatil-charge-310w-fm-bluetooth-sd-usb-_JM#position=10&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,12,1,2,0,0,#464734363,NA,NA,10 W,Activo,NA,NA,NA,NA,NA
