search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Línea,Peso,Color,Conectores de entrada,Altura
11, Cabina De Sonido Recargable Connor Bluetooth Parlante Audio ,89.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				173
				vendidos
			
		",(1921 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 7.492
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.4,5,https://perfil.mercadolibre.com.co/QUILLASHOPCOLOMBIA+SAS,https://articulo.mercadolibre.com.co/MCO-523511842-cabina-de-sonido-recargable-connor-bluetooth-parlante-audio-_JM#position=11&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,3,1,1,0,0,#523511842,Connor,CN500,15 W,NA,NA,NA,NA,USB,NA
12, Parlante Portátil Sony Extra Bass Con Bluetooth - Srs-xb31 ,335.930,479.900,"
			
			
				
				197
				vendidos
			
		",(18 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 9.331
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,39,https://perfil.mercadolibre.com.co/SONY+COLOMBIA?brandId=11,https://articulo.mercadolibre.com.co/MCO-474791740-parlante-portatil-sony-extra-bass-con-bluetooth-srs-xb31-_JM#position=12&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,31,4,3,1,0,#474791740,Sony,SRS-XB31,NA,Activo,EXTRA BASS,890 g,NA,USB,"2 """
13, Parlante Sony Extrabass Bluetooth Resistente Al Agua- Xb01 ,99.900,124.900,"
			
			
				
				207
				vendidos
			
		",(40 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.775
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,18,https://perfil.mercadolibre.com.co/SONY+COLOMBIA?brandId=11,https://articulo.mercadolibre.com.co/MCO-491523025-parlante-sony-extrabass-bluetooth-resistente-al-agua-xb01-_JM#position=13&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,15,3,0,0,0,#491523025,Sony,NA,3 W,NA,EXTRA BASS,160 g,NA,NA,NA
14, Parlante Jbl Link 10 Con Google Assistant + Chromecast ,319.900,349.900,"
			
			
				
				91
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 8.886
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,2.0,1,https://perfil.mercadolibre.com.co/TIENDA.OFICIAL?brandId=151,https://articulo.mercadolibre.com.co/MCO-509252426-logitech-z607-altavoces-51-sonido-envolvente-con-bluetooth-_JM#position=14&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,NA,NA,NA,NA,NA,#509252426,Logitech,NA,NA,NA,NA,NA,NA,RCA,NA
15," Logitech Z607, Altavoces 5.1 Sonido Envolvente Con Bluetooth ",309.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				137
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 8.608
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,37,https://perfil.mercadolibre.com.co/JL+LUJO,https://articulo.mercadolibre.com.co/MCO-467204584-parlante-portable-jbl-flip-4-12-horas-sumergible-original-_JM#position=15&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,32,5,0,0,0,#467204584,NA,NA,NA,NA,NA,NA,NA,NA,NA
16, Parlante Portable Jbl Flip 4 12 Horas Sumergible Original ,158.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				169
				vendidos
			
		",(13 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 13.167
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,5,https://perfil.mercadolibre.com.co/MUNDONOVEDAD.CO,https://articulo.mercadolibre.com.co/MCO-452765139-parlante-bluetooth-cabina-de-sonido-activa-recargable-_JM#position=16&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,4,1,0,0,0,#452765139,KROMBI,KB-SS8732,NA,NA,NA,NA,NA,Auxiliar,NA
17, Parlante Bluetooth Cabina De Sonido Activa Recargable ,179.900,299.900,"
			
				Nuevo
			
			
				
					 - 
				
				193
				vendidos
			
		",(31 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 4.997
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.1,11,https://perfil.mercadolibre.com.co/COLOMBIADECOMPRASTV,https://articulo.mercadolibre.com.co/MCO-494413843-cabina-sonido-bluetooth-250-w-microfono-control-obseq-_JM#position=17&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,6,2,1,2,0,#494413843,NA,NA,250 W,NA,NA,3.2 kg,NA,USB,NA
18, Parlante Jbl Xtreme Nuevo ,17.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				214
				vendidos
			
		",(55 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.492
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.3,17,https://perfil.mercadolibre.com.co/MERCADO+CLICKS,https://articulo.mercadolibre.com.co/MCO-446590928-parlante-recargable-bluetooth-radio-fm-manos-libres-obs-_JM#position=18&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,11,3,1,1,1,#446590928,NA,NA,NA,NA,NA,NA,NA,NA,NA
19, Cabina Sonido Bluetooth 250 W + Micrófono + Control + Obseq ,469.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				66
				vendidos
			
		",(9 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 13.053
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,81,https://perfil.mercadolibre.com.co/JL+LUJO,https://articulo.mercadolibre.com.co/MCO-492301475-parlante-jbl-charge-4-bluetooth-sumergible-100-original-_JM#position=19&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,72,6,2,0,0,#492301475,JBL,Charge 4,30 W,Activo,NA,2.13 lb,NA,NA,"3.66 """
20, Parlante Recargable Bluetooth Radio Fm Manos Libres + Obs ,85.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				151
				vendidos
			
		",(13 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.361
			
		
		 sin interés
		
	

	
		",NA,NA,Lo retiro en el domicilio del vendedor,NA,NA,4.6,8,https://perfil.mercadolibre.com.co/ELECTROCOMPRASONLINE,https://articulo.mercadolibre.com.co/MCO-476961874-parlante-jbl-go-bluetooth-portatil-_JM#position=20&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,6,1,1,0,0,#476961874,JBL,GO,3 W,Pasivo,Go!,NA,NA,NA,NA
21, Parlante Jbl Charge 4 Bluetooth Sumergible 100% Original ,11.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				144
				vendidos
			
		",(34 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 917
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,3.0,4,https://perfil.mercadolibre.com.co/TITAN+ELECTRONIC,https://articulo.mercadolibre.com.co/MCO-452425686-parlante-bluetooth-mini-speaker-carrito-_JM#position=21&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,0,2,1,0,1,#452425686,speaker carrito,NA,3 W,Pasivo,NA,NA,NA,NA,NA
22, Parlante Jbl Go Bluetooth Portatil ,39.900,100.000,"
			
				Nuevo
			
			
				
					 - 
				
				144
				vendidos
			
		",(84 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 3.325
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.8,4,https://perfil.mercadolibre.com.co/SMARTBUY.STORE,https://articulo.mercadolibre.com.co/MCO-478782894-barra-sonido-parlante-bluetooth-altavoz-radio-usb-recargable-_JM?searchVariation=41897115502#position=22&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,3,1,0,0,0,#478782894,NA,NA,NA,NA,NA,NA,NA,USB,NA
23, Parlante Bluetooth Mini Speaker Carrito ,49.900,99.900,"
			
				Nuevo
			
			
				
					 - 
				
				84
				vendidos
			
		",(22 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.386
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,5.0,2,https://perfil.mercadolibre.com.co/COLOMBIADECOMPRASTV,https://articulo.mercadolibre.com.co/MCO-466300063-barra-sonido-bocina-41-cm-bluetooth-parlante-10w-usb-fm-ob-_JM#position=23&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,NA,NA,NA,NA,NA,#466300063,NA,NA,10 W,NA,NA,NA,NA,NA,NA
24, Barra Sonido Parlante Bluetooth Altavoz Radio Usb Recargable ,89.900,149.900,"
			
				Nuevo
			
			
				
					 - 
				
				56
				vendidos
			
		",(44 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.497
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,5.0,1,https://perfil.mercadolibre.com.co/COLOMBIADECOMPRASTV,https://articulo.mercadolibre.com.co/MCO-474103710-cabina-sonido-bluetooth-portatil-usb-sd-radio-fm-obseq-_JM#position=24&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,NA,NA,NA,NA,NA,#474103710,NA,NA,NA,NA,NA,NA,NA,NA,NA
25, Barra Sonido Bocina 41 Cm Bluetooth Parlante 10w Usb Fm + Ob ,119.900,159.900,"
			
			
				
				34
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.331
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,7,https://perfil.mercadolibre.com.co/TIENDA.OFICIAL?brandId=151,https://articulo.mercadolibre.com.co/MCO-471048516-logitech-z207-parlantes-20-bluetooth-pc-celular-tablet-_JM#position=25&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,5,2,0,0,0,#471048516,Logitech,NA,NA,NA,NA,NA,NA,NA,241 mm
26," Cabina Sonido Bluetooth Portátil, Usb, Sd, Radio Fm + Obseq ",29.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				311
				vendidos
			
		",(113 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.492
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.6,11,https://perfil.mercadolibre.com.co/ALI-BAG,https://articulo.mercadolibre.com.co/MCO-451708942-parlante-bluetooth-308-radio-fm-micro-sd-usb-promocion-_JM#position=26&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,8,2,1,0,0,#451708942,NA,NA,NA,NA,NA,NA,Roja,NA,NA
27," Logitech Z207, Parlantes 2.0 Bluetooth / Pc, Celular, Tablet ",909.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				40
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 25.275
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.2,19,https://perfil.mercadolibre.com.co/JL+LUJO,https://articulo.mercadolibre.com.co/MCO-476474580-parlante-jbl-xtreme-2-bluetooth-sumergible-original-negro-_JM#position=27&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,12,3,1,2,1,#476474580,JBL,Xtreme,40 W,Pasivo,NA,2393 g,Agua,USB,126 mm
28, Parlante Bluetooth 308 Radio Fm Micro Sd Usb Promoción ,59.900,99.900,"
			
				Nuevo
			
			
				
					 - 
				
				369
				vendidos
			
		",(48 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.664
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.6,67,https://perfil.mercadolibre.com.co/COLOMBIADECOMPRASTV,https://articulo.mercadolibre.com.co/MCO-445897812-barra-sonido-bluetooth-40cm-pantalla-led-10w-usb-fm-sd-o-_JM#position=28&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,50,11,4,2,0,#445897812,NA,NA,10 W,NA,NA,NA,Rojo,NA,NA
29, Parlante Jbl Xtreme 2 Bluetooth Sumergible Original Negro ,139.900,NA,"
			
			
				
				32
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.886
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,5.0,2,https://perfil.mercadolibre.com.co/TIENDA.OFICIAL?brandId=692,https://articulo.mercadolibre.com.co/MCO-508730175-avantree-cyclone-parlante-bluetooth-nfc-para-bicicleta-ipx4-_JM#position=29&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,NA,NA,NA,NA,NA,#508730175,Avantree,Cyclone,10 W,NA,NA,433 g,NA,NA,NA
30," Barra Sonido Bluetooth 40cm Pantalla Led 10w Usb, Fm, Sd + O ",54.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				80
				vendidos
			
		",(99 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.525
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.5,2,https://perfil.mercadolibre.com.co/ANFA3099594,https://articulo.mercadolibre.com.co/MCO-506311073-parlante-bluetooth-con-linterna-bicicleta-luz-led-zealot-s1-_JM#position=30&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,NA,NA,NA,NA,NA,#506311073,Zealot,NA,NA,NA,NA,NA,NA,NA,NA
31," Avantree Cyclone, Parlante Bluetooth Nfc Para Bicicleta Ipx4 ",157.800,NA,"
			
				Nuevo
			
			
				
					 - 
				
				71
				vendidos
			
		",(29 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 4.383
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,5.0,10,https://perfil.mercadolibre.com.co/ALI-BAG,https://articulo.mercadolibre.com.co/MCO-473630611-cabina-sonivox-1455-de-400w-bluetooth-fm-microfono-karaoke-_JM#position=31&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,10,0,0,0,0,#473630611,Sonivox,NA,NA,NA,NA,3.5 kg,NA,NA,NA
32, Parlante Bluetooth Con Linterna Bicicleta Luz Led Zealot S1 ,469.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				37
				vendidos
			
		",(7 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 13.053
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,81,https://perfil.mercadolibre.com.co/JL+LUJO,https://articulo.mercadolibre.com.co/MCO-492298927-parlante-jbl-charge-4-bluetooth-sumergible-100-original-az-_JM#position=32&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,72,6,2,0,0,#492298927,JBL,Charge 4,30 W,Activo,NA,2.13 lb,NA,NA,"3.66 """
33, Cabina Sonivox 1455 De 400w Bluetooth Fm Microfono Karaoke ,499.900,629.900,"
			
			
				
				43
				vendidos
			
		",(7 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 13.886
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,18,https://perfil.mercadolibre.com.co/SONY+COLOMBIA?brandId=11,https://articulo.mercadolibre.com.co/MCO-474168562-parlante-sony-inalambrico-extra-bass-waterproof-srs-xb41-_JM#position=33&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,16,2,0,0,0,#474168562,Sony,SRS-XB41,25 W,Activo,EXTRA BASS,1500 g,NA,USB,"1 """
34, Parlante Jbl Charge 4 Bluetooth Sumergible 100% Original Az ,33.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				45
				vendidos
			
		",(18 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 942
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,5.0,2,https://perfil.mercadolibre.com.co/SHOPPER+EXPRESS,https://articulo.mercadolibre.com.co/MCO-502914376-bombillo-luz-led-multicolor-bluetooth-parlante-control-_JM#position=34&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,NA,NA,NA,NA,NA,#502914376,NA,NA,NA,NA,NA,NA,NA,NA,NA
35, Parlante Sony Reloj Asistente Lf-s50g Bluetooth Smart ,84.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				49
				vendidos
			
		","
		
			¡Último disponible!
		
	","
	
		
			
		
		12 cuotas de
		
			
				$ 7.075
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.5,15,https://perfil.mercadolibre.com.co/NOVEDOSOSLOS,https://articulo.mercadolibre.com.co/MCO-509851413-parlante-tipo-charge3-jbl-bluetooth-radio-fm-_JM#position=35&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,9,5,0,1,0,#509851413,JBL,Charge 3,NA,NA,NA,800 g,NA,NA,NA
36, Parlante Sony Inalámbrico Extra Bass Waterproof - Srs-xb41 ,54.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				59
				vendidos
			
		",(41 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 4.582
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,3.5,2,https://perfil.mercadolibre.com.co/TECNONOVEDADESCO,https://articulo.mercadolibre.com.co/MCO-481130845-bafle-parlante-cabina-de-musica-usb-bluetooth-portatil-envio-_JM#position=36&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,NA,NA,NA,NA,NA,#481130845,NA,NA,NA,NA,NA,NA,Roja,NA,NA
37, Bombillo Luz Led Multicolor Bluetooth Parlante Control ,50.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				61
				vendidos
			
		",(992 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.389
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.9,9,https://perfil.mercadolibre.com.co/PRHE3354942,https://articulo.mercadolibre.com.co/MCO-479333165-estuche-duro-jbl-charge-3-resistente-a-golpes-case-protector-_JM#position=37&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,7,1,0,0,0,#479333165,JBL,Charge 3,20 W,Pasivo,NA,NA,Negro,NA,NA
38, Parlante Tipo Charge3 Jbl Bluetooth Radio Fm ,169.899,249.900,"
			
			
				
				22
				vendidos
			
		",(23 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 4.719
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,5.0,1,https://perfil.mercadolibre.com.co/SONY+COLOMBIA?brandId=11,https://articulo.mercadolibre.com.co/MCO-517773590-parlante-sony-portatil-extra-bass-con-bluetooth-srs-xb12-_JM#position=38&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,NA,NA,NA,NA,NA,#517773590,Sony,NA,NA,NA,EXTRA BASS,243 g,NA,USB,NA
39, Bafle Parlante Cabina De Musica Usb Bluetooth Portatil Envio ,54.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				34
				vendidos
			
		",(20 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 4.575
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.0,1,https://perfil.mercadolibre.com.co/YEKARS,https://articulo.mercadolibre.com.co/MCO-497120600-parlante-jbl-tipo-charge-mini-_JM#position=39&type=item&tracking_id=4679a2ae-a20d-4c75-8321-e3e923e35adf,NA,NA,NA,NA,NA,#497120600,JBL,NA,NA,NA,NA,400 g,NA,NA,NA
