search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Peso,Color,Conectores de entrada
12, Parlante Bluetooth Jvc Portable 16w Rms Radio Fm En Loi ,57,71,31,2966,18 cuotas,117.20,NA,Envío a todo el país,NA,NA,4.5,2,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-463512740-parlante-bluetooth-jvc-portable-16w-rms-radio-fm-en-loi-_JM#position=12&type=item&tracking_id=a8f198c7-649b-4cfb-98b0-138c61c52d42,1,1,0,0,0,#463512740,NA,NA,NA,16 W,NA,NA,NA,NA
13, Parlante Bluetooth Portátil Jbl Charge 4 Potencia Calidad ,6790,NA,106,99893,18 cuotas,377.22,NA,Envío a todo el país,NA,NA,4.6,27,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-452532629-parlante-bluetooth-portatil-jbl-charge-4-potencia-calidad-_JM#position=13&type=item&tracking_id=a8f198c7-649b-4cfb-98b0-138c61c52d42,20,6,0,0,1,#452532629,JBL,NA,Charge 4,30 W,Activo,NA,Agua,NA
14, Patineta Electrica Hoverboard Parlante Bluetooth Luces Hts ,6980,NA,156,14,18 cuotas,387.78,NA,Lo retiro en el domicilio del vendedor,NA,NA,4.9,15,http://perfil.mercadolibre.com.uy/HASTATERMINARSTOCK.,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=EKZav2lCB2%2Boc5DtL3vADxngujVWNzLz16MpcEn6UW1Wxj%2FiY5HJxTMGgls3BLVXfYs5zG1a2ms1o3HvUsUKBf21YLBGGnE0tsrAeZ70HsIrJRYVISBHRmpFKXy%2BB%2BUbO1M59ERuUMjB5OVqkGnGNA6jLWTb6dG4EClPH06P7QvuTmmDdAdXC24F7jmcKqBK5yIJG7PcWagNC2EsfOx0rZYSYTmY2uG55YcZbAmz8BPpn1HAfzYcglFYVtoR4PAfMXlDIt%2FxedJP19ytkiPkHowlEoP0gel9koRLvIvPX24faikCjVM8xghYOl8SX0VhtOXtYlUmTeRXj3coQsH9vHy4aqtQQ6TtkGc9nFhcsAOImZDxf5c%2FhKTbAXv3GSx4WZq5gnowiE%2FMCJaPkJu%2BzRmeloMgazUCMpMl5LQp6a82ijLsIDWAUhQPKISBchsRiyrkEOi5XZ7z64rOVFZd3i44Gz%2Fex2z2db%2BLekPg4wd1lDgfsKCPLdpk32va9gfIHy%2FSbVtDwgbeS5b%2Fz%2FnYZshgoDlZfbfDthlCcSkYL8zs3uONbAEG2td5qq3squRb5Q98rJV16NSaDnqvVWW1OEooyCsIGnwvQPo%2FuwGtk9DOX8MvE4TUY4tRRL5QSMSWKpcsY0QCYBXmQTvWUerfz4yDkQptWw0uiFcKzZRiCD19cE%2FcR5hrLbuhq5gGf2WywqbWLtJnyyzpVRP4fwhqNk37QxXQhRb6UpwnVVS9LBx61dZ4HWvqg7%2FrnXBmE2fLgqIm9MNPxiFr0KmCtQHdAbU%2BhzMmoz34WKLPDPGTUrocooOvCPqIi1oXiiTntubhbIjMwCCiVNLdq91Z8mcH5RVJMDaKOPS1Oi2NwreofHTAeEEWr2Fb9y%2FE9on1KnxM%2F08FjCgbJN6J9OpF%2Fn4kulnRZo5v26lrZNzau0ANiAmQXwbeO73VaVKxi43qRVoVN7SW7iKa6GV0I0l59hM0p9y8I%2BjrQ4Ne5q28PsV%2FF7c5n2ZJMrmzs0i7%2FSI0NJTJxxeZs8xmayJHWy%2BFNTLJuA9Q%2FEKXIJkPW8PokbRj3rGZvbRoeMdd1tO0494M0i9Z%2FXScv8OEhM%2BMmi9%2F2%2Bc%2B2nHo9CFV8jfPZLUpTRQh2XMN%2FvvxjpdDWTrEt1jNtG6kPQLTeeMobvK0b6UEJhEKWEV4D1upsrA7mEEQhCtBBlhdG%2FiIz8AMFss4%2F%2FMS7gMvabLUgo%2FLdxxcJkYnwvsvknv%2FCzXZxdLfswFzEypefad0xNktn0iNZs%2FJWaDryvuf4UsQqs1NmB9WHZEHaYGZxEQCISQbd%2FpB3VX9KVzm0BvhmsHqPr0nCPFbm5ZprPYAbvLfQt%2BEGZZ5%2Bs8fqcoFnHch2p7AUaFQD5RZQnz01Dbjsphd0uYGbvVUX9IShtZfslaaJW1yirB5wFB%2BTH9U69ckNiKPSd5uPNTsjqla79ph4vLNjTvTdOzb7iymPDXdklZU1ICmsk%2Fbz%2FvB0gkcA6FfTc62Dtd3COnAwDH%2F8BEBJvl0LRkvv%2Fmk5xpZ9avmM7xOOffmj%2F4uSw1qJGz1C6gC6w6jk8EvI3HcICngFisCITYf%2FTsDoczNwW01YKLTwmSxjHv0o%2FXsw%2B5oloSYE7Sh3s5hldjdV6ZQV2fobTgtfS%2BLE5PoLfhfjDw3basSV7X1BgDlD%2FVODJoyPKj0euLFU5iGUwnN%2BgVr4Ubz9MBrPweU2aA0pS1fAmBTkDx0yS4YbWyi%2Fxu4LIOfv5Npp13qCJPE%2F7sHTnvMQIYm9XKPYYK6UIzPWjcpbA%3D%3D,14,1,0,0,0,#449770281,NA,NA,NA,NA,NA,NA,NA,NA
15, Parlante Portátil Bluetooth Park Led Karaoke Batería Mic Loi ,39,42,75,2968,18 cuotas,80.19,NA,Envío a todo el país,NA,NA,4.5,8,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-456920787-parlante-portatil-bluetooth-park-led-karaoke-bateria-mic-loi-_JM#position=15&type=item&tracking_id=a8f198c7-649b-4cfb-98b0-138c61c52d42,4,4,0,0,0,#456920787,Kolke,NA,NA,NA,NA,NA,NA,NA
16, Mini Parlante Bluetooth / Usb / Lector Micro-sd® ,185,NA,142,5000,18 cuotas,10.28,NA,Envío a todo el país,NA,NA,4.6,5,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-443241546-mini-parlante-bluetooth-usb-lector-micro-sd-_JM#position=16&type=item&tracking_id=a8f198c7-649b-4cfb-98b0-138c61c52d42,3,2,0,0,0,#443241546,Genérico,NA,Compatible,3 W,NA,NA,NA,NA
17, Parlante 8 Activo Luces Leds Bateria Portatil Dimm ,2199,NA,55,10,18 cuotas,122.17,NA,Retiro gratis en tienda del vendedor,NA,NA,4.3,8,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,https://articulo.mercadolibre.com.uy/MLU-447773265-parlante-8-activo-luces-leds-bateria-portatil-dimm-_JM#position=17&type=item&tracking_id=a8f198c7-649b-4cfb-98b0-138c61c52d42,5,2,0,0,1,#447773265,Xion,NA,NA,NA,NA,3.4 kg,NA,NA
18, Parlante 2.0 Bluetooth Tienda Oficial Thonet & Vander Kürbis ,225,245,93,13,18 cuotas,462.62,NA,Envío gratis a todo el país,NA,NA,4.7,16,http://perfil.mercadolibre.com.uy/THONET-VANDER-URUGUAY?brandId=148,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=at73tWLfkUo3UOX4%2BZCS6FSX7SdNJ8ZEJedcRPh0Z0XsYm5Iq1mE0HTjGecV2KMlwmMosgTqgINlgliQbhQVkQZXzRdtwinb82N8ecwFBdQRq4xYH4VUrB%2Bh2UcO%2FC5LwDqRfYhhkgXCE0w%2F%2Fjpm2r2erRGzNyz1PVGvkM0oUjMdMSOT0WozHshxm8zGJL3YzqQtnl8ZcY8hIEc6fl3%2FWzzeAfXdkAHNzHR0u6%2B3C6VBQy%2FdOA9qoaUsdmyqWr%2FNWYzo0AO%2BPke4wsp2eMAelh%2Buryp7ykwaKLK201HV4W1C6loDnvl2g8cO4Lep7VWLtQac0gUxgfzlNeR3ds1cML1XJ5MDdSr29I90SDERkMdp%2B3C5U72Rr5tK6rLCkgkX6bsqrlW0urEgXtyVWOVuYkempWlGh4He6of5vZVhImPvNO%2F6AXPz5ycW7MySsbBpZU02IRViZqNVIL9virv5pAGMtR%2BQJg5bbLENezeAwgKyQKRkzfYtendz2cMDyH0xeoocZFBrp7TiugCzYXif9FqugnDo9MyBbAbsP8vI3EsOjOUjCLgVNpoXLFqU5h4kf4Cpz8LEdw0YFGibmiwF%2BIw5bxlH6NXy9BuoVMPjR9MHwpgukIjLj7HqtnHejUKt6GTRVitGG6Ahm85nV4q88bRzrhvFXbJ0wqFBaB8ShXKp176kMrrwtme%2FcblbDjhRmP87ta0sSS4PzxHn1lLy7uyJwm1RAUnCGDBceRXyNLCgRzHvPozwNlphWPksDJbFDfze6ABO%2BQt4u%2FMiIbHa%2Fie5soTYqh082Si5EaOtllxjjNwXvQhdcspc3jZ7g%2F765jWraIbdcl6Nd10JLgag9ll3hIGLf%2Fd2jbXNMLlMCWrzuidaJbqEkCu4x%2FwJ4nusm8hyPGOogA7L7gG9zD%2FyY6c%2B1ZVr%2FPCAiTWODBsmnMisoJIdaWQMhZX5YTDtuvOJjjb9pMTPq%2BCYwwmNP7DC5Ed73mLYguuSzaBAh7MzCOZKfaAoz6Fam5LzoQ3QB6PLsGoIh7Ib5RqAOU0XJSXqpW9IDGG6%2Bx4yEJ6wZWZ8tEFl4TPYaN2HifGoB1EamhKZEQtTPvmmDv1mFiRTy%2F1Cw7J1ySRBItJ%2FOWG%2BrbKuM6c%2BxjzvBQO02S%2Bk%2Fiwb%2FsfTsoOGa8l4C7jcD5jy%2FQjDRskdxU5XKIjpvy3mQBLzj57yveDAn74%2FFdCYVD%2FLReHzUwmzQSKbrCH0oi0sutNBOsIFncwYQSojdN%2BFaVe9vx8FSCP1swKaS0XvpBJX9FawEhO14mfxIXKaIZVHYO9ZYeRxyHRfyEURev3AILPJJxB53le%2BVX9MsuG28zkuh8lOuzidU4QGpWmOvcwODy7vsBb3UAWO27BUavo1dHBAN0NPXZL324UQqfGKqm3bmXczaH%2BzknxzdvXe1oPByUR9aWh3iZHbIXjWELe9S4kXPXBG4HwfCS8XHv4n0ajTXBOTi8baMUVoUTDDO6efo0XCvdnkZc3Ss05r47qlKsbMy6XHeSY7s7wo9kST9BX95lZAbXoNpU%2FHEUIJSDbQnlFUX4BAooQKYZ9KeNfguy%2BKE8OanpLVHB%2F86cPuZYaRWsshqfmjllouhbcKaL%2BQHXXA8vrBEeG25FQLSrPsDnkf75TUJGpDpN4E7PAyg%2FAb9pXgt6Gp581Bt2mC8DvwwsUyETsLjbQT9kJXYm3tOPWVChrGyF2XOJrkfMBf%2FdodhoyshesYc8rMr5TIY6JR8u0J0OuGhULhnizktRFhLVNfdgCixa5jbdPcL6lY,13,1,2,0,0,#444260918,Thonet & Vander,NA,Kürbis Bluetooth,NA,NA,NA,NA,NA
19, Parlante Bluetooth Kolke Shake A Batería Con Mic Oferta Loi ,37,39,27,978,18 cuotas,76.08,NA,Envío a todo el país,NA,NA,5,2,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-460487947-parlante-bluetooth-kolke-shake-a-bateria-con-mic-oferta-loi-_JM#position=19&type=item&tracking_id=a8f198c7-649b-4cfb-98b0-138c61c52d42,2,0,0,0,0,#460487947,Kolke,NA,NA,NA,NA,NA,NA,NA
20, Parlante Bluetooth T&g Portátil 10w Resistente Al Agua Loi ,649,713,23,993,18 cuotas,36.06,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462550224-parlante-bluetooth-tg-portatil-10w-resistente-al-agua-loi-_JM#position=20&type=item&tracking_id=a8f198c7-649b-4cfb-98b0-138c61c52d42,NA,NA,NA,NA,NA,#462550224,NA,NA,NA,10 W,NA,NA,NA,NA
21, Parlante Kolke Kpb-160 C/microfono Inalambrico Circuit ,3382,NA,102,50,18 cuotas,187.89,NA,Envío a todo el país,NA,NA,4.7,18,http://perfil.mercadolibre.com.uy/CIRCUIT+OFERTAS,https://articulo.mercadolibre.com.uy/MLU-449889793-parlante-kolke-kpb-160-cmicrofono-inalambrico-circuit-_JM#position=21&type=item&tracking_id=a8f198c7-649b-4cfb-98b0-138c61c52d42,13,4,1,0,0,#449889793,Kolke,NA,NA,NA,NA,NA,NA,NA
