search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Peso,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Altura,Conectores de entrada,Color
1, Parlante True Wireless Soundcore Motion B ,20.990,39.990,"
			
			
				
				409
				vendidos
			
		",(10 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.498
			
		
		 sin interés
		
	

	
		","
				$ 3.498
			",NA,Envío a todo el país,NA,NA,5.0,24,https://perfil.mercadolibre.cl/ANKERSTORE?brandId=188,https://articulo.mercadolibre.cl/MLC-467283866-parlante-true-wireless-soundcore-motion-b-_JM#position=1&type=item&tracking_id=210e77af-691d-4132-aca3-a4dbfa8a9d11,23,1,0,0,0,#467283866,Anker,SoundCore,400 g,NA,NA,NA,NA,NA,NA
2, Parlante Bluetooth Bose Soundtouch 30 ,465.990,NA,"
			
			
				
				7
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 38.832
			
		
		 sin interés
		
	

	
		","
				$ 38.832
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-499656545-parlante-bluetooth-bose-soundtouch-30-_JM#position=2&type=item&tracking_id=210e77af-691d-4132-aca3-a4dbfa8a9d11,NA,NA,NA,NA,NA,#499656545,Bose,NA,NA,Parlante Bluetooth Bose Soundtouch 30,NA,NA,NA,NA,NA
3, Parlante Bluetooth Harman Kardon Onyx Studio 4 ,99.990,129.990,"
			
				Nuevo
			
			
				
					 - 
				
				376
				vendidos
			
		",(82 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 16.665
			
		
		 sin interés
		
	

	
		","
				$ 16.665
			",NA,Envío gratis a todo el país,NA,NA,4.9,48,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-448975270-parlante-bluetooth-harman-kardon-onyx-studio-4-_JM#position=3&type=item&tracking_id=210e77af-691d-4132-aca3-a4dbfa8a9d11,46,1,1,0,0,#448975270,Harman Kardon,NA,NA,Onyx Studio 4,60 W,Activo,NA,NA,NA
4, Jbl Go2 Parlante Portátil Bluetooth Inalámbrico Impermeable ,22.990,29.990,"
			
				Nuevo
			
			
				
					 - 
				
				364
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.832
			
		
		 sin interés
		
	

	
		","
				$ 3.832
			",NA,Envío a todo el país,NA,NA,4.7,61,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-470706708-jbl-go2-parlante-portatil-bluetooth-inalambrico-impermeable-_JM#position=4&type=item&tracking_id=210e77af-691d-4132-aca3-a4dbfa8a9d11,49,9,1,2,0,#470706708,JBL,NA,184 g,GO 2,3 W,Activo,NA,NA,NA
5, Parlante Ducha Bluetooth Portátil Agua Piscina 71603 Gocy ,2.890,NA,"
			
				Nuevo
			
			
				
					 - 
				
				552
				vendidos
			
		",(97838 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 482
			
		
		 sin interés
		
	

	
		","
				$ 482
			",NA,Envío a todo el país,NA,NA,5.0,3,https://perfil.mercadolibre.cl/GOCY+EIRL,https://articulo.mercadolibre.cl/MLC-439441873-parlante-ducha-bluetooth-portatil-agua-piscina-71603-gocy-_JM#position=5&type=item&tracking_id=210e77af-691d-4132-aca3-a4dbfa8a9d11,3,0,0,0,0,#439441873,Gocy,NA,NA,71603,3 W,NA,9 cm,NA,NA
6, Barra De Sonido Soundbar Bluetooth Sensewave Master G ,11.990,14.990,"
			
				Nuevo
			
			
				
					 - 
				
				162
				vendidos
			
		",(30 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.998
			
		
		 sin interés
		
	

	
		","
				$ 1.998
			",NA,Envío a todo el país,NA,NA,3.4,9,https://perfil.mercadolibre.cl/PROGLOBALCHILE,https://articulo.mercadolibre.cl/MLC-456354330-barra-de-sonido-soundbar-bluetooth-sensewave-master-g-_JM#position=6&type=item&tracking_id=210e77af-691d-4132-aca3-a4dbfa8a9d11,4,1,1,1,2,#456354330,Master-G,NA,NA,Soundbar MGSB110,NA,NA,NA,NA,NA
7, Parlante Bluetooth Soundcore 2 Select Anker ,31.990,49.990,"
			
			
				
				366
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 5.332
			
		
		 sin interés
		
	

	
		","
				$ 5.332
			",NA,Envío gratis a todo el país,NA,NA,4.9,57,https://perfil.mercadolibre.cl/ANKERSTORE?brandId=188,https://articulo.mercadolibre.cl/MLC-455898956-parlante-bluetooth-soundcore-2-select-anker-_JM#position=7&type=item&tracking_id=210e77af-691d-4132-aca3-a4dbfa8a9d11,52,4,1,0,0,#455898956,Anker,SoundCore,360 g,NA,NA,NA,NA,Auxiliar,NA
8, Parlante Karaoke Bluetooth Fiddler Doble Altavoz + Micrófono ,29.990,49.990,"
			
			
				
				340
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.998
			
		
		 sin interés
		
	

	
		","
				$ 4.998
			",NA,Envío gratis a todo el país,NA,NA,3.3,27,https://perfil.mercadolibre.cl/MACROTEL+TO?brandId=335,https://articulo.mercadolibre.cl/MLC-461986096-parlante-karaoke-bluetooth-fiddler-doble-altavoz-microfono-_JM#position=8&type=item&tracking_id=210e77af-691d-4132-aca3-a4dbfa8a9d11,9,6,4,1,7,#461986096,Fiddler,NA,NA,FD-PKBTD6,10 W,NA,NA,Auxiliar,NA
9, Par Parlante Caja Acústica 15 Eon615 Jbl - Envío Gratis ,620.000,800.000,"
			
				Nuevo
			
			
				
					 - 
				
				14
				vendidos
			
		","
		
			¡Último disponible!
		
	","
	
		
			
		
		6 cuotas de
		
			
				$ 103.333
			
		
		 sin interés
		
	

	
		","
				$ 103.333
			",NA,Envío gratis a todo el país,NA,NA,5.0,2,https://perfil.mercadolibre.cl/ARTECNOINSTRUMENTOS,https://articulo.mercadolibre.cl/MLC-487403975-par-parlante-caja-acustica-15-eon615-jbl-envio-gratis-_JM#position=9&type=item&tracking_id=210e77af-691d-4132-aca3-a4dbfa8a9d11,NA,NA,NA,NA,NA,#487403975,JBL,NA,NA,EON615,NA,NA,NA,NA,NA
10, Parlante Jbl Charge 4 Bluetooth Portatil Cargador Waterproof ,119.990,159.990,"
			
				Nuevo
			
			
				
					 - 
				
				48
				vendidos
			
		",(8 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 9.999
			
		
		 sin interés
		
	

	
		","
				$ 9.999
			",NA,Envío gratis a todo el país,NA,NA,5.0,2,https://perfil.mercadolibre.cl/MR.CLICK+CHILE,https://articulo.mercadolibre.cl/MLC-481530674-parlante-jbl-charge-4-bluetooth-portatil-cargador-waterproof-_JM#position=10&type=item&tracking_id=210e77af-691d-4132-aca3-a4dbfa8a9d11,NA,NA,NA,NA,NA,#481530674,JBL,NA,0.96 kg,Charge 4,30 W,Activo,NA,NA,NA
