search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Tipo de casco,Tipo de visor,Materiales del interior,Materiales del exterior,Edad,Género,Modelo alfanumérico,Peso
1, Casco Negro Motocicleta Kov Stealth Mate Abatible Mica Inter ,"1,299",NA,"
			
				Nuevo
			
			
				
					 - 
				
				172
				vendidos
			
		",(10 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 7217
		
		 sin intereses
		
	

	
		",17,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.1,7,https://perfil.mercadolibre.com.mx/LOWEN+GRUPO,https://articulo.mercadolibre.com.mx/MLM-669501641-casco-negro-motocicleta-kov-stealth-mate-abatible-mica-inter-_JM?searchVariation=33988574797,5,0,1,0,1,#669501641,Negro mate,XL,KOV,Stealth,Stealth,Rebatible,NA,NA,NA,NA,NA,NA,NA
2, Casco Mask Moto Deportivo Iron Man Abatible Halo Rojo Fassed ,"1,599",NA,"
			
				Nuevo
			
			
				
					 - 
				
				137
				vendidos
			
		",(7 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 8883
		
		 sin intereses
		
	

	
		",83,NA,Llega gratis el viernes,Devolución gratis,Tienes 30 días desde que lo recibes,5.0,2,https://perfil.mercadolibre.com.mx/ACCESORIOSEXCLUSIVOSMX,https://articulo.mercadolibre.com.mx/MLM-650438989-casco-mask-moto-deportivo-iron-man-abatible-halo-rojo-fassed-_JM?searchVariation=29633306833,NA,NA,NA,NA,NA,#650438989,NA,"L,XL",Faseed,Mask,Graficos,Rebatible,Simple,Resina termoplástica,ABS,Adultos,Unisex,NA,NA
3, Casco Abatible Para Motocicleta Certificacion Dot ,949,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1448
				vendidos
			
		",(2839 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 5272
		
		 sin intereses
		
	

	
		",72,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,100,https://perfil.mercadolibre.com.mx/INNOVANDO_OFERTAS,https://articulo.mercadolibre.com.mx/MLM-552218947-casco-abatible-para-motocicleta-certificacion-dot-_JM?searchVariation=36753042218,68,22,4,2,4,#552218947,NA,"M,L,XL",INNOVANDO,NA,CAS-ABA-83,Rebatible,NA,NA,NA,Adultos,Unisex,NA,NA
4, Casco Harley Davidson Scorpion Exo Covert Negro Mate Chopper ,"4,839",NA,"
			
				Nuevo
			
			
				
					 - 
				
				126
				vendidos
			
		",(22 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 26883
		
		 sin intereses
		
	

	
		",83,NA,Llega gratis el viernes,Devolución gratis,Tienes 30 días desde que lo recibes,5.0,19,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-654427065-casco-harley-davidson-scorpion-exo-covert-negro-mate-chopper-_JM?searchVariation=32213498483,19,0,0,0,0,#654427065,"S,M,L,XL,XXL",,Scorpion Exo,Covert,Covert,MODULAR,Simple,EPS,Policarbonato,Adultos,Unisex,NA,NA
5," Casco Integral Negro Mate, Negro , Rojo, Azul Y Plata ",550,NA,"
			
				Nuevo
			
			
				
					 - 
				
				713
				vendidos
			
		",(5 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 3056
		
		 sin intereses
		
	

	
		",56,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,96,https://perfil.mercadolibre.com.mx/GUERREROBIKER,https://articulo.mercadolibre.com.mx/MLM-610879940-casco-integral-negro-mate-negro-rojo-azul-y-plata-_JM?searchVariation=31678827987,64,18,11,0,2,#610879940,"Negro,Azul,Negro,Negro mate,Plata,Rojo,Tribal,motogp","S,M,L,XL",Promoto,CERRADO,A107,Integral,Simple,Poliestireno,ABS,Adultos,Unisex,basic,NA
6, Casco Integral Roda Asteroid Pro Con Certificacion Dot ,849,NA,"
			
				Nuevo
			
			
				
					 - 
				
				80
				vendidos
			
		",(12 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 8387
		
		 sin intereses
		
	

	
		",87,NA,Llega gratis el viernes,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,9,https://perfil.mercadolibre.com.mx/GRUPO+AEP,https://articulo.mercadolibre.com.mx/MLM-660783834-casco-integral-roda-asteroid-pro-con-certificacion-dot-_JM?searchVariation=31940579166,8,1,0,0,0,#660783834,Negro,L,RODA,CERRADO,Asteroid PRO,Integral,NA,NA,ABS,Adultos,Unisex,NA,NA
7, Casco Faseed Fs-726x Abierto 3/4 Trooper Certificado Ece2205 ,"1,550",NA,"
			
				Nuevo
			
			
				
					 - 
				
				91
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 8611
		
		 sin intereses
		
	

	
		",11,NA,Llega gratis el viernes,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,8,https://perfil.mercadolibre.com.mx/SKULLGUARD_MOTO,https://articulo.mercadolibre.com.mx/MLM-687886875-casco-faseed-fs-726x-abierto-34-trooper-certificado-ece2205-_JM?searchVariation=38435724710,7,0,0,1,0,#687886875,NA,"S (55 - 56 cm),XL (61 - 62 cm),M (57 - 58 cm),L (59 - 60 cm)",Faseed,NA,FS-726X,Modular,Simple,NA,NA,Adultos,Unisex,NA,NA
8, Casco Roda Revenge Abatible Gafa Interna Certificado Dot ,"1,145",NA,"
			
				Nuevo
			
			
				
					 - 
				
				658
				vendidos
			
		",(11 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 6361
		
		 sin intereses
		
	

	
		",61,NA,Llega gratis el viernes,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,134,https://perfil.mercadolibre.com.mx/SHOP+IGARTUA,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=QwOmyKyRn%2BHMmHCDB0A86oq27jEJmZS3%2F0X6s4C3ylupInBmiCKkW4m%2BGjRfavWgn7JT329QfSEwc1yh7tyiQNt7LIg2Inz5Yj%2BTLaQssdzzav8kDsHa8ddDPAke%2F9e7pSx2bujlSEOg%2FrK23OFJZJEYM%2FQ6lGMheKbPQ78fX7xoRtnyN8m3bMOedbCi4rFCoBsOCN7kpsMd4sGjcXoav1GZTu38B5MJTrC2xHd6vCHwqDcO70TMRIvcw23HrWM9AJ%2FIXozj2qz2WQ0vURYm7SpBJkY%2BcuXw4xdwZBbwIRdlDJ9r18REzhDqPXEoiYexv3Q9YesU9MVgM6ebsMz1ZapA%2Fl4OkLKj7pa9Cd%2B9jxQ8MtTxbqwZOJ%2B6lFmx7uincaSr122zOHcipevVMtK62D2aLG2qqAneZdUpckDy3CAngkS8mXKY9UBxRktJ0CKkWa2x5mFLryK5m3f1Pmz9FN73rz6CF3DNkw6d5JseCAfaS4S7gW3UOEy%2B6SrZG%2FpmoWfCB8j1voF5sOICZ1alVGHKq0hRVzIrq7cQXJ4xhunK6QvrnJ5UTcSAXfhhEtKX7DfqtZXIQM%2FFWJeYS%2B1WONhO7%2BEdTMz9QG9DPqlq9TkWRb06hmVYwhwYFQChughK58sNymQf2W19zB4xwiYUXvraYf3Pcll5AqBqwA%2FTRQBNg09HCbyJc0T18VaDNe%2FLMwF788EiElA9lKBCpscP2x1%2BaoPbnRvJE%2BlGMqBHWl76lX%2FLcWsj%2F%2B9u14vEkaqFSBwgo93SJgyGAjfbvg3SXSQQ4zUrG%2F3Ip04rvS8zCwIal2Ka39jlKItsK39gN2iuOr4FMewmt0NhLGPle6DJFRw3VylDCMNIjbv%2F6DA0U7eY9Y0c%2BRoDeTjmjBp4rGfihuLNCcmCchE8NRFxRl3eAErVQoejdtYHo8Z3QxOhIxdVyevwmghy3G03cBq1MlbigQvKqFNwUCj5nZKWFzQrytMDubMN1x%2FWXbmMByWnZLsaKH0w8I4mrxS%2FR0x3nAoXkQuaWCznlL9k0E%2B59Jn%2BHuB1NgsTRSVOUmC1HFey5KnI5%2FW1APQxzkLB%2FMQN6%2BvcFyQ7%2Brpw%2BK%2FPm8DTNrmmcPUdRzs4CO98mAAf6cGJTnQxNWRL%2BNbq4KCVojd6UrAWy%2B2h9Wz4IVYrrBzeKSmldL97RxY0xwAoJn%2B5JKJq8uicIY663zxG1l49GyikxZTTs8by0ihLiXnjKgT11KZdTalUPNYnL74wWN4mbFo%2BoNlhdDW0yUMIrBKwbUGeUuzxc3XMgOdqgDOZ7yPcu1THg%2Fvb6Wa024vt2hcaDIMLC4szReTl0F5FYFVGON1%2FX569dZBzeeQ3donftuxVO1zkos40SkkCbvxRAlc2PL1JREU%2BkqzN%2Fh%2FQfmdpZcP9Lk6x2PdSkKRMypsIQu5f2D3UMtssWUZFeNFYS5U6u%2BJ51N9j1KCI2xwoMZMdkZOQl3FiI%2BlYEUy37Qq44PWwu5CIdF%2BbNuiCHo86YbnNslCK%2F4YYeB4%2BMA%2Fikroi47Nv8aFSdZGhLl8t9QxwRTCKUL3H4N%2F9RVi45ZgHdr91iCCqFrtzD8XRU4JwvTJ6aTyErggfYJVFSjPY7L4Zv%2BOXVG%2BZoOaVapzIIAnhcUAghz1u3MI9ZogGreqPEqjZWQorAcuPwOmVPmdf0KkBxjLCL6%2FPIWfhDVXhb9k%2B9YDMR5oTPsipqrhRXqF5RzFYGLzccDwYuJb6Mgk2lJEzrNJJyVom%2BmfGJbIvwUCxZWoevoqN6nwrO%2FlyBOaxJ4RiaaGZ6fZkXecbp2oalvjCN75A,104,21,5,1,3,#610191804,"Negro/Plata,Blanco,Negro Matte,Negro brillo,Negro/Morado,Negro/Naranja,Negro/Plata,Negro/Rojo,Rojo brillo","L y XL,S,M,L,XL",RODA,Revenge,2019,Rebatible,Simple,Resina termoplástica,ABS Alto Impacto,Adultos,Unisex,NA,NA
9," Casco Depredador, Envío Gratis!!! ",899,NA,"
			
				Nuevo
			
			
				
					 - 
				
				687
				vendidos
			
		",(365 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 4994
		
		 sin intereses
		
	

	
		",94,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.1,53,https://perfil.mercadolibre.com.mx/JK+MOTORS,https://articulo.mercadolibre.com.mx/MLM-568733170-casco-depredador-envio-gratis-_JM?searchVariation=23088464886,27,14,6,2,4,#568733170,Negro,"negro,MEDIANO,CHICO,EXTRA GRANDE,GRANDE",JK,DEPREDADOR,Negro,Integral,Simple,Esponja,Fibra de vidrio,Adultos,Masculino,EDN,NA
10, Par De Luces Led Para Casco Moto Motocicleta Seguridad Noche ,279,349,"
			
				Nuevo
			
			
				
					 - 
				
				307
				vendidos
			
		",(1 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1551
		
		 sin intereses
		
	

	
		",51,NA,Llega mañana,Devolución gratis,Tienes 30 días desde que lo recibes,4.4,5,https://perfil.mercadolibre.com.mx/MEXMART_ML,https://articulo.mercadolibre.com.mx/MLM-657032837-par-de-luces-led-para-casco-moto-motocicleta-seguridad-noche-_JM?searchVariation=32417916891,3,1,1,0,0,#657032837,Verde,Unitalla,OEM,LUCES,Recto,Integral,NA,NA,NA,Adultos,Unisex,NA,NA
11, Casco Abatible Moto Hro Certificado Lente Solar Envio Gratis ,"1,349",NA,"
			
				Nuevo
			
			
				
					 - 
				
				178
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 7494
		
		 sin intereses
		
	

	
		",94,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,9,https://perfil.mercadolibre.com.mx/NINJAMOTOSHOP,https://articulo.mercadolibre.com.mx/MLM-606561406-casco-abatible-moto-hro-certificado-lente-solar-envio-gratis-_JM?searchVariation=36972691433,8,0,1,0,0,#606561406,"Gris/Naranja,Fucsia,Gris oscuro,Gris/Naranja,NEGRO BRILLANTE LISO,NEGRO MATTE LISO,NEGRO/ NARANJA CAMOUFLAGE,NEGRO/AMARILLO CAMOUFLAGE,NEGRO/GRIS/AZUL","TALLA L 59-60 CM,TALLA M 57-58 CM,TALLA XL 61-62 CM",HRO,Abatible,3400 DV,Rebatible,Doble,Poliestireno,ABS,Adultos,Unisex,NA,NA
12, Casco Abatible Caberg Duke 2 Smart Negro 100% Italiano 2019 ,"3,699",NA,"
			
				Nuevo
			
			
				
					 - 
				
				360
				vendidos
			
		",(8 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 20550
		
		 sin intereses
		
	

	
		",50,NA,Llega gratis el viernes,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,40,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-549258203-casco-abatible-caberg-duke-2-smart-negro-100-italiano-2019-_JM?searchVariation=26388914704,33,6,1,0,0,#549258203,Negro,"Brillante,L,M,S,M,L,XL",Caberg,SMART II,Duke,Rebatible,Doble,EPS,Policarbonato,Adultos,Unisex,NA,NA
13, Casco Tipo Cross Negro Mate Certificacion Dot Tallas ,949,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1755
				vendidos
			
		",(98 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 9375
		
		 sin intereses
		
	

	
		",75,NA,Llega gratis el viernes,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,75,https://perfil.mercadolibre.com.mx/VALERIARIOU,https://articulo.mercadolibre.com.mx/MLM-582660373-casco-tipo-cross-negro-mate-certificacion-dot-tallas-_JM?searchVariation=23194309270,63,11,1,0,0,#582660373,NA,"negro,S,M,L,XL",Alessia,CAS-CRO-15,NEGRO MATE,Cross,Simple,Poliestireno,ABS,Adultos,NA,NA,NA
