search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Materiales del interior,Materiales del exterior,Edad,Género,Línea,Tipo de visor,Peso,Modelo alfanumérico,Usos recomendados
1, Casco Moto Hawk Zx7 Mx Cross Enduro Negro Mate Oficial ,5995,6595,1,10,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/HAWK+HELMETS?brandId=1746,https://articulo.mercadolibre.com.ar/MLA-796287611-casco-moto-hawk-zx7-mx-cross-enduro-negro-mate-oficial-_JM?searchVariation=39610166914,NA,NA,NA,NA,NA,#796287611,NERO M,,Hawk,ZX7,Cross,Frontura Hipoalergenico,ABS,Adultos,Unisex,NA,NA,NA,NA,NA
2, Casco Moto Mt Stinger New Gp D3 Amarillo Integral ,4297,NA,8,5,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,5,1,https://perfil.mercadolibre.com.ar/MT+HELMETS?brandId=1346,https://articulo.mercadolibre.com.ar/MLA-714158396-casco-moto-mt-stinger-new-gp-d3-amarillo-integral-_JM,1,0,0,0,0,#714158396,Negro Fluo Amarillo Naranja,"M,XL",MT,Torn,Integral,Poliestireno,Policarbonato,Adultos,Unisex,Thunder,Simple,1450 g,NA,NA
3, Casco Moto Integral Vertigo Max. Full. En Gravedadx ,799,949,776,69,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,48,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-683109534-casco-moto-integral-vertigo-max-full-en-gravedadx-_JM?searchVariation=35477314606,35,9,4,0,0,#683109534,Negro,"L (60 cm),S (56 cm),M - 58 cm,XL (62 cm)",Vértigo,Vertigo Max,Integral,Set Poliester,ABS,Adultos,Unisex,Vértigo,Simple,NA,NA,NA
4, Casco Moto Integral Vertigo Dominium. Full. En Gravedadx ,2399,2699,843,41,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,211,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-698754581-casco-moto-integral-vertigo-dominium-full-en-gravedadx-_JM?searchVariation=32109894632,132,53,19,3,4,#698754581,Amarillo fluo,"XL (62 cm),XS (54 cm),L (60 cm),M - 58 cm,S (56 cm)",Vértigo,DOMINIUM,Integral,Set Poliester,ABS,Adultos,Unisex,Vértigo,Simple,NA,NA,NA
5, Casco Motos Integral Halcon H57 + Cuello + Guantes Sti Motos ,1546,NA,2283,7,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,298,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-616668706-casco-motos-integral-halcon-h57-cuello-guantes-sti-motos-_JM?searchVariation=27050402189,186,66,33,11,2,#616668706,,"S,L,XL",Halcon,H57,Integral,NA,Policarbonato,Adultos,Unisex,Integral,Simple,NA,H57,NA
6, Casco Moto Integral Vertigo Hk7 Mate. Full. En Gravedadx ,2754,NA,1411,16,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,211,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-673895784-casco-moto-integral-vertigo-hk7-mate-full-en-gravedadx-_JM?searchVariation=25749397874,132,53,19,3,4,#673895784,"Azul,Gris oscuro,Naranja,Rojo Flúo,Violeta","XS (54 cm),S (56 cm),M - 58 cm,L (60 cm),XL (62 cm)",Vértigo,HK7,Integral,Set Poliester,ABS,Adultos,Unisex,Vértigo,Simple,NA,NA,NA
7, Casco Rebatible Hawk Rs5 Flipup Negro Envios Gratis Al Pais ,3010,NA,998,1,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,870,https://perfil.mercadolibre.com.ar/ANTARES-MOTOS,https://articulo.mercadolibre.com.ar/MLA-639034451-casco-rebatible-hawk-rs5-flipup-negro-envios-gratis-al-pais-_JM?searchVariation=26631103098,551,235,54,15,15,#639034451,Blanco - Brillo,"M - 58 cm,XL 62cm,S 56cm",Hawk,RS5,Rebatible,NA,Acrilico,Adultos,Unisex,Rs5 Rebatible,Simple,NA,NA,Urbana
8, Casco Moto Hawk Zx7 Mx Cross Enduro Negro Mate Oficial ,5995,6595,1,10,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/HAWK+HELMETS?brandId=1746,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=yfCOy8HRISDMcRX%2B9RU%2BTEw9FTqsju%2Fm1iIRNVV1S5PeYbxWHjyoWmnKzG99caSpg1W%2FBvr%2BqiOSf8V1FO8TCEBhXGQ%2FH4NHqjQ94iof3R7Rf0Iq8cZDHIjcq6JM138hW9agK6pBZAE2a2YFDJk0R%2FBr0WHSKE27GM%2BhRd0u%2BW4Kst%2BH72ErJHio6zfde07BYAABBCZykCTbIZilJ0jxOMr50YAsF%2BJ5GrXNccrfysYzVutoZR7N5WlT2nAJNpvnO8170hVD1mxFXtlyJCKT8bmLVxzYNbIliiexbphp3ODDfN8nbE3k%2FpII4eOoZjKdbdk6%2BmnTc0RbQkbNlyteZQWCys7Pv9Y1TkS8UBVBBQOauiC4fuqcio0oonnrb3ra79tDybrPp9Cr9VOUdzNDaTZlGBWoYUDUx6k4w8SxT65tRA5WigbiEyigqWMwJm%2B6Y0bkzKnfA5oSMhY%2BLFRsLbs2YKuzaOwHkGOtnTtxKK5RuGBTqisGBrBHXK0MjYtFuxqEijV40QSTqQx%2Ba87YThoz1dlTeLGdtyR0SFPUpKK%2FXdpt3yiUDhCnh7JESYS%2BiGq%2Buz57ve8XmISqe6pibwIofRDiC4LQnrvRvr2UCoEQSwv5MtHK6CinERhSQliT0eChSrN8PO5PIG1r%2FEZ0OAC%2BmnWP39zR0Xg62vgDVjrGPV2fA5okqLz5i0JfnLdaEOL%2FW84dE0pSE5DXGuNiIYgAx2ksCouktqM%2BO9YP47TqOUvLNAi%2Fxt6LkIpuYYLwTdhTQPpqlJlWq%2BJFPnhXuycUaClxRx9P%2FYDCmgdmZdde9Mg5Vk28LMMxFM762TbHop%2FkWZPV89t5Nms3HXctNYiLqfgdq%2BieFGoB8Uk8ZdEqWK7UjrTvRYewMsTyXMImj2bSPh9b%2BnvtdPRm5ljX%2BEnVx%2BZYH8BRKy60gDmSKi0RmCj%2B4sYG5h%2BjoZLMHCeiF59B3QKhurGgAAvZDTZ1i40itxW2BNeonp8V8rRE4Q%2F9BvkQKiK%2BjmDGwnR0pnWyTYuLuZRJZozTlSG%2B0BYLm8ibdqOftLj3gwJjCyzrvw1ZCLWXCgG%2BK0GhrPOiHWqAV4wPgrpnBbDf02WNiT9EiIqG0wGidjL6jUEOL7xUPnIneOJJ7LGD4MrDiHDCqOWWpvB6qhQaWbGyWTs5G%2BsKHT6Jn%2BmU4rhgZQg1w1zS27E3hxfpjYX4xtFk1%2F%2Fcu0Ut4MYD09cbqAD68VnhTKyjJZdejh%2BhVmLUvSADiuScSZT2jb46gwWduz5%2B%2FGxQExl%2FgYiOnyhsALNhwbmTFvHo%2BuZpM7S4xhc%2B%2ByhE8on3eCBMO4ZqUt0uK6tCzp9KZBDz9bScG31DWlDS10yxdcUEJmX%2BGetvAO4JymW6oUDF0Nl%2BXQLAMsuKy3CENkZ7%2BmsDYXs3bUSBbOVjdJWs4LsbseYUiAOpMJVdbIJk7lU3x4m9UeMDxj%2F9asU5YoXgq5KtqY035IMVCzuJo7%2F5U%2BIOO%2Bj5kcxhiZTx%2Fxi3vV525i8EM3Py4nmCC1t2PKGdTQc9gYr4moVEgHQUFFeh7%2FfnGOCzxNCB44I2oZxOXP%2FV96XlUqzdJ73dsDGFmOzsV7OleCcA2OhVvslfQaIzWbGb2ktx9NFBZI%2BJbQ1jilYWtP7MBVaML1nKr99H0hlwpTo6tJgXmMsjn8U7rocnE9OfypBDLDrIOEFqIUTH8aGmD1puSyFA%2FE2cMuTqiY71IX4ysHjexxCdCixwQep0xxue7xGsMJNFQL4sALQccbjjARHU2bZkeTymVkEH51PN2dwikKD7z20xyrQBOZtb1%2BaAIuy3Mb4B9kBQVxKYCE9kDW1ERJecQZQTRg3P3QLPU%2FfQNErmncs%3D,NA,NA,NA,NA,NA,#796287611,NERO M,,Hawk,ZX7,Cross,Frontura Hipoalergenico,ABS,Adultos,Unisex,NA,NA,NA,NA,NA
9, Casco Moto Abierto Vertigo Vintage Maya. Full. En Gravedadx ,2132,NA,787,30,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,105,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-674080413-casco-moto-abierto-vertigo-vintage-maya-full-en-gravedadx-_JM?searchVariation=17140773994,70,28,2,2,3,#674080413,"Beige,Celeste,Negro","XS (54 cm),S (56 cm),M - 58 cm,L (60 cm)",Vértigo,Vintage Maya,Abierto,Micro Fibra,Termoplástico,Adultos,Unisex,Vértigo,Simple,NA,NA,NA
10, Casco Motos Integral Halcon H57 + Cuello + Guantes Fas Motos ,1405,NA,696,395,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,298,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-744827612-casco-motos-integral-halcon-h57-cuello-guantes-fas-motos-_JM?searchVariation=26854120381,186,66,33,11,2,#744827612,Negro,"S,M",Halcon,H57,Integral,Resina termoplástica,Polipropileno,Adultos,Unisex,Integral,Doble,NA,NA,NA
