search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Tipo de casco,Género,Peso,Tipo,Color
1, Casco Moto Ls2 Ff324 Abatible Metro Evo Blanco ,129.990,NA,"
			
			
				
				32
				vendidos
			
		",(7 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 10.832
			
		
		 sin interés
		
	

	
		","
				$ 10.832
			",NA,Envío gratis a todo el país,NA,NA,5.0,2,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-466453148-casco-moto-ls2-ff324-abatible-metro-evo-blanco-_JM,NA,NA,NA,NA,NA,#466453148,"L,XXL",,LS2,EVO,FF324 METRO,Rebatible,Unisex,NA,NA,NA
2, Casco Moto Ls2 Ff324 Abatible Metro Evo Amarillo ,129.990,NA,"
			
			
				
				44
				vendidos
			
		",(11 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 10.832
			
		
		 sin interés
		
	

	
		","
				$ 10.832
			",NA,Envío gratis a todo el país,NA,NA,5.0,2,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-464711147-casco-moto-ls2-ff324-abatible-metro-evo-amarillo-_JM,NA,NA,NA,NA,NA,#464711147,Amarillo,"M,L,XL,XXL",LS2,NA,FF324 METRO EVO,Rebatible,Unisex,0.165 g,NA,NA
3, Casco Moto 4rs 168 Sun Visor Certificado Dot Abatible Flipup ,44.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				288
				vendidos
			
		",(242 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 7.498
			
		
		 sin interés
		
	

	
		","
				$ 7.498
			",NA,Envío gratis a todo el país,NA,NA,4.5,22,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-438976101-casco-moto-4rs-168-sun-visor-certificado-dot-abatible-flipup-_JM,16,3,2,1,0,#438976101,Negro opaco,"XS,S,M,L,XL",4RS,NA,168,Rebatible,NA,1450 g,NA,NA
4, Casco Moto Armad 710 Jet Negro Mate Certificado Ecer2205 ,45.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				19
				vendidos
			
		",(31 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 7.665
			
		
		 sin interés
		
	

	
		","
				$ 7.665
			",NA,Envío gratis a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-440632933-casco-moto-armad-710-jet-negro-mate-certificado-ecer2205-_JM,NA,NA,NA,NA,NA,#440632933,"S,M,L,XL",,ARMAD,NA,710,Abierto,NA,NA,NA,NA
5, Casco Moto Oneal Challenger Crank N +lente Interior+pinlock ,89.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				31
				vendidos
			
		",(13 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 7.499
			
		
		 sin interés
		
	

	
		","
				$ 7.499
			",NA,Envío gratis a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/REBELSPORTS.CL,https://articulo.mercadolibre.cl/MLC-478913019-casco-moto-oneal-challenger-crank-n-lente-interiorpinlock-_JM?searchVariation=33417105645,NA,NA,NA,NA,NA,#478913019,Negro,"S,L",O'Neal,Challenger,Crank,Integral,NA,NA,NA,NA
6, Casco Moto 4rs 128 Black Edition Multiproposito Norma Dot ,47.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				78
				vendidos
			
		",(79 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 7.998
			
		
		 sin interés
		
	

	
		","
				$ 7.998
			",NA,Envío gratis a todo el país,NA,NA,5.0,3,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-441881572-casco-moto-4rs-128-black-edition-multiproposito-norma-dot-_JM,3,0,0,0,0,#441881572,"S,M,L,XL",,4RS,NA,128,Integral,NA,1.38 kg,NA,NA
7, Casco Abierto Moto Dot Casco De Moto ,10.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",(91 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 916
			
		
		 sin interés
		
	

	
		","
				$ 916
			",NA,Envío a todo el país,NA,NA,4.0,1,https://perfil.mercadolibre.cl/MULTISHOPVIRTUAL23,https://articulo.mercadolibre.cl/MLC-490307697-casco-abierto-moto-dot-casco-de-moto-_JM,NA,NA,NA,NA,NA,#490307697,Negro,standar,HLN,NA,Clásico,Abierto,NA,NA,NA,NA
8, Casco Moto 4rs Mx Enduro 166 + Antiparras On Motocross ,57.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				93
				vendidos
			
		",(60 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 9.665
			
		
		 sin interés
		
	

	
		","
				$ 9.665
			",NA,Envío gratis a todo el país,NA,NA,5.0,7,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-439510792-casco-moto-4rs-mx-enduro-166-antiparras-on-motocross-_JM,7,0,0,0,0,#439510792,VERDE / ANTIPARRA VERDE,"TALLA XL,TALLA M,TALLA L",4rs,NA,166,Cross,NA,1300 g,NA,NA
9, Casco Moto Abierto 4rs 537 Con Visor Certificado Dot Scooter ,14.990,19.990,"
			
				Nuevo
			
			
				
					 - 
				
				96
				vendidos
			
		",(16 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 2.498
			
		
		 sin interés
		
	

	
		","
				$ 2.498
			",NA,Envío a todo el país,NA,NA,4.6,12,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-442752257-casco-moto-abierto-4rs-537-con-visor-certificado-dot-scooter-_JM,8,3,1,0,0,#442752257,NA,XL,4RS,NA,537 STAR,Abierto,NA,940 g,NA,NA
10, Casco Moto 4rs 128 Multiproposito Black Red Certificado Dot ,46.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				93
				vendidos
			
		",(30 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 7.832
			
		
		 sin interés
		
	

	
		","
				$ 7.832
			",NA,Envío gratis a todo el país,NA,NA,5.0,15,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-441722898-casco-moto-4rs-128-multiproposito-black-red-certificado-dot-_JM,15,0,0,0,0,#441722898,"M,L,XL",,4RS,NA,128,Integral,NA,1380 g,NA,NA
11, Pack 2x Casco Moto Abierto 4rs 537 Verano Certificado Dot ,29.990,49.990,"
			
				Nuevo
			
			
				
					 - 
				
				45
				vendidos
			
		",(11 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.998
			
		
		 sin interés
		
	

	
		","
				$ 4.998
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-473556472-pack-2x-casco-moto-abierto-4rs-537-verano-certificado-dot-_JM,NA,NA,NA,NA,NA,#473556472,NA,NA,4RS,NA,537,Rebatible,NA,940 g,NA,NA
12, Casco Moto 4rs 09b Gear Rojo Integral Con Sun Visor Dot ,38.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				29
				vendidos
			
		",(60 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 6.498
			
		
		 sin interés
		
	

	
		","
				$ 6.498
			",NA,Envío gratis a todo el país,NA,NA,5.0,4,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-445142214-casco-moto-4rs-09b-gear-rojo-integral-con-sun-visor-dot-_JM,4,0,0,0,0,#445142214,"M,L,XL",,4rs,NA,09b gear red,Integral,NA,1360 g,NA,NA
13, Casco Moto Ls2 Mx436 Pioneer Element Negro Titanio Matte ,114.990,134.990,"
			
			
				
				26
				vendidos
			
		",(20 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 9.582
			
		
		 sin interés
		
	

	
		","
				$ 9.582
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-461069835-casco-moto-ls2-mx436-pioneer-element-negro-titanio-matte-_JM,NA,NA,NA,NA,NA,#461069835,"M,L,XL,XXL",,LS2,ELEMENT,MX436 PIONEER,MULTIPROPOSITO,Unisex,1350 g,NA,NA
14, Casco Moto Oneal Challenger Wingman +lente Interior+pinlock ,89.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				31
				vendidos
			
		",(11 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 7.499
			
		
		 sin interés
		
	

	
		","
				$ 7.499
			",NA,Envío gratis a todo el país,NA,NA,5.0,8,https://perfil.mercadolibre.cl/REBELSPORTS.CL,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=skoXAoCrmMzoMalmHlCpYjrnMv0dPjT1zxdUpd9K82hHfVPjc3hJY1%2BHmU8N%2FEiqyJ7jHA6l7dI00mU4vN8d%2BnED0EcHvEF61Q6QS7MZI00boo%2F7DIYvjvdJb8Z0kmioR5GAVVOXMgQrNN3sQTOIS%2FPzois0eaGMYDBXeHEK5f82fxAcdHUbY1ZrLoViWAFfkeZ8uHNhaG18ETdONH%2BSOxnzEAr2YlJxcAbtkgzLuRtSbWlOcYQcaW8LVg0VeArat%2FydYz14dtMDqqJC%2BOKWtZ3c%2FizWhQ%2BNEqo%2Bgkzf3%2BoMULlpxdZ1Dlz9JdLzpKy3HKwnMNr2xutVQWnA9IWk0Yx70t2TDSdP4GjERa62X8F5kCyReF%2BmGlIp23DjjXpWnUoeV%2FCAEtRq13bxVseqb%2FlQubISGx88FXzhhbyk0zLn1m343T98C1cenIDmc%2Fhaqbb7ilixWHJZ3bhOOpyfMStjFr1RFilfUoa2Ev%2FmbrvriVP6uRzL3FST9QBLh%2B632Mfn95un8tAPwhMlemIhYnxd6x%2FKJlgJ%2BudWNdfZ%2BdKl31a8I0ph%2BlYdI6VHcs%2BhuVuamL9fsam8a5RC7kDW5EcXpOG7ebqNdjRsEddD9VU%2BEbtQvuuqM%2FO%2FDEB4ARxD%2BvYrzBc4kHgn55WBT3fVAal%2B9SQv5r3RYwagzOA2H0beDkGd2TgOa0YznxqLMZ93b3EtaMgomV7sLwDl0VPrCrMR5NhHFKb0J2QnUN%2Bj3QeYjX%2B81Pc4eSd4XVgbqxiX8R4Po9mcP5JRRhoFIJ2bJoP3hkGBTqDzeyGr4aodBtrZ9jlnH%2B1aUMRkbjR4sVLGRlGbpBSZkVKAnum1cysE2n59LRVZE%2Bz%2FNBxuPh5RdNif0Th68ORB3vpvDCN3bn5CZQ%2FkWSwjVU%2FYbMKHeTkgVMGEgacuetsnv2P32uqzyPIFSJnxf3SbLnL9AaJHVdWSSmzZG2pywyVMl4WPPaWnM7fz6PGNwLGxkC1Y1rJb20RFHfJ%2FdSKzLzt9ZcwZ8i9p8cs3aC8lC1Nridom0gsdyEPwt83Vs8ewX1oCCSy3SO4daJbq30tCi%2BxyGZQvKpWfIGykJyBe6IMzHRK1GtEE76YaKiDlxzaU2su8mtL945rF7eaiHQcyaGl6NRolRhiq1%2FnVUZkmBP%2FPJn2oyG%2B4Dxoo7Pl5hRwTjONR20SRwJyfYZwIVZweCmIj3s1h6bcJCToeENJmgX57PIbjDqo8qf66Va7e9vw55HE5QEI8dJ97wSjYksHjiOZr8Nm1r3m3d3rIolVD%2FGedKI1aVnB2c9Usfj0wWUuDhFtXRlpVIDKQqwrL8cWtC3wPnSoHdNG4TGAfkLy%2BOWt%2BS5%2B6xD1VvaY9EwkAQKDgSNMmbe0YN9SH%2BsyoH%2Bqdpt%2Fhy7j9zNGYCk7hFZlMR6MlR5MvSGJ%2B%2Fj3ZPmvb99j3XWQ8ms056tivM7MBdbMa4abTw1ByBjIdUKfL2OQJkhk3%2FbJavjeJwD7ssvJ4c8i25agGXOnurhjeb1MYPOcaAQv34D2T1Luz0FNpSEkf0AetqQ%2FN1%2F6Jy%2BNsnyHH9RvXY3o%2Bdqvt%2Fg0ddOleUPEUPPDGcXrEUqiDANkxhS8hc9XXfjMomkC%2Bgq%2FGaZ1DYvwWm7cpAYk7fjcd7WDFnO9kf4Y4HXlf25D%2F1knNqJga6Lq0QjRaK4xg5WHRJd7c0S1LQjFZh7Q%2B9yYY%2FfdsLTXOZrrJX7nby3u8%2FuO836UNaqDtd%2FoF2HPdrDAu6SDBrQ48zERV,8,0,0,0,0,#478911675,Negro,"S,M,L",O'Neal,Challenger,Wingman,Integral,NA,NA,NA,NA
15, Antiparras Choppers Retro Café Racer Polarizadas Tornasol ,5.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				16
				vendidos
			
		",(34 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 998
			
		
		 sin interés
		
	

	
		","
				$ 998
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PINCHEIRAMOTOS.OFICIAL,https://articulo.mercadolibre.cl/MLC-457631556-antiparras-choppers-retro-cafe-racer-polarizadas-tornasol-_JM,NA,NA,NA,NA,NA,#457631556,NA,NA,NA,NA,NA,NA,NA,NA,Abierto,NA
