search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Linha,Modelo,Tipo de capacete,Tipo de visor,Materiais do interior,Materiais do exterior,Idade,Gênero,Peso,Tipo de fechamento,Certificado de segurança,Usos recomendados,Posição da ventilação
502, Capacete Moto Fechado Protork R8 + Viseira Fumê + Touca ,159,NA,50,1480,12x,13.32,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2154,https://perfil.mercadolivre.com.br/ALECARSHOP,https://produto.mercadolivre.com.br/MLB-1147313627-capacete-moto-fechado-protork-r8-viseira-fum-touca-_JM?searchVariation=30661935238,1430,407,183,63,71,#1147313627,"Vermelho,Amarelo,Azul-claro,Azul-escuro,Laranja,Prateado,Rosa,Verde,Vermelho","56,58,60",Pro Tork,R8,R8,Integral,Simple,Poliestireno,ABS,NA,NA,1200 g,Micrométrico,Inmetro,Urbano,Superior
503, Capacete Automático San Marino Protork Feminino Sport Moto ,138,NA,26,2688,12x,11.50,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CALIL+STORE,https://produto.mercadolivre.com.br/MLB-1175481022-capacete-automatico-san-marino-protork-feminino-sport-moto-_JM?searchVariation=32720037827,NA,NA,NA,NA,NA,#1175481022,Rosa,"56,58,60",Pro Tork,NA,Sport Moto For Girls,Integral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
504, Capacete Moto Fechado R8 Viseira Fumê Pro Tork Rosa ,120,NA,46,1776,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2154,https://perfil.mercadolivre.com.br/SPORTBAY+2?brandId=721,https://produto.mercadolivre.com.br/MLB-1060819271-capacete-moto-fechado-r8-viseira-fum-pro-tork-rosa-_JM?searchVariation=25240044597,1430,407,183,63,71,#1060819271,"Rosa,Amarelo,Azul,Azul-claro,Cinza,Laranja,Rosa,Verde,Vermelho","56,58,60",Pro Tork,R8,R8,Integral,NA,NA,ABS,NA,NA,NA,NA,NA,NA,NA
505, Capacete Automático San Marino Protork Feminino Sport Moto ,79,NA,61,2992,12x,6.67,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/ON+MOTOPARTS,https://produto.mercadolivre.com.br/MLB-1138760237-capacete-automatico-san-marino-protork-feminino-sport-moto-_JM?searchVariation=30164096173,NA,NA,NA,NA,NA,#1138760237,"Branco,Preto,Rosa","56,58,60",Pro Tork,Kit,Sport Moto For Girls,Integral,Simple,EPS,ABS,Adultos,Unissex,NA,NA,NA,NA,NA
506, Capacete Moto Infantil New Liberty Kids Pro Tork ,59,NA,27,886,10x,6.81,NA,Envio para todo o país,NA,NA,4.9,16,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-925704877-capacete-moto-infantil-new-liberty-kids-pro-tork-_JM?searchVariation=19932780273,14,2,0,0,0,#925704877,"Preto,Amarelo,Azul,Branco,Prateado,Preto,Rosa,Vermelho",54,Pro Tork,Capacetes,Liberty Infantil,Aberto,NA,NA,ABS,NA,NA,NA,NA,NA,NA,NA
507, Capacete Moto Protork Evolution 3g Noscity Estampado ,139,NA,13,19986,12x,11.66,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,82,https://perfil.mercadolivre.com.br/LOJADOBEBEDOURO.COM.BR,https://produto.mercadolivre.com.br/MLB-1249601865-capacete-moto-protork-evolution-3g-noscity-estampado-_JM?searchVariation=38652807097,53,19,6,3,1,#1249601865,Preto -Dourado,"58,60",Pro Tork,NA,Nos,Integral,NA,NA,NA,NA,Unissex,1400 g,NA,NA,NA,NA
508, Capacete Moto Mixs Fokker Carbon X Fundo Fosco Pro Tork ,129,NA,79,14,12x,10.82,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,38,https://perfil.mercadolivre.com.br/KAZZU+COMERCIO,https://produto.mercadolivre.com.br/MLB-1133436754-capacete-moto-mixs-fokker-carbon-x-fundo-fosco-pro-tork-_JM?searchVariation=29861688496,22,7,4,3,2,#1133436754,Rosa,"58,60",Mixs,Capacetes,Carbon-X,Integral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
509, Capacete Automático Sm Sport Protork Feminino Sport Moto ,66,NA,73,1485,12x,6.31,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,1572,https://perfil.mercadolivre.com.br/SABOREAVENTURA,https://produto.mercadolivre.com.br/MLB-1147327273-capacete-automatico-sm-sport-protork-feminino-sport-moto-_JM?searchVariation=30662378737,973,344,149,57,49,#1147327273,"Branco,Preto,Rosa","56,58,60",Pro Tork,Capacetes,Sport Moto For Girls,Integral,Simple,NA,ABS,NA,NA,NA,Micrométrico,Inmetro,Urbano,NA
510, Capacete Sport Moto 788 Automatico Vermelho Mod. San Marino ,69,NA,133,17,12x,5.82,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,1572,https://perfil.mercadolivre.com.br/SPEEDMOTOPARTS,https://produto.mercadolivre.com.br/MLB-886790625-capacete-sport-moto-788-automatico-vermelho-mod-san-marino-_JM?searchVariation=16480393776,973,344,149,57,49,#886790625,"56,60",,Pro Tork,Street,Sport Moto 788,Integral,NA,NA,ABS,NA,NA,1.04 g,NA,NA,NA,NA
511, Capacete Moto Infantil Viseira Camaleão New Liberty Marrom ,124,NA,30,584,12x,10.33,NA,Envio para todo o país,NA,NA,4.8,48,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-1114701668-capacete-moto-infantil-viseira-camaleo-new-liberty-marrom-_JM?searchVariation=28438202976,40,5,3,0,0,#1114701668,Marrom,54,Pro Tork,New Liberty,New Liberty 4 Kids,Integral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
