search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del Celular,Modelo del Celular,Marca de la Funda,Modelo de la Funda,Tipo de funda,Material
391, Funda Waterproof Sumergible Acuatica iPhone X 7/8 Plus ,830,880,"
			
				Nuevo
			
			
				
					 - 
				
				29
				vendidos
			
		",(1 disponibles),12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,2.5,2,https://perfil.mercadolibre.com.ar/NORCEL_CABA,https://articulo.mercadolibre.com.ar/MLA-747975325-funda-waterproof-sumergible-acuatica-iphone-x-78-plus-_JM?searchVariation=36657738648,NA,NA,NA,NA,NA,#747975325,Apple,iPhone 7 Plus; Iphone 8 Plus; Iphone 8; Iphone 7; Iphone X,Norcel,WATERPROOFT SLIM,SUMERGIBLE,TPU/Policarbonato
392, Oferta! Funda Resistente Delgada iPhone 8 7 Baseus ,275,NA,"
			
				Nuevo
			
			
				
					 - 
				
				29
				vendidos
			
		",(148 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,1,https://perfil.mercadolibre.com.ar/TIENDA+CONTROL,https://articulo.mercadolibre.com.ar/MLA-680685915-oferta-funda-resistente-delgada-iphone-8-7-baseus-_JM,NA,NA,NA,NA,NA,#680685915,Apple,7 Plus,Baseus,Plaid Case,Trasera Ultrafina,TPU/Policarbonato
393, Funda Ringke Original Slim iPhone 8 & iPhone 8 Plus ,498,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",(15 disponibles),12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,1.0,1,https://perfil.mercadolibre.com.ar/COSASLINDAS-,https://articulo.mercadolibre.com.ar/MLA-692178024-funda-ringke-original-slim-iphone-8-iphone-8-plus-_JM,NA,NA,NA,NA,NA,#692178024,Apple,Iphone 8 y 8Plus,Ringke,Slim,NA,Acrílico
394, Funda Cafele Tpu Slim iPhone 6s 7 8 Plus X Xs Max + Glass 5d ,999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(398 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/TIENDASHOPEALOML,https://articulo.mercadolibre.com.ar/MLA-739181467-funda-cafele-tpu-slim-iphone-6s-7-8-plus-x-xs-max-glass-5d-_JM?searchVariation=28009195157,NA,NA,NA,NA,NA,#739181467,Apple,"iPhone 6/6s, iPhone 6/6s Plus, iPhone 7, iPhone 7 plus, iPhone 8, iPhone 8 plus, iPhone X y iPhone Xs",Cafele,TPU,TPU (flexible),TPU/Policarbonato
395, Funda Metalica Magnetica +vidrio iPhone 6 7 8 Plus X + Envio ,1018,1079,"
			
				Nuevo
			
			
				
					 - 
				
				16
				vendidos
			
		",(179 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/NORCEL_CABA,https://articulo.mercadolibre.com.ar/MLA-746670968-funda-metalica-magnetica-vidrio-iphone-6-7-8-plus-x-envio-_JM,NA,NA,NA,NA,NA,#746670968,Apple,Iphone X;Iphone Xs Max; Iphone 7; Iphone 8; Iphone 7 plus; Iphone 8 plus; Iphone 6; Iphone 6 Plus; Iphone Xr,Norcel,Magnetica,Bumper,TPU/Policarbonato
396, Funda Estuche Agenda Tarjetero iPhone X iPhone 8 7 7 8 Plus ,499,NA,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		",(90 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,1,https://perfil.mercadolibre.com.ar/PUNTO_+DIGITAL,https://articulo.mercadolibre.com.ar/MLA-720265255-funda-estuche-agenda-tarjetero-iphone-x-iphone-8-7-7-8-plus-_JM,NA,NA,NA,NA,NA,#720265255,Apple,iphone 7 / iphone 7 plus / iphone x / iphone 8 / iphone 8 plus,Soul,Agenda con Tarjetero,Flip Cover,Cuero
397, Funda Silicona Silicone Case Para iPhone 6 6s 7 8 Plus X ,699,NA,"
			
				Nuevo
			
			
				
					 - 
				
				90
				vendidos
			
		",(9971 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,1,https://perfil.mercadolibre.com.ar/POLO+CEL,https://articulo.mercadolibre.com.ar/MLA-658945425-funda-silicona-silicone-case-para-iphone-6-6s-7-8-plus-x-_JM,NA,NA,NA,NA,NA,#658945425,Apple,Iphone,OEM,Silicona rigida,Silicone case,Silicona
398, Funda Silicone Apple Original iPhone 7 8 Y 8 Plus +templado ,900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(411 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/TEKHNETSHOP,https://articulo.mercadolibre.com.ar/MLA-736549886-funda-silicone-apple-original-iphone-7-8-y-8-plus-templado-_JM,NA,NA,NA,NA,NA,#736549886,Apple,iPhone,Apple,Funda Silicone Case,NA,Silicona
399, Funda Camuflada Xdoria Defens iPhone 7 7plus 8 8plus ,899,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(111 disponibles),6 cuotas sin interés,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/TECHYOK,https://articulo.mercadolibre.com.ar/MLA-679042493-funda-camuflada-xdoria-defens-iphone-7-7plus-8-8plus-_JM,NA,NA,NA,NA,NA,#679042493,Apple,Iphone 6 6plus 7 7plus,Xdoria,Defense Shield,Camuflada,TPU/Policarbonato
400, Funda Rich Diary Original Korea iPhone 7 / 8 Plus Tarjeta ,650,NA,"
			
				Nuevo
			
			
				
					 - 
				
				28
				vendidos
			
		",(27 disponibles),12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,3,https://perfil.mercadolibre.com.ar/FUNDAS-MERCURY,https://articulo.mercadolibre.com.ar/MLA-622870158-funda-rich-diary-original-korea-iphone-7-8-plus-tarjeta-_JM?searchVariation=33085466926,3,0,0,0,0,#622870158,Apple,Iphone 8 plus,Mercury,Rich diary,Billetera,Cuero sintético
401, Funda Silicone iPhone 6 Plus 7/8 7/8 Plus Colores ,699,NA,"
			
				Nuevo
			
			
				
					 - 
				
				25
				vendidos
			
		",(19 disponibles),6 cuotas sin interés,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,2,https://perfil.mercadolibre.com.ar/SERVICIOSLINK,https://articulo.mercadolibre.com.ar/MLA-643042440-funda-silicone-iphone-6-plus-78-78-plus-colores-_JM,NA,NA,NA,NA,NA,#643042440,Apple,Iphone XS MAX/ XR,Ringke,Onyx,ANTI IMPACTO,TPU/Policarbonato
402, Funda Cafele Cristal iPhone 7 8 Plus X Xs Max Xr + Glass 5d ,900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				17
				vendidos
			
		",(38 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,1,https://perfil.mercadolibre.com.ar/TIENDASHOPEALO,https://articulo.mercadolibre.com.ar/MLA-659787724-funda-cafele-cristal-iphone-7-8-plus-x-xs-max-xr-glass-5d-_JM?searchVariation=29169072694,NA,NA,NA,NA,NA,#659787724,Apple,"iphone 7, 7 plus, 8, 8 plus, X, Xs, Xs Max",Cafele,Cristal Transparente,Cristal Transparente,Silicona
403, Funda iPhone X / 8 / 8 Plus Mercury Goospery Jelly Perlada ,399,NA,"
			
				Nuevo
			
			
				
					 - 
				
				11
				vendidos
			
		",(207 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/TIENDA+CONTROL,https://articulo.mercadolibre.com.ar/MLA-684222953-funda-iphone-x-8-8-plus-mercury-goospery-jelly-perlada-_JM,NA,NA,NA,NA,NA,#684222953,Apple,iPhone 8/ 8 Plus / 7 / 7 Plus,Mercury Goospery,Jelly Case,Soft Perlada,Acrílico
404," Estuche Funda Cuero iPhone 8 , 8 Plus 2018 Calidad Premium ",989,NA,"
			
				Nuevo
			
			
				
					 - 
				
				22
				vendidos
			
		",(46 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,2,https://perfil.mercadolibre.com.ar/EURO+GSM,https://articulo.mercadolibre.com.ar/MLA-677009211-estuche-funda-cuero-iphone-8-8-plus-2018-calidad-premium-_JM,NA,NA,NA,NA,NA,#677009211,Apple,"8, 8 Plus",EuroGSM Fundas de cuero Artesanales Mobile,Gancho y Pasacinto,Estuche,Cuero
405, Funda Marmol iPhone 6 S 7 8 Plus Xs Max + Vidrio + Cuotas ,559,592,"
			
				Nuevo
			
			
				
					 - 
				
				7
				vendidos
			
		",(183 disponibles),6 cuotas sin interés,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,1,https://perfil.mercadolibre.com.ar/NORCEL_CABA,https://articulo.mercadolibre.com.ar/MLA-769898388-funda-marmol-iphone-6-s-7-8-plus-xs-max-vidrio-cuotas-_JM?searchVariation=32765783127,NA,NA,NA,NA,NA,#769898388,Apple,Iphone 6; Iphone 6 plus; Iphone 7; Iphone 7 plus; iPHONE 8; IPHONE 8 Plus; Iphone X; Iphone XS Max; XR,Norcel,Marmol,Flexible,TPU/Policarbonato
