search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Peso,Marca,Modelo,Tipos de filtros del parlante,Conectores de entrada,Tipos de parlante,Color,Potencia de salida (RMS)
195," Parlante Bluetooth Mini Speaker, Precio Al Por Mayor 20.00 ",30,NA,3,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CRISTIANCASTROVELA,https://articulo.mercadolibre.com.pe/MPE-434140969-parlante-bluetooth-mini-speaker-precio-al-por-mayor-2000-_JM,NA,NA,NA,NA,NA,#434140969,NA,NA,NA,NA,USB,NA,Roja,NA
196, Parlantes Micronics Emotion - Mic S7046bt ,150,NA,1,49,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JUANMANUE+MURAYARIVELA,https://articulo.mercadolibre.com.pe/MPE-433542043-parlantes-micronics-emotion-mic-s7046bt-_JM,NA,NA,NA,NA,NA,#433542043,NA,NA,NA,NA,NA,NA,NA,NA
197, Logitech Sistema De Altavoces Z337 Con Bluetooth ,284,NA,1,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/IN5517657?brandId=145,https://articulo.mercadolibre.com.pe/MPE-435136339-logitech-sistema-de-altavoces-z337-con-bluetooth-_JM,NA,NA,NA,NA,NA,#435136339,NA,Logitech,NA,NA,RCA,NA,NA,NA
198, Parlante Bluetooh Venta Por Mayor Envio Provincia ,13,NA,38,24,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/REVOLLEDOJOSEANTONIO,https://articulo.mercadolibre.com.pe/MPE-424890297-parlante-bluetooh-venta-por-mayor-envio-provincia-_JM,NA,NA,NA,NA,NA,#424890297,NA,NA,NA,NA,NA,NA,NA,NA
199, Parlante Sony Bluetooth Extra Bass Inalámbrico Xb21 (rojo) ,249,NA,1,9,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SONYPERUSRL?brandId=25,https://articulo.mercadolibre.com.pe/MPE-431904506-parlante-sony-bluetooth-extra-bass-inalambrico-xb21-rojo-_JM,NA,NA,NA,NA,NA,#431904506,530 g,Sony,NA,NA,USB,NA,NA,NA
200," Parlante Bluetooth Usb Halion 100 Watts Karaoke S/189,00 ",189,NA,1,99,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AHORAONUNCA1978,https://articulo.mercadolibre.com.pe/MPE-432003740-parlante-bluetooth-usb-halion-100-watts-karaoke-s18900-_JM,NA,NA,NA,NA,NA,#432003740,NA,NA,NA,NA,USB,Subwoofer,Negro,100 W
201, Bose Parlante Soundtouch 30 Serie Iii Bluetooth Wifi Negro ,2399,NA,2,80,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/GWYICHANGYCIASATO?brandId=133,https://articulo.mercadolibre.com.pe/MPE-434071308-bose-parlante-soundtouch-30-serie-iii-bluetooth-wifi-negro-_JM,1,0,0,0,0,#434071308,11.7 kg,Bose,SoundTouch,NA,NA,NA,NA,NA
202, Bose Soundlink Revolve Plus Protector Silicona ,45,NA,2,18,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/VENTA_ONLINE_PERU,https://articulo.mercadolibre.com.pe/MPE-435477677-bose-soundlink-revolve-plus-protector-silicona-_JM,NA,NA,NA,NA,NA,#435477677,NA,Bose,Revolve+,Activo,NA,NA,NA,NA
203, Karaoke Inalambrico Bluetooth Microfono Parlante Itelsistem ,59,NA,108,138,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.7,3,http://perfil.mercadolibre.com.pe/ITELSISTEMSAC,https://articulo.mercadolibre.com.pe/MPE-422824043-karaoke-inalambrico-bluetooth-microfono-parlante-itelsistem-_JM,2,1,0,0,0,#422824043,NA,NA,NA,NA,NA,NA,NA,NA
204, Mini Parlante Bluetooth Hongo Mushroom. ,55,NA,2,28,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JESUS_OUTLOOK,https://articulo.mercadolibre.com.pe/MPE-430848177-mini-parlante-bluetooth-hongo-mushroom-_JM,NA,NA,NA,NA,NA,#430848177,NA,NA,NA,NA,NA,NA,NA,NA
205, Bose Parlante Amplificador Para Estudio S1 Pro Bluetooth ,2699,NA,NA,111,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GWYICHANGYCIASATO?brandId=133,https://articulo.mercadolibre.com.pe/MPE-434071374-bose-parlante-amplificador-para-estudio-s1-pro-bluetooth-_JM,NA,NA,NA,NA,NA,#434071374,NA,Bose,S1,Activo,RCA,NA,NA,NA
206, Parlante Portatil Bluetooth Maxtron Zenith ,135,NA,3,7,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/OSWALDO+VALVERDE,https://articulo.mercadolibre.com.pe/MPE-433420893-parlante-portatil-bluetooth-maxtron-zenith-_JM,NA,NA,NA,NA,NA,#433420893,NA,NA,NA,NA,Auxiliar,NA,NA,NA
207, Bola Parlante Bluetooth Luces Audioritmicas Sicodelicas ,59,NA,33,967,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GRUPONATIC+TIENDA,https://articulo.mercadolibre.com.pe/MPE-419350890-bola-parlante-bluetooth-luces-audioritmicas-sicodelicas-_JM,NA,NA,NA,NA,NA,#419350890,NA,NA,NA,NA,NA,NA,NA,NA
208, Parlante Portatil Bluetooth Usb Radio Potente Itelsistem ,69,NA,32,743,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ITELSISTEMSAC,https://articulo.mercadolibre.com.pe/MPE-422121506-parlante-portatil-bluetooth-usb-radio-potente-itelsistem-_JM,NA,NA,NA,NA,NA,#422121506,NA,NA,NA,NA,NA,NA,NA,NA
