search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Formato,Marca,Modelo,Color
14, Auriculares Bluetooth Manos Libre Deporte iPhone Android ,18,NA,64,19,18 cuotas,36.96,NA,Envío a todo el país,NA,NA,4.5,8,http://perfil.mercadolibre.com.uy/LIDERTEK+SRL,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=RICAH9XBjDikrItpHcn93YP6OiCHUvKqcp07yl%2FW4l%2BH5bCLLWvCnn3weoFloOMia7Um9weHOwgHXzG%2FsBKja%2BDid3Th4jrPqtxc3bO9rpVT6IgUp1WOef9DDwRrUiuHdLleqZc0QWDAc2sQ%2Btm2h7%2F0lFEkH7XgMZnJ6k5nZIJAbGbE8zf3lA%2BlGhn0y9Z0LLI2fqXrmW75k%2BzjphnXp4ed%2BpoabEPjNaZPFm7lb2QB24Ivk%2FnnR5R%2F0XVWTdaNe2puweti%2Ba3%2BZN5yxWtbrSThh8e5LK4%2FGKy9PAyhXZm%2BTCYCWOwSSCa57mMgV9bDLO%2BexpGV664ywHria9TE6MDUVGUBtUI%2FEiW2h76V8y6KTfoHnjlTZOPH3ojJ8Rl%2FJdcsECXPJj9tbri1fQv%2FGaK848Drm7h%2BPzL%2FqevWwzlPULfCJxvzOhyb19F6poAvTqi%2F6RGoWANpEYu85jHmRDa02GZ7%2BouyrHGa9CDbMwWWKI4%2FQDd9PL%2FIilb8hVd5%2Ff7HYl3eqxjmAEzczyVtGL%2BGS8eRORmwQVB3ADtFI4Aan%2FvSQFhYirFhE%2F7VRDR%2FPRAQZaB8sGCnSHDm59Qr0JOc7Dy0sn17DOeXNYEV%2B0UbrpdUHQ7GwTgJrrQXSdnIOzqTMwjrGFbRIwqWTkAVt4ayUwgMM3QBKlx5dcX3EppKIjkBPr6UC08My%2BxMS45z%2FTDi4TAAOE9WiF9cgabDhzQ6WkmFDzzP7a1WJmKWDtsQTHcrx%2FD%2FYjBWz77g6JSJhaZPpzIV2M8vSRfIpJDQiimXn0AudvUWTW5vNxnJvg4F%2BMBWSPbaGZAf87WyhGLo6q4MwmvD%2FBvJxHd7qx4w79JF6a%2FA%2FsQUExnilmWNP9WgNkXIKMBmZPT0FWYTNarSlS%2FsODfKEDXB%2FTfr%2BOZrqq%2BjRMU0coXPNwrSxjKecLeqTwfkRbk6%2FDciRwoSd2YHFIigRpO20MpfWgBAxCjOfGuNxhL3D61akid0OzmA6zmfJjv1p%2F5TYSOJYXwoZ7TMJzOeeWa6uCPmSvVLE8nF9N9r%2FC7CkSKE9qzhv8vOWRywONZJMW4hgx5YkZqtMVuHHbfnYFDP6DT9WuBfyDST0MClSu%2FDhf5NN09IozqZi6L%2BCEdu%2FURV77%2BUWrmz3p68jGQEGX7MoOYRHcEDtE%2BB%2B8j2dHaWzrIEiV35PxxkOy8DKqkVX1V%2FswerE7zHJ1ubTenN5LY1enpBAxfewKFJK8oqN10N5yDSL6Ptgnl3Wzwtg%2Fu9mwBi2xSB3Lwv%2F5%2F%2F7mXHk2o4Cl1bmKlkEb5IKLhokhAHUe7egCS%2BHutchM3PNuo8jANxN4I8gkXrz4odptCzWBbgzX2MI4rgu59HI%2FgUqNXWaIyb5OMXjNkg0jkEegonD%2Fgs0cfpZ5FqJONHqlXVZ8kkGEy3O7vimWYJpPdLbhDGx6kvbi6O7T0OoTk7LRTvheNSQ8jG6NOc7sQjAP8PmoFopYRcFiIPmCBii1VnD%2BbtGuUWJf%2FQFFsatXc9ut6orcYNtCqQRqdHksuR4Ukzd6k7%2FGC9nlBI1H%2FIjum8vTew4mwq%2FPaXD2R%2FHSEL7hX5W3Xwboug3y6MP%2Ft7RTzgOebLgt%2Fg%2BhQwAVqDKkm%2FvFKunmXjDX4dvDhBp9YHaEOHjOQSGUIaePA2TIJdAWwMq4B6BJ%2Fm,4,4,0,0,0,#450309766,Sin Vincha,LiderTek,No Aplica,NA
15, Auricular Bluetooth Manos Libres ,160,NA,46,54,18 cuotas,8.89,NA,Envío a todo el país,NA,NA,4.5,2,http://perfil.mercadolibre.com.uy/DISCBOX,https://articulo.mercadolibre.com.uy/MLU-462802945-auricular-bluetooth-manos-libres-_JM,1,1,0,0,0,#462802945,NA,NA,NA,NA
16, Auriculares Jbl Endurance Sprint Bluetooth Celular iPhone ,2400,NA,36,99963,18 cuotas,133.33,NA,Envío a todo el país,NA,NA,4.8,4,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-459244517-auriculares-jbl-endurance-sprint-bluetooth-celular-iphone-_JM,3,1,0,0,0,#459244517,Sin Vincha,JBL,SPRINT,NA
17, Auriculares Manos Libres P47 Bluetooth Inalambrico Calidad ,577,NA,99,911,18 cuotas,32.06,NA,Envío a todo el país,NA,NA,4.9,8,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-453667348-auriculares-manos-libres-p47-bluetooth-inalambrico-calidad-_JM,7,1,0,0,0,#453667348,NA,NA,NA,NA
18, Auricular Inalambrico Sumergible Natación 8gb Bluetooth ,58,NA,1,29,18 cuotas,119.09,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/LIDERTEK+SRL,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=em6r9bnbeRmB%2Ffa0YGmdjCKnyqIEWY6Kej8UN6%2Bv9%2F4RpboqJpnZas1hT5xayXZot6RjGIw2v1YL2%2FKMOuMhjEdG%2B8w61ihErUKqCz8pD34V4ChKxAZqkk0QKSmSYJbbhATauOupsdOm298Fx4kc%2FrG%2BOYLhsBxr6OJwA3SC%2BfHxXqfxHGQ8iUhmw9wjyYKvjjZTWqvMVpU46NnZQFclA41KVOVb%2FxOP9mz0Map3k9bepB4pkSLftwIx%2FJscalAz6zxptkc8tyOb6lkQkfPnV7M4AwVeveoGq4xXT%2BP7nVrTa%2FRVvIB9n%2Fz18yR9pzS9Bw75pZP%2F%2FwNcmplwBFbBiT6qTmACHgwoa6Ab7w59Foqv5PGLmtvQL1JkKf%2B5v7bhIJSMvIHtOo9McNtGap7mcTuuXUpqt0UYq9WwRo8WGkG%2B49e0%2FdK%2BKXr%2BpKZvyk6%2BqGY7Cq6le9xv13T6Am3ND2JSCGAne0Oj6U6SPFKSdAUWuatdhBV%2FpjuZbh3Om93W9NwjFHcgZRd0Z8XwmPKsJLAVU0dxAZ184Ya7H1SvMytBjhBChfoo9qElf3CvqGIdcBr4jYj%2BYLlSqz1lkT2s81h9hCCw0JbgDe%2F2tKOnhhEv4dtetare9%2F6yN2M1uvbXofuCeimQin9b3FDGpnuaObi375fPLsup5tmqPHKDD9OJEy8FIXQ%2B2Kk%2FaoamH3RDHNhhHLxUEF4CRRzHK%2F4bxL0mRUNgZB1EGKQolKxinrmSRaWdX7iB0M3e2MAU09IWXS%2ByvLZt2j%2FMCTiOcfOezTmI57x%2B34laVWlbg8MGW9KqKdgs%2BUMmzraF8vslmaLVvaxyDR03VFwH8jD78v9SuTjp1zTZFVBNhJSnuVZqpv67rd9ywKm%2BO0RD5LqO1IQ9Zmjxmo3lao3B62%2FbMBDy9XPEmbvAc3YOv9hUusBCkQKmsW7KCBkiq9yZ4ehyJZkc08FPYBDZk9ECg9ElP%2FlQ7QzhfErxBRDjoi%2FkLBpogU1BMORkBoXUSgvVqvCq0PRAmSJERrDCxXlpV2qfHbaBjH1PFOLSbwI4g4tRCr40Yr%2B5YNaMKoZy14TsWqxKQD2Zo6N1ij%2Fzh86mAeVI055xxeMCEo%2Fjh8jZIEwJM4CDY4NFUPHcjP9JeJinqSJJn68OkOI%2BQFZsPLhOWsxUb374WOiui%2B1sFaimln4wYM%2FNTf4WDyY%2FwdyhJCdLFh2ULNyymvrAeAX%2FSw58QEqCZY%2B2yHXJh30Veb4TPIxwW0e3wDBHIdR5d00SqjusA9f1PZUD4zD9fd5IsXfODCo0QRtezcS1JRnhhaOuLJHoRRoaSdjY0XJfiCtOjud5FOkUbY1SASxGJnHsc6ICmfNOP3cmqb1EfxCCe0q5ACKCyW4mOqSViTWvpONIRRfgr%2F34RUfXFczm1YcX%2BOK%2FefVtpmHymg2fHyie%2BiW3BnPuJTPO3WhOmMmqK9TpIzL6%2BiMDx3bDvAlfPaV52fVlh83fLFeKAs9ENLEfJWKCt8zR5LV72P0n3yBvmuk8mZu9AHXlPrH0exGUkcKjHwuUxhIar9b%2FUt8a34S6%2FgmJFZUiLgABWfwnEhMmg3WKU3QPEVtIOpYPpfxhioQ6Jr0aHf2Rj82OSZuB1Sbm8hvrXslZ5H3UzlAcp90XexFnOR6znend9j%2FTypwG25suM3o%3D,NA,NA,NA,NA,NA,#465244555,NA,LiderTek,S1200,NA
19, Auriculares Bluetooth Deportivos V3.0 Calidad Premium ®tc.uy ,347,NA,75,934,18 cuotas,19.28,NA,Envío a todo el país,NA,NA,3.7,3,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-452512494-auriculares-bluetooth-deportivos-v30-calidad-premium-tcuy-_JM,2,0,0,0,1,#452512494,Con Vincha,NA,NA,NA
20, Auriculares Inalambricos Bluetooth Tipo AirPods iPhone Febo ,710,NA,36,99963,18 cuotas,39.44,NA,Envío a todo el país,NA,NA,4,51,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-456789089-auriculares-inalambricos-bluetooth-tipo-airpods-iphone-febo-_JM,21,17,9,1,3,#456789089,NA,Apple,AirPods,NA
21, Auriculares Bluetooth Inalambricos Tws Touch Two iPhone Clic ,57,NA,52,6,18 cuotas,117.04,NA,Entrega a acordar con el vendedor,NA,NA,5,3,http://perfil.mercadolibre.com.uy/CLICSHOPURUGUAY,https://articulo.mercadolibre.com.uy/MLU-458899528-auriculares-bluetooth-inalambricos-tws-touch-two-iphone-clic-_JM,3,0,0,0,0,#458899528,NA,NA,NA,NA
22, Auricular Inalambrico Sony Mdr-xb950bt Rosado Bluetooth ,900,NA,35,65,18 cuotas,50.00,NA,Entrega a acordar con el vendedor,NA,NA,3.6,14,http://perfil.mercadolibre.com.uy/YOVENTAS.COM,https://articulo.mercadolibre.com.uy/MLU-457762556-auricular-inalambrico-sony-mdr-xb950bt-rosado-bluetooth-_JM,4,6,1,1,2,#457762556,Con Vincha,Sony,MDR-XB950BT,NA
23, Auriculares Inalámbricos Stereo Bluetooth Manos Libres Rojo ,299,NA,95,20,18 cuotas,16.61,NA,Envío a todo el país,NA,NA,3.8,11,http://perfil.mercadolibre.com.uy/MLCENTERUY?brandId=511,https://articulo.mercadolibre.com.uy/MLU-445603224-auriculares-inalambricos-stereo-bluetooth-manos-libres-rojo-_JM,5,2,1,3,0,#445603224,NA,NA,NA,NA
