search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Formato
11, Audifonos Bluetooth Mano Libres Inalambrico Bestsin Original ,199,NA,"
			
				Nuevo
			
			
				
					 - 
				
				8439
				vendidos
			
		",(146 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 1966
		
		 sin intereses
		
	

	
		",66,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.2,604,https://perfil.mercadolibre.com.mx/EBSTORE,https://articulo.mercadolibre.com.mx/MLM-569394811-audifonos-bluetooth-mano-libres-inalambrico-bestsin-original-_JM?searchVariation=16969851717,332,132,81,25,34,#569394811,Universal,NA,BST-S6 PLUS,NA,In-ear
12, Auriculares De Bluetooth Manos Libres Base De Carga X9 Azul ,881,"1,077","
			
				Nuevo
			
			
				
					 - 
				
				2817
				vendidos
			
		",(282 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 4897
		
		 sin intereses
		
	

	
		",97,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,255,https://perfil.mercadolibre.com.mx/AXLOIEFFCN,https://articulo.mercadolibre.com.mx/MLM-656084046-auriculares-de-bluetooth-manos-libres-base-de-carga-x9-azul-_JM,194,42,10,5,4,#656084046,Arbily,NA,X9,NA,NA
13, Audifonos Bluetooth I7 Tws Tipo Airpod Audifonos Y Estuche ,119,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2381
				vendidos
			
		",(71 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 1176
		
		 sin intereses
		
	

	
		",76,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,3.3,12,https://perfil.mercadolibre.com.mx/INNOVASTORE+CUU,https://articulo.mercadolibre.com.mx/MLM-639804704-audifonos-bluetooth-i7-tws-tipo-airpod-audifonos-y-estuche-_JM?searchVariation=30819554531,7,0,0,0,5,#639804704,i7,NA,tws mini,NA,In-ear
14, Audifonos Bluetooth I7 Tws Tipo Airpod Audifonos Y Estuche ,119,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2381
				vendidos
			
		",(71 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 1176
		
		 sin intereses
		
	

	
		",76,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,3.3,12,https://perfil.mercadolibre.com.mx/INNOVASTORE+CUU,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=toMop8wJZUKwFXbq7tFEYrt58h%2FNMQ9LvCI%2Fe%2FuMRtgHTqBvR%2BXx08ewtQLUbcFt4XFt%2FsZAGXifSTSn4tQBNVl3SNsDTombGEdJEMgXgQbDPIx87lex9OPOaE1i5%2BdLQ7r7tVT6TXZPdI%2FFPgCB7NJvFrYz1A6pdzGsi0DA3gHSjZ%2BuL9VDNsY19l5kM4xN39F1M9Ql2yFoa6mWSxgrm4%2Br6NrdMJKIMpd5wMjWIDTWBFX%2F0U3%2Blzd9%2B6Lzj9xEZLxZHj1T0XXcM5p%2FJH590mOASPeHOOZ0Okjhl04Mz%2FGMRuyHaDG%2FlFbHy2dnHuNyZjTOwoU1taWQzqvTY0nkLikdHC51vOHNKuFJdFuYQzjTjaHWoegefTQPgc1chao2J%2BIf30HoZyzPYRduPrvWjWMK1sFjJwIF3qqyyzjXSyM4s6PWOls6NePe7F0%2FwDIuHwObwXKEV83nKDHcxmgDU5CILPaXhUZ6pOeEZ9ijmv0GFec03J6FsJ0yuZT%2FkrFFDIXAwSXN5mhRFG9%2BvNTgUJb%2Br%2BUhTYu3BzvKw%2F59apFbiui%2FvapdbBlGldMi1Pkvw7bbBb%2FlZA5wqX9gOOYTwq8vRSlxEmB6CWH0FoJY5hTZVzv%2FL5DDeONs%2BD6PpBVl8w%2BsuGuPaKm3VQvnoSpJFiq%2Fh%2BErzIRrYXirPvyN%2BGOI2Hkb7hRUozN%2BtiAB8jmFZdZQV%2FxVhRQ6OB2o4BOTLa3i7zsdLxt5%2BB%2BM6fkaK3sLje9pnwFR21unXRN%2BrZn4V7sP1Nh5SrrCT3Y9oTqQukS3nYcVZ56UcHx09MV69Xciub7BKtjFQwNYGKxvvkU3dd%2F1zWo5cV5YciRo7gFmQEyxxPdkcN4Bu5Sjq8mfNsgsz%2B%2FYaDcEvLfxREcOJVfoaXQHQWZ7xxoUPOuLYMu6i5qbw3DW2BKzp1bcCtkehWvLBrlzCAvzpgJeZuwsPwnYVUwHmt6uoZNnLQ%2BIPXAiC7a1NHaniUNiEBML01f1EbhkASAW97IG%2Bid3qiQ%2BCQxZWJzwAZ4aue%2FXLlJ34YY0yl35l%2BL5WWRA%2BHtpbuevtRDg0XtefDls%2FDgBVP7xd0lBdmyjspi2TRIWZiQnWKK7Xk%2BepgR4xYBmAsz%2FoBehlIlfg5rCiLpU6SMWLOaOnwPUJ3c2dwTKJxqCltLYK7Zqozi32GD6a8hIteJMSQWuKpvCAHH9MtDm08aNAfEUZ5MsFnwEkduyMer51TDZa4aCu745OZt3OpDItggVSzypAIRgGpd7uMtedUjXG0TtbfTlY8O0Rw2R79ckL4ZeO5oIj4c7OelESz1ufIy8XyWp6bogSQKJkrnhtjKiVCOwQkdgjwgpZaBrM%2Fk0wAkOOIcJt3nTZljnmuwF231%2B9sivN4UB1Oted5l7apOFBiSRFWc9825C2IqINnXQrJjPnFesnqamMW%2FiQ%2FgDcoeKVLuBtfPGWN%2FcBsGo951uuuPP%2FfqEEoyVTqHTmjsjCzO39ZIDaMSIxaGtozMmLJnZ9Ac7FOwOXI%2FfaQiyuvFqo1A6%2F61GnnXuEd7flkRm0b%2FmmuWG9G79m1I%2FHLS9m07MEvy7VYgyVFQHjkv074gwVx3BfzYTMJJgnE6NrFqv3a2WkYxLUU90V2CIQyg%2BTKr1NpQJZYdsrpIs0SbbGRcJy8QGkJyHc0IFLbz1ytCoKm%2B9xFGTrXqEz4ZSSQ70aIAIh0hllOWRy1KNzdg6u7KntydXr989JAGHCEBjFkaojGs%3D,7,0,0,0,5,#639804704,i7,NA,tws mini,NA,In-ear
15, Audífonos Bluetooth Tws-i7 Manos Libres Deportes Portátil ,815,"1,045","
			
				Nuevo
			
			
				
					 - 
				
				711
				vendidos
			
		",(104 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 4528
		
		 sin intereses
		
	

	
		",28,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,33,https://perfil.mercadolibre.com.mx/AXLOIEFFCN,https://articulo.mercadolibre.com.mx/MLM-659639413-audifonos-bluetooth-tws-i7-manos-libres-deportes-portatil-_JM,24,5,2,1,1,#659639413,Arbily,Audio Bluetooth,TWS-I7,AR,Ear-Buds
16, Audífonos Bluetooth V8 Voyager Legend + Audífono Auxiliar ,194,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1425
				vendidos
			
		",(41 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 1917
		
		 sin intereses
		
	

	
		",17,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,23,https://perfil.mercadolibre.com.mx/TODOHARDWARE2010,https://articulo.mercadolibre.com.mx/MLM-668943792-audifonos-bluetooth-v8-voyager-legend-audifono-auxiliar-_JM,19,1,2,0,1,#668943792,Universal,Audífonos Bluetooth,Audífonos Bluetooth,Audífonos Bluetooth,Clip-ear
17, Audifonos Bluetooth Manos Libres Con Iman Sport Magneticos ,69,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2555
				vendidos
			
		",(37 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 682
		
		 sin intereses
		
	

	
		",82,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,3.4,17,https://perfil.mercadolibre.com.mx/IMPORTADORA.ALEX,https://articulo.mercadolibre.com.mx/MLM-663866833-audifonos-bluetooth-manos-libres-con-iman-sport-magneticos-_JM?searchVariation=32777379783,6,3,3,2,3,#663866833,Sport,Bluetooth,Sport_iman,M-010,In-ear
18, Audifonos Manos Libre Bluetooth Mp3 Fm Micro Sd Auxiliar Diadema Con Microfono Para Contestar Llamadas Inalambricos ,379,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3524
				vendidos
			
		",(10 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 2106
		
		 sin intereses
		
	

	
		",06,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,114,https://perfil.mercadolibre.com.mx/ASSISCELL+TLAX,https://articulo.mercadolibre.com.mx/MLM-630975352-audifonos-manos-libre-bluetooth-mp3-fm-micro-sd-auxiliar-diadema-con-microfono-para-contestar-llamadas-inalambricos-_JM?searchVariation=29525541098,98,15,1,0,0,#630975352,M TOP,Audifonos Bluetooth,SH11,AUT070,Headset
19, Audífonos Manos Libres Tipo AirPods I7s Bluetooth 5.0 Pop Up ,119,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1074
				vendidos
			
		",(392 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 661
		
		 sin intereses
		
	

	
		",61,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,5,https://perfil.mercadolibre.com.mx/SHADIAO,https://articulo.mercadolibre.com.mx/MLM-699687150-audifonos-manos-libres-tipo-airpods-i7s-bluetooth-50-pop-up-_JM?searchVariation=40487669958,4,0,1,0,0,#699687150,Universal,TWS,i7s,NA,In-ear
20, Audífonos Bluetooth V8 Voyager Legend + Audífono Auxiliar ,194,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1425
				vendidos
			
		",(41 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 1917
		
		 sin intereses
		
	

	
		",17,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,23,https://perfil.mercadolibre.com.mx/TODOHARDWARE2010,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=OMxn3ruFtdIm%2FRJRt27Rj6Mlm8SHq2XxBQXrPCSdvBHLBnfrg6jSXftUoWrruL34HwIpeaJ%2FLwxHOQoCV5kXov3xXt2TAPgKnY7wdoq7EQ%2Ffm11yR2iRH5sJlokwV5CPYjEK5gGFcVduKNi65vE3JaSovvxrRkSY6ufJYIXqrysV5pZVJpG5zX4jx%2FabsNrB7Q5a5Xnr8sPokvUNEZEA4HAZFI8W6WsDuLYxkVI4wvxenPdYur4Z%2FCFYXu73C4oVGL189RgujhDhIPkDbp%2BkRiwYYZAULwHNds9CUw9EaSO5jh1gFLbT5XY5f4lTSryq8Lemoc0wwKn%2BliECLHX43Pn8uDudZWftGYqhVAMjE3OcBdHgkbHVTCwUwq4WfFBDR%2BCwnvTL4r0cZFt86OQ9NDIN3Z7s0tqhpvBgZ0Oi9UPUGqcZDiSLtjwpa7qaSU1DD3E%2FcIgOzSiy4lO2e5XPN64DTyl2UkMW%2FBi4%2FNrSJyCgPnOs9NW6CLS5lWRJGwiNL%2FjSTzW6pmI8tRzCuAW3ncLMp43Rk13SklQmsGf41121Kf2H2CLISV6v7LsC9BOR5DE8GJnPcLPyr58arE2C3yAi2eDepiQmu%2FUHfb11SvRLFDby1CEDILvFo09Am6NryBsM2whX67W2oyevYUYmeEkMpabxWmuPg4e8rdK1QqqSXsrryfemrbVvQYLwkbdMNW%2F4Xm4OMs3X%2Bcq9eq3h056GaRdQ1xbZRNiiETodMb9d%2FOznQGt1Eu%2BD%2B2MG1%2BbY7FAVO3watPg1s5enOzaypfnn0j8MFz37%2FmxbUaVfADMvfMJAPKce9vTEV9kYKOgV5%2FUZN3Cr%2Bgfm65mmtB7dRzC7cAHB1HdFZnXIAL%2FNMJfZ8lWSbSmYUGB7eQ2XC9WUpovuBJDe0qA9gC2wxMnEQCc4NANJS3B4mJwhHfwOGCZ%2BSyt6klwbsj70Sm9tWnIR4S%2Ff2ejKO46glPftl3GcWBHi8yx47N3Q1%2B8qaOYWXJusC6QTz6YOheUHVc4pb3mgRR4lkCnLfz2uG3Elf7NXv9StzIlkVD8D1HhQyohEIJ%2FHdI4vSjxpAQY50n4zgd6oMjEtsC%2FUrlXmMCK%2BQ2S6B%2BGu%2FNOtRqaKYIl5XJRXSomdFd7gmhpwgqZjf0SKMwL3fJLaaHpUFCFmAX8v9Bs%2FfXiW%2FOMsyabj7rZZRr6hKPiRcETy6%2FXRk5Dh61SwJ8%2BUTitQw%2BlvFlA5x5jpPz5fe1RpZWMUVbT9sFM%2Fad%2BzYE5YoaZjmLp3ck8EtDj3jxPf%2FnhQRxYL%2Fb8Ve%2FlMqiG5eIjFEc4K9EbZ9q31DAvA42aZetfH5TLXRQqahFKJmWmAzrVRDByGpoZ5c%2BuONb2Kv8RmG88Ul5ZSEctJTsD58gpODr5uddk4bklVmvuexqRUgKXRVmnYCQI%2BHrsgHq04AKjru0vX%2BJt0819RKnWeWkuU2JZmfyx6HGqehaeWEkLvnjIdp9fK2%2Bfb2BfiJvbgySxatN2w64Qv01XPw36aTgsCKAXUk%2FLsPxZTJZydUrVbLbK%2B%2F%2BwaQvbBJqdAe3AJJLpX6nCUp4OGx4qY62svHo7Oz%2BRlNgCkH9fBlAHoMq8r%2BSTOfv3HzNvr0lJMXneK3Y8U%2FIkJvQZ8qjbvjUTFIvTVP92RlAqYUDr1%2FU8CkhbSI6bekRIrgPlVNb6prJlTsiBbp22vivoL%2FXTUqs4hNm%2F2Xy9XZrBmI3xUJUvROBczgOok3IS84C8%3D,19,1,2,0,1,#668943792,Universal,Audífonos Bluetooth,Audífonos Bluetooth,Audífonos Bluetooth,Clip-ear
