search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Línea,Formato,Color
1403, Audífonos Bluetooth Wireless Stereo In-ear Earbuds Tws M1 ,95.000,NA,"
			
				Nuevo
			
			
		",(12 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 7.917
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/STEPHANY+SHIBUYA,https://articulo.mercadolibre.com.co/MCO-511949934-audifonos-bluetooth-wireless-stereo-in-ear-earbuds-tws-m1-_JM,NA,NA,NA,NA,NA,#511949934,NA,NA,NA,NA,NA
1404, Audifono Bluetooth I7s Tws Tipo AirPods + Base De Carga ,49.999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		",(10 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 4.167
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/DISTRITECHNO,https://articulo.mercadolibre.com.co/MCO-513593832-audifono-bluetooth-i7s-tws-tipo-airpods-base-de-carga-_JM,NA,NA,NA,NA,NA,#513593832,NA,NA,NA,NA,NA
1405," Audífonos Jbl T450bt, Diadema Negro ",199.000,NA,"
			
			
				
				3
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 5.528
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,10,https://perfil.mercadolibre.com.co/HARMAN+COLOMBIA?brandId=81,https://articulo.mercadolibre.com.co/MCO-492143021-audifonos-jbl-t450bt-diadema-negro-_JM,9,0,1,0,0,#492143021,JBL,T450BT,NA,Over-ear,NA
1406, Micro Manoslibres Bluetooth Stereo Multipunto Audifono Extra ,34.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1589
				vendidos
			
		",(49 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.916
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,5.0,1,https://perfil.mercadolibre.com.co/DRAGOTRONIX,https://articulo.mercadolibre.com.co/MCO-483767273-micro-manoslibres-bluetooth-stereo-multipunto-audifono-extra-_JM,NA,NA,NA,NA,NA,#483767273,NA,NA,NA,NA,NA
1407, Audifonos Bluetooth Manos Libres De Cuello ,38.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		","
		
			¡Último disponible!
		
	","
	
		
			
		
		36 cuotas de
		
			
				$ 1.081
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/ELECTRICOS+ANDLIGHT,https://articulo.mercadolibre.com.co/MCO-454404064-audifonos-bluetooth-manos-libres-de-cuello-_JM,NA,NA,NA,NA,NA,#454404064,NA,NA,NA,Over-ear,NA
1408, Audífonos Bluetooth Magnéticos ,29.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(18 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 831
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/QUILLATECHNOLOGY,https://articulo.mercadolibre.com.co/MCO-521286855-audifonos-bluetooth-magneticos-_JM,NA,NA,NA,NA,NA,#521286855,NA,NA,NA,NA,NA
1409, Audífonos Deportes Anker Soundbuds Nb10 Bluetooth 4.1 ,221.900,NA,"
			
				Nuevo
			
			
		",(5 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 6.164
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MICOMPRAEXPRESS,https://articulo.mercadolibre.com.co/MCO-446083782-audifonos-deportes-anker-soundbuds-nb10-bluetooth-41-_JM,NA,NA,NA,NA,NA,#446083782,Anker,NA,SoundBuds,NA,NA
1410, Audífono Stereo Headphones Bluetooth Spartan Bs-704 ,28.999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				678
				vendidos
			
		",(8 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.417
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.6,23,https://perfil.mercadolibre.com.co/OFERTA+USA,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=yv%2FLTnoM8TYBUuJWgtU2RTd5bZH%2FV6AZGiLFs7d%2F7JbVKC1YUU6%2BHT0q212etKuXvk0UoR9ok9r8Nw5lNnbC5JUEO4RWGiNb29B7byk2dvF4SpaG5311pWMYnbGD1W72bWq4Y%2F%2FM68VHo0Lop1QkbTz8n5InrBV7K0gEixp4rlNpBI5vlHdXIEzAOXtk3oOPmFYaBRaR4SChS2vI4I%2FFFbgcIRxXTksa9lTXBhhIT8bbxh%2BR9WUn888DPxRfSOv3AYe9Yhy%2F4Ac9b7mi05qntteu3OngH2kEbO7JiaFSHlfqu7J3KTDXsiVsob6z8FctFA1pEOJIWuKrlEdgczufiiwTSdI7T5eI6evuL%2FgSFj8m%2FLiAcNpvin8sfjtgz0NtefMnFNyMcctsuBCbzDp5G%2BlMPcgX%2FpXtVQUMWZliBIlV%2BcZqNLsi%2FdVdDtZLKV0tTSLVJv9y3tLP79%2Brh%2F3YyxFoRWJOZ0tJuopiafG46HvI19jYlWIH%2Fq8vSEYr%2FhEXpSjSaS9pKYkTlpM7TnkibOireOJELvLweiFUFY5DRWg16lpfCcCSSppfpuHJKGMxYu2aWaw6Z81n0vJWRiTCAJRd%2BX2h20Sp2AobpSlQwgnSouUcWC92XVIw5YbWAJKMyha6RwVYEyp%2FpT7F4CNzrDqwBG80ILj%2FEARDLw94V7Rn9%2B7nKlDF9T9KIOzTj%2Fx7FHN896likHqANloO0es5rxVkk2YSxSF5xivPXc9fmXmZLrD7%2BSMNK6vUVcX5IzTQ6ea1q7NT5S9ZC2AZ4FIpTDJPlbrPKA6jX78yY2uGjBJ%2B64pYOIPrdxIbwhGSQqh4pow%2FkL%2FHa%2FgEE08XHOVB3ZFO5rHte2C%2BBx9waFvQbfVb3OU9iEUreK%2FZPsOcO5bbuD7AU9dNiiTKC5gYOPeqq3%2FH4PzCJmOenD6GIwHukfPHbxiTVA6AzzcosNPtgE74dMNKE0savndqADCsA8JfD0E214CX%2FRO3lVuNq2K%2F2Fkx1J%2BH9%2BP20RNlnck5JZtPLaT%2BLaiWFJP8COqkP84Pw7Bh5QPJ7aYuAg2imE0bPCDeb2WVfajvtq39zBtIj%2FXFcMGMXLYEMZ%2Ba98WmxIGhYaIYF0dY1XUl5RBxKqp0IKw7wbWtZYIH3ZNJiudTGVwplhjbM1V9qjKzjjEBG%2Bh4tvzEtEqMOf1%2BwHdqgcyzL8gfMMq08RHd4RhbHXfKTVrCNrZTWADNlMuEY%2F7zzILXH8hxAnxy99l8z7YWcfZyg%2Fp4CU9dNDKJBI%2BPo2whGnTc3M6vpgsawsFme7kLMQ9%2B9tdJWaqSKNhPyqEk1e1XLEVdl5dWeepG0EORf682UakAMXQ0vG23rqiGUAaDo05f8nEJ3tIFjoNOfTFXum8bVhOdqLdK3AYZmGW0OvclbgPf8z6%2BU3wHyoGHzW2EKWUuj6eq6dPwvVDDwSFmfwNbywwsxUQZY7%2BLdDSHATiCoRdCLh5Z72MOAfNSFmDA9O7D2wH4TVStvm6vYibhGTPck%2F7ap9T0maHDw1cELD1dkHgEkYpbKeZ2%2F3Sa%2FJzu4t5lMt6OJpsCL3uooRxlwTRHDM4dSZPRWhlP7nf3cTmIsqHoy1DKoWtHOCmYdFV94IcsZUQwmukITACaK%2FSoZatt1BRitSycGhA%3D,17,5,0,0,1,#453313132,NA,NA,NA,Over-ear,NA
1411, Auralicular Bt813 Manos Libre Alta Duración Audifono ,78.000,NA,"
			
				Nuevo
			
			
		",(6 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 6.500
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/YEKARS,https://articulo.mercadolibre.com.co/MCO-504463876-auralicular-bt813-manos-libre-alta-duracion-audifono-_JM,NA,NA,NA,NA,NA,#504463876,NA,NA,NA,NA,NA
1412," Diadema Inalambrica Pc, Bluetooth Micrófono Incorporado. ",79.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		","
		
			¡Último disponible!
		
	","
	
		
			
		
		36 cuotas de
		
			
				$ 2.219
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MAOVIDEOJUEGOSYTECH07,https://articulo.mercadolibre.com.co/MCO-469664459-diadema-inalambrica-pc-bluetooth-microfono-incorporado-_JM,NA,NA,NA,NA,NA,#469664459,NA,NA,NA,NA,NA
