search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Linha,Modelo,Formato,Modelo alfanumérico
1, Fones De Ouvido Sem Fio Bluetooth I7s Tws ,31,NA,"
			
			
				
				4741
				vendidos
			
		",(779 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 533
		
		 sem juros
		
	

	
		",33,NA,Envio para todo o país,NA,NA,3.3,105,https://perfil.mercadolivre.com.br/OLIST?brandId=866,https://produto.mercadolivre.com.br/MLB-1132266958-fones-de-ouvido-sem-fio-bluetooth-i7s-tws-_JM,37,22,11,8,27,#1132266958,AQ Shopping,NA,NA,NA,NA
2, Fone Ouvido Bluetooth I7s 4.2 Par Tws Sem Fio Case Base ,31,NA,"
			
			
				
				2783
				vendidos
			
		",(691 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 533
		
		 sem juros
		
	

	
		",33,NA,Envio para todo o país,NA,NA,3.1,46,https://perfil.mercadolivre.com.br/OLIST?brandId=866,https://produto.mercadolivre.com.br/MLB-1068034831-fone-ouvido-bluetooth-i7s-42-par-tws-sem-fio-case-base-_JM,16,6,7,2,15,#1068034831,Universal,NA,NA,NA,NA
3, Fone De Ouvido Bluetooth Xiaomi Redmi Airdots ,114,NA,"
			
			
				
				11620
				vendidos
			
		",(457 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 954
		
		 sem juros
		
	

	
		",54,NA,NA,NA,NA,4.7,1013,https://perfil.mercadolivre.com.br/LOYALMALLBR?brandId=2069,https://produto.mercadolivre.com.br/MLB-1218445107-fone-de-ouvido-bluetooth-xiaomi-redmi-airdots-_JM,840,126,28,3,16,#1218445107,Xiaomi,Mi,Redmi  Airdots,In-ear,NA
4, Fone De Ouvido Edifier W800bt Bluetooth - Nota Fiscal E Gtia ,250,NA,"
			
				Novo
			
			
				
					 - 
				
				1887
				vendidos
			
		",(210 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2083
		
		 sem juros
		
	

	
		",83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,1055,https://perfil.mercadolivre.com.br/RCKAUDIO,https://produto.mercadolivre.com.br/MLB-1054567240-fone-de-ouvido-edifier-w800bt-bluetooth-nota-fiscal-e-gtia-_JM,888,132,29,3,3,#1054567240,Edifier,W,W800BT,Over-ear,NA
5, Headphone Bluetooth Fone De Ouvido Usb Micro Sd Rádio Fm B01 ,45,NA,"
			
				Novo
			
			
				
					 - 
				
				4793
				vendidos
			
		",(184 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 849
		
		 sem juros
		
	

	
		",49,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,259,https://perfil.mercadolivre.com.br/123+COMPROU,https://produto.mercadolivre.com.br/MLB-751234756-headphone-bluetooth-fone-de-ouvido-usb-micro-sd-radio-fm-b01-_JM,158,52,23,12,14,#751234756,Importado,NA,Headphone,Headset,NA
6, Fone Ouvido Sem Fio Bluetooth 4.1 Celular Micro Sd Fm P2 Mp3 ,36,NA,"
			
				Novo
			
			
				
					 - 
				
				4748
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 684
		
		 sem juros
		
	

	
		",84,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,321,https://perfil.mercadolivre.com.br/TROPARDI+ELETRO,https://produto.mercadolivre.com.br/MLB-1183090499-fone-ouvido-sem-fio-bluetooth-41-celular-micro-sd-fm-p2-mp3-_JM,290,18,8,1,4,#1183090499,NA,Bluetooth,B-05,Over-ear,B-05
7, Fone Ouvido Sem Fio Bluetooth Chamadas Sd Fm Mp3 Usb Aux P2 ,33,NA,"
			
				Novo
			
			
				
					 - 
				
				4031
				vendidos
			
		",(640 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 629
		
		 sem juros
		
	

	
		",29,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,256,https://perfil.mercadolivre.com.br/MEGA+EXOPLANET.SHOP,https://produto.mercadolivre.com.br/MLB-1169782507-fone-ouvido-sem-fio-bluetooth-chamadas-sd-fm-mp3-usb-aux-p2-_JM,217,21,8,4,6,#1169782507,Goldenultra,Bluetooth,P.47,Over-ear,B05 Over-Ear
8, Fone Ouvido Sem Fio Bluetooth 4.1 Celular Micro Sd Fm P2 Mp3 ,36,NA,"
			
				Novo
			
			
				
					 - 
				
				4748
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 684
		
		 sem juros
		
	

	
		",84,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,321,https://perfil.mercadolivre.com.br/TROPARDI+ELETRO,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=JATEMpKcRCM%2F0bHh9ulyKuC1UgJKGKkFhLDAuxbH%2FER3VXKzbi3jYdt00T1PZ5AWUd%2BCxb3WZkqxFwo5Qp16CzlQnE0e%2F5gBzI78w7EU8cPBR3EdnmrToZjSZGAYw3braog9BKuoClCrrXJWryI5NDaDfLFSzlRm6z4svgzXCy0hiy7xGCoJxtsILTsXp6Qbs7hvKne61k1wtaUPty00zUOjSCedWrNdsMz3TODEnY8M%2BhOqN2UitbwS%2BDKyPKWBe21OJuOHPcBpqChsPpqe3WoyRKLjXDqOdyARXH2wE7AkhPsfb9d5%2FbBuRNmdrxXpLUUhweFUjm1kvs7wa74iSv8Mq0SocJcFfXphh0y2mSGQGo1j2Sk8ZragCzPJLJ%2BA199BSw585DVwfbfUWnZQvxYnKjNoMj924qKf9tRqWs7YLIjSpNXm1AooU%2BX3RpMAEnHUzL8iW9RXCIsb9crZNRibDMBW9cOeCJBV%2FRrYkF0cQqvix%2FTBeHBIPBA2G%2BRjmBfdXn8CeVsBk72%2FXevT4rOp7u4poS54FZaZHBcXlnrD5%2F5uL7qWCrI5YNiRcBzNp7i17ge28dWjnVqpannefO1CTW8Yc9bkDV7B3ZspUIYsfHn5BOIxCWSBwMnACNi38f0dqTF1xmfHGg8mqWJVWIrXBQuCam07qVZh3SPhdDhH%2B0MzU%2FWdklD18uqoM0PzFfb5ZEWtIqJu7eYP%2F%2BQoD%2FMAgoqr3QGVURz%2BiHlDY89AticAzdABsReXqpz8p7uNT3KjpIlyhBa244hZq9fRROVzC3NYOye6XWeyTiPPkg68f%2FNhaDc8bNYP%2BZCTGUbRkSa0f2blye1%2FyPqAvi23Kh3TtoNZdiRt%2BG9jpbhSMaWLyqKnNtRwA70%2FfJMCU6mUtWiSPQ6ISfApeRy7x3Kid7hmha75wgd9Go8ajLLUSSNvG7NO6SHiDaGPZHvAOPUL7vzY8aVLptjA%2BM28S2l%2FpBjTMfkvS42k1tKGSLu%2BMeS4Jcx0VafFyvCLMipjQRGLwsw%2B%2FBaDMCLEA7VDmPBtEV4Xi0EwPs6fGzGK49Hp%2FB59Hxg5nSs%2FsVLYUsEpECVfn5Hg14GiMxIXuXXWCcVhD9fybZJ%2FkohXhYNNhfNAFQ2413VeDV4fVwapRvDit8vBPuSctcfSUQ5%2FMNi2JAVCSsuAUsLYzAOd2H9C519SS1lMB8PG6vH%2BMuoAWL2zoyHP%2BBXs86UYSE4Zoce2zmPMbJ2Sq1k5SUrxhpAnc15NioYWL5j0uEBX8l11T0tW9Hs21Xg%2F5v650QiOSUrqmFGEsoepEkAH210q9GaV7leEIIWWtQmaTIaKeTOg64Suf8J0VygoOM0n78G2fYhVO6Frf5AzY1RrgIDsfPP9qQ3XLmVJpd57mUCHSLimunXLe5t92v%2BJwIioTv5%2FjMbacvHm%2Fkkg4HfyP1K300RBBM7rYwN51jHAFw2odYMTe%2F0KAJWtgqKokN994gjcVneag9riSwrAofcV%2BpDijt37CMUUC5GTT1LdEjnQgaLGicGmEgNw1Q5bLUNk2XP%2F3OpGsLEWW%2FGrZAWIDMTdXt3h5RLUBB3dIvqLKtoGJWOLXAJa%2FAXtHgN4cRyWDS1FPtLflwraQ6km51u1Q6nDZEuAiauY,290,18,8,1,4,#1183090499,NA,NA,NA,NA,NA
9, Mini Fone De Ouvido S530 V4.1 Sem Fio Bluetooth Universal ,21,NA,"
			
				Novo
			
			
				
					 - 
				
				24835
				vendidos
			
		",(3603 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 594
		
		 sem juros
		
	

	
		",94,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.8,842,https://perfil.mercadolivre.com.br/BETINHO+ELETRO,https://produto.mercadolivre.com.br/MLB-832062116-mini-fone-de-ouvido-s530-v41-sem-fio-bluetooth-universal-_JM,373,170,136,63,100,#832062116,Universal,NA,S530,NA,NA
10, Fone Ouvido Bluetooth Sem Fio Chamada Micro Sd Fm P2 Mp3 Cel ,34,NA,"
			
				Novo
			
			
				
					 - 
				
				7994
				vendidos
			
		",(5 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 647
		
		 sem juros
		
	

	
		",47,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,373,https://perfil.mercadolivre.com.br/MEGA+EXOPLANET.SHOP,https://produto.mercadolivre.com.br/MLB-1169578355-fone-ouvido-bluetooth-sem-fio-chamada-micro-sd-fm-p2-mp3-cel-_JM,336,21,10,0,6,#1169578355,B05 Over-Ear,Bluetooth,B05,Over-ear,B05 Over-Ear
