search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Linha,Modelo,Modelo alfanumérico,Tipo de alimentação,Tipos de cabeças,Tempo de funcionamento,Peso
1, Barbeador Elétrico Philips One Blade Oneblade Qp2510/10 ,124,NA,"
			
				Novo
			
			
				
					 - 
				
				3327
				vendidos
			
		",(660 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1194
		
		 sem juros
		
	

	
		",94,NA,Frete grátis,NA,NA,4.7,343,https://perfil.mercadolivre.com.br/PONTOCERTOELETRO,https://produto.mercadolivre.com.br/MLB-1048809617-barbeador-eletrico-philips-one-blade-oneblade-qp251010-_JM,271,45,16,5,5,#1048809617,Philips,OneBlade,QP2510/10,QP2510/10,Recarregável,Flexíveis,30 m,NA
2, Maquina De Barbear Kemei Km-1102 ,81,100,"
			
			
				
				373
				vendidos
			
		",(790 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 681
		
		 sem juros
		
	

	
		",81,NA,NA,NA,NA,4.4,31,https://perfil.mercadolivre.com.br/TOPDEALSBR?brandId=2069,https://produto.mercadolivre.com.br/MLB-1205627112-maquina-de-barbear-kemei-km-1102-_JM,20,6,3,1,1,#1205627112,Kemei,NA,KM-1102,NA,NA,NA,NA,NA
3, Barbeador Elétrico Maquina De Barbear Aparelho Barba Promo ,54,NA,"
			
				Novo
			
			
				
					 - 
				
				1254
				vendidos
			
		",(9746 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 624
		
		 sem juros
		
	

	
		",24,NA,Envio para todo o país,NA,NA,4.4,1461,https://perfil.mercadolivre.com.br/FGK+VENDAS,https://produto.mercadolivre.com.br/MLB-1120282284-barbeador-eletrico-maquina-de-barbear-aparelho-barba-promo-_JM,1002,258,99,37,64,#1120282284,Philips,3 cabeças,QP2510/10,QP2510/10,Recarregável,Removíveis,NA,NA
4, Barbeador Eletrico Maquina Philips 6 Em1 Multigroom Nacional ,149,NA,"
			
				Novo
			
			
				
					 - 
				
				1513
				vendidos
			
		",(97 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1433
		
		 sem juros
		
	

	
		",33,NA,Frete grátis,NA,NA,4.7,78,https://perfil.mercadolivre.com.br/SWA+MOBILE,https://produto.mercadolivre.com.br/MLB-1045425793-barbeador-eletrico-maquina-philips-6-em1-multigroom-nacional-_JM,63,9,5,0,1,#1045425793,Philips,Multigroom,MG3711,NA,Recarregável,Removíveis,60min,NA
5, Barbeador Elétrico Philips Seco Molhado Aquatouch S1030/04 ,158,NA,"
			
				Novo
			
			
				
					 - 
				
				113
				vendidos
			
		",(139 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1325
		
		 sem juros
		
	

	
		",25,NA,Frete grátis,NA,NA,4.4,319,https://perfil.mercadolivre.com.br/PONTOCERTOELETRO,https://produto.mercadolivre.com.br/MLB-1262444143-barbeador-eletrico-philips-seco-molhado-aquatouch-s103004-_JM,221,48,27,10,13,#1262444143,Philips,AquaTouch,S1030,NA,Recarregável,Flexíveis,NA,NA
6, Barbeador Aparador Oneblade Philips 2 Qp2510/10 Original ,115,NA,"
			
				Novo
			
			
				
					 - 
				
				726
				vendidos
			
		",(15156 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 958
		
		 sem juros
		
	

	
		",58,NA,Envio para todo o país,NA,NA,4.7,480,https://perfil.mercadolivre.com.br/JOVAL+INFORMATICA1,https://produto.mercadolivre.com.br/MLB-1135899020-barbeador-aparador-oneblade-philips-2-qp251010-original-_JM,386,63,19,6,6,#1135899020,Philips,OneBlade,QP2521/10,NA,Recarregável,Removíveis,30 m,NA
7, Barbeador E Aparador Philips Mg1100/16 2em1 À Prova D'água ,129,NA,"
			
				Novo
			
			
				
					 - 
				
				508
				vendidos
			
		",(214 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1233
		
		 sem juros
		
	

	
		",33,NA,Frete grátis,NA,NA,4.5,30,https://perfil.mercadolivre.com.br/EDUELETRO+OFICIAL,https://produto.mercadolivre.com.br/MLB-822191599-barbeador-e-aparador-philips-mg110016-2em1-prova-dagua-_JM,22,5,1,1,1,#822191599,Philips,Series 1000,Mg1100/16,MG1100/16,NA,NA,NA,128 g
8, Maquina De Barbear Aparadora Original Panasonic 389k ,115,NA,"
			
				Novo
			
			
				
					 - 
				
				726
				vendidos
			
		",(15156 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 958
		
		 sem juros
		
	

	
		",58,NA,Envio para todo o país,NA,NA,4.7,480,https://perfil.mercadolivre.com.br/JOVAL+INFORMATICA1,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=fABAX95Z9z%2BdlwLwdN3mw7upE1yp6Y18ZXdMpPMxcXWNb5Bl%2Ft1tBY9EHj%2FemzibOTHJstxmlYsXKtsjVfXK4L1ekICpM1uV3LVzQzMqby%2FtsuKbd0fpIgM6lRCM3kRXICXG%2BB%2BSMbWDFdPQZK8YlhoQToHILMPa0YIbz6NxiGzEY6fgrErqjuJdpyb5g4ec0T5ixl9bQ1Fr6rn5X3ZcfiPKrqWLU5vDMQJmd92zLdvSSHhjGtKxUIbOg2JsUATv7quZw3iJhCiWQCpluanupH6Ta6UURfYmsT3a202uYReJdYh5iDoEHJt3S8CwAXvdaeaHSgJkDZQzlrl9RxYEPVLGDg1PsITkAXEdPi7eduBY9dixIFMaxMHydfDxO%2F3sUx8bn6zy7wgOI4%2FACxLdzz36TL0Gc8FS%2B9f8NUuHkbOoi6P3svwq9W78y9kcm7pNP0yXoqAVOLHDMlWcy%2Bs3oCaHrnGaeZa6vJH7tFz%2BisCI8mG%2BGtCAprS%2B%2BhpiMqE%2Fib7i0CAVKmdavqSAkIWXgdIRIca3lrkNsBLzgEy0ckzONAzfrDT45J01NnTXY8ZGqqpmHZP%2BRQPHusaPbgZfTnd402rIDVnlCHzGlF%2FRx1MXFlRMANst9yy%2FxqL3pNa6viQehUgUeG5l%2BJwJyOBd3Qxl%2BFeYoHLfV9ywZjH6wd2HZaaNAicpq6S%2FhXXhWraNGPQhlc9B3XnMVxPptuVeDk8kiF%2F7QOnWYD20RM9sgOGPYUkqsZ88sDZEknYSkyorAI35Q1QaJoiMeTlxHtPTpc36o0w8ZqhUgUDCxEiR6MwycHX1schckjCURjlHj%2F0ieYi30P8ti%2FUsLCX95%2FIPeHSv15MzMoA%2Fzn4RwT4wFqDgOHZFoVgb36W%2B1MfNmd2EN5QZtWaGEb5jVSsHiqODXXjQaB3mxwnaqTiWtdWWKQRLlTjIRRvCU8TrTIXy%2B1kxR%2FjuMovHFVJiydJssHi0vBuXhTyc8cVJuDDTZqUlPil5%2FdDrTBXkDsOEG5Gcn85cX2QL9nQ%2BGFpi1kUmGsU8k7crrCtQjDaB3Nt2coWLbG8yLru5HLqv7eblaVs2VUdwswslHTn0bBxLsniqkZiIbV6Iz%2F3jC8j4k0FApW1fQHwHZvdm9kxHEdSKGpeQHWqB3DFWW99OWYemsHeoX%2BGC1LfKVV6KCm%2F2FI9Nt3TC4svkadk7XhlLlPdRHS4sogMPeExKRQEuzRkdDoC7Qds4i7Mx7vaSwxcc%2BAHo1gtWqztKEzTUt9jlcCKzt6N9mGG7cArVGE2z64Xomf14a8nvaWCXuSnKo8wTR5BAP43B17lJTn2Ns1Qs4q20Ax56bkoHE12liqpagC70KlyW7m%2B0ih6uSo4URzbLir9E9XELNPi43l1uBN8dQf2LvLf7WzYEX2JwD%2BE8ueYkrUub1NnzVPSSapxNZKuiPQtY78IxOeHnUcb2qtlseIZEDhEEtiHhFZ4RYNH2qdMflpNWbaFEqr0WRItjOF%2BhB5ZesotQ6GOv8qkExfdMP5sDF0tYV0jiNje8SWUoZXxI5ypV%2B3wBh%2B0AEJfbYktjuKTrQZdQ0t9%2BDZGyFXdlF5s6zRuYoWaIBu%2BhwsBLevUfYZXkPaIuF2bb%2FOZiF0Lv3aPubHnvZ4CQVDs86QhWeM44hs1iIjmBkIzC5WBuvO%2BUtwNAez0q%2B2d45QJ%2BVDwbike1jl6ctLDyEz2m6V8IkjklMSRVkSKGtpsxwa3a6g%3D%3D,386,63,19,6,6,#1135899020,Philips,OneBlade,QP2521/10,NA,Recarregável,Removíveis,30 m,NA
9, Barbeador Elétrico Á Prova D´água - Relax Multi Groom ,120,NA,"
			
			
				
				72
				vendidos
			
		",(58 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1000
		
		 sem juros
		
	

	
		",00,NA,Frete grátis,NA,NA,4.0,2,https://perfil.mercadolivre.com.br/MNLDISTRIBUIDORA?brandId=1738,https://produto.mercadolivre.com.br/MLB-1223500996-barbeador-eletrico-a-prova-dagua-relax-multi-groom-_JM,NA,NA,NA,NA,NA,#1223500996,Relaxmedic,Relax Beauty,RB-AM0249A,NA,Elétrica,Removíveis,NA,NA
10, Barbeador Aparador Elétrico Recarregável Goncon Prova D'água ,44,NA,"
			
				Novo
			
			
				
					 - 
				
				762
				vendidos
			
		",(41 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 750
		
		 sem juros
		
	

	
		",50,NA,Envio para todo o país,NA,NA,4.0,150,https://perfil.mercadolivre.com.br/CLASSIC+VENDAS,https://produto.mercadolivre.com.br/MLB-957075883-barbeador-aparador-eletrico-recarregavel-goncon-prova-dagua-_JM,73,34,22,10,11,#957075883,NA,NA,NA,NA,NA,NA,NA,NA
