search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo
269, Paranasonic Close Curvas Afeitadora Eléctrica Señoras 3bl ,52,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 10010
		
		 sin interés
		
	

	
		",10,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/AKAESURUGUAY,https://articulo.mercadolibre.com.uy/MLU-461029622-paranasonic-close-curvas-afeitadora-electrica-senoras-3bl-_JM,NA,NA,NA,NA,NA,#461029622,Hermitshell,NA
270, Surker 2in1 Afeitadora Eléctrica Portátil Para Tela Y Rem ,56,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 10780
		
		 sin interés
		
	

	
		",80,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/AKAESURUGUAY,https://articulo.mercadolibre.com.uy/MLU-461254143-surker-2in1-afeitadora-electrica-portatil-para-tela-y-rem-_JM,NA,NA,NA,NA,NA,#461254143,Surker,NA
271, Maxt Afeitadora Eléctrica Y Recargable Afeitadora Girator ,89,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 17132
		
		 sin interés
		
	

	
		",32,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/AKAESURUGUAY,https://articulo.mercadolibre.com.uy/MLU-464151140-maxt-afeitadora-electrica-y-recargable-afeitadora-girator-_JM,NA,NA,NA,NA,NA,#464151140,MAX-T,NA
272, Max-t Máquina De Afeitar Eléctrica Máquina De Afeitar Rot ,89,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 17132
		
		 sin interés
		
	

	
		",32,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/AKAESURUGUAY,https://articulo.mercadolibre.com.uy/MLU-461029291-max-t-maquina-de-afeitar-electrica-maquina-de-afeitar-rot-_JM,NA,NA,NA,NA,NA,#461029291,MAX-T,NA
273, Máquina De Afeitar Eléctrica Diseño Ergonómico Maquinilla ,63,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		","
		
			¡Último disponible!
		
	","
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 12128
		
		 sin interés
		
	

	
		",28,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/AKAESURUGUAY,https://articulo.mercadolibre.com.uy/MLU-461028984-maquina-de-afeitar-electrica-diseno-ergonomico-maquinilla-_JM,NA,NA,NA,NA,NA,#461028984,VA,NA
274, Máquina De Afeitar Eléctrica Elehot Recortadora De Barba ,75,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		","
		
			¡Último disponible!
		
	","
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 14438
		
		 sin interés
		
	

	
		",38,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/AKAESURUGUAY,https://articulo.mercadolibre.com.uy/MLU-461186988-maquina-de-afeitar-electrica-elehot-recortadora-de-barba-_JM,NA,NA,NA,NA,NA,#461186988,Elehot,NA
275, Máquina De Afeitar Panasonic Es8243a Arc4 Eléctrica Para ,179,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 34458
		
		 sin interés
		
	

	
		",58,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/AKAESURUGUAY,https://articulo.mercadolibre.com.uy/MLU-457504064-maquina-de-afeitar-panasonic-es8243a-arc4-electrica-para-_JM,NA,NA,NA,NA,NA,#457504064,Panasonic,ES-8243-A
276, Máquina De Afeitar Eléctrica Recargable Inalámbrica Doble ,78,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 15015
		
		 sin interés
		
	

	
		",15,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/AKAESURUGUAY,https://articulo.mercadolibre.com.uy/MLU-461187029-maquina-de-afeitar-electrica-recargable-inalambrica-doble-_JM,NA,NA,NA,NA,NA,#461187029,iFTiME,NA
277, Máquina De Afeitar Eléctrica Para Hombre ,90,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 17325
		
		 sin interés
		
	

	
		",25,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/AKAESURUGUAY,https://articulo.mercadolibre.com.uy/MLU-461186979-maquina-de-afeitar-electrica-para-hombre-_JM,NA,NA,NA,NA,NA,#461186979,Max-Tcare,NA
278, Máquina De Afeitar Eléctrica Para Afeitar 3blade De Runwe ,54,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 10395
		
		 sin interés
		
	

	
		",95,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/AKAESURUGUAY,https://articulo.mercadolibre.com.uy/MLU-461028498-maquina-de-afeitar-electrica-para-afeitar-3blade-de-runwe-_JM,NA,NA,NA,NA,NA,#461028498,RUNWE,NA
