search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Tipo de alimentación,Tipos de cabezales,Tiempo de funcionamiento,Tiempo de carga,Peso
1, Cortabarba Multigroom Philips Mg7715/15 ,3799,NA,"
			
			
				
				1199
				vendidos
			
		",(260 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,132,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-693493640-cortabarba-multigroom-philips-mg771515-_JM#position=1&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,94,30,5,2,1,#693493640,Philips,Series 7000,MG7715/15,MG7715/15,Eléctrica,Planos,120,NA,NA
2, Cortabarba Multigroom Philips Mg5730/15 ,2999,NA,"
			
			
				
				1961
				vendidos
			
		",(39 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,298,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-687451947-cortabarba-multigroom-philips-mg573015-_JM#position=2&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,220,72,4,1,1,#687451947,Philips,Multigroom series 5000,MG5730/15,MG5730/15,220v,Planos,80,NA,NA
3, Cortabarba Multigroom Philips Mg5730/15 Cuerpo Rostro ,2999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2563
				vendidos
			
		",(102 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,202,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-729119308-cortabarba-multigroom-philips-mg573015-cuerpo-rostro-_JM#position=3&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,148,49,4,0,1,#729119308,Philips,Series 5000,MG5730/15,MG5730/15,220v,Planos,80,NA,NA
4, Afeitadora Recortador De Barba Phillips One Blade ,1399,NA,"
			
				Nuevo
			
			
				
					 - 
				
				745
				vendidos
			
		",(41 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,69,https://perfil.mercadolibre.com.ar/FARMA+YA,https://articulo.mercadolibre.com.ar/MLA-731504888-afeitadora-recortador-de-barba-phillips-one-blade-_JM#position=4&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,53,10,1,2,2,#731504888,Philips,OneBlade,OneBlade,QP2520/20,NA,NA,30 minutos,NA,NA
5, Cortadora De Pelo Y Barba Electrica Gama Maquina Gm562 ,1605,NA,"
			
				Nuevo
			
			
				
					 - 
				
				61
				vendidos
			
		",(12 disponibles),6 cuotas sin interés,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,1,https://perfil.mercadolibre.com.ar/PERFUMERIAS+AILEN,https://articulo.mercadolibre.com.ar/MLA-788700027-cortadora-de-pelo-y-barba-electrica-gama-maquina-gm562-_JM#position=5&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,NA,NA,NA,NA,NA,#788700027,GA.MA,Afeitadoras,GM520,NA,NA,NA,NA,NA,NA
6, Afeitadora Corporal Philips Bodygroom Bg3005/15 Apta Ducha ,2599,NA,"
			
				Nuevo
			
			
				
					 - 
				
				429
				vendidos
			
		",(31 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,23,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-739507858-afeitadora-corporal-philips-bodygroom-bg300515-apta-ducha-_JM#position=6&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,16,6,1,0,0,#739507858,Philips,Series 3000,BG3005/15,BG3005/15,220v,Planos,40M,NA,NA
7, Cortabarba Multigroom Philips Mg3730/15 Barba Cabello Nariz ,2399,NA,"
			
				Nuevo
			
			
				
					 - 
				
				742
				vendidos
			
		",(91 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,48,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-740807251-cortabarba-multigroom-philips-mg373015-barba-cabello-nariz-_JM#position=7&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,36,12,0,0,0,#740807251,Philips,Series 3000,Multigroom,MG3730,220v,Planos,60 M,NA,NA
8, Afeitadora Philips Aquatouch S1030/04 ,2199,NA,"
			
				Nuevo
			
			
				
					 - 
				
				976
				vendidos
			
		",(38 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,573,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-729696881-afeitadora-philips-aquatouch-s103004-_JM#position=8&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,387,125,39,13,9,#729696881,Philips,AquaTouch,S1030/04,S1030/04,220v,Flexibles,45 m,NA,NA
9, Corta Pelo Y Barba Afeitadora Gama Inalambrica Y Electrica - Garantia Oficial - Incluye Accesorios ,1669,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3969
				vendidos
			
		",(2 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,443,https://perfil.mercadolibre.com.ar/DARIO+HOGAR,https://articulo.mercadolibre.com.ar/MLA-618507579-corta-pelo-y-barba-afeitadora-gama-inalambrica-y-electrica-garantia-oficial-incluye-accesorios-_JM#position=9&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,278,123,29,6,6,#618507579,GA.MA,NA,GC 545,NA,NA,NA,NA,NA,NA
10, Afeitadora Philips Aquatouch S5070/02 Eléctrica Recargable ,4699,NA,"
			
				Nuevo
			
			
				
					 - 
				
				652
				vendidos
			
		",(21 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,218,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-728426848-afeitadora-philips-aquatouch-s507002-electrica-recargable-_JM#position=10&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,146,56,13,0,3,#728426848,Philips,AquaTouch,S5070/02,S5070/02,220v,NA,40 m,NA,NA
