search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca
1, Cortabarba Y Cortacabello Philips Mg3730/15 Kit 8 En 1 ,55,NA,"
			
			
				
				524
				vendidos
			
		",(2 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 11312
		
		 sin interés
		
	

	
		",12,NA,Envío a todo el país,NA,NA,5.0,20,http://perfil.mercadolibre.com.uy/PHILIPS_TIENDAOFICIAL?brandId=173,https://articulo.mercadolibre.com.uy/MLU-460600506-cortabarba-y-cortacabello-philips-mg373015-kit-8-en-1-_JM#position=1&type=item&tracking_id=d9465406-0ddf-4aee-9b0a-20ca5114bc14,19,1,0,0,0,#460600506,Philips
2, Afeitadora Corporal Masculina Philips Apta Ducha Bg3005/15 ,59,NA,"
			
			
				
				138
				vendidos
			
		",(2 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 12134
		
		 sin interés
		
	

	
		",34,NA,Envío a todo el país,NA,NA,4.6,11,http://perfil.mercadolibre.com.uy/PHILIPS_TIENDAOFICIAL?brandId=173,https://articulo.mercadolibre.com.uy/MLU-458232589-afeitadora-corporal-masculina-philips-apta-ducha-bg300515-_JM#position=2&type=item&tracking_id=d9465406-0ddf-4aee-9b0a-20ca5114bc14,8,2,1,0,0,#458232589,NA
3, Rasuradora Afeitadora Electrica Corporal Y Corta Pelo Barba ,349,NA,"
			
				Nuevo
			
			
				
					 - 
				
				27
				vendidos
			
		",(16 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1939
		
		 sin interés
		
	

	
		",39,NA,Envío a todo el país,NA,NA,4.0,2,http://perfil.mercadolibre.com.uy/TODO+ACA,https://articulo.mercadolibre.com.uy/MLU-458259418-rasuradora-afeitadora-electrica-corporal-y-corta-pelo-barba-_JM#position=3&type=item&tracking_id=d9465406-0ddf-4aee-9b0a-20ca5114bc14,NA,NA,NA,NA,NA,#458259418,Nova
4, Afeitadora Philips Mg5730 11 En 1 Rostro Cabello Cuerpo Loi ,62,79,"
			
			
				
				43
				vendidos
			
		",(2954 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 12955
		
		 sin interés
		
	

	
		",55,NA,Envío a todo el país,NA,NA,5.0,1,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-461181873-afeitadora-philips-mg5730-11-en-1-rostro-cabello-cuerpo-loi-_JM#position=4&type=item&tracking_id=d9465406-0ddf-4aee-9b0a-20ca5114bc14,NA,NA,NA,NA,NA,#461181873,NA
5, Afeitadora Eléctrica Resistente Al Agua Punktal Pk-ms733 Oy ,38,NA,"
			
				Nuevo
			
			
				
					 - 
				
				136
				vendidos
			
		",(22 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 8019
		
		 sin interés
		
	

	
		",19,NA,Envío a todo el país,NA,NA,4.6,27,http://perfil.mercadolibre.com.uy/OFERTAYA+UY,https://articulo.mercadolibre.com.uy/MLU-448668993-afeitadora-electrica-resistente-al-agua-punktal-pk-ms733-oy-_JM#position=5&type=item&tracking_id=d9465406-0ddf-4aee-9b0a-20ca5114bc14,18,7,2,0,0,#448668993,NA
6, Afeitadora Portatil Micro Touch Solo ,998,NA,"
			
				Nuevo
			
			
				
					 - 
				
				23
				vendidos
			
		",(27 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 5544
		
		 sin interés
		
	

	
		",44,NA,Envío a todo el país,NA,NA,1.0,1,http://perfil.mercadolibre.com.uy/ME+GUSTAN,https://articulo.mercadolibre.com.uy/MLU-464577321-afeitadora-portatil-micro-touch-solo-_JM#position=6&type=item&tracking_id=d9465406-0ddf-4aee-9b0a-20ca5114bc14,NA,NA,NA,NA,NA,#464577321,MicroTouch
7, Afeitadora Electrica Philips Recargabable 5070 Patilla Dimm ,117,NA,"
			
				Nuevo
			
			
				
					 - 
				
				55
				vendidos
			
		",(96 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 24063
		
		 sin interés
		
	

	
		",63,NA,Envío a todo el país,NA,NA,4.9,12,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,https://articulo.mercadolibre.com.uy/MLU-448370701-afeitadora-electrica-philips-recargabable-5070-patilla-dimm-_JM#position=7&type=item&tracking_id=d9465406-0ddf-4aee-9b0a-20ca5114bc14,11,1,0,0,0,#448370701,NA
8, Rasuradora Afeitadora Electrica Maquina Afeitar + Accesorios ,449,NA,"
			
				Nuevo
			
			
				
					 - 
				
				12
				vendidos
			
		",(49 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 2494
		
		 sin interés
		
	

	
		",94,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TODO+ACA,https://articulo.mercadolibre.com.uy/MLU-458259395-rasuradora-afeitadora-electrica-maquina-afeitar-accesorios-_JM#position=8&type=item&tracking_id=d9465406-0ddf-4aee-9b0a-20ca5114bc14,NA,NA,NA,NA,NA,#458259395,Nova
9, Afeitadora Corporal Masculina Philips Bg105/11 Bodygroom ,35,NA,"
			
			
				
				280
				vendidos
			
		",(2 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 7198
		
		 sin interés
		
	

	
		",98,NA,Envío a todo el país,NA,NA,4.6,27,http://perfil.mercadolibre.com.uy/PHILIPS_TIENDAOFICIAL?brandId=173,https://articulo.mercadolibre.com.uy/MLU-444401711-afeitadora-corporal-masculina-philips-bg10511-bodygroom-_JM#position=9&type=item&tracking_id=d9465406-0ddf-4aee-9b0a-20ca5114bc14,18,8,0,0,1,#444401711,NA
10, Afeitadora Eléctrica Philips S1030 Recarg Húmedo O Seco Loi ,47,79,"
			
			
				
				29
				vendidos
			
		",(2968 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 9666
		
		 sin interés
		
	

	
		",66,NA,Envío a todo el país,NA,NA,4.5,2,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-461182818-afeitadora-electrica-philips-s1030-recarg-humedo-o-seco-loi-_JM#position=10&type=item&tracking_id=d9465406-0ddf-4aee-9b0a-20ca5114bc14,NA,NA,NA,NA,NA,#461182818,NA
