search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Tipos de filtros del parlante,Conectores de entrada,Peso,Color,Potencia de salida (RMS)
1,Parlante Portátil Sony Extra Bass Con Bluetooth -srs-xb21,229.379,329.9,221,10,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,25,https://perfil.mercadolibre.com.co/SONY+COLOMBIA?brandId=11,https://articulo.mercadolibre.com.co/MCO-474791732-parlante-portatil-sony-extra-bass-con-bluetooth-srs-xb21-_JM,22,3,0,0,0,#474791732,Sony,EXTRA BASS,SRS-XB21,Activo,USB,530 g,NA,NA
2,Parlante Sony Extrabass Bluetooth Resistente Al Agua- Xb01,99.9,124.9,181,40,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,17,https://perfil.mercadolibre.com.co/SONY+COLOMBIA?brandId=11,https://articulo.mercadolibre.com.co/MCO-491523025-parlante-sony-extrabass-bluetooth-resistente-al-agua-xb01-_JM,14,3,0,0,0,#491523025,Sony,EXTRA BASS,NA,NA,NA,160 g,NA,NA
3,Parlante Bluetooth Resistente Al Agua Manos Libres Para Baño,14.9,19.9,1117,27,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,4.3,53,https://perfil.mercadolibre.com.co/ARTICULOSALTAGAMA,https://articulo.mercadolibre.com.co/MCO-449583744-parlante-bluetooth-resistente-al-agua-manos-libres-para-bano-_JM,32,11,5,2,3,#449583744,NA,NA,NA,NA,NA,108 g,Azul/Verde,NA
4,Parlante Portable Jbl Go 2 Bluetooth A Prueba De Agua Go2,110.9,147.9,572,57,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,106,https://perfil.mercadolibre.com.co/DELLTHUS,https://articulo.mercadolibre.com.co/MCO-461389037-parlante-portable-jbl-go-2-bluetooth-a-prueba-de-agua-go2-_JM,98,5,0,2,0,#461389037,JBL,NA,JBL Go2,Activo,NA,184 g,NA,3 W
5,Parlante Altavoz Bluetooth Radio Portatil Ms,39.9,48.9,194,706,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.5,11,https://perfil.mercadolibre.com.co/BETHMARC,https://articulo.mercadolibre.com.co/MCO-455564403-parlante-altavoz-bluetooth-radio-portatil-ms-_JM,8,2,0,1,0,#455564403,NA,NA,NA,NA,NA,NA,NA,NA
6,Parlante Bluetooth Cabina Activa Recargable Portatil,159.9,NA,151,11,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,4,https://perfil.mercadolibre.com.co/MUNDONOVEDAD.CO,https://articulo.mercadolibre.com.co/MCO-452765139-parlante-bluetooth-cabina-activa-recargable-portatil-_JM,3,1,0,0,0,#452765139,NIA,NA,AN-2062,NA,Auxiliar,NA,NA,NA
7,Parlante Recargable Bluetooth Radio Fm Manos Libres + Obs,17.9,NA,200,69,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,4.3,16,https://perfil.mercadolibre.com.co/MERCADO+CLICKS,https://articulo.mercadolibre.com.co/MCO-446590928-parlante-recargable-bluetooth-radio-fm-manos-libres-obs-_JM,11,2,1,1,1,#446590928,NA,NA,NA,NA,NA,NA,NA,NA
8,Parlante Jbl Charge 4 Bluetooth Sumergible 100% Original,463.7,NA,266,78,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,73,https://perfil.mercadolibre.com.co/AEY+DISTRIBUCIONES,https://articulo.mercadolibre.com.co/MCO-459158831-parlante-jbl-charge-4-bluetooth-sumergible-100-original-_JM,66,5,2,0,0,#459158831,JBL,NA,Charge 4,Activo,NA,NA,NA,30 W
9,Cabina Sonido Bluetooth 250 W + Micrófono + Control + Obseq,179.9,299.9,174,50,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.1,11,https://perfil.mercadolibre.com.co/COLOMBIADECOMPRASTV,https://articulo.mercadolibre.com.co/MCO-494413843-cabina-sonido-bluetooth-250-w-microfono-control-obseq-_JM,6,2,1,2,0,#494413843,NA,NA,NA,NA,USB,3.2 kg,NA,250 W
10,Sistema De Sonido Logitech 5.1 Z607 + Obsequio.,297.5,NA,212,11,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,27,https://perfil.mercadolibre.com.co/EXPOCOLSUMINISTROSSAS,https://articulo.mercadolibre.com.co/MCO-495285483-sistema-de-sonido-logitech-51-z607-obsequio-_JM,23,2,1,1,0,#495285483,Logitech,NA,NA,NA,RCA,NA,NA,NA
11,"Barra Sonido Bluetooth Led 10w Usb, Fm, Sd 40cm Pantalla",54.99,NA,86,39,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.5,8,https://perfil.mercadolibre.com.co/VENTASBOGOTAOFICIAL,https://articulo.mercadolibre.com.co/MCO-463493504-barra-sonido-bluetooth-led-10w-usb-fm-sd-40cm-pantalla-_JM,5,2,1,0,0,#463493504,NA,NA,NA,NA,NA,NA,NA,10 W
12,Barra Sonido Bocina 41 Cm Bluetooth Parlante 10w Usb Fm + Ob,49.9,99.9,72,34,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,5,1,https://perfil.mercadolibre.com.co/COLOMBIADECOMPRASTV,https://articulo.mercadolibre.com.co/MCO-466300063-barra-sonido-bocina-41-cm-bluetooth-parlante-10w-usb-fm-ob-_JM,1,0,0,0,0,#466300063,NA,NA,NA,NA,NA,NA,NA,10 W
13,Parlante Altavoz Portatil Charge 3+/10w Fm Bluetooth Sd Usb,69.99,NA,138,4,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,14,https://perfil.mercadolibre.com.co/TITAN+ELECTRONIC,https://articulo.mercadolibre.com.co/MCO-464734363-parlante-altavoz-portatil-charge-310w-fm-bluetooth-sd-usb-_JM,12,0,2,0,0,#464734363,NA,NA,NA,Activo,NA,NA,NA,10 W
