search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Lugares de colocación,Formato del parlante,Configuración de canales,Conectores de entrada,Peso,Voltaje,Tipos de parlante,Altura,Ancho
11, Parlante Portátil Bluetooth Karaoke Fm Led Usb Mp3 Aux + Mic ,2890,3590,1349,96,12 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.5,128,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-720520187-parlante-portatil-bluetooth-karaoke-fm-led-usb-mp3-aux-mic-_JM,90,21,10,4,3,#720520187,Oryx,MJ,MJ-121,NA,Activo,NA,Caja Portátil,NA,USB,NA,220,Woofer,NA,NA
12, Parlante Bluetooth Bomb 40w Luces Led Potenciado Usb Radio ,2199,3000,357,45,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,64,https://perfil.mercadolibre.com.ar/AJAXGOLD,https://articulo.mercadolibre.com.ar/MLA-735697832-parlante-bluetooth-bomb-40w-luces-led-potenciado-usb-radio-_JM,49,8,2,4,1,#735697832,Kolke,NA,KPM222 BOMB,40 W,Activo,NA,NA,NA,Entrada para Micrófono,NA,NA,NA,NA,NA
13, Altavoz Parlante Portatil Music Mini Craquelado Recargable ,258,NA,993,566,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,13,https://perfil.mercadolibre.com.ar/MONA-FELISA+OPORTUNIDADESVIP,https://articulo.mercadolibre.com.ar/MLA-634321330-altavoz-parlante-portatil-music-mini-craquelado-recargable-_JM,9,3,1,0,0,#634321330,Genérico,NA,Music Animal,3 W,Portátil,De mesa,Tambor,5.1,NA,NA,5 V,NA,NA,NA
14, Parlantes Bluetooth Vertrag Potenciados Para Smart Tv ,10998,NA,158,32,6 cuotas sin interés,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,20,https://perfil.mercadolibre.com.ar/THONETANDVANDER?brandId=370,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=YeOBI7GOBGL%2Fnm0FKjJXD1kVRB1ztpa9EtYjX%2F9OqT4zn4yO4Sbho0nTvb9TIE2zvVj7RzkOVR0PyI8uVk78bE41iPwOppo4ZEmERFWWpPQHsAhIDElybNlkOmLr1FfLgiQwAZvx%2Fj2QQGmaxmdnNwmwoMrG30On54CT7r7QyLupzXV2GWE01XGbk1y%2Bhbvf%2FBIIj4oPMhAKT1TR6bkgWWmV5l%2F%2BArG3efkeBkBeEAdES%2BJ5S5FPcKfsajqLqxY02Hmo1JhudZ%2BjttlQXVpECPS7zildlcDa8U%2FwCNAV7bfCyjt8W81tvkIPSzQjva75ODnwS60%2Bh%2Bpyo0OSVfITCLeDxGoAfu8TZcE%2FUWVEC1vOIc%2F9r3LzPsufU7TYydzOOVdrKiIx4WPs3cTRGTcDC2w5UlNWvMHH%2BvH6Qclt%2BTUqsxyOjtzSMVrXIQXYU2%2BLySHqqRhSH6S0%2FAqGTUmtTO5mQOm8cNDmkYdl9iexcPviFKxWYhJR8Ff%2FigBz%2B9ucbCZ2p0wbt9PUtFHv5r1WEEYaSz776j7yHR2bQBr7cNbIZP3c16Yx%2BYzmOZ1mGVGfSEAimT6bcbDZt176tUInC2hzYdbjfhGmEwS7YvNfTGZg%2F%2FA4t8b7uVU7PBn697xIP0In%2Fy9DisrYXg%2Fdm969o37RhjxHBDNV4LIg9VppCCLORqw10j2foCJZ7Z2DkYw6sphNQ7RFJPeTNEh%2Bw82HU%2BJ229nzXmmW6MXn3Rcy%2FH0pr7hqZNhlYl46l2AgBTAUJAZ6ym9YxR6dXRVKCADrIYY3CPWYYdze0pNM2L8QjgcUrRSkRp6DvNpwhIKe5uW23ttHoBO63v3lCqdZsJLCyYuG0dG2LMXsIQl6fWfnQiAEWuXGLQ3oZikAsdIf%2BLeXlrOt38T8qAIYR55iZsnEsfu6%2FUpukm1hedxGfSSup8z8s%2Flcy7xnJpHiK6tKAKZYE9idOJOb%2BeBEESqXtIVHL529PUMVHJdyJ4eF%2FPs7DYyQBD4bY0I6tZHYneA6hvfs7gZ38JYz3a6lFptuaiz7z%2FmhzBdtdGYjrxDXh6AGc7i%2B1NmU7YsrB4mj2%2BSDd3l1ikTPsJKNwN%2FmHK%2Bl1YDWQAyPU5RvDyPrtnj3j6lc5qljfvclUM7zCXQgFhMdDkzaHR7ZhWX3pk9zSW4MqQdUdsJJ6wo9j4fN%2F7fBZyAL0da1EFIQQpBrMPdnuP5%2Bcf%2B4C5IaiidKMcBw9Ba6vOncEy10metBYVNWQdwABALSpEfE8RATZpWA8Uud%2F0DBSPoeXI0FdXu62L9gRitBk3hyQJhaIeBR64mDSJvrHhZ2o9mn0KUfI8BwlbDEH2XcUrrWZuUYSSH64%2B0G57BQ3lbHOf17VReKRm%2BN52YS9noijpmqYHtmXFNF%2FVz3uyD%2FniaUaesFjEykRTWjAQVG%2BW4b5pbqZfupYNR3o8%2BQI3F4V%2Fc2dz8DlZPjrAKtWIyhDDdJXvQ1KiD0swePPNeJPoKMxu6ZnC96MA7xhbSilo73i%2BPH%2BYE6nhdJMwWGnCVCjPngwi1ZVngCte81C0D9MCycNCh%2FCRVPWW36p9Sdb8z9555Da8adFeqYE7zPIFidXaoPNeaGzE%2BbGurskk%2FZiS8HXfgrk6AsD499Jv8noykz9nfuTr1uaUSIswDljgLh5qmLerbrOsIFZyP9uXSLHRNX7kqbVs%2BarUMhz38JYQEDOsZnFB5YW7fgLMGauLd%2F8zXtmutc7WpMwwkGB0k3SBDh%2FuzajEdG6OsbqNG5y3Vz1xxtfsKINxj7zhzfmUQr8L%2FaST8fbxN8UZD25JqbpIQePUlzh8Q7xiB7TUZ93%2B0eqwXOOc%2Bs%2FbOAQtFLJGTH4F8ARgA%3D,16,4,0,0,0,#649516944,Thonet & Vander,NA,Ratsel,46 W,Woofer,Living,Caja,2.0,NA,7.5 kg,100VAC ? 240VAC,Woofer,NA,NA
15, Parlante Bluetooth Recargable Ducha Anti Agua Con Microsd 5w ,228,NA,463,8,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,8,https://perfil.mercadolibre.com.ar/SMART-CLICK,https://articulo.mercadolibre.com.ar/MLA-789005543-parlante-bluetooth-recargable-ducha-anti-agua-con-microsd-5w-_JM,6,2,0,0,0,#789005543,MIYOSHI,NA,Modelo C6,5 W,Tweeter,"Ducha, De pared, De techo",Redondo,2.1,NA,152 g,NA,Tweeter,NA,NA
16, Parlante Bluetooth Jbl Flip 4 iPhone Android 100% Original ! ,5799,NA,403,18,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,1910,https://perfil.mercadolibre.com.ar/TECNOPARAVOS,https://articulo.mercadolibre.com.ar/MLA-661330596-parlante-bluetooth-jbl-flip-4-iphone-android-100-original--_JM,1627,243,29,6,5,#661330596,JBL,Flip Series 4,Flip 4,16 W,Portátil,NA,NA,NA,NA,515 g,NA,Portatil,NA,NA
17, Parlante Portátil Bluetooth Karaoke Usb Fm Luces + 2 Mics ,3190,NA,1633,95,12 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.5,273,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-663857293-parlante-portatil-bluetooth-karaoke-usb-fm-luces-2-mics-_JM,186,60,20,3,4,#663857293,Otras Marcas,KPB,KPB-221,45 W,Activo,NA,Caja Portátil,NA,"Bluetooth, USB, microSD, AUX, Micrófono.",NA,220V,Woofer,NA,NA
18, Parlante Valija Carrito Karaoke Bluetooth ,3600,NA,275,21,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,14,https://perfil.mercadolibre.com.ar/JBD-HITECH,https://articulo.mercadolibre.com.ar/MLA-719694463-parlante-valija-carrito-karaoke-bluetooth-_JM,9,1,3,1,0,#719694463,RX,NA,RX-1010,35 W,RECREACION,"PORTATIL, CARRITO, VALIJA",Caja,2.1,NA,NA,NA,CARRITO,NA,NA
19, Parlante Portátil Bluetooth Usb Radio Fm Charge Mini ,649,NA,123,31,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,4,https://perfil.mercadolibre.com.ar/MWPRODUCTSARGENTINA,https://articulo.mercadolibre.com.ar/MLA-736936659-parlante-portatil-bluetooth-usb-radio-fm-charge-mini-_JM,3,1,0,0,0,#736936659,Genérico,NA,Charge Mini,6 W,NA,NA,Caja,NA,NA,512 g,3.7V,portatil,NA,NA
20, Parlantes Bluetooth Vertrag Con Parlante Portatil De Regalo ,10998,NA,21,229,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,29,https://perfil.mercadolibre.com.ar/THONETANDVANDER?brandId=370,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=%2BjnSLjFoI1SM1eDu0UlKt99Maw6Or60P%2F6L7ez3ICA5ayS04EnY3R8vMjxZuG3Ra9uPNyVaB2pyYnX1Wcgmaq0PUWvkBg1ZsfqrvsraI53cqZzOJBrqHU5gqng4znoAq%2BRtgUfcv16YFEgTQHCoCYBMHMVId8xhO%2BsUwMU04VaXaPE445NqzNHQBkOtGwdKgk2jSPlb%2B5SP8eX8OK91%2FFYx0r%2B%2F%2FKv5635YwsDy9rgGO%2BMGOyrHd3Qaua1wWc2y4eykAM8L2cn1IJ1uIm%2Bp6h6oipoqJ0j829SnexNYw3tIkScFSHCX4mW4ouvAJ2NcO26kVlfSlqTGeqZvqJ0ep9s3%2FM5TNlv%2BcL4mfRmTVrN9kNdOKxuO%2FBUM8QtMZsib%2BwuhkV1eG%2Bs21Xr986AgW97lydf6786sGqcqXdUvvnpE3f7lZN1jJH5P9OLMVRHt1etaBPI52Qi6u1G7Ama6lQsLHS%2BCfj5s37IpinFfC6e07ngttuI1Rk8BAOcj7IIsfI45mGDaJuDXKwFb05NvoYYSHpdP99eSK5QOwDW0fJIoNkMqSRDOTylwKxhb%2FkIefFFqUBiN0mZlGI%2FRn6%2BrPgGi0fPt6NTsyoF4o0i77i3mDDBg62EM1iI1g1Jalq%2FYAqDudXs6SB034k6%2BDyWxYYcdMOCe7WkQ3KXbKZmcoq%2BDKhXWD1Oqy55OdzCqeEhoJTwWRlMYla%2BfaGkc2LEzWh6H5BmX%2FVXHEdB%2Bm02SHggJzCAvHiX7mfrIFV5eSsZ%2FDkR27q1el7YgHxY6czqAlM%2BOe1BTmy9G3k7f%2FeVTiATr2EWmA0UGOwV3Jbxp5U5%2BIZqOFs8zsSrUE6PAnj0KTB%2B132Tl5AP3D1LI6uK6WIaSCpDSOUP1CspFjhmJ14ePmec6bAWqZRSk8k4jLJDxY4MpRLq5TXs5kEW1Y%2FaD%2BGsxRhQR%2BNADJoGrOucezt%2FU6mKmWjw602Jc88unYC5QHIynO8fNFM2ulTBNbi9VQ3aJR7uiGcDSk8G8haDDBkHsylrV3nQ68sLyq5NkV3fPrxl9oyDfj9qEWN3KnZVyFJsgJdCIrJk9ctnZ5XKC%2BO0GTGBSM4My8tqJb3ilemQAHhTpXc2Wvq5GMdYi93v18Qt3hnzblN6QEcumbRaR%2FK2NFpDuV3PYSJiGjueZnKEFwCDQkl6EMfNU%2B7Qeywh%2FtoHypd%2Bv3X1g1HyszQEF8OytxmYRuSJH%2FQ8IVBsrVv0D%2FJ7l55OeubjF6ASRwi3YxMX9rdD%2FHKEiKlXlt2pfLjVuFMnuSByQxsjIbnxuoBhdTjTxHD%2FGHuLD5ToDwQ99hxxzGItobl0qZ9QVsUDCtbrqQrrEz%2FAL%2BMKADXb9oYIFhQaSFOesSOTLOYYFdeAo%2BMsWrzxZrd%2BUSZhrUMPZEwkHlmZU3Db5lJlrrMZdTvdAEpJ0zoCFuyvDRiFH4YaMRmBMZcH6ph5zL%2FZwSzPcImahABbGbgWvvDuu5kJgAvRwS%2Fs%2FMl4yrWjoJu1sg1xbcEJofgkqSMjGuruZLIxIOVD2OJmaegAzo2HhxCT3%2BLuaSsI%2FIVCF9hhDGOtlecEIwX3%2Bqw6wgqIYEel5q963ucIilS9OoYC5LbTb%2FsnF65Ltku2laRlOlYfjavsumRomtjZmkJsoJ6e9y%2BjDtFCjzhI3mehzVLGLfsoRDg9sPheiU55F6YQQpSsXn8kBqy%2B9zCuWo%2FRD2x3JclYqUq%2FRUaLMsGSv9WJzeASUy7eREYgarRkwWSFas05b3mknY1HwIdZYz%2FwsfBx5SssRd4eVDBvSQx0Ktd%2FBSFvl1rU1lIpzpHy5Jk2v2KtycsKuaFPJYm6bJ0f6HUKrzk%2BpLoDRpU9kvAPxCLDUu6ns%3D,19,9,1,0,0,#719897750,Thonet & Vander,Classic 2.0,Vertrag BT,40 W,Par de Parlantes,Living,Caja,2.0,"RCA, bluetooth, 3.5"" stereo",7.5 kg,100VAC ? 240VAC,Woofer,NA,NA
