search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Peso,Tipos de filtros del parlante,Conectores de entrada,Altura
1," Parlante Karaoke Bluetooth Fiddler Altavoz 6,5'' Panel Led ",19.990,29.990,"
			
			
				
				262
				vendidos
			
		",(9 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.332
			
		
		 sin interés
		
	

	
		","
				$ 3.332
			",NA,Envío gratis a todo el país,NA,NA,4.4,12,https://perfil.mercadolibre.cl/MACROTEL+TO?brandId=335,https://articulo.mercadolibre.cl/MLC-462984847-parlante-karaoke-bluetooth-fiddler-altavoz-65-panel-led-_JM,8,3,0,0,1,#462984847,Fiddler,FD-PKBT61,10 W,2.8 kg,NA,NA,NA
2, Parlante Bluetooth Bose Soundtouch 20 ,279.990,339.990,"
			
			
				
				18
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 46.665
			
		
		 sin interés
		
	

	
		","
				$ 46.665
			",NA,Envío gratis a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-472179479-parlante-bluetooth-bose-soundtouch-20-_JM,NA,NA,NA,NA,NA,#472179479,Bose,Parlante Bluetooth Bose Soundtouch 20,NA,NA,NA,NA,NA
3, Jbl Go2 Parlante Portátil Bluetooth Inalámbrico Negro ,22.490,29.990,"
			
				Nuevo
			
			
				
					 - 
				
				318
				vendidos
			
		",(52 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.748
			
		
		 sin interés
		
	

	
		","
				$ 3.748
			",NA,Envío gratis a todo el país,NA,NA,4.8,46,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-470706708-jbl-go2-parlante-portatil-bluetooth-inalambrico-negro-_JM,39,6,0,1,0,#470706708,JBL,GO 2,3 W,184 g,Activo,NA,NA
4, Amazon Echo Dot 3 Generación Alexa Español Latino Original ,33.990,69.990,"
			
				Nuevo
			
			
				
					 - 
				
				134
				vendidos
			
		",(21 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 5.665
			
		
		 sin interés
		
	

	
		","
				$ 5.665
			",NA,Envío gratis a todo el país,NA,NA,5.0,3,https://perfil.mercadolibre.cl/LOI+CHILE,https://articulo.mercadolibre.cl/MLC-482258081-amazon-echo-dot-3-generacion-alexa-espanol-latino-original-_JM,3,0,0,0,0,#482258081,Amazon,NA,NA,NA,NA,NA,NA
5, Jbl Go 2 Bluetooth Portátil Resistente Al Agua Loi Chile ,21.890,29.990,"
			
				Nuevo
			
			
				
					 - 
				
				230
				vendidos
			
		",(35 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.648
			
		
		 sin interés
		
	

	
		","
				$ 3.648
			",NA,Envío gratis a todo el país,NA,NA,4.8,46,https://perfil.mercadolibre.cl/LOI+CHILE,https://articulo.mercadolibre.cl/MLC-466753692-jbl-go-2-bluetooth-portatil-resistente-al-agua-loi-chile-_JM,39,6,0,1,0,#466753692,JBL,GO 2,3 W,NA,Activo,NA,NA
6, Parlante Karaoke Bluetooth Fiddler Doble Altavoz + Micrófono ,29.990,49.990,"
			
			
				
				326
				vendidos
			
		",(5 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.998
			
		
		 sin interés
		
	

	
		","
				$ 4.998
			",NA,Envío gratis a todo el país,NA,NA,3.3,27,https://perfil.mercadolibre.cl/MACROTEL+TO?brandId=335,https://articulo.mercadolibre.cl/MLC-461986096-parlante-karaoke-bluetooth-fiddler-doble-altavoz-microfono-_JM,9,6,4,1,7,#461986096,Fiddler,FD-PKBTD6,10 W,NA,NA,Auxiliar,NA
7, Barra De Sonido Soundbar Bluetooth Sensewave Master G ,12.990,16.990,"
			
				Nuevo
			
			
				
					 - 
				
				154
				vendidos
			
		",(38 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 2.165
			
		
		 sin interés
		
	

	
		","
				$ 2.165
			",NA,Envío a todo el país,NA,NA,3.4,9,https://perfil.mercadolibre.cl/PROGLOBALCHILE,https://articulo.mercadolibre.cl/MLC-456354330-barra-de-sonido-soundbar-bluetooth-sensewave-master-g-_JM,4,1,1,1,2,#456354330,Master-G,Soundbar MGSB110,NA,NA,NA,NA,NA
8, Parlante Bluetooth Harman Kardon Onyx Studio 4 Onlineclub ,99.990,129.990,"
			
				Nuevo
			
			
				
					 - 
				
				351
				vendidos
			
		",(8 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 16.665
			
		
		 sin interés
		
	

	
		","
				$ 16.665
			",NA,Envío gratis a todo el país,NA,NA,4.9,47,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-448975270-parlante-bluetooth-harman-kardon-onyx-studio-4-onlineclub-_JM,44,1,1,0,0,#448975270,Harman Kardon,Onyx Studio 4,60 W,NA,Activo,NA,NA
9, Parlante Jbl Charge 4 Bluetooth Portatil Cargador Waterproof ,119.990,159.990,"
			
				Nuevo
			
			
				
					 - 
				
				42
				vendidos
			
		",(391 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 9.999
			
		
		 sin interés
		
	

	
		","
				$ 9.999
			",NA,Envío gratis a todo el país,NA,NA,5.0,2,https://perfil.mercadolibre.cl/MR.CLICK+CHILE,https://articulo.mercadolibre.cl/MLC-481530674-parlante-jbl-charge-4-bluetooth-portatil-cargador-waterproof-_JM,NA,NA,NA,NA,NA,#481530674,JBL,Charge 4,30 W,0.96 kg,Activo,NA,NA
10, Mini Parlante Bluetooth Usb Sd Con Luces Led ,2.590,3.990,"
			
				Nuevo
			
			
				
					 - 
				
				92
				vendidos
			
		",(8 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 216
			
		
		 sin interés
		
	

	
		","
				$ 216
			",NA,Envío a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/OFERTABKNCL,https://articulo.mercadolibre.cl/MLC-486318322-mini-parlante-bluetooth-usb-sd-con-luces-led-_JM,NA,NA,NA,NA,NA,#486318322,NA,NA,NA,NA,NA,NA,NA
