search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Potencia de salida (RMS),Marca,Modelo,Tipos de filtros del parlante,Peso,Conectores de entrada
1, Parlante Bluetooth A Prueba De Agua 3w Rms Ideal Ducha Loi ,167,249,108,990,18 cuotas,9.28,NA,Envío a todo el país,NA,NA,4.3,8,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-463417487-parlante-bluetooth-a-prueba-de-agua-3w-rms-ideal-ducha-loi-_JM,3,4,1,0,0,#463417487,3 W,NA,NA,NA,NA,NA
2, Parlantes 2.1 Tower 5 Energy Sistem Bluetooth Aux Usb Sd Amv ,139,155,194,10,18 cuotas,275.84,NA,Envío a todo el país,NA,NA,4.8,19,http://perfil.mercadolibre.com.uy/AMVSTORE,https://articulo.mercadolibre.com.uy/MLU-452289064-parlantes-21-tower-5-energy-sistem-bluetooth-aux-usb-sd-amv-_JM,15,4,0,0,0,#452289064,NA,Energy Sistem,NA,NA,NA,NA
3, Parlante Bluetooth Jbl Go 2 Portátil Potencia Calidad Febo ,1228,NA,1568,98431,18 cuotas,68.22,NA,Envío a todo el país,NA,NA,4.8,219,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-446600412-parlante-bluetooth-jbl-go-2-portatil-potencia-calidad-febo-_JM,186,29,2,2,0,#446600412,3 W,JBL,GO 2,Activo,184 g,NA
4, Parlante Portátil Bluetooth 3w Luces Led Usb Microsd Aux Loi ,187,197,46,998,18 cuotas,10.39,NA,Envío a todo el país,NA,NA,5,2,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462659823-parlante-portatil-bluetooth-3w-luces-led-usb-microsd-aux-loi-_JM,2,0,0,0,0,#462659823,3 W,NA,NA,NA,NA,NA
5, Parlante Jbl Flip 4 Bluetooth Portátil Gtia 1 Año Solo Febo ,4275,NA,978,99021,18 cuotas,237.50,NA,Envío a todo el país,NA,NA,4.8,211,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-446600381-parlante-jbl-flip-4-bluetooth-portatil-gtia-1-ano-solo-febo-_JM,178,27,4,1,1,#446600381,16 W,JBL,Flip 4,Activo,515 g,NA
6, Parlante Portátil Bluetooth Park Led Karaoke Batería Mic Loi ,37,42,68,2975,18 cuotas,73.42,NA,Envío a todo el país,NA,NA,4.6,7,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-456920787-parlante-portatil-bluetooth-park-led-karaoke-bateria-mic-loi-_JM,4,3,0,0,0,#456920787,NA,Kolke,NA,NA,NA,NA
7, Parlante Mini Bluetooth Portatil Craquelado Ahorro Y Compras ,190,NA,53,148,18 cuotas,10.56,NA,Entrega a acordar con el vendedor,NA,NA,4,1,http://perfil.mercadolibre.com.uy/JESDEN+SA,https://articulo.mercadolibre.com.uy/MLU-451362894-parlante-mini-bluetooth-portatil-craquelado-ahorro-y-compras-_JM,0,1,0,0,0,#451362894,NA,NA,NA,NA,NA,USB
8, Parlante Jbl Flip 4 Bluetooth Potente Colores Oferta Loi ,3790,4999,176,895,18 cuotas,210.56,NA,Envío a todo el país,NA,NA,4.8,211,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-458480865-parlante-jbl-flip-4-bluetooth-potente-colores-oferta-loi-_JM,178,27,4,1,1,#458480865,16 W,JBL,Flip 4,Activo,NA,NA
9, Parlante Bluetooth Portátil Jbl Charge 4 Potencia Calidad ,6550,NA,97,99902,18 cuotas,363.89,NA,Envío a todo el país,NA,NA,4.8,45,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-452532629-parlante-bluetooth-portatil-jbl-charge-4-potencia-calidad-_JM,36,7,0,0,1,#452532629,30 W,JBL,Charge 4,Activo,NA,NA
10, Parlante Bluetooth Jbl Boombox Potencia Calidad Febo ,24950,NA,14,99985,18 cuotas,1.386.11,NA,Envío a todo el país,NA,NA,4.3,3,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-450750864-parlante-bluetooth-jbl-boombox-potencia-calidad-febo-_JM,2,0,1,0,0,#450750864,NA,JBL,Boombox,NA,NA,NA
11, Parlante Portable T&g Bluetooth 10w Rms Oferta Loi ,697,NA,41,999,18 cuotas,38.72,NA,Envío a todo el país,NA,NA,4,4,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462663421-parlante-portable-tg-bluetooth-10w-rms-oferta-loi-_JM,1,2,1,0,0,#462663421,10 W,NA,NA,NA,NA,NA
12, Parlante Jbl Charge 4 Bluetooth A Prueba De Agua Oferta Loi ,187,249,19,3987,18 cuotas,371.09,NA,Envío a todo el país,NA,NA,4.8,45,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-463032205-parlante-jbl-charge-4-bluetooth-a-prueba-de-agua-oferta-loi-_JM,36,7,0,0,1,#463032205,30 W,JBL,Charge 4,Activo,NA,NA
13, Parlante Portátil Bluetooth Con Radio Fm ,650,NA,112,117,18 cuotas,36.11,NA,Envío a todo el país,NA,NA,4.3,9,http://perfil.mercadolibre.com.uy/MERCADOFULL82,https://articulo.mercadolibre.com.uy/MLU-455532602-parlante-portatil-bluetooth-con-radio-fm-_JM,5,3,0,1,0,#455532602,NA,NA,NA,NA,1 kg,NA
14, Parlante Barra De Sonido Bluetooth Tv Potente Calidad Smart® ,1379,NA,29,1771,18 cuotas,76.61,NA,Envío a todo el país,NA,NA,4.8,4,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=7nG3OxHosfWe6KOaOZoMHLseuD1xxIBKwg72JmZgCw3ll8qeIyN1gxKZqmw0Oe3GZS%2B9862fb45C2DAqJRJHq7SioQTdurFoEajhhq%2BtIHclE6Ywy0r41N2HJKZInf399NojGG2JGLxpsLV9zjYhfoPy0daeSvDotcIakFdUx9zeWcHhQAGrwFYHEw1M%2FP1Qbd6yEilMXRbFfDUjq5YaDSK2P9amKS5p4ENcb24lU0%2B41X7mAKVzvoJqQKtcJ8FzwlNhtsVBvpzi42qFRXg%2Fvvu3jN3UfuEbHpwa%2BSLxZn7eGrGNUxo8TimtcWDrcxJLKPGpuY8j389JSCLG7%2Fn24mn1%2FVQI9eaFJ7BUTDDNKsuLDIMk7WNJawiEiDoA5CPcwYluwbyjdqrvSyeqWJ14dosdSApIib4n%2F2lon38DH3bc5j1MtUoZSw5um3yVe%2FnYm7yspQl98PbEsVA%2BYko4HGVYa4qrzJLqrXCYT86vb1jWxoO2c61jRIB4JoaW11As9czC0OqCKSQvow0vNZetZ0MMF4%2FObGL8fmPXMIJuPaux0Y9h95og0ldCPQ0043KcipTIEG9i%2FsjmxnuLZ7qB6bsnnVD75tmNigAUGhQGzwJ3GISoY649TLRduzNkNU9a0mQRGQVLz%2FWNbamil2%2Bf%2F402WYTl7c7aestnNoYGehSfjuBDkso7NkygreJM5FA4I8%2BQEq97n6R0kHp4UNbjfhEm8rupxromdgXIeJ2Posh1W8SfF%2Bf7eny4wjT%2BTcmCRCg43rwHPPzDji6YYrEu3N%2BYzAjUiOeFyVOau67AmMM0OvWE6vnRV3oi0IUyhok6sSvvgoXnICU3LztcRNnyZkLgfJZF7pGYkcx56cAVscOtCL79iaZSzp4gwBGPvDWtYBbdfdoPICGuvj6OFQffDzOgHOJq1hrHErhEbFM72xWxlCOqb%2Bd4aMmXnTJj6jHg1eEymnjfeS0w4if7t1%2FYPXhV%2FvRKRlM1%2B1wOl1dUgW4PoE622dc%2FyfEOrD%2B2keTjidqDhmKMezazF94A8AoSc7TuIGr6VIYZHClmpYpTV6QQxFkIDoiGUrc8b5%2Fvx51eW95nemTjyRUu0OVEbBp%2Fx5FKZXjIJQt7sgbvXLzWn6ExdLr11pXZaAT9TiHux%2FHev1h0EKaU0UH%2B%2FjV0Hccm6krYD4G08pqXZzZICDCtmRunOdcx7OXwDQ1m9sWidOWyyHYtvmG5jnfk5Q5DF1Rh19Xp9ZlAp1OAgd7bELsU%2Bc9f4EmkfUJWtSKlcuybLIzbvfIImX68ksW%2FPL%2F4kafdcGpGYY%2B5hlIGZj6Sy360vrLhhDYnWeFTzBoqIW%2FwdWNP5iRo1e7ig8PIfhRSI%2B27TAZh96r880ifDrknEpVPYw2%2FslmZtmLHEKaCRB5jWtUsJl2ZJLVtouaE%2BrgpJZJDM0GhyBM7tusET0ZgdwrZ2cUHYw8TZqw5EdL%2F4k9BMWl6%2B6t5ScvcnSG2cteHkI0s80fMr2a91qRwuRsouvSrPctETEXWy5DRD5VvNBq77r5kNdwHQ0qa3RTy5CefFFfgoeD%2FqGuN7miYXzpxsBWOZ9olwtxvasM8hbbfBm0Qx7yxAQSt6nXAwdeldv4NoAeEftYLei394de%2B77qvp7Uj8yIbk6Ywc4QVoWQNFeF1BkNge40exe8eoJ0%3D,3,1,0,0,0,#455224414,NA,NA,NA,NA,NA,NA
15, Parlante Kolke Fiesta Plus 15 250w Rms Portátil Bat Mic Loi ,89,129,13,9986,18 cuotas,176.62,NA,Envío a todo el país,NA,NA,4,1,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-464025871-parlante-kolke-fiesta-plus-15-250w-rms-portatil-bat-mic-loi-_JM,0,1,0,0,0,#464025871,NA,Kolke,NA,NA,NA,NA
16, Parlante Kolke Kpb-160 C/microfono Inalambrico Circuit ,3204,NA,94,34,18 cuotas,178.00,NA,Envío a todo el país,NA,NA,4.7,17,http://perfil.mercadolibre.com.uy/CIRCUIT+OFERTAS,https://articulo.mercadolibre.com.uy/MLU-449889793-parlante-kolke-kpb-160-cmicrofono-inalambrico-circuit-_JM,13,3,1,0,0,#449889793,NA,Kolke,NA,NA,NA,NA
17, Parlante Bluetooth Jvc Portable 16w Rms Radio Fm En Loi ,57,71,18,2979,18 cuotas,113.11,NA,Envío a todo el país,NA,NA,4,1,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-463512740-parlante-bluetooth-jvc-portable-16w-rms-radio-fm-en-loi-_JM,0,1,0,0,0,#463512740,16 W,NA,NA,NA,NA,NA
