search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Formato,Marca,Modelo,Color
11, Auriculares Jbl Manos Libres T450 Bluetooth Inalambricos ® ,2690,NA,45,455,18 cuotas,149.44,NA,Envío a todo el país,NA,NA,5,5,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-457117328-auriculares-jbl-manos-libres-t450-bluetooth-inalambricos--_JM,5,0,0,0,0,#457117328,Con Vincha,JBL,T450,Blanco azulado
12, Auriculares Bluetooth Tipo AirPods Inalámbricos I10 Max 2019 ,770,NA,110,44,18 cuotas,42.78,NA,Entrega a acordar con el vendedor,NA,NA,4,51,http://perfil.mercadolibre.com.uy/CLICSHOPURUGUAY,https://articulo.mercadolibre.com.uy/MLU-453361850-auriculares-bluetooth-tipo-airpods-inalambricos-i10-max-2019-_JM,21,17,9,1,3,#453361850,In-ear,Apple,AirPods,NA
13, Auriculares Bluetooth Stereo Manos Libres Wireless Magnetico ,380,NA,191,4999,18 cuotas,21.11,NA,Envío a todo el país,NA,NA,4.1,28,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-450505995-auriculares-bluetooth-stereo-manos-libres-wireless-magnetico-_JM,14,7,4,2,1,#450505995,NA,NA,NA,NA
14, Celular iPhone 8 64gb Refurbished + Auriculares Bluetooth ,695,NA,44,2999,18 cuotas,1.424.75,NA,Envío a todo el país,NA,NA,5,2,http://perfil.mercadolibre.com.uy/ELECTROVENTAS+ONLINE,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=IzWQWJYKeUb6cOXQX6TymfHpQtU4VcW4RL91U4lsFQcMmwAd9xkGWQKk4uZoxplQtbU0NvlR5jDlv9SbJExBf2arR7VbM8Faf82ZF%2F8uVm8uoZsa32GaijXSmbc9hPU98iSlaTP2wcYKuhdL4YglIibzZw7k%2F54GodFJ%2BEImdxSEA0QJw10srSp7w%2FR6JtsK7H8%2Br%2FNKez%2FR8dYxj2c%2Bnlf325hIYgwsOzAQp1EvwiQYHoB6wx%2Fvjc1tGlX3iQKX7ck5UrjvEGMoIeOo%2BCr1jqouWWhGHsAFsgMccBt6dOZoQjkN3CEoJuMLTjodv7VHq7Wuyk6graRrM2bTTYocCgBeY8q%2Fjxi%2BxtOnUDYLJr7CvU3KNmE8u9nP54XT56LtzjX2tMlD%2BvVYUK1fbD8aCLCP5v8JA37zRgCs5sh6l%2BM8UJnyiZMw6Yr70MnYHRCBgEkO8YPaQpFk5cPPZtbbHdpCaTgRzPY4Z%2Fsyv3avLky9O9NFdViQFGlQfhFC0%2F%2FTL8HOcFMiw5npGhPvzVL%2BuGgL5qAkHqqE0unM5rlGE9jfBoYKeqLMPYXlcCnM4InAjoxpu7tuw1PE5BU0%2Bvlk4x53OylTpePmKr6sBAR3L13%2FFw4wl%2FZ4XSogce%2BCzYW9fVB%2BGoxg%2FtGZtl1t72zPOiX5Kjjdv79BgTR0X8ieSdH7pR0U5zieTXeD6LiPLUMO9LPbRCf%2Fk690s5Jl48SpZwYTMOr6okvPYflhQK1LQrwIa50gRJX48yTPbeL6miss1wK0mtC25sqnROb2BWaNjT%2Bx4KMHay2hSykClf5RcOUJEs8YYyLXIyZpZ%2FVretmPh23Ke0bw2tRiXeDDA3VQ7u5hRpILLr9CkHDjCX9k5WTKMCGH%2FiSzk2jByjc9AV2WIJSiJS3Zv05a2kLqGB7supruaaJ1T242O9Au4%2FUqJ2ve1xYO9SL3NlsLyAz2Ge%2Fxk31gk%2B2yvv%2F4d4tCqxqi4flyks1PRKLv5bIK%2FfZ%2B7Npkn5CcC1yo7xtdLUVpiOYIFTU6gV1NxjjSA7IYqUp0ndfUQ7bGiSyiIeCksi2CDl6ZyKcKba%2F5VEXF4peFW9JGE7xeKrMcY8axBBIp1rob4dpSVPrXRQ8GV8qPRsOYusUhqXlm0%2BjJlkVTRvwKYjqWbi1vjcRuhhYPZymfLeEAdcFNZ4moRZXL9uR67cOd4PhXVUELlE2Kb98xWGqg4f%2BNJB7QwybFco0TES0iHaSpHthiNaLr62PpANIR2jDatAmgOIM%2FFWHOzp5wgKQR7lag79ueZZVDdV7blHkT1A%2BqenqEvTMvjBxY8JHE%2F6gERpqFXsDyY%2F9khP4CJOekWs6Z3c8END41GtK2r4TtcwtPPmLPm1NORusIe6coGqGAsUxrj9jtY%2B7Rzi3hRAk7nHG1%2BOD2bvAvD7MZB%2Btda1%2BRvRCqToJiNjbXCs24GpYk%2BDRIIJiLpx4AtlptMDT0gGWzicT3jwF7hPkf2NbqMwDVzeZitgQNhSUhYppBnkZ8fui%2FxAvIrv8qcU4AE6uFvuktHhm6Qn2RGmdVSxtKLLzgVZtFH%2FbKm0ec2vu2q24AyZSIPTnB8zf%2Bu7%2BYhzJ7%2Fi9%2FjMWo5AJdB0OMpdGt2cLLrLPxLis5s6z0UR%2FX%2FImQWcpH2Bmu0%2FmTUDAAbo%2FK9UB7rM8cReZMdMvM,2,0,0,0,0,#451580894,NA,Apple,iPhone 8,NA
15, Auriculares Bluetooth Manos Libres Envio Gratis. ,390,NA,68,112,18 cuotas,21.67,NA,Envío gratis a todo el país,NA,NA,4.6,5,http://perfil.mercadolibre.com.uy/VENTASUY+IMPORTACIONES,https://articulo.mercadolibre.com.uy/MLU-457117278-auriculares-bluetooth-manos-libres-envio-gratis-_JM,3,2,0,0,0,#457117278,NA,Supreme,BT 10,NA
16, Auriculares Jbl Endurance Sprint Bluetooth Celular iPhone ,2400,NA,35,99964,18 cuotas,133.33,NA,Envío a todo el país,NA,NA,4.8,4,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-459244517-auriculares-jbl-endurance-sprint-bluetooth-celular-iphone-_JM,3,1,0,0,0,#459244517,Sin Vincha,JBL,SPRINT,NA
17, Auricular Bluetooth Manos Libres ,160,NA,46,54,18 cuotas,8.89,NA,Envío a todo el país,NA,NA,4.5,2,http://perfil.mercadolibre.com.uy/DISCBOX,https://articulo.mercadolibre.com.uy/MLU-462802945-auricular-bluetooth-manos-libres-_JM,1,1,0,0,0,#462802945,NA,NA,NA,NA
18, Auriculares Bluetooth Simil AirPods iPhone + Caja I9s-tws ® ,1190,NA,24,5000,18 cuotas,66.11,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=gD3hirfxvDbXsGZ7tGSmXL6WBnzIZYnHmG8J3M3vJuROxzy5sm2WoLiokJJsw1ZOX0cDSUDAxODQR%2FaLK9001c3lrhkclhxYpPasEKOX1l7G%2BPHhDQihWSMsl8d9ZWjX9O%2BhFn1eWv6kJPD%2FHegRfCW%2BedjJuw%2BF4QFcfHcOXtsffTQUb%2BE1RvWFbCY%2FLxhuUnnU%2FWyd1y0zGlQFh4Z2Cj1p0zDSrDoZ9XKk4dy3bWZkmRUAuCPofGiThJc7J46JjGOeyxjgmHlxeAu4A6%2B0TrXqDzZVrpBa2tJKMZj2q503uS5Q7Yv2OmrBrQoFBrlpandIy47LCzHO9hix1Vl717JFUAsvGuzZ5n4iLRFwK8n5cvBoxm8j2k17jG8ng5p7cVRKWuA2VnzsFYwW2l%2FgcvqxmMbCiOWvUDFkweYP6FwD6G%2F1KsYjkqT9UTDRxKsHWqwNFXSQ9ENm3I0%2B96bXMDeX5O03f2I%2FU9Nf%2F0gnIE1nJHCoZttwUWZlVgiFfj1Hr6Yt0UbEFIpl6Q5dgY6XbfwU8h6TxnZ49sFnF6xyWgxigaL9vJ9IG%2Fl5ESneJ62vl131RVKC%2FswsxNijx9HG4ljsn%2FFHjBvBpG7zOd0O%2BN4oCuC0MuRdweIVl8KxaHD5ad99N%2BxSu3i%2Be%2F4CaDMcqjdt9WMHzs6I8xajgOvshZkaMPue33LeWa6j%2F0xw%2FG3xuHo97ufAStscoSBMfyWz8SDE2M6V%2FJojvBmANddR7CoyuAjwTW9JD%2BVrY7YtILhIZvibQ1koURBojC%2Bnp0Xef91bT94XEefQaUDXKcKWCXmUwFCSTVPCuj9lplxV0nGI3sdYd6ksU%2B5b8D81RmasfXRhLekUScw9owJCoG0Q0%2FQjbH6q9X9TZuO%2FzMd4IOKEJpsreJ%2B4rDrHFUubMXlZjqRPzDVSluVNQKbio53jYMwrhBAdJqwAnNPsL1tTEGCpecY7NZAxLV8px%2Bfw%2BLMOCaAgGgLvn%2B3jXa%2BrhE0XWrklYUGBO6OmiZ6%2BDrEXtcNm34GysC0PZx7f%2F41EY%2BzLVofJANUJzMqODQb8EVNmmpZgal%2FdZ6i7SpMD3zu9fd8h6H%2FHxiMTvBftk95JskBRY76CSnuMbTEyNj1KfOY3Y5ER2mQIhvEbAtLAuwBbwBL48bp2bEqEt2pdZQhe6ZschDOtg8CrzWz508MSqxhPFQmKETb4wTf1XmsMQVvh0rvxoCqNId8GTOP6UZiO6mNyC1i7btEZHotgHKILJLn58sWBYCLejWgRwYTmDUtIluDTgI5oIe%2FxUizXOPccg5JSdj7dYCeW4uUcNqvKMv4bZDw8tcGExHz%2BTMNxu%2FVI6KZ4Qtg0WQ6H7WKqqKVgD%2FWpX7BJGyM%2FZ6yBRAl0t3v9OVo8clA8atXXbl9qpotb3S5uDm8g%2FhoIQLlM1ATG4b7nhbSqiMPvvk4wwADbpY5uTHAolxZVCU30TxBYs%2FUpd9an%2BzgdjfNUqu2ae09EuT5vfUfOg3OUtVw9pLcC81CDqflNjHiFS8TVXQign%2BCfICnOO9zwoL77vRsgEJYECBo9U%2FdrLbAneXerE6D7YxsfNHnWaLunxqoF23H77vI3iKVgQ%2Bsb%2FjWU6xbksgHghf7JyoU1I%2F%2BnyTRLoVjXZTXbsiR%2B3plPk5KHew5FHm4D%2BGSLtmtl7Fhmrx6%2BXQ%3D%3D,1,0,0,0,0,#462391301,NA,NA,NA,NA
19, Auriculares Bluetooth Deportivos V3.0 Calidad Premium ®tc.uy ,347,NA,75,934,18 cuotas,19.28,NA,Envío a todo el país,NA,NA,5,2,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-452512494-auriculares-bluetooth-deportivos-v30-calidad-premium-tcuy-_JM,2,0,0,0,0,#452512494,Con Vincha,NA,NA,NA
20, Auriculares Inalambricos Bluetooth Tipo AirPods iPhone Febo ,710,NA,36,99963,18 cuotas,39.44,NA,Envío a todo el país,NA,NA,4,51,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-456789089-auriculares-inalambricos-bluetooth-tipo-airpods-iphone-febo-_JM,21,17,9,1,3,#456789089,NA,Apple,AirPods,NA
21, Auriculares Inalámbricos Stereo Bluetooth Manos Libres Rojo ,299,NA,95,20,18 cuotas,16.61,NA,Envío a todo el país,NA,NA,3.8,11,http://perfil.mercadolibre.com.uy/MLCENTERUY?brandId=511,https://articulo.mercadolibre.com.uy/MLU-445603224-auriculares-inalambricos-stereo-bluetooth-manos-libres-rojo-_JM,5,2,1,3,0,#445603224,NA,NA,NA,NA
22, Auricular Inalambrico Sony Mdr-xb950bt Rosado Bluetooth ,900,NA,35,65,18 cuotas,50.00,NA,Entrega a acordar con el vendedor,NA,NA,3.6,14,http://perfil.mercadolibre.com.uy/YOVENTAS.COM,https://articulo.mercadolibre.com.uy/MLU-457762556-auricular-inalambrico-sony-mdr-xb950bt-rosado-bluetooth-_JM,4,6,1,1,2,#457762556,Con Vincha,Sony,MDR-XB950BT,NA
23, Auriculares Bluetooth Inalambricos Tws Touch Two iPhone Clic ,57,NA,50,8,18 cuotas,116.85,NA,Entrega a acordar con el vendedor,NA,NA,5,3,http://perfil.mercadolibre.com.uy/CLICSHOPURUGUAY,https://articulo.mercadolibre.com.uy/MLU-458899528-auriculares-bluetooth-inalambricos-tws-touch-two-iphone-clic-_JM,3,0,0,0,0,#458899528,NA,NA,NA,NA
24, Auriculares Bluetooth Deportivos Manos Libres Con Cuello Loi ,447,NA,35,993,18 cuotas,24.83,NA,Envío a todo el país,NA,NA,4.8,4,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462689492-auriculares-bluetooth-deportivos-manos-libres-con-cuello-loi-_JM,3,1,0,0,0,#462689492,Sin Vincha,NA,NA,NA
25, Auriculares Inalámbricos AirPods Apple En Stock Garantía ,319,NA,5,7,18 cuotas,653.95,NA,Envío gratis a todo el país,NA,NA,4,51,http://perfil.mercadolibre.com.uy/RAMAN2013,https://articulo.mercadolibre.com.uy/MLU-461567729-auriculares-inalambricos-airpods-apple-en-stock-garantia-_JM,21,17,9,1,3,#461567729,NA,Apple,AirPods,NA
26, Auriculares Bluetooth Simil AirPods iPhone + Caja De Carga ® ,587,NA,22,28,18 cuotas,32.61,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-456547613-auriculares-bluetooth-simil-airpods-iphone-caja-de-carga--_JM,NA,NA,NA,NA,NA,#456547613,NA,NA,NA,NA
27, Huawei P30 Lite 6' 128gb 4gb + Funda + Auriculares Bt - P M ,384,NA,114,45,18 cuotas,787.20,NA,Envío a todo el país,NA,NA,4.7,54,http://perfil.mercadolibre.com.uy/PRECIOSMIAMI,https://articulo.mercadolibre.com.uy/MLU-461685314-huawei-p30-lite-6-128gb-4gb-funda-auriculares-bt-p-m-_JM,40,14,0,0,0,#461685314,NA,Huawei,P30 lite Dual SIM,NA
28, Nano Auricular Manos Libres Bluetooth Ultra Pequeño Comodo ® ,190,NA,132,5000,18 cuotas,10.56,NA,Envío a todo el país,NA,NA,3.8,9,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-446287032-nano-auricular-manos-libres-bluetooth-ultra-pequeno-comodo--_JM,4,1,2,2,0,#446287032,NA,Samsung,NA,NA
29, Auricular Bluetooth Jbl T450 Circuit ,2438,NA,26,19,18 cuotas,135.44,NA,Envío a todo el país,NA,NA,4.8,80,http://perfil.mercadolibre.com.uy/CIRCUIT+OFERTAS,https://articulo.mercadolibre.com.uy/MLU-449856852-auricular-bluetooth-jbl-t450-circuit-_JM,67,12,0,1,0,#449856852,Con Vincha,JBL,T450,NA
30, Auricular Manos Libres Xiaomi Bluetooth C/con Boton Amv ,19,NA,18,10,18 cuotas,38.95,NA,Envío a todo el país,NA,NA,4.5,2,http://perfil.mercadolibre.com.uy/AMVSTORE,https://articulo.mercadolibre.com.uy/MLU-455697576-auricular-manos-libres-xiaomi-bluetooth-ccon-boton-amv-_JM,1,1,0,0,0,#455697576,NA,Xiaomi,NA,Negro
31, Auriculares Jbl Manos Libres T110 Bluetooth Celular Febo ,1698,NA,111,99888,18 cuotas,94.33,NA,Envío a todo el país,NA,NA,4.4,60,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-451102841-auriculares-jbl-manos-libres-t110-bluetooth-celular-febo-_JM,39,13,4,0,4,#451102841,Sin Vincha,JBL,T110,NA
32, Auricular Bluetooth Mini Sport Manos Libre Auto Running S530 ,499,NA,13,5,18 cuotas,27.72,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/VIKEI+SA,https://articulo.mercadolibre.com.uy/MLU-462252840-auricular-bluetooth-mini-sport-manos-libre-auto-running-s530-_JM,NA,NA,NA,NA,NA,#462252840,NA,NA,NA,NA
33, Auriculares Inalámbricos Apple - Sellados - Garantía!! ,310,NA,1,99,18 cuotas,635.50,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/NEPOLLUCH,https://articulo.mercadolibre.com.uy/MLU-449003443-auriculares-inalambricos-apple-sellados-garantia-_JM,NA,NA,NA,NA,NA,#449003443,NA,Apple,NA,NA
34, Auriculares Inalámbricos Aiwa Aw2 Pro Bluetooth Amv ,39,NA,14,10,18 cuotas,79.95,NA,Envío a todo el país,NA,NA,5,2,http://perfil.mercadolibre.com.uy/AMVSTORE,https://articulo.mercadolibre.com.uy/MLU-459601662-auriculares-inalambricos-aiwa-aw2-pro-bluetooth-amv-_JM,2,0,0,0,0,#459601662,Con Vincha,NA,NA,Blanco azulado
35, Auricular Inalambrico Sony Mdr-xb950bt Rosado Bluetooth ,900,NA,35,65,18 cuotas,50.00,NA,Entrega a acordar con el vendedor,NA,NA,3.6,14,http://perfil.mercadolibre.com.uy/YOVENTAS.COM,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=KwL1HgtwJBmIao9N13NtzW2qgFNKdU8yqEBMNZxar27wNhdbyOhToOnjk9mVhG3FqkzCRkl3b9CWnemE39E5mnOa9vC0wP1jhv5tfjdssFvifYQkGyov2JWh6QuHlkozUJ5qYCAznW27a%2BX9V7fvkwrYESF7pGOGxVl1f575YD%2BfocTPQindUYpv%2Fz%2FKcTUaY%2Bmjp0VYWY0Gs4LiWV7ko7QTl7L%2FcxW4IGRN1M9BmHMptNxZKi47Q0q4w8zH2MuiE5m%2FSy0gQthyPKrTUpuAeKtTz8RMr76fBtha9ntOh2WpTG3wTClLPYz0aIE%2BD2yjB2I3T3jldSlHh0TkqASS8o0i03KTuMfzFx1NM6y6tRwEW4rihD%2BXwdhbvPB2%2B%2BbTDA2DuhJAxkWjlUnC1kHHaJv4tnqu3W1UDF32%2FsyQwhv2EsDsjndl3uSIDFdAGNVxfBfOcK349A0NL%2BCR96IVX9OqnVrrj5fA9hfTcce3IEkUi5cL5Gd4JzHdglhRmQURukmKa5KMTJOOLPJS%2B4FTDm99D0uuGfFx%2B%2BksICYjqLqKnuKbnH3MZ92KYnmwGoza1F7MQQqIrfy7%2FjsHdPY2dSqNXx86rRMT5vhEIbu0aFEsN4PhL5C5%2BZDav3bnE6Yy0c1wB0hYf00OiZ%2FQ8Ry%2B8pQw0KoIXvpCehyn%2FrF0qIwMtN0C9NmbDtfF6ehjc5lFv9uKzpRNRF7g3njNYthOMQNDtwngEfRuBmBcHQ7sANZMdw8soEOgoWdv56w9Rd%2BAEKVefHQjXyVWtjWjmGg5GCYkcgtziYGyxktpd708b3GfoQfc%2Fh4MhzHr6%2Bo1P6apR8b%2Buy%2FlFxerY%2FWFq7aShgbi44yHacGDd1x2XxkxU3NtPIIjSYoV3nal%2BoFPGXI4bymBk3ufc6%2FhW%2BmHGkCAC1kDSBz57tKhegVAzKYibddOBbbT1sB0Zt2%2BlV9vz94sAzhdHWVwfuHyN8AqPpp8FCbIGU4PqZi7HxyKp2j8QIoZlT%2FAwNqRL1w1IZ2e3vlSUOxq0TCtDlCsMvCgDhiJC07LvW3OC6AvF%2FHmforQiJnb1YinFv7LNd4OnTmsfKtLkQbiVX%2FkqiL5c2nW84qP1xR7IWePy6vrv8xlEQD7LQlz9Ra6Oglse5bXydLiKQ168%2BQ%2FVqf1NtyCLimNv%2BhNGkntSLQHN3liejTViuFDuPKDdSkpbgeEieWQnViUFR3JeofhAiNgLzQ5qFmvjPda6zP6ROTZBATH531IttofaGn415z8WEp2N4WLaOH2cMxPJegJ4NDL9zj1ZMIlup6SynMaEiwUWCvgLraJhAbDu%2FY0IM9gO1nG3mqdg3DoezBa%2BvH3das4tzJG0C3taG4%2BLPeqysvS7PIuGwH1YqT9i53GELGBs6eE6tBDIeb9c90uWcxs8Bb4oP7lgcWFxAn5O9UvcqQtJFqAAxB%2Fdfn2xN%2BqUB2d3spScMjqfyXZ%2Fti%2F%2BCWKdw82x8DjG70DDlJfZhWyNbI48QnqS%2FL83qB0o9NdkfrzI%2BzTnFc9daDY6eroQgj1cKzQzposmpNdoEaBX6hcRZiKaXgCeMuUw9Uxhc36Kdbb%2Bjk7XQACUPWJFoBNqU22d3%2B%2BIC831V6O8aGUvHqhO4PI7ea8pvfN23y6mk%2BLyWPb7qAxCh6NQELXBY5PowspfEDpR8Vk,4,6,1,1,2,#457762556,Con Vincha,Sony,MDR-XB950BT,NA
36, Auriculares Bluetooth Simil AirPods iPhone Carga Inalambrica ,2390,NA,7,5000,18 cuotas,132.78,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-464015806-auriculares-bluetooth-simil-airpods-iphone-carga-inalambrica-_JM,NA,NA,NA,NA,NA,#464015806,NA,NA,NA,NA
37, Auriculares Acson As 440 Para Tv Cable 5 Mts Control De Vol ,279,NA,213,786,18 cuotas,15.50,NA,Entrega a acordar con el vendedor,NA,NA,5,3,http://perfil.mercadolibre.com.uy/LSTURUGUAY,https://articulo.mercadolibre.com.uy/MLU-444675531-auriculares-acson-as-440-para-tv-cable-5-mts-control-de-vol-_JM,3,0,0,0,0,#444675531,NA,NA,NA,NA
38, Audifono Bluetooth V4.2 Inalámbrico Hbq I7-tws ,450,NA,2,18,18 cuotas,25.00,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MUNDOSHOP.UY,https://articulo.mercadolibre.com.uy/MLU-465483447-audifono-bluetooth-v42-inalambrico-hbq-i7-tws-_JM,NA,NA,NA,NA,NA,#465483447,Inalambrico,Apple,NA,NA
39, Auriculares Jbl Bluetooth T110 Bt - Otec ,1699,NA,22,NA,18 cuotas,94.39,NA,Entrega a acordar con el vendedor,NA,NA,4.5,6,http://perfil.mercadolibre.com.uy/O+TEC,https://articulo.mercadolibre.com.uy/MLU-460366220-auriculares-jbl-bluetooth-t110-bt-otec-_JM,4,1,1,0,0,#460366220,Con Vincha,JBL,T110BT,NA
40, Auriculares Bluetooth Extras Graves G1w Havit Carga Inalam.® ,3150,NA,10,5000,18 cuotas,175.00,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-463809412-auriculares-bluetooth-extras-graves-g1w-havit-carga-inalam-_JM,1,0,0,0,0,#463809412,NA,NA,NA,NA
41, Auriculares Inalábricos Tipo AirPods Bluetooth I7 Tws 2019 ,547,NA,94,1106,18 cuotas,30.39,NA,Entrega a acordar con el vendedor,NA,NA,3.6,11,http://perfil.mercadolibre.com.uy/LSTURUGUAY,https://articulo.mercadolibre.com.uy/MLU-457593956-auriculares-inalabricos-tipo-airpods-bluetooth-i7-tws-2019-_JM,5,3,0,0,3,#457593956,Sin Vincha,NA,NA,NA
42, Auricular Vincha Sport Bluetooth Pc Celular Auriculares ,380,NA,28,1120,18 cuotas,21.11,NA,Entrega a acordar con el vendedor,NA,NA,4.8,4,http://perfil.mercadolibre.com.uy/LSTURUGUAY,https://articulo.mercadolibre.com.uy/MLU-455655455-auricular-vincha-sport-bluetooth-pc-celular-auriculares-_JM,3,1,0,0,0,#455655455,Con Vincha,NA,NA,NA
43, Base De Carga Para Auriculares Bluetooth Inalambricos I7s ,270,NA,5,10,18 cuotas,15.00,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/CLICSHOPURUGUAY,https://articulo.mercadolibre.com.uy/MLU-463183960-base-de-carga-para-auriculares-bluetooth-inalambricos-i7s-_JM,NA,NA,NA,NA,NA,#463183960,NA,Apple,NA,NA
