search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Modelo,Formato,Marca,Color
1, Auriculares Bluetooth P47 Inalámbricos Microsd Manos Libre. ,425,NA,277,524,18 cuotas,23.61,NA,Envío a todo el país,NA,NA,4.6,18,http://perfil.mercadolibre.com.uy/TMO+TUMEJOROPCION,https://articulo.mercadolibre.com.uy/MLU-456663027-auriculares-bluetooth-p47-inalambricos-microsd-manos-libre-_JM#position=1&type=item&tracking_id=2f99f8c7-d0ba-4e24-a767-42725e28bed9,13,3,2,0,0,#456663027,P47,Con Vincha,NA,NA
2, Auriculares Bluetooth Manos Libres Jbl E25bt iPhone Febo ,2388,NA,192,99807,18 cuotas,132.67,NA,Envío a todo el país,NA,NA,4.8,22,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-449243520-auriculares-bluetooth-manos-libres-jbl-e25bt-iphone-febo-_JM#position=2&type=item&tracking_id=2f99f8c7-d0ba-4e24-a767-42725e28bed9,17,5,0,0,0,#449243520,E25BT,Sin Vincha,JBL,NA
3, Auriculares Jbl Manos Libres T450 Bluetooth Inalambricos ® ,2690,NA,49,451,18 cuotas,149.44,NA,Envío a todo el país,NA,NA,5,8,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-457117328-auriculares-jbl-manos-libres-t450-bluetooth-inalambricos--_JM#position=3&type=item&tracking_id=2f99f8c7-d0ba-4e24-a767-42725e28bed9,7,0,0,0,0,#457117328,T450,Con Vincha,JBL,Blanco azulado
4, Auriculares Bluetooth Tipo AirPods Inalámbricos I10 Max 2019 ,770,NA,113,41,18 cuotas,42.78,NA,Entrega a acordar con el vendedor,NA,NA,4,51,http://perfil.mercadolibre.com.uy/CLICSHOPURUGUAY,https://articulo.mercadolibre.com.uy/MLU-453361850-auriculares-bluetooth-tipo-airpods-inalambricos-i10-max-2019-_JM#position=4&type=item&tracking_id=2f99f8c7-d0ba-4e24-a767-42725e28bed9,21,17,9,1,3,#453361850,AirPods,In-ear,Apple,NA
5, Auriculares Jbl Endurance Sprint Bluetooth Celular iPhone ,2400,NA,38,99961,18 cuotas,133.33,NA,Envío a todo el país,NA,NA,4.8,4,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-459244517-auriculares-jbl-endurance-sprint-bluetooth-celular-iphone-_JM#position=5&type=item&tracking_id=2f99f8c7-d0ba-4e24-a767-42725e28bed9,3,1,0,0,0,#459244517,SPRINT,Sin Vincha,JBL,NA
6, Auriculares Bluetooth I7 Tws Mini Caja Carga Inalámbrica Loi ,487,640,367,715,18 cuotas,27.06,NA,Envío a todo el país,NA,NA,3.4,24,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-456795897-auriculares-bluetooth-i7-tws-mini-caja-carga-inalambrica-loi-_JM#position=6&type=item&tracking_id=2f99f8c7-d0ba-4e24-a767-42725e28bed9,8,6,3,2,5,#456795897,NA,NA,NA,NA
7, Auriculares Bluetooth Caja De Carga Inalámbrica Oferta ,635,NA,220,2827,18 cuotas,35.28,NA,Envío a todo el país,NA,NA,3.5,15,http://perfil.mercadolibre.com.uy/ELECTROVENTAS+ONLINE,https://articulo.mercadolibre.com.uy/MLU-459144646-auriculares-bluetooth-caja-de-carga-inalambrica-oferta-_JM#position=7&type=item&tracking_id=2f99f8c7-d0ba-4e24-a767-42725e28bed9,5,4,3,0,3,#459144646,ZGB-052,Earbud,Apple,NA
8, Auricular Manos Libres Bluetooth Wireless Headset ,290,NA,126,16,18 cuotas,16.11,NA,Entrega a acordar con el vendedor,NA,NA,3.6,11,http://perfil.mercadolibre.com.uy/ILUMINAR%C3%81S,https://articulo.mercadolibre.com.uy/MLU-459217731-auricular-manos-libres-bluetooth-wireless-headset-_JM#position=8&type=item&tracking_id=2f99f8c7-d0ba-4e24-a767-42725e28bed9,5,2,1,1,2,#459217731,N/A,N/A,NA,NA
9, Auricular Bluetooth Manos Libres ,160,NA,51,49,18 cuotas,8.89,NA,Envío a todo el país,NA,NA,4.5,2,http://perfil.mercadolibre.com.uy/DISCBOX,https://articulo.mercadolibre.com.uy/MLU-462802945-auricular-bluetooth-manos-libres-_JM#position=9&type=item&tracking_id=2f99f8c7-d0ba-4e24-a767-42725e28bed9,1,1,0,0,0,#462802945,NA,NA,NA,NA
10, Auriculares Bluetooth Manos Libres Envio Gratis. ,390,NA,70,110,18 cuotas,21.67,NA,Envío a todo el país,NA,NA,4.6,5,http://perfil.mercadolibre.com.uy/VENTASUY+IMPORTACIONES,https://articulo.mercadolibre.com.uy/MLU-457117278-auriculares-bluetooth-manos-libres-envio-gratis-_JM#position=10&type=item&tracking_id=2f99f8c7-d0ba-4e24-a767-42725e28bed9,3,2,0,0,0,#457117278,BT 10,NA,Supreme,NA
