search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Tipo de casco,Tipo de visor,Materiales del exterior,Edad,Género,Materiales del interior,Modelo alfanumérico,Peso
1, Casco Faseed Fs-726x Abierto 3/4 Trooper Certificado Ece2205 ,"1,299",NA,166,14,18 meses,72.17,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.3,6,https://perfil.mercadolibre.com.mx/LOWEN+GRUPO,https://articulo.mercadolibre.com.mx/MLM-669501641-casco-negro-motocicleta-kov-stealth-mate-abatible-mica-inter-_JM?searchVariation=33988574797,5,0,0,0,1,#669501641,Negro mate,XL,KOV,Stealth,Stealth,Rebatible,NA,NA,NA,NA,NA,NA,NA
2, Casco Abatible Moto Hro Certificado Lente Solar Envio Gratis ,"1,249",NA,243,5,18 meses,69.39,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,81,https://perfil.mercadolibre.com.mx/LOWEN+GRUPO,https://articulo.mercadolibre.com.mx/MLM-564429987-casco-moto-accesorio-kukulk-kov-dot-abatible-varios-colores-_JM?searchVariation=29067988018,62,14,2,1,1,#564429987,NA,"EGG,EG",Kov Parts,Legacy,Kukulk,Rebatible,Doble,ABS,Adultos,NA,NA,NA,NA
3, Casco Mask Moto Deportivo Iron Man Abatible Halo Rojo Fassed ,949,NA,1439,2846,18 meses,52.72,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,100,https://perfil.mercadolibre.com.mx/INNOVANDO_OFERTAS,https://articulo.mercadolibre.com.mx/MLM-552218947-casco-abatible-para-motocicleta-certificacion-dot-_JM?searchVariation=36753042218,68,22,4,2,4,#552218947,NA,"M,L,XL",INNOVANDO,NA,CAS-ABA-83,Rebatible,NA,NA,Adultos,Unisex,NA,NA,NA
4, Casco Harley Davidson Scorpion Exo Covert Negro Mate Chopper ,"4,839",NA,124,24,18 meses,268.83,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,5,19,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-654427065-casco-harley-davidson-scorpion-exo-covert-negro-mate-chopper-_JM?searchVariation=32213498483,18,0,0,0,0,#654427065,"S,M,L,XL,XXL",,Scorpion Exo,Covert,Covert,MODULAR,Simple,Policarbonato,Adultos,Unisex,EPS,NA,NA
5, Casco Negro Motocicleta Kov Stealth Mate Abatible Mica Inter ,550,NA,704,9,18 meses,30.56,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,95,https://perfil.mercadolibre.com.mx/GUERREROBIKER,https://articulo.mercadolibre.com.mx/MLM-610879940-casco-integral-negro-mate-negro-rojo-azul-y-plata-_JM?searchVariation=31678827987,63,18,11,0,2,#610879940,"Negro,Azul,Negro,Negro mate,Plata,Rojo,Tribal,motogp","S,M,L,XL",Promoto,CERRADO,A107,Integral,Simple,ABS,Adultos,Unisex,Poliestireno,basic,NA
6, Casco Joe Rocket Rkt 14 Negro Iridio / 2 Micas ,849,NA,76,16,12 meses,83.87,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,8,https://perfil.mercadolibre.com.mx/GRUPO+AEP,https://articulo.mercadolibre.com.mx/MLM-660783834-casco-integral-roda-asteroid-pro-con-certificacion-dot-_JM?searchVariation=31940579169,7,1,0,0,0,#660783834,NA,"L,XL",RODA,CERRADO,Asteroid PRO,Integral,NA,ABS,Adultos,Unisex,NA,NA,NA
7, Casco Tipo Cross Negro Mate Certificacion Dot Tallas ,"1,550",NA,91,2,18 meses,86.11,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,8,https://perfil.mercadolibre.com.mx/SKULLGUARD_MOTO,https://articulo.mercadolibre.com.mx/MLM-687886875-casco-faseed-fs-726x-abierto-34-trooper-certificado-ece2205-_JM?searchVariation=38435724710,7,0,0,1,0,#687886875,NA,"S (55 - 56 cm),XL (61 - 62 cm),M (57 - 58 cm),L (59 - 60 cm)",Faseed,NA,FS-726X,Modular,Simple,NA,Adultos,Unisex,NA,NA,NA
8, Casco Abatible Roda Revenge Con Certificacion Dot ,949,NA,1745,105,12 meses,93.75,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,75,https://perfil.mercadolibre.com.mx/VALERIARIOU,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=uQLOZ69PKPd1bCbVrfpDVaYvCUguaIm7cZcoV2SKGmvRtv%2BUhh9nJH1IgU8YY56SVk%2BeZylhRVfaOFJb0gQaUbgaEYSoLg5ObD7oegUnOTBJXlfrDFSd%2F62uds4ZQAvCSYo3wxE6%2FfauUDJRdtOC5H83pdD2CzdNYBf9XwAyNFJbECvVdLt9YERmeXl81hJSEtkBMpDJE%2FoyxT%2BgEbv%2BhcNQuJXEYMz3OwmfPDkVJSQl4f%2BIfZlqEc37wMSEG5zZbsm3xINLAKn5iVx%2BwH%2Bky0ngjzxTUNwMr%2BC2mJKPIfLAyhGmg3KbGDpsbsrc6qDy54kCeZuGgo%2BTmwysAf0YS4wcxZEjRAkeCE53E80%2BeYdn3dhH7%2FSYnYul63ds5Or2oxw9iKcjLsR3Jq7aZqf20Fg7Lf2nvqbnNi8NIkuxlmIIW5V3fxMnz7DJyePcm1iW5QjeKOE3hTe6%2F34qyrPu6mt%2B4XTWb66YawZaZUtILZLw1ROuiIRFQMCzWQl3obb8WTogJDgxVdNBPZAWxwhfBVa4Q9kmFt44Axynscu6a5xkGDUq2ksKtOAiXyxuj5Lgv3Lzo5skwt7a5HM%2F52w4S79fi0HWu8JbBkY0Bv70MU31NTiw4ok03W4L4W8PhsoHtNhwufgt13dV9F3c66m%2FMANHnj6ycibKlJNfQeQbp0JMFbV2jA7wM2zFCDMEu1ajlA3HLIz2HjhgoK30Rweq61WjFRugUpIQ3sEzcISYsMFZl3uC15Zhf7XScyK65uRiMiSUq%2B%2BLpW%2BA4Usjjun5D5zAgSRc1mONkVWHatLnEilaU75hJR96o4IXl8z5jY4C%2Fc6kFIQA57cvN%2FNBFcwbcW664Xq%2F8Y24IbakmCT3a97BwPTBGbjj3x%2FTt2Bj2OHT%2F3YOTVsJJ7KOkE%2FAKm%2Foqw9N6kYVGrlp4avIaE1xRhLjdV026wIHIv2gOIVCI2lqITWtgTz%2FyDe362u2ZSqfOMTULF9ocQJ8itNAkqru5ji0DmcP4nMIIxVSVG0SJvjrjwkf%2B7Ow1UkHI2T1N9PrbxhMA8bKiAY%2BxOJHhTE1gkF5RQ7scNWz9InUuwpmyBPfPwuETxgkth3AIYBrPajJPKBZszJedd1c4d6fjIjcQqXuh2ll4xd6gtCCiJwi%2BzVybaFKtsahkXFzKQi6wCv6vQ9XhztRoB8tCNHdo46XpoM5Q5oFAkCituXKrNyPQz4vw8Wv6KYaTJ8NttLHdsw3jKJP3Av%2Bu2qt08X0fFLB3Ih8sAcQ%2Bbz9Hr4ZK7d3gCsFO7gdstPJNh5%2BPCbP8ZrebuD7ireogMi9jCjF9k6MSgrUDkr2nNQCo7k7JUw9zjZtuWPiNG5SUw4VmsT7d70H8g6k5ilxs4fui1wpJn1VHYB3MW7jg%2FrVJ7T4BwiHKQPujDPQh5aXyIQxKUVHie2e1UzNqtIqOljlcORIiX1DKhaF5yhKMqXkjSNWRAquOHfkOTgIsA4UbgDO9MpXGv5%2FNKDUe0pxPHt3LF8%2FBZ6V5ItV8bB91wEKFREoV7gYa6dojAl1at%2BrZHf0HOfA8SxfCNCI%2FCR%2BFrjHxoYxI6xLYN0FHxrIIU6Jk%2Bcesz6ITQZtnVpCg6COdnu4aaYl58q1CZkybABAK1nIzwyiT2d8%2FtVdS%2BjDLNkCv7i%2Bv8qTcIT2s6axPEqfCBQsMu%2B3WUTVJQTNxFFJQNoDqu8gwG6HDlPb%2B7QPBPBwCyY0CzkShqsug53NFBZenYZPN23Hu9YK8lIM86jQNBRHmainwdhZOkO1%2FwvfiDh2S8%2F%2BLnlvnAC%2BP4O8fIcUAg%3D%3D,63,11,1,0,0,#582660373,NA,"negro,S,M,L,XL",Alessia,CAS-CRO-15,NEGRO MATE,Cross,Simple,ABS,Adultos,NA,Poliestireno,NA,NA
9, Casco Abatible Para Motocicleta Certificacion Dot ,"1,349",NA,177,3,18 meses,74.94,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,8,https://perfil.mercadolibre.com.mx/NINJAMOTOSHOP,https://articulo.mercadolibre.com.mx/MLM-606561406-casco-abatible-moto-hro-certificado-lente-solar-envio-gratis-_JM?searchVariation=36972691433,7,0,1,0,0,#606561406,"Gris/Naranja,Fucsia,Gris oscuro,Gris/Naranja,NEGRO BRILLANTE LISO,NEGRO MATTE LISO,NEGRO/ NARANJA CAMOUFLAGE,NEGRO/AMARILLO CAMOUFLAGE,NEGRO/GRIS/AZUL","TALLA L 59-60 CM,TALLA M 57-58 CM,TALLA XL 61-62 CM",HRO,Abatible,3400 DV,Rebatible,Doble,ABS,Adultos,Unisex,Poliestireno,NA,NA
10, Casco Abatible Deportivo Modular Cafe Racer Fassed Trooper ,899,NA,683,369,18 meses,49.94,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.1,53,https://perfil.mercadolibre.com.mx/JK+MOTORS,https://articulo.mercadolibre.com.mx/MLM-568733170-casco-depredador-envio-gratis-_JM?searchVariation=23088464886,27,14,6,2,4,#568733170,Negro,"negro,MEDIANO,CHICO,EXTRA GRANDE,GRANDE",JK,DEPREDADOR,Negro,Integral,Simple,Fibra de vidrio,Adultos,Masculino,Esponja,EDN,NA
