search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Tipo de casco,Tipo de visor,Materiales del exterior,Edad,Género,Materiales del interior,Modelo alfanumérico,Peso
11," Casco Moto Vintage Negro Mate Roda, 3/4 Dot Gogles Gratis! ","1,149",NA,650,18,18 meses,63.83,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,134,https://perfil.mercadolibre.com.mx/SHOP+IGARTUA,https://articulo.mercadolibre.com.mx/MLM-610191804-casco-roda-revenge-abatible-gafa-interna-certificado-dot-_JM?searchVariation=22702583678,104,21,5,1,3,#610191804,"Negro/Plata,Blanco,Negro Matte,Negro brillo,Negro/Morado,Negro/Naranja,Negro/Plata,Negro/Rojo,Rojo brillo","L y XL,S,M,L,XL",RODA,Revenge,2019,Rebatible,Simple,ABS Alto Impacto,Adultos,Unisex,Resina termoplástica,NA,NA
12, Casco Integral Roda Asteroid Pro Con Certificacion Dot ,"1,599",NA,136,8,18 meses,88.83,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,5,2,https://perfil.mercadolibre.com.mx/ACCESORIOSEXCLUSIVOSMX,https://articulo.mercadolibre.com.mx/MLM-650438989-casco-mask-moto-deportivo-iron-man-abatible-halo-rojo-fassed-_JM?searchVariation=29633306833,2,0,0,0,0,#650438989,NA,"L,XL",Faseed,Mask,Graficos,Rebatible,Simple,ABS,Adultos,Unisex,Resina termoplástica,NA,NA
13, Casco Alessia Abatible / Modular Negro Liso Gafas Internas ,279,349,295,13,18 meses,15.51,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.4,5,https://perfil.mercadolibre.com.mx/MEXMART_ML,https://articulo.mercadolibre.com.mx/MLM-657032837-par-de-luces-led-para-casco-moto-motocicleta-seguridad-noche-_JM?searchVariation=32417916891,3,1,1,0,0,#657032837,Verde,Unitalla,OEM,LUCES,Recto,Integral,NA,NA,Adultos,Unisex,NA,NA,NA
14, Casco Abatible Dama Risky Pink Ultra Negro Rosa Dot Ece2205 ,699,NA,1073,389,12 meses,69.06,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,38,https://perfil.mercadolibre.com.mx/VALERIARIOU,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=bvRN9nbVpd%2Fbx528A8LYQ3DBAqrqwOhj4KM%2FSVIG2a90mldkxgCI4ZLZoMKYt0a%2FW84ne7X4NweKOH0rpvR4TwCfwRpyGiRtwUsZ3AmyKwmqfzk6KXCmuq22sc6TK3%2F4PIib62RpLFDvLjTwRpxyyn7SpvYTkXCl8EKQFOpf21e%2F4eqQiYYjp2NoIcZCDn4h%2FnttN%2B2hrXENoeiL9KCuAKDw%2FSwNEVZjmvmTU3F6sUobww5ZwhOQl6dKr%2FVgl7C6nlfHah7xEEjDsnggPNsS4yad%2BoGR6qJ9CR9mIjsbfDUcuzAU8JxLzuTqweiuenGgN%2F7RG3J%2FWwdM%2FO82A0Q53SAOz0oKfAdrnI6KxYpZx893PvNw%2BFFTLb0Bogb3lpqSFHcgbSS%2FSmjBfq9mS9sxk6hE7%2BCU67Y07SvHVjxNNfMRniXZoVeUWH74fCP8AWFIrsCKriYJ2FSkjktp5qxyBNmCXU9bR54sgFviB49PtkQFYQ9qNQTUJr56N1O7mE5YxpE1%2BXFd6%2FO5otbXI9N7CKDy5wgFlZZctwndwpXuTU1dGDP5pkFg2CelaBfoaCuki9ous9ZSBHZLHTHo7ODS7TEK1pyG5medQRHqE06TZTcDHyJpwTVlJnIMBUbdambAGpnMoN6Rdr0X9DsrX%2FzPguF8fCRZhkHOZB9qXA%2B%2FMhu4SiHb5O%2BJW88lGsYdnIu1xHr%2Bym3qibF6bGpn%2F7KK1%2BUwY6TWaJlrcYcgzYd%2BuFw1Iu1Xj88vNuiAhiEb4Xwmoz%2FFMbnVfrV2CY8GmwOJRan3dk%2FD09v%2B%2Brarp%2BXZSPNkL1Tsb0E0MYTwCgXN1LZulugjh30tkGq4pUpmosaSL1q7ceSaD1o6LS6h%2FG99h8lPGCmqkLq1K9C3Q2efcBDJqTbiof2PpS6lhXepT%2FQ4RFMAwoPUf9lMIkdcXcQ5fnOaKHuAUNBBungUdm%2BoBwVbuJW4o6%2FjyKN%2FeS7rGHHDx4IB5Jm4wpUbKsFyeie5DkhovzbyGNWMyXriseA3KO2lurWuFu55bslS%2FGJ%2Fdh1vTrsvogRASKaBGn%2BYuCwODTMI5c3Qe1FmyXiGJSv0BwOXa9djqLPly2olfTyp638rRQ9XAiKHc88S3hD4GdjBcmDMK7xhya9BZqc1eOoSlyGyAqKWAyoMKN9MBl7biKvqFo%2FSAiKsN%2BdFYI2SeoxAHyxEgLQfjY9KjNftnL5tE3Mq2oNbql%2BT7x5J3Qw4RDNaquhkBhr3uL7X%2Bm3oSD%2BnU7aNPs76VEz3jxvATTmjbiB5Kk52JPTHzhTR%2ByFhMe%2BSF5HOWMxTGDXjiF%2BN6nDZHHb5r1217i%2B3Un7F942mmzzTR7keIXmIfTzL2BceubbCwoA1zrzBckk%2BkpowqPKFYHpwrwsK9oGUAl7ToqL%2F5PtBSqeBpwqR%2BLVAuvoGEAb0OxWjPz4rekmECY1%2BToXjVHjy7pddowdlDGmplIggzk71%2B%2By%2BNyYNcKIRwsLCBVjNJDNmrEtNc%2BxsX%2FuHx9Ay3Vsp70j1sPPlebfEgspCnVAOXtER7RaM4JgrezKUNktVWmigJAS%2FXefHH%2BNuHRfSRDQVy1Yf6VNYcwSC20o3qOFrK4FcNCagnzzxVS7YQpL%2B8KP5TNVD%2Fe1eaB3SGXTgmINXJdRpQTOxGodRtB4r30CTKUV8HAQumheKdxC7GvkVDXqVure%2FgSkLfj%2FU6mMV9we6zj%2Fk0E5AlR7t9bYs9mAgreDjmoNHNI%2FIekRz%2BtTjK3bjHUleI3zpKQjVI4V9LDgdfTVihPVUvLGbyF%2B8CfOv50uulLc%2FxskbIA%3D%3D,33,3,2,0,0,#583170040,NA,"S,M,L,XL",Alessia,NA,TIPO CROSS,Cross,NA,NA,NA,NA,NA,NA,NA
15, Casco Abatible Roda Revenge Con Certificacion Dot ,949,NA,1745,105,12 meses,93.75,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,75,https://perfil.mercadolibre.com.mx/VALERIARIOU,https://articulo.mercadolibre.com.mx/MLM-582660373-casco-tipo-cross-negro-mate-certificacion-dot-tallas-_JM?searchVariation=23194309270,63,11,1,0,0,#582660373,NA,"negro,S,M,L,XL",Alessia,CAS-CRO-15,NEGRO MATE,Cross,Simple,ABS,Adultos,NA,Poliestireno,NA,NA
16," Casco Tipo Cross Moto Negro Mate Dot Tallas S, M, L Y Xl ","1,459",NA,135,56,18 meses,81.06,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,10,https://perfil.mercadolibre.com.mx/ACCESORIOSEXCLUSIVOSMX,https://articulo.mercadolibre.com.mx/MLM-689955419-casco-abatible-deportivo-modular-cafe-racer-fassed-trooper-_JM?searchVariation=38914188679,8,0,1,1,0,#689955419,NA,"M,L,XL",Faseed,NA,Trooper,Multi-Modular,Simple,ABS,Adultos,Unisex,Poliestireno,NA,NA
17, Casco Cerrado Nueva Colección Shaft Aztec Rider One ,"5,864",NA,102,15,18 meses,325.78,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,5,41,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-636555558-casco-ls2-valiant-abatible-moto-visor-interno-negro-2019-_JM?searchVariation=35500798462,39,2,0,0,0,#636555558,Negro mate,"Negro mate,M,L,XL.,S,M,L,XL,XXL,XXXL",LS2,FF399,Valiant,Rebatible,Doble,Policarbonato,Adultos,Unisex,EPS,FF399,NA
18, Casco Híbrido Crossover Moto Faseed Trooper Certificado Ece ,"1,799",NA,352,115,18 meses,99.94,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,26,https://perfil.mercadolibre.com.mx/RIDERONE1,https://articulo.mercadolibre.com.mx/MLM-577998441-casco-cerrado-nueva-coleccion-shaft-aztec-rider-one-_JM?searchVariation=39433695939,25,0,0,1,0,#577998441,NA,"S,M,L,XL",Shaft,SH-571_Evo,Aztec,Integral,Simple,Policarbonato,Adultos,Unisex,Poliestireno,NA,1500 g
19, Mascara Moto Mask Shark Gogles Desmontable Casco 3/4 Oferta ,699,NA,1073,389,12 meses,69.06,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,38,https://perfil.mercadolibre.com.mx/VALERIARIOU,https://articulo.mercadolibre.com.mx/MLM-583170040-casco-tipo-cross-moto-negro-mate-dot-tallas-s-m-l-y-xl-_JM?searchVariation=32245623358,33,3,2,0,0,#583170040,NA,"S,M,L,XL",Alessia,NA,TIPO CROSS,Cross,NA,NA,NA,NA,NA,NA,NA
20," Casco Moto Vintage Negro Mate Roda, 3/4 Dot Gogles Gratis! ","1,499",NA,144,16,18 meses,83.28,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,13,https://perfil.mercadolibre.com.mx/VALERIARIOU,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=0fxOF%2B63H8vfz79Q3ndohItaZ9oQn%2BG%2Bu5WNxHpJMcPXAcX6uHQ7WInxY1FSaEoxClYviHSJPgbK5m%2B9bQrA7ahs2sJw6sC4AVo4%2Fg%2F1MKngeUOtL8SNAn5XzTvfYODDm5sw1Q7KD4i2mGa1rtAFGttz5L791%2BeD9TkwP0QihbHwIDaDz25vQBtSHMbeLYoKC26HIJi%2B62PwvuRDrBH%2FvdozXWo7HVJFNtshfsY6NLZj%2B9VWhym3IIiv8CZFfRUQZnkKuv06aPy4GYAd1yuG4%2FrFtYCTpOl5kIuF1oQ4z7cdERwowy1OBltBGqrcotpnmhCvJhAbMmbNGSj%2F9wM%2BTmw2Q7dg43DK7nEi%2F6Gnrykdmqtfv9yosn7DilQ7Qxn4OabVPvCW4uSnY7Bw4Nst8awsshKVhG6oqjKpSsW32jSH8KPUKxH3oHsvlS90Kv204X%2FK3UQkMeXxEqqn2a9efZE%2FOou0%2FamtuVttPV7CDNwaXC1lxDx%2BSoAvOJQFpuru7hunSwKIVrJ6rIF9Pj%2BAmPcA3Oa3HAJJI9m8YHmnrBveqSzcE8FnXjnHt47mv5u7%2Fjlfih%2BDtifa5L3aiVvNfIbpsehljD1tixCjg9XLztee81FXtJuJFmmU5d%2FhB%2BL%2BvdiTM53cFXpCYEwuumrlkiUKsWjgrazhidIIo0qcSlMIG7BGPBnqs%2Bvit7SNwexVbOwGQ1YJInx1DZoc%2FId4QTr66oYFwX6JcAuXmlUVskcn95SvhPfOgOg64Rt1lXgMwwDiiXOz9SOjAGOm1vMvVPDDLya5NdY%2FhwK95S8gV3dPEFNiAbf6AuOXoTVnK2G7IRwHl2Vnz6yA%2BJJXab86NFU1UEmNKk%2FND%2Fujq61Kff1Pi1QpXcM7ogo239KM8lu7qItfr1%2FHoH5qf7AMzBOlJ6K4AsJRqhoxksMMZyex%2F%2B%2F%2FZOaXdP88jnNXiOLF981buCEh6jJVn8H1NrWGAXjI6lhCp88SMbU0jYO2%2B%2BJrwSH9GsH1jO5kXVqokl76afTIrAkw4Z17cVGrBk3jgCyWQVLky6j6ST7Qj%2ByLMHnM2IA9z4A4GxJKoy3QDiLMkxO425DvzLiFL9SR4%2FfKg9SPqQrvmVpTjE2%2BRf2qWBvunXxH3cSpVR2mWVg5k%2BDnFky2%2FyYSG9MqeNbqep%2FSQpPoySML7nlMdq4emZX9JtX%2FYGFCfXfjXYDU46hvZxPnp6P3ADjtDqFciUFKfzRzH36qbWUvu9KK1ZPVz5aMsHqign9ZMCNpGmWnsxv1OUN%2FPsssUBu8VMFW47rsDT8QFGbnZ%2BXtRSW%2BA1dxPjTYXwnlmzwemYfWw07IFw5sP%2BZ7sEd%2BSJT%2FGiWGhZbrxJ2pYu7jNFrNzbrWFpXzlP63GsTmpGkanDrBuTZvVHgUMt48zwBToG1fbdhLjJFcct35giFM55S9ms9Z5ShbeHo7o1fCq3N9PCAuebCOB00R0vzP8UBU3EL2uvLYAeuSu2g2pzj1D5B4QAeng1udfg95lpB7Ab6H9ODeJKAENaYBtNTooz4v2idWFVC%2F4B5YSCf2CR2%2FPMFrXsqK9P1UVXqG3f0ZbiBb8hQYc8BVdYDRmzEGuafmI8guklfoOFlB0TRsaKe7KbaDrBoRgGsLogbfQtTrNtK6BzCPwywmJJtDZAu1E0QlXfhPoSIgi1Q6TsHNGKHtXozhFBdtKRb%2B9UbhS3vAYXT3Ht2Jn%2Bn0zx%2BlpdKDFJUowEyQ3MGZWXjRCYogmGGg6%2BjBzCcfe3JppSCxyN7o20ZYt4NBPnLGy%2FaN6LsI3lNmQbVFvpSibQXFFgQ0K7pV,10,3,0,0,0,#660198062,NA,"S,M",Risky,ABATIBLE / MODULAR,CAS-VA-31,Rebatible,NA,NA,NA,NA,NA,NA,NA
21, Casco Ls2 Valiant Abatible Moto Visor Interno Negro 2019 ,"1,449",NA,145,7,18 meses,80.50,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,13,https://perfil.mercadolibre.com.mx/NINJAMOTOSHOP,https://articulo.mercadolibre.com.mx/MLM-686224257-casco-hibrido-crossover-moto-faseed-trooper-certificado-ece-_JM?searchVariation=40049216157,12,1,0,0,0,#686224257,NA,"S 55-56cm,M 57-58cm,XL 61-62cm,L 59-60cm",Faseed,NA,Fs-726X,Multi-Modular,Simple,ABS,Adultos,Unisex,Poliestireno,NA,NA
22," Casco Integral Negro Mate, Negro , Rojo, Azul Y Plata ","1,749",NA,125,8,18 meses,97.17,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,61,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-640623530-casco-integral-ls2-rapid-para-moto-negro-mate-seguridad-euro-_JM?searchVariation=27207815085,56,5,0,0,0,#640623530,NA,"Mate,M,L,XL,M,L,XL,XXL",LS2,TOURING,Rapid,Integral,Simple,Policarbonato,Adultos,Unisex,EPS,NA,1250 g
23, Casco Abatible Risky Samurai Negro Naranja Dot Y Ece2205 ,"1,149",NA,269,9,18 meses,63.83,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,3.9,12,https://perfil.mercadolibre.com.mx/MOTO-HELMETS,https://articulo.mercadolibre.com.mx/MLM-623560080-casco-abatible-r7-168-lente-interno-cerificado-dot-ngomate-_JM?searchVariation=25336287924,5,4,1,1,1,#623560080,NA,"M,XL,XXL",R7,Racing,168,Abatible,Doble,CASCASA TERMOPLASTICA,Adultos,Unisex,NA,NA,NA
24," Oferta Casco Tipo Choper, Acabado Fibra De Carbono ","1,499",NA,79,35,18 meses,83.28,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,5,6,https://perfil.mercadolibre.com.mx/VALERIARIOU,https://articulo.mercadolibre.com.mx/MLM-660197893-casco-abatible-risky-samurai-negro-naranja-dot-y-ece2205-_JM?searchVariation=31791606682,6,0,0,0,0,#660197893,NA,"S,M,L",Risky,ABATIBLE / MODULAR,CAS-VA-32,Rebatible,Doble,Plastico ABS,Adultos,Unisex,Resina termoplástica,NA,NA
25, Casco Integral Ls2 Rapid Para Moto Negro Mate Seguridad Euro ,999,NA,70,57,18 meses,55.50,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,5,3,https://perfil.mercadolibre.com.mx/SELLATODO,https://articulo.mercadolibre.com.mx/MLM-664359717-casco-moto-vintage-negro-mate-roda-34-dot-gogles-gratis-_JM?searchVariation=32919947420,3,0,0,0,0,#664359717,NA,"XL - extra grande,L - grande,M- mediano",Roda,NA,Vintage,Abierto,NA,NA,NA,Unisex,tela,NA,NA
26, Casco Abatible Bkr Deidad Quetzal Svs Con Certificacion Dot ,"1,301",NA,166,14,18 meses,72.28,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,28,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-599846131-casco-abierto-ls2-airflow-solid-of562-negromate-2019-_JM?searchVariation=32169910434,21,6,0,0,0,#599846131,Negro,"Mate,M,L,XL,XXL",LS2,CHOPPER,OF562,Abierto,Simple,Policarbonato,Adultos,Unisex,EPS,OF562,NA
27, Par De Luces Led Para Casco Moto Motocicleta Seguridad Noche ,799,NA,177,35,12 meses,78.93,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,13,https://perfil.mercadolibre.com.mx/ARTICULOSDEPORITVOSRT,https://articulo.mercadolibre.com.mx/MLM-592843891-casco-alessia-abatible-modular-negro-liso-gafas-internas-_JM?searchVariation=32332336614,11,1,0,0,0,#592843891,NA,"S,M,L,XL",Alessia,Abatible/gafas integradas,CAS-JK111-016,ABATIBLE,Doble,NA,Adultos,Unisex,Plastico ABS,NA,NA
