search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Tipo de casco,Género,Peso,Tipo,Color
1, Casco Moto Ls2 Ff324 Abatible Metro Evo Blanco ,129.99,NA,32,7,12,10.832,NA,Envío gratis a todo el país,NA,NA,5,2,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-466453148-casco-moto-ls2-ff324-abatible-metro-evo-blanco-_JM,2,0,0,0,0,#466453148,"L,XXL",,LS2,EVO,FF324 METRO,Rebatible,Unisex,NA,NA,NA
2, Casco Moto Shoei X-spirit 3 Marquez Motegi 2 Tc1 ,649.99,NA,2,5,6,108.332,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/YAMAHA+OFICIAL?brandId=146,https://articulo.mercadolibre.cl/MLC-461163067-casco-moto-shoei-x-spirit-3-marquez-motegi-2-tc1-_JM?searchVariation=24694949950,NA,NA,NA,NA,NA,#461163067,TC-1,"L,M,S,XL,S,M,L,XL",Shoei,NA,X-Spirit III,Integral,NA,NA,NA,NA
3, Casco Moto 4rs 168 Sun Visor Certificado Dot Abatible Flipup ,44.99,NA,287,243,6,7.498,NA,Envío gratis a todo el país,NA,NA,4.5,21,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-438976101-casco-moto-4rs-168-sun-visor-certificado-dot-abatible-flipup-_JM,15,3,2,1,0,#438976101,Negro opaco,"XS,S,M,L,XL",4RS,NA,168,Rebatible,NA,1450 g,NA,NA
4, Casco Moto Armad 710 Jet Negro Mate Certificado Ecer2205 ,45.99,NA,19,31,6,7.665,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-440632933-casco-moto-armad-710-jet-negro-mate-certificado-ecer2205-_JM,1,0,0,0,0,#440632933,"S,M,L,XL",,ARMAD,NA,710,Abierto,NA,NA,NA,NA
5, Casco Moto Oneal Challenger Crank N +lente Interior+pinlock ,89.99,NA,31,13,12,7.499,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/REBELSPORTS.CL,https://articulo.mercadolibre.cl/MLC-478913019-casco-moto-oneal-challenger-crank-n-lente-interiorpinlock-_JM?searchVariation=33417105645,1,0,0,0,0,#478913019,Negro,"S,L",O'Neal,Challenger,Crank,Integral,NA,NA,NA,NA
6, Casco Abierto Moto Dot Casco De Moto ,10.99,NA,9,91,12,916,NA,Envío a todo el país,NA,NA,4,1,https://perfil.mercadolibre.cl/MULTISHOPVIRTUAL23,https://articulo.mercadolibre.cl/MLC-490307697-casco-abierto-moto-dot-casco-de-moto-_JM,0,1,0,0,0,#490307697,Negro,standar,HLN,NA,Clásico,Abierto,NA,NA,NA,NA
7, Casco Moto 4rs Mx Enduro 166 + Antiparras On Motocross ,57.99,NA,93,1,6,9.665,NA,Envío gratis a todo el país,NA,NA,5,7,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-439510792-casco-moto-4rs-mx-enduro-166-antiparras-on-motocross-_JM,7,0,0,0,0,#439510792,VERDE / ANTIPARRA VERDE,TALLA XL,4rs,NA,166,Cross,NA,1.3 kg,NA,NA
8, Casco Moto Ls2 Ff324 Abatible Metro Evo Amarillo ,129.99,NA,43,12,12,10.832,NA,Envío gratis a todo el país,NA,NA,5,2,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-464711147-casco-moto-ls2-ff324-abatible-metro-evo-amarillo-_JM,2,0,0,0,0,#464711147,Amarillo,"M,L,XL,XXL",LS2,NA,FF324 METRO EVO,Rebatible,Unisex,0.165 g,NA,NA
9, Casco Moto Abierto 4rs 537 Con Visor Certificado Dot Scooter ,14.99,19.990,95,17,6,2.498,NA,Envío a todo el país,NA,NA,4.6,12,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-442752257-casco-moto-abierto-4rs-537-con-visor-certificado-dot-scooter-_JM,8,3,1,0,0,#442752257,NA,XL,4RS,NA,537 STAR,Abierto,NA,940 g,NA,NA
10, Casco Moto Tipo Depredador Certificado Dot Con Luz ,199.99,NA,52,2,6,33.332,NA,Envío gratis a todo el país,NA,NA,4.8,6,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-439930838-casco-moto-tipo-depredador-certificado-dot-con-luz-_JM,5,1,0,0,0,#439930838,NA,M,NA,NA,Depredador,Integral,NA,1890 g,NA,NA
11, Pack 2x Casco Moto Abierto 4rs 537 Verano Certificado Dot ,29.99,49.990,45,11,6,4.998,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-473556472-pack-2x-casco-moto-abierto-4rs-537-verano-certificado-dot-_JM,NA,NA,NA,NA,NA,#473556472,NA,NA,4RS,NA,537,Rebatible,NA,940 g,NA,NA
12, Casco Moto Armad 606 Multiproposito Norma Ecer 2205 ,74.99,NA,38,34,6,12.498,NA,Envío gratis a todo el país,NA,NA,5,4,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-440296538-casco-moto-armad-606-multiproposito-norma-ecer-2205-_JM,4,0,0,0,0,#440296538,"S,M,L,XL",,ARMAD,NA,606,Integral,NA,NA,NA,NA
13, Casco Moto Ls2 Mx436 Pioneer Element Negro Titanio Matte ,134.99,NA,26,20,12,11.249,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-461069835-casco-moto-ls2-mx436-pioneer-element-negro-titanio-matte-_JM,NA,NA,NA,NA,NA,#461069835,"M,L,XL,XXL",,LS2,ELEMENT,MX436 PIONEER,MULTIPROPOSITO,Unisex,1350 g,NA,NA
14, Casco Moto Abatible Certificado Negro Dot Cert Dot / 862 ,32.99,NA,240,23,6,5.498,NA,Envío gratis a todo el país,NA,NA,4.7,9,https://perfil.mercadolibre.cl/CUPOCLICKCHILE,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=JjiVvyhkoQKaNtcr2Kj26NQSV6CXby%2FiIT8a3VVaSpHg31lnsxBCgqYKoYuoQ%2F6oS%2BdhX7H73uYZi2mhTwzhHWyD7piTtbas3l0ysCfMPUe%2F%2B1%2BVlTsWZ3Sc6oAH2aA8WJLqS%2BRLbsNxihBHOM%2BCDrureDXQlEEhm2aZqKb6w8wy1kMp%2F57ZFsm2iD3PrzdAmfPdS3YIGCQAYAEPf9CYAslpncBRmTYI%2BuhzLAzlVJ2UxtdsSLahJ7%2BugYT2zqU24%2FlUviufdqgPb3x7qBMASqH%2BTCB8nldBpXhV2hOaG0euoNVM2u8592Sn4nbJfTzN%2BwJeKaiBB4lq0e3Bjh5W60zF5Kempn3kDD4pEXdUDx9%2B3m8ZXB9sT8ihfFG6gF4DBRpYXIg9aNEBcWpw3bMwZVm4wgBkcV2Rnras9vl2kp2KQNdvKzC7RhB2spiuNeC8rJLm9x%2FyYrJp46sF1a8qoVkj51A7H3%2Bi3kJ4o4dIzd6MFhZPK4FX0dytYJDkJLnDs66QwDJvLVDqlRK14TTLN3SaZ7z4uuai7CZ6GcEgRFeeCksDznhtQXoxUXj1hYstcBygDnwUhGIoc3izbGCDkAFy1TKXLxDX0Ib%2F2JtXcvU6B6bpySjBewYUf5%2BDeC7HIV4zbvMzczB4BijPpbny5pACZe2H8YMUKjGv2C0KHdwjNsHGy8RyRo4RYUUUP33d45Fnjvjcb8GXgKb1ZkZMjyTk4MGB8oapi3dloQZl5dr0dW2ybjIt9p8yma%2FazoWeai%2FECZz%2F6DqVPMDVKCXGUkxriHeS3GkbRktvTPD47chQISiZ7s31lgxSyyRyy6QTra5ACUc%2FUTNv3x7EHhGWP7Sb023Jgs1xWn2FOdKDMukaIO3403CB%2FnH0XpZS6MYpSDbm6ZklklKO4nen2pUzh4635rl2uW9aJ2uK%2BSkIUnDr%2FnSa%2BG4%2BtejZTREg%2FwspkOXd0gb3POW7RfxvK4VJwo7AbRBzTcei1oI1LYfKROhxTMDBbU5s%2FyngvxGloT3Z8bdpeikTakTlPPgEvia9ebBBSlj%2Fub%2FNunK3b8%2FmTVILdIjvDseuWtW%2BK51AU4BcDz9rs95p2hjcdIesu54RvwQ1ogAtWv48GAGv1FYqaNLlNfFCpmiaB127TqvXFY%2F4S83KHxGk6I1azhxe6j2oQ5%2FNdk12lK%2Fps0qidn4Sxmy1uGNzxYS4g77ETA7hVZgUj5gihKa2VlZYp1rYXF8NTCV4QnSvZylqO5Z0%2FfFZjLibvtHKjZtaWP028be7MrfVS%2F11kE1jf6HRKtFoOlk3GZ1SnQClPOAC5itOkYMrid%2FVNYEab399ICTyABVOXfbWaVIE6QoEZgI3se9o4XmhtWCZlfVnecD5NWuAj64LAsyROefLLtRZbw%2FGQjkC7Q32%2FuOhIne7ApV7h69rFjE00aQuDcThNNZ4GLX2TuF%2FTSnRNUC2mVsDmmXyfoKHrrPVoQvLymjIbeS1NlYXLhz3Yzs0t4mAvf4%2Bz2e5nfNjeKEcHzBWUOtxPGVDk9nNZuOIECNMPpXs%2BC2fN7171YUFOxS1JgyBb4BpCIgrx28QoGewXYc1ngAAsurEm%2FxFV5cICJ2XqLC5LIhsq3c08C1b%2B5br78cAydEyiQfSjlTf4BuV%2FZUQgTyrVLUbvXlTZXOku%2BNSu33BRl5FcU%2Bbjwf2bgOHmFDlRhS94iMVVZ%2B5ZjHs7IWTBj%2B%2BAfh40IwR61Q2BHWDrCMQ%2BQ7%2BJfVYuPH6HyYSsLEWVwLN,8,0,0,1,0,#465351553,NA,NA,Helmet FGN,FGN,862,Integral,Masculino,NA,NA,NA
15, Antiparras Choppers Retro Café Racer Polarizadas Tornasol ,5.99,NA,15,35,6,998,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PINCHEIRAMOTOS.OFICIAL,https://articulo.mercadolibre.cl/MLC-457631556-antiparras-choppers-retro-cafe-racer-polarizadas-tornasol-_JM,NA,NA,NA,NA,NA,#457631556,NA,NA,NA,NA,NA,NA,NA,NA,Abierto,NA
16, Casco Moto 4rs 09b Gear Purple Integral Con Sun Visor Dot ,38.99,NA,32,19,6,6.498,NA,Envío gratis a todo el país,NA,NA,5,6,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-440296197-casco-moto-4rs-09b-gear-purple-integral-con-sun-visor-dot-_JM,6,0,0,0,0,#440296197,"XS,M",,4rs,NA,09b,Integral,NA,1360 g,NA,NA
