search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Tipo de visor,Materiales del interior,Materiales del exterior,Edad,Género,Línea,Peso,Usos recomendados,Modelo alfanumérico
11, Casco Moto Hawk Zx7 Mx Cross Enduro Negro Mate Oficial ,5995,6595,"
			
			
				
				1
				vendido
			
		",(10 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/HAWK+HELMETS?brandId=1746,https://articulo.mercadolibre.com.ar/MLA-796287611-casco-moto-hawk-zx7-mx-cross-enduro-negro-mate-oficial-_JM?searchVariation=39610166914,NA,NA,NA,NA,NA,#796287611,NERO M,,Hawk,ZX7,Cross,NA,Frontura Hipoalergenico,ABS,Adultos,Unisex,NA,NA,NA,NA
12, Casco Rebatible Rs5 Hawk Vector Doble Visor Cycles ,2930,3999,"
			
				Nuevo
			
			
				
					 - 
				
				344
				vendidos
			
		",(115 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,893,https://perfil.mercadolibre.com.ar/CYCLES+MOTO,https://articulo.mercadolibre.com.ar/MLA-755651553-casco-rebatible-rs5-hawk-vector-doble-visor-cycles-_JM?searchVariation=41084926794,565,238,57,17,16,#755651553,,"S,M,L,XL",Hawk,RS5,Rebatible,Doble,Cuero sintético,ABS,Adultos,Unisex,Rebatible,NA,Urbana,RS5
13, Kit Casco Cross H5 Mx Road + Antiparra + Guantes Sti Motos ,2150,3225,"
			
				Nuevo
			
			
				
					 - 
				
				670
				vendidos
			
		",(3631 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,102,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-745949532-kit-casco-cross-h5-mx-road-antiparra-guantes-sti-motos-_JM?searchVariation=41519443921,65,21,14,1,1,#745949532,,"S,M,L,XL",Halcon,MXROAD,Cross,NA,NA,Polipropileno,Adultos,Unisex,Cross,NA,NA,NA
14, Casco Moto Hawk Zx7 Mx Cross Enduro Negro Mate Oficial ,5995,6595,"
			
			
				
				1
				vendido
			
		",(10 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/HAWK+HELMETS?brandId=1746,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=PPzE3jsJpJjZTFsGq26JbzyIYKTkUUA8mU4lgmUNAIS9fGLzR0Met%2Frzgovcu0xG9TjIRnO6PrLBBwhWqBT8Ed5CNbxJiVkDA%2BQ5xmMGM47tqyRDErLRdFaClgSEUbmJj5gwGTvkR410Nhl%2BgiTBXshoi%2B3OE2yHoizPiWtQUe0lUXnRTJf7no3qp7UPZXKZdddmYreto%2BMa94AekV2stxljl91aR48TnCjTXwLByaBpjPx%2BQ41ITcy0sPvWs0QXQd3DxiJ5%2BQmSiucEpok29w%2FcxclxNkh1XboVvlTsg01pvYYq9BTBiQnawYDoVymYXtGxl9ere4Ed5DOmHJ4h1ziwzdMgoHnLz6QVXsM5aLggSqtx87cTGq0fQ%2FANwjyaoAI%2FrsCD%2F4jk31eXrgG8Z44HdbzOJhrEdf0GrMnQ7qHLizmr4SdXXxZtVEyDGcAHu9f8raBAETMmvl9gkV2dy98WSEJLMMmD%2FBsWfifS4lfWaym7NfIv1PuBrJoN0b2o5sc6YOmG8Lg0z6mWgWlvvIWkHOaOZ68SiyB%2FfUoak3wvKBuxzC3%2FNNm5LcAPlRYz4x%2FimejD2rwhrAKmkRBxcHaM47F%2BK1EhdytYT56%2BpQs1g4vhBOxxW1fxW%2FBdrSRlkWuxcmFXVmcjOi%2BR8Zyb6uUtTPD3TLsno3Kudu0iuP2V0ArcWyODgLoGcbCpxiUgr8oVd1RKFXfWPDgUiWgRHwY4W7SBHAj6A6%2BJGui%2FBdpk81dYzk%2FzoaqODqA%2Bf%2FLPRsn7wdm9jhlLmS7EftUIrv%2BSUrUhGi3%2FwHiOfaHy3Bfv9u4Dih%2BLKwm0rQeEAD1AtsSPHlRNjDwrtF4yeJxay%2Bsb51zArN%2Bq6xwuLaB41KyllzbMJ5AJ9OHLHNazMry2mBfHLvPm8j32mVY7hdzuIfnVVIHdkzc5WreP2ANMCweEbgn6I2onP5iyyxfg8zqzhRBuWRM7%2BbMADMez9V78yEpm2g2WkW%2FckBgUgnrU5HxTuga8v4UtY%2BhjW7rvUp1tDAa2no%2F6cOEWeJq9G1vqREEJWvGzBCFQ8IMRw3ypr%2FO7SrMAUnfk2aFJrS0dq%2Fd6Q6jMWuIwRXU7KXGCxEosn0czi1NQ3LptSMtnffAnJpcZlSufnU%2Fju4pnMg0UycNu1xiaFhlx5zJ6cvG5MglrNvIKUGYbrIuUn1fZPnfWbEPJbHtR6J5xr0igz%2BXNLNnUcv9uK36r7MAyhg0QnMh%2FdUKXFUnm%2BULPuOH2qNszp6ylxVcoRtJx8%2FVbKVqpMHYe8GcjIOEpgQUaoZ5Uuute5wMekPjjgAIY4JQ68rbMwdPvuF6peTyR3XRTXr7FGKhGCwQEL0KIe23d%2BD3CvwU1ejquhaazLdj3ZC%2FTQaTPYmRmda4VJo87LR19AaVuqHZfqVU3zv3xTAcvU%2B1ydx1MiyQ695S5wpBjdCqvIxtvQV9lEzzVzqZIWcX%2Fkw%2Bg8XF7jbA%2BSClSc4DrwfTHOcXKhCu8tix8TA5gXZFZCe%2BEbMooLfaMB%2B8ixABXrxuN3R6i8O2OQ895Rjr7VfwVMD2zFjRRSBWnPjoMqeqsOCinBIu0n3nxNrn7ZrUAcKFcbBJeR6Eii955501yneoEfPVsyRE0Zb%2Fkg%2BYIe9tCt5%2FIRGsm3L5%2Bb21TfpYRcSF1yfTSzxgTYGlgmvImB0s%2B2eNXSsBtT4QBU8sI8Qfv4w4fzJOhaiaMpuL%2B%2BH2m7fCAEmQJNv66uXwor2SENBy9zfvnkz%2FJz%2B2y7DAhTeKapFxm4kRKkGS%2BzjpShnAwkwZN5znB1j5Tf9eDGOVmHz4c4XAm9wzhEABskOXg7C6AzYgU3Yg3YDUGPCSQnX6lV8ojmhwY21zOHotTJPQ%3D,NA,NA,NA,NA,NA,#796287611,NERO M,,Hawk,ZX7,Cross,NA,Frontura Hipoalergenico,ABS,Adultos,Unisex,NA,NA,NA,NA
15, Casco Moto Abierto Vertigo Vintage Maya. Full. En Gravedadx ,2132,NA,"
			
				Nuevo
			
			
				
					 - 
				
				782
				vendidos
			
		",(35 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,105,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-674080413-casco-moto-abierto-vertigo-vintage-maya-full-en-gravedadx-_JM?searchVariation=17140773994,70,28,2,2,3,#674080413,"Beige,Celeste,Negro","XS (54 cm),S (56 cm),M - 58 cm,L (60 cm)",Vértigo,Vintage Maya,Abierto,Simple,Micro Fibra,Termoplástico,Adultos,Unisex,Vértigo,NA,NA,NA
16, Casco Punto Extremo Xr650 Rebatible Doble Visor Negro ,4590,NA,"
			
				Nuevo
			
			
				
					 - 
				
				128
				vendidos
			
		",(13 disponibles),6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,137,https://perfil.mercadolibre.com.ar/MARELLI+SPORTS%21,https://articulo.mercadolibre.com.ar/MLA-684785717-casco-punto-extremo-xr650-rebatible-doble-visor-negro-_JM?searchVariation=29203451786,94,37,5,0,1,#684785717,Negro mate,"S 55-56 cm,XL 61-62 cm,L 59-60 cm,M 57-58 cm",Punto Extremo,XR650,Rebatible,Doble,Goma Espuma forrada,Policarbonato,Adultos,Unisex,XR650,NA,NA,NA
17, Casco Moto Mt Stinger New Gp D3 Amarillo Integral ,3581,NA,"
			
			
				
				7
				vendidos
			
		",(7 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,1,https://perfil.mercadolibre.com.ar/MT+HELMETS?brandId=1346,https://articulo.mercadolibre.com.ar/MLA-714158396-casco-moto-mt-stinger-new-gp-d3-amarillo-integral-_JM,NA,NA,NA,NA,NA,#714158396,Negro Fluo Amarillo Naranja,"L,M,XL",MT,Torn,Integral,Simple,Poliestireno,Policarbonato,Adultos,Unisex,Thunder,1450 g,NA,NA
18, Casco Moto Hawk Rs1 F Integral Naranja Tienda Oficial Full ,1990,NA,"
			
			
				
				126
				vendidos
			
		",(54 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,314,https://perfil.mercadolibre.com.ar/HAWK+HELMETS?brandId=1746,https://articulo.mercadolibre.com.ar/MLA-786125556-casco-moto-hawk-rs1-f-integral-naranja-tienda-oficial-full-_JM?searchVariation=36950360890,211,66,32,4,1,#786125556,NA FLUO,"S,M,L,XL",Hawk,RS1F,Integral,Simple,Cuero sintético,ABS,Adultos,Unisex,NA,NA,NA,NA
19, Casco Integral Hawk Rs1 2019 Sti Motos Envios Full ,1999,2999,"
			
				Nuevo
			
			
				
					 - 
				
				501
				vendidos
			
		",(3 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,314,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-636093454-casco-integral-hawk-rs1-2019-sti-motos-envios-full-_JM?searchVariation=25890123643,211,66,32,4,1,#636093454,Negro mate,"S,L,XL",Hawk,RS1,Integral,Simple,NA,ABS PREMIUM,Adultos,Unisex,Integral,NA,Urbana,RS1
20, Casco Motocross Oneal 2 Series Rl 2019 Mx Enduro Atv ,7690,NA,"
			
			
				
				76
				vendidos
			
		",(13 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,13,https://perfil.mercadolibre.com.ar/MOTOHELMET?brandId=1633,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=u2aX2KIHgRvJ6mU0eRUX6grvF%2Fiw%2FRPMNs2EgcUBo6h%2FDAVXBXeP%2Fvg5b5I3eABuVmol4ZmpaE4SndM4CxjvuM65pAsdO4wHsSQODVom3Ad8Uz7qf8cuUX2CfRRo0U0BM9nJAtgtsJiuA83BjqWWVdSj3jLlAQviOBKgGcA6rPSp%2BLF6WPcbw6AXchR%2FVM5Y4KcFcZwKfDW035Guvg8jwKZsuRr7DFrAqXY0mNO6Eqdil3FUHsk8cKRMK57UAoKc4xEcnf1JEf8mxpy6%2BFz3ndp6guCifpANffehJwjUgZlK9n%2B1IB%2BK43xIxuKwFaYP3ap89nCxEHSimpGFIM3Oy8eCoxk7xbDJvCNVsb12j2W%2B%2Blxw7QcM4rgd2bIQa%2BcKJ042m33PP2IgGcU74hCM0u515Rg7CwCN5ilDamW1Pwm59gVzwipQOqespOngLv9m%2BSwZSIRhqsqVumrL3VxxxKZS%2BHGN7j2VhhKzj0ifmnn4RSr%2FKexmY%2BY2LyhShCyF%2F0UzQ2CKZo3fSZhWldWD5L%2BVaADJlRZTNNmIOLaleXeoaukpUWbaS0x5WBeVtkSLCsYT%2BaoMr58Omls4nNoVjOnmzz6HoXRLYvHBSSaTtN%2F0OI3r5NviALWyoflYx%2B5QB%2FbLUQVCEaW2SPdWuGmxEVfi%2FTDVu99IBVkS9GzmPQTrGnIiFWQtKJ7wm7MgYgQPBhS%2BFQ2rAv9nvltWp80IHDXRT21RQM3mLEzt4M%2F8IhK98QKxYpN%2FA3Xx%2FvJPjLRsbAjP42EbBD%2FU%2BDx20BNMDpY5bqdcAeCGD0WnW1AwCzzRl%2BNIR92TL%2BQOVgfRyrVKVcN9ldbAmwoPvyUYzlZBBk5YBbLt7lBK6Vtq%2FJDzH9rQkyJkUfC0T6iI02C92oADNgpZRqaSxwubPH3LjS%2FBvcOcUw42ZI9EpMPtgJRhLidxIQC5KE4zJ2eD22ewRXEWyt%2FoiyEU0M%2FrN07axbtgH%2FT6jDe8frEXNlAmGufWIjKG2HUg63U3lkUiddNPyD5SOZvp4L5dhlcvwSo1K3oj3GpTkoyua3qVic6Ab2eFD0%2FbfVi2OEo2V82kmAzXR4BJArci8OumcTSGU%2Ff2GwqWuh1i04oTCRwfVACuZswzzzpa6kGDHSvKfBuqu%2FuE%2FswcG%2FHM8elqS6EIsvIqa4fNlGPq%2BQIbHcNEyYk7OzKPP6U8hYfABRzxIXFzN8T7KqS3mlZ3G2P44PjrN9LxHnmLISVuO6ByrerjIY%2FxUkA%2BmVWHzsWuJLv1HMCftqqpYAteOuv749g%2BbGD%2F61pv5oDZhYYWn%2Fz7CKjfTT2NgdkT10Phr1SzEwSvw96%2BQznR10j3e7lyuCA7fRNVF8egOztngCv%2Fs%2FT%2B%2BP1hp67ZAf8LTZ5U%2BVBQioM8ZBZKfCBa505%2Bk63Q%2BZUrL9dUkkp1gjc4K%2BrWp1jX62%2FutEg7RrAn8PY0iQfwt%2FzDXMTOiTGefjUhfxbx%2Fgw%2F6ObIWzC0B24xJPcki9NDWkuf105VPtSeYs3ThqUaChks0e0%2B3hl7yq7Hhe1XpDjjyAnkt%2FCs5%2Bj%2Bcv8JG5stiiCDowPov6z1bCNUZtGkZsXYJxAJpZWINVJQgiLHNNJTnRlq1mzNHFCZNel8XXWXa7uZWjaXG8fDJBgDbTZDOswE8S4AVw8tdyrN1nVad%2B4eMyzespSpaV7rDryGbmLRUzgxOXcmw2sQ3ltpNtZyy66gZuhE2HykOz90fjHPKjRYmqjI%2Ffh5irtsBcXQSN%2BvqilhGWS%2BFJS6zt3Q5%2FX0OyMko6BdMJE%2FAtiZpTREijae8xTg8wYvm7IulM6%2F%2BP7gDct7cHGdTAYr1MqMaAQU%2FaS46XJJ%2BQi1i83CZWz0r4Fp,12,0,0,0,0,#762056680,"SLICK BLACK - Azul,SLICK BLACK - Blue,SLICK BLACK - Gray,SLICK BLACK - Orange,SLICK NEON YELLOW - Black","S,M,L",O'Neal,Slick,Cross,NA,NA,NA,NA,NA,2 Series 2019,NA,NA,NA
