search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Linha,Modelo,Tipo de capacete,Tipo de visor,Materiais do exterior,Idade,Gênero,Materiais do interior,Peso,Tipo de fechamento,Certificado de segurança,Usos recomendados
1, Capacete Moto Feminino Fechado Ebf Varias Cores E Tamanho ,133,NA,903,37,12x,11.16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,214,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-824544027-capacete-moto-feminino-fechado-ebf-varias-cores-e-tamanho-_JM,170,31,7,5,0,#824544027,Branco e rosa,58,EBF,New Spark,New Spark Borboleta,Integral,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA
2, Capacete Moto Ebf Feminino Cross Fechado Varias Cores E Tamx ,169,NA,195,74,12x,14.16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,59,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-854437166-capacete-moto-ebf-feminino-cross-fechado-varias-cores-e-tamx-_JM?searchVariation=25530772440,48,6,4,0,1,#854437166,"Branco - Rosa,Preto - Rosa","56,58,60",EBF,Motard,Motard Fada,Integral,Simple,ABS,Adultos,Feminino,NA,NA,NA,NA,NA
3, Capacete Para Moto Protork R8 Fechado Viseira Iridium Loi ,120,NA,851,24,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2123,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1162746915-capacete-para-moto-protork-r8-fechado-viseira-iridium-loi-_JM?searchVariation=31714122516,1407,403,181,62,70,#1162746915,"Amarelo,Azul,Azul-claro,Laranja,Prateado,Rosa,Verde,Vermelho","56,58,60",Pro Tork,R8,R8,Integral,NA,injetado em polímero abs de alto impacto virgem,Adultos,Unissex,"espumas de memória para melhor absorção de impacto e conforto, tecidos nylon em pluma anti alérgicos e com alta resistência abrasiva",1.27 kg,NA,NA,NA
4, Capacete Para Moto Protork R8 Fechado Resistente Oferta Loi ,120,NA,2212,31,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2123,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1071430308-capacete-para-moto-protork-r8-fechado-resistente-oferta-loi-_JM?searchVariation=25824453651,1407,403,181,62,70,#1071430308,,"56,58,60",Pro Tork,Sportiva,R8,Integral,NA,Injetado em Polímero ABS de alto impacto virgem,Adultos,Unissex,Antialérgica,1.27 kg,NA,NA,NA
5, Capacete Para Moto Protork R8 Fechado Viseira Camaleão Loi ,120,NA,750,31,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2123,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1162758324-capacete-para-moto-protork-r8-fechado-viseira-camaleo-loi-_JM?searchVariation=31714629237,1407,403,181,62,70,#1162758324,Prata,"56,58,60",Pro Tork,R8,R8,Integral,NA,injetado em polímero abs de alto impacto virgem,Adultos,Unissex,"espumas de memória para melhor absorção de impacto e conforto, tecidos nylon em pluma anti alérgicos e com alta resistência abrasiva",1.27 kg,NA,NA,NA
6, Capacete Moto Protork Escamoteavel Robocop V-pro Jet 3 Loi ,167,NA,558,27,12x,16.06,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1723,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1071360789-capacete-moto-protork-escamoteavel-robocop-v-pro-jet-3-loi-_JM?searchVariation=29556830528,1244,333,93,23,29,#1071360789,Azul,"58,60",Pro Tork,V-Pro,Jet 3,Integral,NA,Injetado Polímero ABS de alto impacto virgem,Adultos,Unissex,forração antialérgica.,1.63 kg,NA,NA,NA
7, Capacete Moto Protork Evolution 3g Noscity Preto Dourado Loi ,99,NA,170,32,12x,8.33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,4,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-798336971-capacete-moto-ebf-aberto-unissex-varias-corestamanho-_JM?searchVariation=27796449325,4,0,0,0,0,#798336971,Preto-brilho - Rosa,"56,58,60",EBF,Thunder Open,Mandala,Aberto,Simple,ABS,Adultos,Unissex,NA,1.4 kg,NA,NA,NA
8, Capacete Moto San Marino Automático 788 Masculino/feminino ,69,NA,7,398,12x,5.82,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/AT+E-COMMERCE,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=x2%2FuWy8eMK0VUmWofdcUnVsPWZugwr5oli4ZEv8QAA8Xa5zwUL2U1EfQ7zJf7VaaSGfTy4fkcsHnUVXYtwKsESKCfB8xt7Y%2FMxrE75myBZx5wEvJ0lBU%2B3EYQxH0R2l%2FgRb6LIQyTNT79tFHxyYJ%2FVpkjphm8tFRy1zWKbZOokWVh7Me3n0T48Rr9GXMZQhYRL4BQKa%2FZMjjGwtphix38txxI%2B%2B5VP7NzJXKO1E3TYE4SQHcPIdRBvs1jM7pSwsvX0%2BQTFJhQ2pluCLO0WhVXpZMtsAzvivI9SLaabffQNDKBkfx%2BTlqIRLLdEWV12c1yApbv6PRPSzdRV73RFGxbzZ6G32fodf0X9Kjuko0rTGHDd1hF%2FM%2FEtPidLUMeJp0lelzXP8KJJXSuLvLJvGuCPZ7ST7YYlXsHxj1cu9q5%2FyNsTlwzeD3xhcOlpqwjEq2VFPPw9LpTSxBbZUOLBRfzVI5mCKEpffKCKMQZN9BLHb9mv106G9Y8atjs0zE%2Fb6EzYhZ%2FTNi%2B3iC5pXkNxkliL5m8keNiLRzEwiZuV1kDgsyXJJvLni4IGpiYVBnggrxYs%2Bhf8fefP%2F4hcgmyQD3M8O35TmXtkvdKp7CQkF4uhEgzlC2jPHTzF%2BuB9wctsIgGycAfA4r%2BNH%2Fd4uURWaX6U9Txg7qwXa0pB8%2B%2BtRlLwu%2B4%2FO54BPF9ehM9K41qiDSJw%2Ba7HPF3%2Bk%2BPlN9oRY8R0Bafaf%2FKKvaBRGnF2zME3CRXU67nysQo3ofmy50bVapoTGSxgF2r5zlhMXrCX8dsiaBAVOtYag7cRKRoCZ9B0s1gQlQqV5po2Q58l8HyPLBSPYJdkT2gU2BJ2Lfn8iRoQrNSOInEuafC0sagkIyiZnLtUvJ0oX26Q9ydHKEpKG7Cf%2Bqtu9r%2FXysOT%2FGX6tjpfhHELfHZbzlSRMwu0neRzT62mitahlzc1DkA6CMyK8VgCcVqSIPLeT%2FEOty3R2HOyq4i2HKEBXQwUN%2FpgZU1yI4pA0rZMQOOPLTyJtPEqhPIPCWpHTePiXiYoLPhN5yMOjWBy4c8J%2B55v%2BmGHPqU3OnPcc%2B%2BYB6Z1UB%2FH9L8GMC8i0kChNFGP0rf%2B%2FBcF6BTOCS9f1MgnLkRUuwIJ2y0np5dNT%2FLC6zrxI6KdqG6x9NEwkgaxYsp4NTzVbnr2uRXy%2BBwiEElbNpgF%2BOCzUge0BTAT7Nzg9lUF7%2BD87nXL8fNNEBga9ZwGz%2Fbqiizdcs0BWzCbcUHu4xYecVSaffqvBdM%2FcNoNu0mpZIoYFgiegdP1Bo8Yx%2FA71c91iBxJ26zVJYYmhQ5mNWOVpOah1w0V9f6xvH1i5b829xGFwe%2B1A4D6uJWT6v2Rp%2FDN7%2Fw8hfrod%2FPYlSrEyva65Y3JKNBObuU0KRjg9M71cILzNrTLHFRVljg8y%2Brlr1jQaBAfJjMwuFVIdVbafze%2BBu8KIGJNrX4F1OaXJIWUafnI2D%2Ftoe%2BR4MS%2F1ga8e%2BzYNqylK73u3amiMQ5Pt1Yinjv888o0hnbN8jW2LSPMDGrqEF4iAjMd2eVfzGVGfqcxanLsbNMGMqPEMgDWZiABksX6eyuz05MXpLiezrsYCWHQwikhhNmReSkcOe7ISuzjhAoZfymzA%2FfPMIsRIg1%2B37Pw2C0AQWC1Q3ckKLEe3pPptg6%2BVA4OWIzbOA1jP12mALaqYIILRLKAg06tltGMLeRCbN8I9ofUjwfu0dotYC1UMs2Lhx%2BlrNMJDP2n7pjBo9%2Bm8FgNZMel3eirBMNRhSt2h9QfCI0aHNV80rlNULRNMD%2FNhP9DJuTJ1v9TZE51dA76LE2pTapgtCshVtCJyqZRiEoZn6eIhph%2BKWBFlb6xRmMOAnEAqriVUW594%2BR0zZKc9qCNoucpUlxtSG1exfjwI%3D,NA,NA,NA,NA,NA,#1281264225,Rosa,"56,58,60",Pro Tork,NA,Sport Moto 788,Integral,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA
9, Capacete Moto Ebf Aberto Unissex Varias Cores/tamanho ,57,NA,68,7,10x,6.59,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,2,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-798872313-capacete-moto-ebf-shield-solid-diversos-tamanhos-e-cores-_JM?searchVariation=31963346637,2,0,0,0,0,#798872313,Vermelho,"56,60",EBF,Shield,Shield,Aberto,Simple,NA,Adultos,Unissex,NA,NA,NA,NA,NA
10, Capacete Moto Ebf Shield Solid Diversos Tamanhos E Cores ,134,NA,827,3,12x,12.90,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,80,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-960763001-capacete-moto-protork-evolution-3g-noscity-preto-dourado-loi-_JM?searchVariation=25688881227,52,18,6,3,1,#960763001,Preto,56,Pro Tork,Capacetes,NOS Evolution,Integral,NA,Injetado em Polímero ABS de alto impacto virgem,Adultos,Unissex,camurça com alto nível de conforto e absorção;,1400 g,NA,NA,NA
