search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Linha,Modelo,Tipo de capacete,Tipo de visor,Materiais do exterior,Idade,Gênero,Materiais do interior,Peso,Tipo de fechamento,Certificado de segurança,Usos recomendados
11, Capacete Moto Robocop Escamoteável Pro Tork V-pro Jet 3 ,161,189,4289,561,12x,13.49,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1723,https://perfil.mercadolivre.com.br/SPORTBAY+PLUS?brandId=2047,https://produto.mercadolivre.com.br/MLB-1172406260-capacete-moto-robocop-escamoteavel-pro-tork-v-pro-jet-3-_JM?searchVariation=32456491659,1244,333,93,23,29,#1172406260,"Azul,Amarelo,Azul,Azul-claro,Gris,Laranja,Rosa,Verde,Vermelho","58,60,62",Pro Tork,Capacete,V-Pro Jet 3,Integral,Simple,"ABS, Policarbonato",Adultos,Unissex,Nylon Pluma,NA,NA,NA,NA
12, Capacete Moto Ebf Articulado/escamoteavel Robocop Varios T/c ,65,NA,233,15,12x,5.50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1602,https://perfil.mercadolivre.com.br/TOPMOTOO,https://produto.mercadolivre.com.br/MLB-1018059715-capacete-aberto-new-liberty-three-3-pro-tork-moto-_JM?searchVariation=23212833269,1186,280,102,15,19,#1018059715,Branco,"56,58,60",Pro Tork,ABERTO,New Liberty Three,Aberto,NA,ABS,NA,NA,NA,NA,NA,NA,NA
13, Capacete Moto Fechado Ebf Masculino Varias Cores/tamanhos ,149,NA,1475,7,12x,12.50,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,225,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-798271820-capacete-moto-ebf-articuladoescamoteavel-robocop-varios-tc-_JM?searchVariation=25735860637,148,45,17,6,8,#798271820,Preto-brilhante,60,EBF,Robocop,EBF E08,Aberto,Simple,ABS,Adultos,Unissex,NA,1.8 kg,NA,NA,NA
14, Capacete Moto San Marino Masculino/feminino Frete Gratis ,120,NA,NA,256,12x,10.00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/PN-SHOPPING,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=xrVRNTvk2yeeh2vo%2B0%2BbSUtU76asyCf04WeEHu8Sxt2tQi%2BGFJPwSAuhmDsqfdUs5zB6RJw67n5E3Fu9qXHmmFJksxOzbW5%2FFpUeXB4sxUoHiclKT9ZzS%2B66iKNXBHc5eDbd0G48Dhk1gfvxuFA5W8X7768RTM2TgNrQYYqmBv1DP5Y5LiNvcAqyfixUQkMOXipkbDvuPEQzVX2vANjieqwvqys1LO3WNTpro66gJiJ7qRYE3nUlh9QT%2BgxcaXCxgz1D%2BbPxG%2FIaWxkWz8BJMQu8nJtv1c4fAQNZzodBtlSDmPMa2sqddBs%2FwxxirE3MpfVwQmAVGXqPJ5Y2pdxuW7pz6ZPjbwbHXB4dlIxk46NhjSAUaH7pUS3WEQkg4Pby0NynKBSSRUmOYv%2FynYxL6S%2FIVCKM%2Fu7KDZzeq9u43tKeP1G3tNzh%2BUj8DJxDEuE%2F2GETfgyetx2JLeyV4UMYOkkSHI0crX0QLO1UWn13RcJGy762fLRnMjgqZdat%2F194C7nbkbq3nOCsfy6X8W6JcV3TY9DIBqEgZOfqPSMlOo84zS%2FRS0LAAw2SBq3b5Stft%2BAwr7h2kCRIBBieL8ha%2FAkip%2BH28dk4zJHXdDlOg6W2EGPkckmvhzvrKdSOYvM31%2BswlxUvmoVsELZlVEGKSNgDMxhf2%2FVdSPTPjKCSDMKM4GSen988zSH2okZqIsADAxTJuhFId08uTCaoFNkXjPovp2HnSmzek9OB1vavipXJhuNVkx992ba%2BiRvaMiPz9jp9sDlLuXnHs1DV5Nucz2J0sm7mrWX7jvZAuQeiINJIMcIDqXI1DEcaJ64VoZGRTtwTijQcovRD6wz1PcTKV58RNlW08eZHN2OgQRVMFhyp5esNxumLDlqLxc7fgKLjbZfT514v9to%2F4IhpMkm9ukkiufvcDg7pw%2BLslUlYAIe3BeXn8oflBhoebFQyagXaznrnuhFidiYAVJsSKZcTlpIP8FE9scMzCtdW9nGwwQSiTsjDjzWVLIUcmKC%2FtPD5LxedSGerTfSo7b%2BtVgA2OBXp8bTGtFS5dNkvnVittCudOrFOD6YR%2FEpqduyQtEXC4Q1WSq0vsmMNeDQrw0NgJth4K88pnr5ufaLPUuCbD%2BGTyWaFtmLVHGUrclaVOlqFkUK3L38M08lVeKx9%2FWC8r%2FtB6ZQmtIliub9QwrvRxQh6PvpX06cclvR2QHOXgXBUJY1slO2xn3r0e0nvwNWRAlWOwSSy6xHtryeuDiMBkR%2BZjPO6keFbPQAdheamuoDZyA%2BZsY%2BvP%2FDsY2Nh6ydhEqXWwlzaWxZsXjVkp3qf8OcC9hilcZ3rYzR69WxmokG6MRw%2BLfjrKf10gEKTEJ9Qi6ZSUp%2FLUfSlVBMKYDtVFCi8BT7yRp%2BcYV3GcnObXFnr1YF68l6aaaJmFpIfwrRVBVIZMBl7bwaYbHVNWzIZTWBT6tXXkxORXU4Z%2FFgzLdyUNaJ3%2B6%2B1%2FB1kqMc7HQejd9idi2uXvrwp4MqYZsEeIwzidOMhkV44LOgIqcd0efmpDzXsUSn11TPkVxJ9m1WAPW%2BY2hisbJQ%2F74b1bThF3S%2FgQ6J5CatFlW8Uxm8hiv%2FpOZlqa6IYS2BWPG4XXCvuWVOQrYYhvXfoMffsXSUYz0ImTWKMdCYFPdBUkmngAXN759zJwYcvt09VkqdYN21aQeWbb7XATeOmYniDa3GRjjbz%2BZgA7oKt3m3tXdzUhpBrGqIP3uc4icFQzLqj4Vt1DcFHUwzqzYfPrEpRG%2BlhmSdaJxprHzqh%2BmajTRrkxwET6v9Zf7FwMGiEjI1I1%2F17qao5dS8YUD4S%2BtYSpWkgtHXs3QBdlVDZPJvMEtCyqdocfAWn1S5iY8u2BubKkuJSV0FY3hqn%2BdeGrtE15A%3D%3D,NA,NA,NA,NA,NA,#1282955204,Rosa,"56,58,60",Pro Tork,NA,Sport Moto 788,Integral,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA
15, Capacete Pro Tork Moto Evolution Nos ,185,NA,370,14,12x,15.50,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,15,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-803341736-capacete-moto-fechado-ebf-masculino-varias-corestamanhos-_JM?searchVariation=27796982381,9,4,1,0,1,#803341736,"Branco - Azul e Vermelho,Branco - Azul e Vermelho,Preto-fosco - Amarelo,Preto-fosco - Azul e Vermelho,Preto-fosco - Prata,Preto-fosco - Rosa,Preto-fosco - Verde e Vermelho,Preto-fosco - Vermelho","56,58,60,61",EBF,EOX,Frost,Aberto,Simple,NA,Adultos,Unissex,NA,1400 kg,NA,NA,NA
16, Capacete Aberto New Liberty Three 3 Pro Tork Moto ,399,NA,128,6,12x,33.25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,30,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-1188744116-capacete-moto-axxis-by-mt-skull-caveira-azul-lancamento-_JM?searchVariation=33693186315,27,2,1,0,0,#1188744116,Azul,"56,62",MT,Eagle,Axxis,Integral,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA
17, Capacete Moto Axxis By Mt Skull Caveira Azul Lançamento ,75,NA,1911,11,12x,7.17,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,48,https://perfil.mercadolivre.com.br/VEGASMIX,https://produto.mercadolivre.com.br/MLB-1052195678-capacete-sport-moto-788-automatico-pro-tork-san-marino-_JM?searchVariation=24813044366,31,5,8,1,2,#1052195678,Azul,"56,58,60",Pro Tork,CAPACETE,Sport Moto 788,Integral,NA,ABS,NA,NA,NA,1.04 g,NA,NA,NA
18, Capacete Moto Mixs Fokker Storm Fundo Preto Fosco Lançamento ,60,NA,587,154,12x,5.73,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1602,https://perfil.mercadolivre.com.br/CIADAMOTO1,https://produto.mercadolivre.com.br/MLB-1167358616-capacete-aberto-new-liberty-3-moto-motociclista-promoco-_JM?searchVariation=37125151127,1186,280,102,15,19,#1167358616,Prreto Brillante,"56,58,60",Pro Tork,New Liberty,New Liberty Three,Aberto,Simple,ABS,Adultos,Unissex,Poliestireno,NA,NA,NA,NA
19, Capacete Moto Fechado Protork R8 +viseira Fume+ #balaclava ,60,NA,2908,20968,12x,5.83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,1563,https://perfil.mercadolivre.com.br/FGOLDSHOP,https://produto.mercadolivre.com.br/MLB-939522798-capacete-sm-moto-automatico-marino-pro-tork-motoboy-_JM?searchVariation=25199373283,970,338,149,57,49,#939522798,"Preto-fosco,Amarelo,Azul,Branco,Branco Flor,Prata,Preto,Preto-fosco,Preto/Cinza,Preto/Rosa,Preto/Verde,Preto/Vermelho,Rosa,Vermelho","56,58,60",Pro Tork,sm 788,Sport Moto,Integral,NA,ABS,NA,NA,NA,NA,NA,NA,NA
20, Capacete San Marino Masculino Feminino 56/58/60 Pro Tork ,65,NA,3,82,12x,6.21,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/A.T+STORE,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=7jAc%2BMOFOo1dBglz1NQxefEomRnFCGF6kGJjvovLGQi1aj%2B6hfyCUiHIQG8m9%2BIRtN4Zp4d8C%2F1cH9CkvtLTCXC5SzDmi7vOVgeGF0hF9fKARXEUofMohJlG0C6aSWk9jKBtyVdBo6BaaugsRwGJoPB2vzaNilP1krRvDgDUNo0ZjZZhDkWRqBxhcNOE%2F%2FuzfsQliVIpqfXsoSSWlaVpcblMbZJpwjKvygVOsYgkxnNe0T4mc6a6%2BkeL09M7pdABKdI3XIjY5AH2ZpmCeJUFe%2Fzp9ArNFwjxKoc9RUweA3d84AdOrSlFrQ9T%2B6hUzOoBPACtDiyOhSQLtqAlr3i2Y0Bm4Hzti41L1yDMRqSa4ouRlYU%2BcLo%2FdLnqNv7s1H0J3xbfxzRI6YYYNKESqblGQ1SyW4BCRhrwMgO8aSDN05rj1%2FiP0bLYUeqbv29Nx0jV2QRFXoZiWnW7yyYYE3CeqvC5PncywgLQLriu14Dj8qrQRIwystHqYMz8OI%2FAf4whulgNt8F3ROB%2BBl8HVVLL3181ACf39oLswT8LlJsaPIshDhuJ89kfj9U8lV3bwhPmAMBKSR4BrYc7QuQiDDIZzuYZ9WVCFA0kaAWKigGKr%2BsZ5TuB9jkUPL6NzdcwA4E2HpBMnjVAI6WuJLZGqLKcOINhctM%2BgnBmh7tKFbbWqT5LfijyXi6s%2Bu4waon6uQcw1wLrq4JBdQYxLpPGdAUaKDbcDkkS%2BF6YSN4uyQBbtV6Fpu23%2BdKSC0lyLZ8Nd0K5pJSUbHGiUwdgW3Ik5utSkhn0JtsZzZDJbd%2FVJ3BWgyuC6qV%2BuAH10hGk7KYxb8HNn6j6k4IhTgEkBjXn23GJ4XrjjYXJRqFZLFC97rLK8eIUNaQTQeb45g5q0UWuS%2Fdjn9nVS%2FyYDzPPaFLYvdlwSJrrc6jy%2BfbnzKwFFUYuVnCi2vuMr%2BIKyoz1GrBtMfkH8g4mv9WmOphLwhGQg5%2Fix9QQCKfKYcI6202sZFQbbF%2F4uDSc%2FYCce66lYNDf9TSRgzdh9IAC56bI%2Bt4RL1QrbkOd8k0%2BQW6avz%2FDXVDLqsM0lB82uAl2kyWgHwDs%2FzfDTp0jDoPUUtxvAtqZ3xxQOKABL0T%2Bk86D5Vz9DUBfS6Sdq1Jr7HwfNzClTEeTnxB8kvzlPhqbI9T1%2F424aqpsl4zTvMYmT5MNpKaWH9RCbCKQfrAtmff1x6if%2BNzABLJ5xoaY4KP5wj7EtaPgcIw0MSX3NtPzMnXt5pLZxFkbw1zZS5nBrL60rnYcKxb2%2FwXvsDK87xhi9h85qB4N0qcqKic293qyO6Bn3gRQeQyULYOGfbi5Zgyn7EvAnsLKUsMUGaZQSAe0HZ4M9eErhDYPrhwnhpAxxknPStU48etbK44gngaaRZIwZBBObjAbkbF6q12sdhOvaOJuTdCTnRAwk4E8dFstNh4l90sov5rDepEbVRZbO2tBALwq6dzlSKPKWyb0IWK3bqJFXR9CNUn80kWLWSVJRXNAHVR649nqwEqN6u%2FnJsW5vZAvxiHxMm9MzKd2diGh4g7v3JmIh0AxNazjJLZWFF%2FnPMC3CAE9GYBk5wJ9jgw0s0eKUdQbtd7f3myf34xiPz4zS5Kzqfax3WWKDVVTBq9sbtRC1giHq7v%2B7yDxu3efclUfxYkZUhxwnW4hJ4%2B3Q5uaSarVluYd3xqQd%2Fuew5ugnaEvQvb3HrPyPPaocOXf7vblJ2NYaUtX9cY5g2K4VE3DeQqlyi6V3A88%2BIJWsJf87yZu1chDIJrK6s28a9YOXQCE3FdWjVTCsnW%2BffIytnUk4Lo8DcLucKIwYHhPr3MrG4rYluMaR7Nuzn6MrhYUT2R%2BaC%2BQ54omhO5UqeIfZ7qLKnlSdeG7JHxV1KYUMiAqj%2BeM,NA,NA,NA,NA,NA,#1281300205,Preto,"56,58,60",Pro Tork,NA,Sport Moto,Integral,Simple,NA,Adultos,Unissex,NA,NA,NA,NA,NA
21, Capacete Moto Cross C/ Viseira Pro Tork Várias Cores/tamanho ,75,NA,904,20,12x,7.17,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,1563,https://perfil.mercadolivre.com.br/VEGASMIX,https://produto.mercadolivre.com.br/MLB-1051226842-capacete-street-sport-moto-for-girls-pro-tork-feminino-_JM?searchVariation=24768784773,970,338,149,57,49,#1051226842,Preto,"56,58,60",Pro Tork,CAPACETE,Sport Moto,Integral,NA,ABS,NA,NA,NA,NA,NA,NA,NA
22, Capacete De Moto Retro Branco Azul Pro Tork Vintage ,120,NA,2008,22,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,71,https://perfil.mercadolivre.com.br/KAZZU+COMERCIO,https://produto.mercadolivre.com.br/MLB-1133429702-capacete-moto-mixs-fokker-storm-fundo-preto-fosco-lancamento-_JM?searchVariation=29861517008,41,12,13,1,4,#1133429702,"Verde,Amarelo,Azul,Azul-escuro,Cinza-claro,Laranja,Rosa,Verde","58,60",Mixs,Capacetes,MX2,Fechado,NA,NA,NA,Unissex,NA,NA,NA,NA,NA
23, Capacete De Moto Evolution Fechado Preto Pro Tork G6 Pro ,57,NA,1690,565,10x,6.58,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,1592,https://perfil.mercadolivre.com.br/EMPORIUM+LIVRE,https://produto.mercadolivre.com.br/MLB-871667175-capacete-moto-protork-new-liberty-four-varias-cores-escolha-_JM?searchVariation=27219629615,1056,338,143,32,22,#871667175,,"56,58,60",Pro Tork,New liberty,New Liberty Four,Integral,Simple,ABS,Adultos,Unissex,NA,NA,Micrométrico,Inmetro,NA
24, 2 Capacetes Aberto New Liberty 3 Moto Oferta Promoção ,65,NA,390,129,12x,6.21,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1602,https://perfil.mercadolivre.com.br/CMC+RIDERS,https://produto.mercadolivre.com.br/MLB-1130342691-capacete-pro-tork-new-liberty-three-3-moto-motoqueiro-motobo-_JM?searchVariation=29629708493,1186,280,102,15,19,#1130342691,"Preto-fosco,Azul,Branco,Prata,Preto,Preto-fosco,Rosa,Vermelho","56,58,60",Pro Tork,CAPACETE,New Liberty 3,Cross,NA,NA,NA,NA,NA,NA,NA,NA,NA
25, Capacete Pro Tork New Liberty Three 3 Moto Motoqueiro Motobo ,132,NA,1150,1272,12x,12.71,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2123,https://perfil.mercadolivre.com.br/PISTAMOTO,https://produto.mercadolivre.com.br/MLB-1077714424-capacete-moto-fechado-protork-r8-viseira-fume-balaclava-_JM?searchVariation=26160059577,1407,403,181,62,70,#1077714424,"Vermelho,Amarelo,Azul-claro,Azul-escuro,Laranja,Prateado,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Capacetes,R8,Integral,NA,NA,NA,NA,NA,1200 g,NA,NA,NA
26, Capacete Aberto New Liberty 3 Moto Motociclista Promoção ,66,NA,168,25,12x,5.50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,3,https://perfil.mercadolivre.com.br/VEGASMIX,https://produto.mercadolivre.com.br/MLB-1181903476-capacete-protork-coquinho-moto-custom-couro-boulevard-harley-_JM?searchVariation=33198145839,1,2,0,0,0,#1181903476,Preto,UNICO,Pro Tork,NA,Coquinho,Aberto,NA,NA,NA,NA,NA,NA,NA,NA,NA
