search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Peso,Línea,Tipo
1, Casco Ich Integral 503 Certificado Gratis Placas Dot ,109.900,159.900,"
			
				Nuevo
			
			
				
					 - 
				
				488
				vendidos
			
		",(32 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.053
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.6,21,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-461184205-casco-ich-integral-503-certificado-gratis-placas-dot-_JM?searchVariation=40977991088,18,1,0,0,2,#461184205,Negro,"S,M,L,XL",ICH,503,Integral,1000 g,NA,NA
2, 2 Cascos Moto Certificados Abatible Ich Gratis Placas Dot ,189.900,249.900,"
			
				Nuevo
			
			
				
					 - 
				
				1195
				vendidos
			
		",(904 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 5.275
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,107,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-451628815-2-cascos-moto-certificados-abatible-ich-gratis-placas-dot-_JM?searchVariation=37527543135,81,19,6,0,1,#451628815,Negro mate,"S-S,L-L,XL-XL,M-M,S-M,S-L,S-XL,M-XL,L-XL,ML",ICH,3110,Rebatible,1000 g,NA,NA
3, 2 Cascos Moto Ich Certificados Integral Dot Gratis Placas ,199.900,279.900,"
			
				Nuevo
			
			
				
					 - 
				
				160
				vendidos
			
		",(95 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 5.553
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,15,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-446507047-2-cascos-moto-ich-certificados-integral-dot-gratis-placas-_JM?searchVariation=40421912606,13,2,0,0,0,#446507047,Negro mate,"L-L,L-M,L-XL,M-XL,XL-XL,M-M,S-M,S-L,S-XL,S-S",ich,503,Integral,1000 g,NA,NA
4, Casco Ich Abatible 3110 Certificado Norma Dot Gratis Placas ,109.900,159.900,"
			
				Nuevo
			
			
				
					 - 
				
				479
				vendidos
			
		",(397 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.053
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,47,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-451861202-casco-ich-abatible-3110-certificado-norma-dot-gratis-placas-_JM?searchVariation=21094453672,35,9,3,0,0,#451861202,"Rojo,Amarillo neón,Azul,Fucsia,Gris,Naranja,Negro,Rojo,Verde,verde policia","S,M,L,XL",ICH,3110,Rebatible,1000 g,NA,NA
5, Casco Ich Abatible 3110 Certificado Dot Eliminador De Olor ,114.900,169.900,"
			
				Nuevo
			
			
				
					 - 
				
				105
				vendidos
			
		",(59 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.192
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,5.0,2,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-446506027-casco-ich-abatible-3110-certificado-dot-eliminador-de-olor-_JM?searchVariation=25698736423,NA,NA,NA,NA,NA,#446506027,Azul,"S,M,L,XL",ICH,3110,Integral,1000 g,NA,NA
6, Casco Moto Abatible Certificado Ich Dot Gratis Placas ,99.900,149.900,"
			
				Nuevo
			
			
				
					 - 
				
				602
				vendidos
			
		",(349 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.775
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.6,65,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-452034081-casco-moto-abatible-certificado-ich-dot-gratis-placas-_JM?searchVariation=39382201338,47,12,4,1,1,#452034081,Negro mate,"S,M,L,XL",ICH,3110,Rebatible,1000 g,NA,NA
7, Casco Ich Abatible Doble Visor Certificado Placas ,99.900,149.900,"
			
				Nuevo
			
			
				
					 - 
				
				164
				vendidos
			
		",(377 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.775
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.5,15,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-452437042-casco-ich-abatible-doble-visor-certificado-placas-_JM?searchVariation=23233326269,10,4,0,1,0,#452437042,Negro,"S,M,L,XL",ICH,3110,Rebatible,1000 g,NA,NA
8, Casco Moto Integral Mt Targo Certificado Europeo Ece - As ,279.990,340.000,"
			
				Nuevo
			
			
				
					 - 
				
				99
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 7.778
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,14,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-462871593-casco-moto-integral-mt-targo-certificado-europeo-ece-as-_JM?searchVariation=32912015146,13,1,0,0,0,#462871593,Negro mate/Rojo,NA,MT,TARGO,Integral,NA,NA,NA
9, 2 Cascos Abatibles Doble Visor Dot + Pasamontañas - As ,199.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				28
				vendidos
			
		",(9 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 5.555
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.0,2,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-508809203-2-cascos-abatibles-doble-visor-dot-pasamontanas-as-_JM?searchVariation=34939691274,NA,NA,NA,NA,NA,#508809203,Negro,M/L/XL,ICH,ICH-3110,Rebatible,NA,NA,NA
10, Casco Moto Integral Kontrol Certificado Dot + Obsequio - As ,109.990,140.000,"
			
				Nuevo
			
			
				
					 - 
				
				28
				vendidos
			
		",(12 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.055
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,5.0,1,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-501927986-casco-moto-integral-kontrol-certificado-dot-obsequio-as-_JM,NA,NA,NA,NA,NA,#501927986,Mate / Brillo,NA,KONTROL,KNT-858,Integral,NA,NA,NA
