search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Tipo de casco,Materiales del interior,Materiales del exterior,Edad,Género,Tipo de visor,Modelo alfanumérico,Peso
102, Casco Moto Abatible Roda Certificado Dot ,"1,199",NA,"
			
				Nuevo
			
			
				
					 - 
				
				16
				vendidos
			
		",(1 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 6661
		
		 sin intereses
		
	

	
		",61,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,135,https://perfil.mercadolibre.com.mx/LAMOTO52,https://articulo.mercadolibre.com.mx/MLM-679573333-casco-moto-abatible-roda-certificado-dot-_JM?searchVariation=38683820401,104,21,5,1,3,#679573333,NEGRO CON ROJO,L,RODA,NA,Revenge,Rebatible,forro textil,NA,Adultos,Unisex,Simple,NA,NA
103, Casco Para Moto Hro 510 Tramp Calle Pista Naranja ,"1,126",NA,"
			
				Nuevo
			
			
				
					 - 
				
				15
				vendidos
			
		",(11 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 6256
		
		 sin intereses
		
	

	
		",56,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-636496586-casco-para-moto-hro-510-tramp-calle-pista-naranja-_JM?searchVariation=31561290161,NA,NA,NA,NA,NA,#636496586,NA,"S,M,L,XL,XXL",HRO,510,Tramp,Integral,EPS,Policarbonato,Adultos,Unisex,Simple,NA,NA
104, Casco Abatible Ls2 Valiant 180 Degrees Cromo Rider One ,"6,815",NA,"
			
				Nuevo
			
			
				
					 - 
				
				18
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 37861
		
		 sin intereses
		
	

	
		",61,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5.0,43,https://perfil.mercadolibre.com.mx/RIDERONE1,https://articulo.mercadolibre.com.mx/MLM-621480512-casco-abatible-ls2-valiant-180-degrees-cromo-rider-one-_JM?searchVariation=40043746303,41,2,0,0,0,#621480512,NA,"M,XL,XXL",LS2,VALIANT 180,DEGREES,Rebatible,Kapa,Policarbonato,Adultos,Unisex,Doble,FF399,NA
105, Casco Cross City Ls2 Pioneer Solid Titanium Mate Rider One ,"3,070",NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 17056
		
		 sin intereses
		
	

	
		",56,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,4,https://perfil.mercadolibre.com.mx/RIDERONE1,https://articulo.mercadolibre.com.mx/MLM-634639458-casco-cross-city-ls2-pioneer-solid-titanium-mate-rider-one-_JM?searchVariation=38707590164,2,2,0,0,0,#634639458,NA,"M,L,XL",LS2,Doble Proposito,MX436,Cross,MIXTO,ABS,Adultos,Unisex,Simple,NA,NA
106," Oferta Casco Tipo Choper, Acabado Fibra De Carbono ",220,NA,"
			
				Nuevo
			
			
				
					 - 
				
				104
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1222
		
		 sin intereses
		
	

	
		",22,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.0,2,https://perfil.mercadolibre.com.mx/ALEX_ICKER,https://articulo.mercadolibre.com.mx/MLM-683421230-oferta-casco-tipo-choper-acabado-fibra-de-carbono-_JM?searchVariation=39447593526,NA,NA,NA,NA,NA,#683421230,Negro,"Unitalla, espumado suave ajustable a culaquier talla",Ash,NA,Corte tipo harley,Abierto,dubetina con espuma,Fibra de vidrio,Adultos,Unisex,Simple,NA,NA
107, Casco Motociclista Zapata Blanco Seguro Dot Abatible Lente ,"1,249",NA,"
			
				Nuevo
			
			
				
					 - 
				
				71
				vendidos
			
		",(9 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 6939
		
		 sin intereses
		
	

	
		",39,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,36,https://perfil.mercadolibre.com.mx/MOTOMOPED,https://articulo.mercadolibre.com.mx/MLM-637669434-casco-motociclista-zapata-blanco-seguro-dot-abatible-lente-_JM?searchVariation=26395095353,26,6,3,0,1,#637669434,NA,"S,M,L,XL,XXL",KOV,Sthealt,Zapata,Completo/ Abatible,Tela,Plastico ABS,Adultos,Unisex,Doble,NA,NA
108, Casco Para Niño De Motociclista Superdeportivo Y Seguro ,359,NA,"
			
				Nuevo
			
			
				
					 - 
				
				128
				vendidos
			
		",(74 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1994
		
		 sin intereses
		
	

	
		",94,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.3,6,https://perfil.mercadolibre.com.mx/REMATESDELCENTROPUNTOCOM,https://articulo.mercadolibre.com.mx/MLM-549645640-casco-para-nino-de-motociclista-superdeportivo-y-seguro-_JM?searchVariation=37192414740,3,2,1,0,0,#549645640,NA,NA,WINMEX,WINMEX,2000,Integral,Poliestireno,Tricomposite,Niños,Unisex,Simple,NA,NA
109, Casco Hro Cerrado Moto Calle Pista 510 Sketch Varios Colores ,"1,126",NA,"
			
				Nuevo
			
			
				
					 - 
				
				51
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 6256
		
		 sin intereses
		
	

	
		",56,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-661913569-casco-hro-cerrado-moto-calle-pista-510-sketch-varios-colores-_JM?searchVariation=36754758613,NA,NA,NA,NA,NA,#661913569,NA,"M,L,XL",HRO,510,Sketch,Integral,EPS,Policarbonato,Adultos,Unisex,Simple,NA,NA
110, Casco Caberg Jet Ghost Rusty ,"6,199",NA,"
			
				Nuevo
			
			
				
					 - 
				
				7
				vendidos
			
		",(7 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 34439
		
		 sin intereses
		
	

	
		",39,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,4.0,1,https://perfil.mercadolibre.com.mx/SHOP+IGARTUA,https://articulo.mercadolibre.com.mx/MLM-643142908-casco-caberg-jet-ghost-rusty-_JM?searchVariation=27617130337,NA,NA,NA,NA,NA,#643142908,NA,"M,L,XL",Caberg,Jet,Ghost,Rebatible,Resina termoplástica,Policarbonato,Adultos,Unisex,Simple,NA,NA
111, Casco Abatible Para Motocicleta Color Tipo Fibra De Carbono ,"1,100",NA,"
			
				Nuevo
			
			
				
					 - 
				
				41
				vendidos
			
		",(1137 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 6111
		
		 sin intereses
		
	

	
		",11,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,3,https://perfil.mercadolibre.com.mx/INNOVANDO_OFERTAS,https://articulo.mercadolibre.com.mx/MLM-656361882-casco-abatible-para-motocicleta-color-tipo-fibra-de-carbono-_JM?searchVariation=30896399257,2,1,0,0,0,#656361882,NA,"M,L,XL",innovando ofertas ®,CASCOs,CAS-ABA-01,ABATIBLE,NA,NA,NA,NA,NA,NA,NA
