search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Linha,Modelo,Tipo de capacete,Tipo de visor,Materiais do interior,Materiais do exterior,Idade,Gênero,Peso,Tipo de fechamento,Certificado de segurança,Usos recomendados,Posição da ventilação
1, Capacete Moto Robocop Escamoteável Pro Tork V-pro Jet 3 ,165,189,4453,512,12x,13.82,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1751,https://perfil.mercadolivre.com.br/SPORTBAY+PLUS?brandId=2047,https://produto.mercadolivre.com.br/MLB-1172406260-capacete-moto-robocop-escamoteavel-pro-tork-v-pro-jet-3-_JM?searchVariation=32456491659,1263,340,93,24,30,#1172406260,"Azul,Amarelo,Azul,Azul-claro,Gris,Laranja,Rosa,Verde,Vermelho","58,60,62",Pro Tork,Capacete,V-Pro Jet 3,Integral,Simple,Nylon Pluma,"ABS, Policarbonato",Adultos,Unissex,NA,NA,NA,NA,NA
2, Capacete Moto Aberto Pro Tork New Liberty 3 Three ,59,NA,4047,1603,10x,5.90,NA,Envio para todo o país,NA,NA,4.6,1453,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-808714522-capacete-moto-aberto-pro-tork-new-liberty-3-three-_JM?searchVariation=19635871969,1086,250,88,12,17,#808714522,"Preto,Amarelo,Azul,Branco,Prateado,Preto,Preto-fosco,Rosa,Vermelho","56,58,60",Pro Tork,Capacetes,New Liberty 3,Integral,NA,NA,ABS,NA,NA,NA,NA,NA,NA,NA
3, Capacete Para Moto Protork R8 Fechado Viseira Iridium Loi ,120,NA,1027,58,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2171,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1162746915-capacete-para-moto-protork-r8-fechado-viseira-iridium-loi-_JM?searchVariation=31714122516,1443,409,183,64,72,#1162746915,"Azul,Amarelo,Azul,Laranja,Prateado,Rosa,Verde,Vermelho","56,58,60",Pro Tork,R8,R8,Integral,NA,"espumas de memória para melhor absorção de impacto e conforto, tecidos nylon em pluma anti alérgicos e com alta resistência abrasiva",injetado em polímero abs de alto impacto virgem,Adultos,Unissex,1.27 kg,NA,NA,NA,NA
4, Capacete Para Moto Protork R8 Fechado Viseira Camaleão Loi ,120,NA,806,14,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2171,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1162758324-capacete-para-moto-protork-r8-fechado-viseira-camaleo-loi-_JM?searchVariation=31714629237,1443,409,183,64,72,#1162758324,Prata,"56,58,60",Pro Tork,R8,R8,Integral,NA,"espumas de memória para melhor absorção de impacto e conforto, tecidos nylon em pluma anti alérgicos e com alta resistência abrasiva",injetado em polímero abs de alto impacto virgem,Adultos,Unissex,1.27 kg,NA,NA,NA,NA
5, Capacete Para Moto Protork R8 Fechado Resistente Oferta Loi ,120,NA,2241,45,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2171,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1071430308-capacete-para-moto-protork-r8-fechado-resistente-oferta-loi-_JM?searchVariation=25824453651,1443,409,183,64,72,#1071430308,"Amarelo,Azul,Laranja,Prata,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Sportiva,R8,Integral,NA,Antialérgica,Injetado em Polímero ABS de alto impacto virgem,Adultos,Unissex,1.27 kg,NA,NA,NA,NA
6, Capacete Moto Fechado R8 Viseira Fumê Pro Tork Prata ,98,NA,1066,1298,12x,8.24,NA,Envio para todo o país,NA,NA,4.4,2171,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-1108201423-capacete-moto-fechado-r8-viseira-fum-pro-tork-prata-_JM?searchVariation=35910915051,1443,409,183,64,72,#1108201423,"Prata,Amarelo,Azul,Azul-claro,Laranja,Prata,Rosa,Verde,Vermelho","56,58,60",Pro Tork,R8,R8,Integral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7, Capacete Moto Mixs Fokker Storm Fundo Preto Fosco Lançamento ,120,NA,2101,128,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,73,https://perfil.mercadolivre.com.br/KAZZU+COMERCIO,https://produto.mercadolivre.com.br/MLB-1133429702-capacete-moto-mixs-fokker-storm-fundo-preto-fosco-lancamento-_JM?searchVariation=29861517014,42,12,13,2,4,#1133429702,"Amarelo,Azul,Azul-escuro,Cinza-claro,Laranja,Rosa,Verde,Vermelho","58,60,62",Mixs,Capacetes,MX2,Fechado,NA,NA,NA,NA,Unissex,NA,NA,NA,NA,NA
8, Capacete Moto Mixs Mx2 Fokker Storm Fosco Lançamento ,104,NA,166,63,12x,10.03,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,80,https://perfil.mercadolivre.com.br/MOTOLOPES.COM.BR,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=vJ3p6Y4cxof7o%2BJ3viyHcapdEoMZgTpiqFqoim2fWBk5LDevd65DqC8fhwUJnQlRIqXlvItAfUtgsPpnDMgcez4ZXQpAN9vfPahSieE%2F5kJ6mgUNW9IGN4WJ%2F%2FI%2Bz0d%2FhXxoHw0w7CXYJlFDLcx4h%2BONpFbo%2Bi0dybQVy4IlZ%2B4OcZGcBFQ%2FSifMjyzocnBVuZtppd5gBYvuexocXnRLm4oL%2FPQ0%2B5FENemffH6cnfa%2BoTE1Pp7MELB%2Batf91f4PptGzZwM8coGN1YVdcZcvc%2FU9U9NOwT3Q6dFoAm0NdPAUffm8tdGsxgZX5R4WnFCda%2F1rboQSFsnLfQXpbPKbP7CaGZgyqgCFSsMoCFdYSXAkTbrTEVuA0v8%2FR%2BXu1x3VnACuFj93C75cLyjDflNVKgP%2FQ1ZVDDgp%2B%2FXuKIkDh%2FefdLKOOAM5P9pYiasRA2mAoqdYqZ3iZ91I1XnxsRppXI3qXrCf38Sdk0fEs4127Q7Zgow34P%2BtB0lGdhVpGhJHjs7sRz7ldXgISnsMQ9MTXNBybG02PUOLjTFjn2rjrR2fCIhiq%2BuObAhY%2BdJ1cEoz2ClPBa7L6VfIezz2LxZNcFJ42c1Hxr%2BAcBOhWuvYkVfb2KFTd0ZuYixm4sfiBA1KjDwpgy%2Ba73p8wUK%2F4ZU2woJZlBtlGzNSfoI%2B9a4DhAwNHBt5AGNp90C8cIGtGHzbsk2ILPZhoADDq9UxdMvpg0LDPS3CuAEAkfmbddGJQh8V7ET09Gp7vlb47G%2B9IABWgtDmJ93pjl6bpA36LRtwoCLpVFTPvgIxg1bLHr4OA0fqtZ0cFJXYteKmPwZBPBsEIWn9istMm4WJrhQki9FjlVglGoMwB%2Bhh%2BxAq19uys6evxy8LOhMvUoP33%2BApPC4722%2FjUhT2JB7v6uB9piL%2FzawwMMJyAz7%2F4KQ%2FZLg7MSuSO76QOvDR56PDvaHH6kxk0qnCzLPCSzFg8F5fcX%2BoHYVda0ZmFmxbf4yVVkgwkN6umYA8aHDnQPUneDisZt%2Bv24KJ9k0xoKTRseuf9yJa1w28UDFZDauqoNwi4fFCwRco2LycrqaSrQJfQZZtOA5N3X2bboQR7oOId%2BhCu0KstnGXOfW3MV%2FdTN11O2Y9vSDGXOTsLpAPwNt2fRAcWoRbIisL7dYaJfHYns6Gp64QnAyu7DS%2B8IfVTosOy116Wv89Zp3iJoqUe1QknIm%2Bq6pudsbqnbD7L4o3cMx5nzxHmrLYFDe4oShx61C9uASVDFdjNRV%2B1RkL6nz4vg21re2JH%2B%2BnDPq8LClsNS3p7Uve6Bw5M1%2BJ9BFwdajJ5eDyVyi9692uNOrQZUHbafLygEDQIjwL%2Bbq3ERjXEcxPL%2FE2HxJOI20yWhkAT%2FBDgY4owqen%2B0xiUA3Ytb%2FQGfWOOGe%2B%2B2nqUleUq6nkn0AobpMwn9XRWZnXKpEJGaKRL5w4za7RZ4SQP%2FdOr0xTliQeVMy%2Fx6KWIh1Ewr0awcL4NuiQXTfqnR1I%2FfyKyFZCMjHmcNYHJmMTCNexlasKEll%2Bg5Jsch4BGFoRVOb2uUDDtyxhLjsxBFxpMWDG69Qp8qitmIvzDAvfp%2B%2BD7k7KI0sZVJgpbKyzv%2FNKiw98kt7SZ5AEpP%2FKUb3IfxqaTf5Bu1%2BtGlH2bhCr4htuXsdNlVMXlIkijLO6PrehP5ipAoE6XCueXUDlP5raGKt3Qv%2B6QVhyR7xgg%2BkUfBgdiUz7Rsy6t%2BaqE8f9MG2NA3NxvTdta9waUQeZvQ%2BwwaM1RRRklXiry2NupyCrNl6YKPODQfkziQpQgEE329iFsFen1g495HeUL4Gm9z3B1BuyJZyvlBirXoYQ2WHTvTXDtlraWuFJ5CrmZ0GxevXBStCsESVqjLbm6o73iXxjnx6XyEHfkCXdYg%3D%3D,59,8,7,5,1,#1182789928,"Grafite,Amarelo,Azul,Azul/Vermelho,Grafite,Rosa,Verde,Vermelho","58,60,62",Mixs,NA,Fokker MX2,Integral,Simple,Poliestireno,ABS,Adultos,Unissex,NA,NA,NA,NA,NA
9, Capacete Moto Protork New Liberty Four Varias Cores Escolha ,57,NA,1774,540,10x,6.58,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,1547,https://perfil.mercadolivre.com.br/EMPORIUM+LIVRE,https://produto.mercadolivre.com.br/MLB-871667175-capacete-moto-protork-new-liberty-four-varias-cores-escolha-_JM?searchVariation=27219629615,1034,323,139,31,20,#871667175,,"56,58,60",Pro Tork,New liberty,New Liberty Four,Integral,Simple,NA,ABS,Adultos,Unissex,NA,Micrométrico,Inmetro,NA,NA
10, Capacete Sm Moto Automatico Marino Pro Tork Motoboy ,60,NA,2988,20934,12x,5.83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,1574,https://perfil.mercadolivre.com.br/FGOLDSHOP,https://produto.mercadolivre.com.br/MLB-939522798-capacete-sm-moto-automatico-marino-pro-tork-motoboy-_JM?searchVariation=25199373283,974,345,149,57,49,#939522798,"Preto-fosco,Amarelo,Azul,Branco,Prata,Preto,Preto-fosco,Preto/Cinza,Preto/Rosa,Preto/Verde,Preto/Vermelho,Rosa,Vermelho","56,58,60",Pro Tork,SPORT MOTO 788,Sport Moto,Integral,Simple,Poliestireno,ABS,Adultos,Unissex,NA,NA,NA,NA,NA
