search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Materiales del interior,Materiales del exterior,Edad,Género,Línea,Tipo de visor,Peso,Modelo alfanumérico,Usos recomendados
2113, Casco Mt Thunder 3 Sv Solid ( Doble Visor ) - Rvm ,7000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(2 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,10,https://perfil.mercadolibre.com.ar/RVM.MOTOS,https://articulo.mercadolibre.com.ar/MLA-752730791-casco-mt-thunder-3-sv-solid-doble-visor-rvm-_JM?searchVariation=35705528515,4,5,1,0,0,#752730791,Negro brillo,"S,XXL",MT Helmets,Thunder,Integral,NA,NA,NA,NA,Thunder,NA,NA,NA,NA
2114, Casco Abierto Shoei J-cruise Corso 072 Motocity ,44532,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(1 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/MOTOCITYARG,https://articulo.mercadolibre.com.ar/MLA-783359820-casco-abierto-shoei-j-cruise-corso-072-motocity-_JM?searchVariation=36743201909,NA,NA,NA,NA,NA,#783359820,Negro - Gris,S,Shoei,J-Cruise,Abierto con Visera,NA,NA,NA,NA,NA,NA,NA,NA,NA
2115, Casco Hawk Racing Club Oficial Con Lentes Ap Motos ,2836,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(9 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/AP-AUTOPORT,https://articulo.mercadolibre.com.ar/MLA-630815099-casco-hawk-racing-club-oficial-con-lentes-ap-motos-_JM,NA,NA,NA,NA,NA,#630815099,NA,NA,Hawk,EQUIPOS,Integral,NA,NA,NA,NA,NA,NA,NA,NA,NA
2116, Casco Abierto Vertigo Basic Linea 2019 - Rosa ,990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",(4 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.2,5,https://perfil.mercadolibre.com.ar/CBA.MOTO,https://articulo.mercadolibre.com.ar/MLA-735675266-casco-abierto-vertigo-basic-linea-2019-rosa-_JM?searchVariation=25294251723,3,0,2,0,0,#735675266,Rosa,"XS,S,M,L",Vértigo,Basic,Abierto,NA,Termoplástico,NA,NA,Jet,NA,NA,CMOF1201RS2,NA
2117, Casco Abierto Suomy Fun Fuck Negro En Freeway Motos ,1600,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(12 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,4,https://perfil.mercadolibre.com.ar/MOTOS_FREEWAY,https://articulo.mercadolibre.com.ar/MLA-756397709-casco-abierto-suomy-fun-fuck-negro-en-freeway-motos-_JM?searchVariation=29687413448,3,0,0,1,0,#756397709,Negro,"M,L,XL",Suomy,Fun,Abierto,NA,NA,NA,NA,Fuck,NA,NA,NA,NA
2118, Casco Rebatible Punto Extremo Xr 650 Azul Doble Visor - Um ,7123,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(7 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,142,https://perfil.mercadolibre.com.ar/URQUIZA+MOTOS,https://articulo.mercadolibre.com.ar/MLA-756038943-casco-rebatible-punto-extremo-xr-650-azul-doble-visor-um-_JM?searchVariation=30659571833,99,37,5,0,1,#756038943,Azul,"XS,S,M,L,XL",Punto Extremo,XR650,Rebatible,NA,NA,NA,NA,NA,NA,NA,NA,NA
2119, Casco Ls2 Integral Ff352 Rookie Fan Rpm-1240 ,4668,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(16 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,26,https://perfil.mercadolibre.com.ar/RPM-1240,https://articulo.mercadolibre.com.ar/MLA-636702018-casco-ls2-integral-ff352-rookie-fan-rpm-1240-_JM?searchVariation=26314877701,17,5,3,0,1,#636702018,Amarillo - negro,s m l xl,LS2,One,Integral,NA,recina,Adultos,Unisex,Rookie,Simple,NA,FF352,NA
2120, Casco Moto Hawk Rs11 Revo Blanco Mate Visor 2019 Devotobikes ,3561,4500,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(39993 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,446,https://perfil.mercadolibre.com.ar/DEVOTOBIKES,https://articulo.mercadolibre.com.ar/MLA-767091471-casco-moto-hawk-rs11-revo-blanco-mate-visor-2019-devotobikes-_JM?searchVariation=32086286619,287,117,34,3,5,#767091471,Negro,"S 56CM,M - 58 cm,L 60CM,XL 62CM",Hawk,Revo,Integral,Resina termoplástica,Policarbonato de cristal,NA,NA,Integral,NA,NA,rs11,Urbana
2121, Casco Integral Doble Visor V Can 126 Union Blanco Fas Motos ,3599,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(79992 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,4,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-679706002-casco-integral-doble-visor-v-can-126-union-blanco-fas-motos-_JM?searchVariation=19690658165,2,1,1,0,0,#679706002,Blanco,"S,M,L,XL",VCAN,white union jack,Integral,NA,pvc inyectado impacto,NA,NA,Integral,NA,NA,NA,NA
2122, Casco Moto Vertigo Hoken Con Visor De Regalo. En Gravedadx ,1999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				75
				vendidos
			
		",(6 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,7,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=43gtacNvfdpHISHwtKpiWWeTTg3c51hNTLr6bqmt9bXcckGTUurxLiqlISciA8d4nxJTssVG1bEIIRfZvHyoYvWeiZMgCx6vZ%2FqyN441Z0XBLwGl%2F3f5EbjsnOwj7w3LG44plCNp8kA1SjJ%2BsOCZQTU2HRY4FZl4uclq75gBy9Gof1DdCZUi87sLtZV0RrKHA3G1wHftUAW2FT62%2FLCfnKkA7ydgAONawd7D7Dzqagvt4KPy3sOzgOp0DxWZKW2N9vXFAUig3E8Gw2FJWwTAVLrWoP4otZyg1Hg0ZTOAm3LiPMf9tHS2yoKgAHUsE9EByHNsPFiL%2Bs%2BLkSY%2FfEBmmSGLX49ckDPY3zr3hzCJgyt5fH%2BJODuNqeJt5n4fZzbNAfTp8t68c2J6%2FL6P6zOdWoMmIl0%2FcPlwiCxiLhmt7yRqCjnlJmk7sIZ8F99e5ahdyfq5JaC7UqVz7rFMqNAEsMHu%2FU6U4ExHkDJ2RpNPmH5K7qrGf2gPeZUtgv8Qm4toUlZInCjXvj3hKt4YiWKwKBjaGZ7A%2Fzpb5v231x36GJLsZTktGcdOoAQcV2aCG5e7LwXLXYbGTnX9sWEjp%2BUVQ2nHSmrXebF%2F0kM0gunqs67vSlwIQeEBt%2BKPq0AAWH2yu3NAPmOlo6ME8myZM2Hu95NTNOUlqtsHUqITkGkLdsMpkMz%2F0AToG%2F3tqaJWKH7NpzzaNe96TzJy2KHaZ2lMb%2BnxgDikPLaptxIroy6GxPvErE5JJGOp7s%2B5tPNneQnUqHKhGMqQd9yck2vZmh4EuFTxXzf4OcCEu%2F7%2BdHXC4cbDGbaB2UQAFbw%2FpdDm40hgxSw8IFcRy3vMH%2BGgSyHVyc7YXfekeZ8khNH0gXczGcNpLsxwG2YqOtHjnC5gvAnQ821qHarJdp%2B%2FfB9DrSn6MJ4P%2FfVuXE07LDyOvvlClEN8jrkZwN9kGoYv051xGL5D0eeYoxGMy%2BovhfXx3SJQWUsZ0f01iNVAKwyz9NNDnv4Xuf6M6BboHB%2BSvCB0Dase8pfvfynVttf05CZj%2BWKtQATi0%2BPn7LgsjbYtpxtYdlIk7aGy9hpKjw82wASXaHa%2BVFApfnpxYp2enK9gnjb6rwbfepHx5jPxM0VhLosrt49cTb83bV3PIw%2BKu4jILvP%2FtDMCEIHVkxAu6Ku035e2Lkov0KJIr%2BtaL1C8lngSHf5sdhY1EuPsh3rOLMj%2F9NhMZcTTAYErnDdl8FXi16LyMjW7xvaYuHXXB8Ul37ghaKZ2gtiKX5jtsqNzdupbXXDGuLUy365jQEUHlbQ73T1jy%2F6gIew9YXBVTu%2FR9ZACoOJDRaH652p11nVOqPoj54W6x9qHkeLMR4N5ORVJbiI0C%2BLRQz%2FOuYN7T6S52HSWfRCwReL0aCJYx5R%2Faw4NNyLuDo3%2BRsC6CBCt%2B%2BetDZRsQT8UigjbE54QAJm%2BPgx4gVuUqvSNUnqc8vp%2BW9b3k6pR4MBfoWtDMWOf4CyBtSgJ69GDStA3JACD7qH5B3uoboqGq9LaI8GdU6LyVxpAPAkClRmCUgcu8JzxS1PzhlJ7IaRBMEzbtWf7pyei%2BdRvUnXX21ice8Ccdtak%2BY%2FFO6KCaJm8i1Mv5FU9YenMRuPQ2UP9G4vy6qWtiM1LH3GFxyAWNecLHpuNp%2FgSD7nC4x%2BsezWJWe%2Badlx%2BlqXwvMrsonH2HedlDQrACsnhYGU7fsTPoqK9uM8Kv7HTahNFPj3n%2Fspl5x%2FzCqTDowNTgOA5CMj8WnZ4xNJztjHTsdqhJuVHjEw9Ec3Ro8rdqK7RaHagedNRcKATIznHCweM27gfsUYfdbHveA5SiQLc2%2F3N81a8lvybudOZR5E3K0dRNZaUN4uu5atwcxisUeLXGe45r3Lh%2FSmnhBlr41u%2BRD5KmfYs3FNE2o%2FWKsUAHURfyG82VQE%3D,5,2,0,0,0,#690729812,Negro mate,"M - 58 cm,S (56 cm),XL (62cm),S (56 cm),M - 58 cm,XL (62cm)",Vértigo,Tamashi,Integral,Set Poliester,Termoplástico,Adultos,Unisex,Vértigo,Simple,NA,NA,NA
