value,units_of_time_operating,units_timeframe_of_amt_sold,shipping,free_return,free_return_info
1,meses,meses,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís
2,años,años,Llega gratis mañana,,
3,días,días,Envío a todo el país,,
4,,,Envío gratis a todo el país,,
5,,,Envío,,
6,,,Llega mañana,,
7,,,Retiro gratis en local del vendedor,,
8,,,Entrega a acordar con el vendedor,,
9,,,Llega gratis el martes,,
10,,,Retiro gratis en tienda de Geant,,
