search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Tipo,Modelo,Tipo de casco,Línea,Tipo de visor,Materiales del exterior,Edad,Género
1, Casco Integral P/moto Vento Mod Italy Con Fucsia Ideal Dama ,1290,NA,"
			
				Nuevo
			
			
				
					 - 
				
				11
				vendidos
			
		",(3 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 7167
		
		 sin interés
		
	

	
		",67,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/GKMOTOS,https://articulo.mercadolibre.com.uy/MLU-460684094-casco-integral-pmoto-vento-mod-italy-con-fucsia-ideal-dama-_JM,NA,NA,NA,NA,NA,#460684094,NA,NA,Vento,Integral,NA,NA,NA,NA,NA,NA,NA
2, Casco Rebatible Con Lentes Hawk Negro Mate ,2500,NA,"
			
				Nuevo
			
			
				
					 - 
				
				88
				vendidos
			
		",(34 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 13889
		
		 sin interés
		
	

	
		",89,NA,Entrega a acordar con el vendedor,NA,NA,4.6,14,http://perfil.mercadolibre.com.uy/RUBIBIKES,https://articulo.mercadolibre.com.uy/MLU-451740128-casco-rebatible-con-lentes-hawk-negro-mate-_JM?searchVariation=40474244677,11,2,0,1,0,#451740128,Negro,S M L XL,Hawk,NA,NA,NA,NA,NA,NA,NA,NA
3, Casco De Moto Para Niña Princesas Aprobados Por Latu ,1100,NA,"
			
				Nuevo
			
			
				
					 - 
				
				24
				vendidos
			
		",(19 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 6111
		
		 sin interés
		
	

	
		",11,NA,Entrega a acordar con el vendedor,NA,NA,5.0,2,http://perfil.mercadolibre.com.uy/RUBIBIKES,https://articulo.mercadolibre.com.uy/MLU-455463403-casco-de-moto-para-nina-princesas-aprobados-por-latu-_JM,NA,NA,NA,NA,NA,#455463403,Blanco y Rosado,52/54 cm,Mixx,NA,Selfie,Integral,NA,NA,NA,NA,NA
4, Casco Hjc Moto Cs-15 Liso Negro Mate Con Visor Oscuro ,139,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",(5 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 28325
		
		 sin interés
		
	

	
		",25,NA,Envío a todo el país,NA,NA,5.0,1,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-458020157-casco-hjc-moto-cs-15-liso-negro-mate-con-visor-oscuro-_JM?searchVariation=39013534296,NA,NA,NA,NA,NA,#458020157,Negro mate,NA,HJC,NA,CS-15,Integral,CS-15,NA,NA,NA,NA
5, Casco Mt Para Moto / Mt Helmets Stinger / Varios Diseños ,86,NA,"
			
				Nuevo
			
			
				
					 - 
				
				18
				vendidos
			
		",(82 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 17525
		
		 sin interés
		
	

	
		",25,NA,Envío a todo el país,NA,NA,5.0,1,http://perfil.mercadolibre.com.uy/URURACER,https://articulo.mercadolibre.com.uy/MLU-456282940-casco-mt-para-moto-mt-helmets-stinger-varios-disenos-_JM,NA,NA,NA,NA,NA,#456282940,NA,NA,MT Helmets,NA,Stinger,Integral,Acero,Simple,Resina,Adultos,Unisex
6, Casco Moto Hjc Fg-70s Apol Mc-5f Retro Bobber Vintage ,179,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(2 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 36476
		
		 sin interés
		
	

	
		",76,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-454979981-casco-moto-hjc-fg-70s-apol-mc-5f-retro-bobber-vintage-_JM?searchVariation=41153414535,NA,NA,NA,NA,NA,#454979981,Negro,NA,HJC,NA,FG-70 APOL MC5F,Abierto,NA,NA,KEBLAR,Adultos,Unisex
7, Casco Moto Rebatible Hjc Rpha90 Mate Black Fibra De Carbono ,690,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(2 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1.40607
		
		 sin interés
		
	

	
		",07,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-460267841-casco-moto-rebatible-hjc-rpha90-mate-black-fibra-de-carbono-_JM?searchVariation=40283787148,NA,NA,NA,NA,NA,#460267841,Negro,NA,HJC,NA,Carbon,Integral,RPHA 11 Pro,NA,NA,NA,NA
8, Cascos Power Maxx Azul O Rojo Mate Modelo Danger ,1500,NA,"
			
				Nuevo
			
			
				
					 - 
				
				27
				vendidos
			
		",(9 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 8333
		
		 sin interés
		
	

	
		",33,NA,Entrega a acordar con el vendedor,NA,NA,4.0,1,http://perfil.mercadolibre.com.uy/RUBIBIKES,https://articulo.mercadolibre.com.uy/MLU-453357554-cascos-power-maxx-azul-o-rojo-mate-modelo-danger-_JM?searchVariation=41959681428,NA,NA,NA,NA,NA,#453357554,Azul,"S, M, L, XL",NA,NA,NA,Integral,NA,NA,NA,NA,NA
9, Casco Integral Para Moto Marca Vento Mod Italy Con Gris ,1290,NA,"
			
				Nuevo
			
			
				
					 - 
				
				14
				vendidos
			
		",(5 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 7167
		
		 sin interés
		
	

	
		",67,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/GKMOTOS,https://articulo.mercadolibre.com.uy/MLU-459212375-casco-integral-para-moto-marca-vento-mod-italy-con-gris-_JM,NA,NA,NA,NA,NA,#459212375,NA,NA,Vento,Integral,NA,NA,NA,NA,NA,NA,NA
10, Casco Nash 3/4 Abierto Con Visor Y Lentes Con Protección Uv ,32,35,"
			
				Nuevo
			
			
				
					 - 
				
				25
				vendidos
			
		",(6 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 6521
		
		 sin interés
		
	

	
		",21,NA,Envío gratis a todo el país,NA,NA,3.7,3,http://perfil.mercadolibre.com.uy/CAFERACEUY,https://articulo.mercadolibre.com.uy/MLU-460324842-casco-nash-34-abierto-con-visor-y-lentes-con-proteccion-uv-_JM,2,0,0,0,1,#460324842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
